Date,AQI
24-10-2017,138
26-10-2017,143
27-10-2017,125
28-10-2017,127
29-10-2017,164
30-10-2017,138
31-10-2017,154
01-11-2017,171
02-11-2017,136
03-11-2017,217
04-11-2017,139
05-11-2017,209
06-11-2017,188
07-11-2017,144
08-11-2017,132
09-11-2017,150
10-11-2017,151
11-11-2017,166
12-11-2017,202
14-11-2017,201
15-11-2017,224
16-11-2017,310
17-11-2017,308
18-11-2017,303
19-11-2017,350
20-11-2017,169
21-11-2017,114
22-11-2017,121
23-11-2017,108
24-11-2017,144
25-11-2017,177
26-11-2017,209
19-12-2017,108
20-12-2017,139
21-12-2017,131
22-12-2017,109
23-12-2017,104
24-12-2017,170
25-12-2017,245
26-12-2017,101
27-12-2017,114
28-12-2017,201
30-12-2017,164
31-12-2017,159
01-01-2018,216
02-01-2018,112
03-01-2018,131
04-01-2018,138
05-01-2018,142
06-01-2018,214
07-01-2018,227
08-01-2018,193
09-01-2018,131
10-01-2018,131
11-01-2018,258
12-01-2018,242
13-01-2018,208
14-01-2018,206
15-01-2018,176
16-01-2018,175
17-01-2018,134
18-01-2018,146
19-01-2018,224
20-01-2018,193
21-01-2018,239
25-01-2018,254
29-01-2018,199
31-01-2018,216
01-02-2018,167
02-02-2018,155
05-02-2018,199
06-02-2018,166
07-02-2018,172
08-02-2018,236
09-02-2018,151
10-02-2018,149
12-02-2018,196
13-02-2018,146
15-02-2018,139
16-02-2018,162
17-02-2018,207
18-02-2018,215
19-02-2018,175
20-02-2018,232
21-02-2018,274
22-02-2018,198
23-02-2018,170
26-02-2018,118
27-02-2018,156
28-02-2018,159
01-03-2018,171
02-03-2018,135
03-03-2018,120
04-03-2018,139
05-03-2018,118
06-03-2018,118
07-03-2018,132
08-03-2018,171
09-03-2018,140
10-03-2018,177
11-03-2018,154
12-03-2018,144
13-03-2018,188
14-03-2018,123
15-03-2018,210
16-03-2018,261
17-03-2018,170
18-03-2018,202
19-03-2018,228
20-03-2018,166
21-03-2018,173
22-03-2018,237
23-03-2018,149
24-03-2018,175
25-03-2018,189
26-03-2018,199
27-03-2018,179
28-03-2018,144
29-03-2018,249
30-03-2018,189
31-03-2018,158
01-04-2018,203
02-04-2018,168
03-04-2018,166
04-04-2018,140
05-04-2018,204
06-04-2018,209
07-04-2018,249
