Date,AQI
17-03-2023,52
18-03-2023,52
19-03-2023,53
20-03-2023,53
21-03-2023,53
22-03-2023,52
23-03-2023,52
24-03-2023,52
25-03-2023,52
26-03-2023,52
27-03-2023,52
28-03-2023,52
29-03-2023,52
30-03-2023,52
31-03-2023,51
01-04-2023,51
02-04-2023,51
03-04-2023,51
04-04-2023,51
05-04-2023,51
06-04-2023,52
08-04-2023,50
09-04-2023,51
10-04-2023,51
11-04-2023,77
12-04-2023,51
13-04-2023,51
14-04-2023,51
18-04-2023,51
19-04-2023,51
20-04-2023,50
02-05-2023,100
03-05-2023,71
04-05-2023,59
07-05-2023,62
08-05-2023,63
10-05-2023,63
11-05-2023,61
20-05-2023,62
21-05-2023,62
22-05-2023,38
23-05-2023,62
24-05-2023,62
25-05-2023,62
26-05-2023,62
27-05-2023,64
28-05-2023,62
29-05-2023,63
30-05-2023,62
31-05-2023,63
01-06-2023,63
02-06-2023,63
03-06-2023,62
04-06-2023,62
05-06-2023,63
06-06-2023,62
07-06-2023,62
08-06-2023,62
09-06-2023,62
12-06-2023,62
13-06-2023,63
14-06-2023,62
15-06-2023,62
16-06-2023,62
17-06-2023,62
18-06-2023,63
19-06-2023,65
20-06-2023,65
21-06-2023,66
24-06-2023,65
25-06-2023,65
26-06-2023,65
28-06-2023,65
29-06-2023,65
30-06-2023,64
01-07-2023,64
02-07-2023,64
03-07-2023,65
04-07-2023,65
05-07-2023,66
06-07-2023,65
07-07-2023,65
08-07-2023,65
09-07-2023,65
10-07-2023,65
11-07-2023,64
12-07-2023,65
13-07-2023,64
14-07-2023,103
15-07-2023,65
16-07-2023,66
17-07-2023,67
18-07-2023,66
19-07-2023,67
20-07-2023,67
22-07-2023,66
28-07-2023,66
29-07-2023,66
30-07-2023,66
31-07-2023,66
01-08-2023,65
02-08-2023,66
03-08-2023,66
04-08-2023,66
05-08-2023,66
06-08-2023,66
07-08-2023,66
08-08-2023,66
09-08-2023,66
10-08-2023,66
11-08-2023,66
22-08-2023,74
23-08-2023,73
24-08-2023,73
25-08-2023,73
26-08-2023,72
31-08-2023,72
07-09-2023,52
10-09-2023,79
11-09-2023,25
12-09-2023,25
15-09-2023,25
17-09-2023,24
20-09-2023,25
21-09-2023,26
23-09-2023,25
24-09-2023,25
26-09-2023,25
29-09-2023,25
30-09-2023,25
01-10-2023,25
05-10-2023,34
06-10-2023,38
07-10-2023,41
08-10-2023,33
09-10-2023,28
10-10-2023,25
12-10-2023,27
13-10-2023,43
14-10-2023,42
15-10-2023,25
17-11-2023,62
18-11-2023,40
21-11-2023,37
23-11-2023,26
24-11-2023,26
26-11-2023,26
27-11-2023,26
28-11-2023,26
29-11-2023,26
30-11-2023,26
01-12-2023,26
02-12-2023,34
05-12-2023,31
06-12-2023,27
07-12-2023,34
08-12-2023,27
09-12-2023,27
10-12-2023,30
12-12-2023,47
13-12-2023,54
14-12-2023,56
15-12-2023,71
16-12-2023,50
17-12-2023,34
18-12-2023,41
19-12-2023,68
20-12-2023,76
21-12-2023,94
23-12-2023,90
24-12-2023,73
25-12-2023,68
26-12-2023,33
27-12-2023,34
28-12-2023,44
