Date,AQI
09-01-2019,191
11-01-2019,294
15-01-2019,112
16-01-2019,232
17-01-2019,360
18-01-2019,321
20-01-2019,308
21-01-2019,279
22-01-2019,84
23-01-2019,169
24-01-2019,264
25-01-2019,110
26-01-2019,162
27-01-2019,110
28-01-2019,130
29-01-2019,113
30-01-2019,167
31-01-2019,216
01-02-2019,218
02-02-2019,230
03-02-2019,226
04-02-2019,170
05-02-2019,276
06-02-2019,282
07-02-2019,110
08-02-2019,116
09-02-2019,88
10-02-2019,113
11-02-2019,224
12-02-2019,262
13-02-2019,282
15-02-2019,171
16-02-2019,174
17-02-2019,110
18-02-2019,169
19-02-2019,150
20-02-2019,206
21-02-2019,105
22-02-2019,138
23-02-2019,68
24-02-2019,87
25-02-2019,156
26-02-2019,104
27-02-2019,77
28-02-2019,154
01-03-2019,138
02-03-2019,245
03-03-2019,93
04-03-2019,97
05-03-2019,87
06-03-2019,128
07-03-2019,152
08-03-2019,170
09-03-2019,190
10-03-2019,109
11-03-2019,165
12-03-2019,130
13-03-2019,151
14-03-2019,256
15-03-2019,93
16-03-2019,94
17-03-2019,128
18-03-2019,133
19-03-2019,143
20-03-2019,151
21-03-2019,170
22-03-2019,107
23-03-2019,100
24-03-2019,105
25-03-2019,118
26-03-2019,118
27-03-2019,123
28-03-2019,151
29-03-2019,227
30-03-2019,238
31-03-2019,125
01-04-2019,117
02-04-2019,127
03-04-2019,160
04-04-2019,198
05-04-2019,280
06-04-2019,226
07-04-2019,277
08-04-2019,247
09-04-2019,209
10-04-2019,266
11-04-2019,309
12-04-2019,294
16-04-2019,220
17-04-2019,66
18-04-2019,70
19-04-2019,139
20-04-2019,191
21-04-2019,255
22-04-2019,316
23-04-2019,341
24-04-2019,346
25-04-2019,324
26-04-2019,295
27-04-2019,340
28-04-2019,326
29-04-2019,353
30-04-2019,336
01-05-2019,350
02-05-2019,319
03-05-2019,153
04-05-2019,267
05-05-2019,297
06-05-2019,314
07-05-2019,386
08-05-2019,359
09-05-2019,333
10-05-2019,276
11-05-2019,282
12-05-2019,358
13-05-2019,304
14-05-2019,159
15-05-2019,253
16-05-2019,222
17-05-2019,197
18-05-2019,107
19-05-2019,121
21-05-2019,192
22-05-2019,153
23-05-2019,203
24-05-2019,146
25-05-2019,133
26-05-2019,136
27-05-2019,192
28-05-2019,193
29-05-2019,196
30-05-2019,263
31-05-2019,282
01-06-2019,325
02-06-2019,277
03-06-2019,261
04-06-2019,157
05-06-2019,198
06-06-2019,211
07-06-2019,186
08-06-2019,225
09-06-2019,320
10-06-2019,303
11-06-2019,342
12-06-2019,281
13-06-2019,200
14-06-2019,151
15-06-2019,295
16-06-2019,188
17-06-2019,157
18-06-2019,145
19-06-2019,166
20-06-2019,129
21-06-2019,165
22-06-2019,192
23-06-2019,169
24-06-2019,151
25-06-2019,137
26-06-2019,115
27-06-2019,231
28-06-2019,190
29-06-2019,172
30-06-2019,197
01-07-2019,189
02-07-2019,264
03-07-2019,129
04-07-2019,85
06-07-2019,75
07-07-2019,71
08-07-2019,104
09-07-2019,65
10-07-2019,97
11-07-2019,236
12-07-2019,185
13-07-2019,164
14-07-2019,165
16-07-2019,104
17-07-2019,76
