Date,AQI
15-12-2015,101
16-12-2015,64
22-12-2015,103
23-12-2015,60
24-12-2015,54
26-12-2015,141
29-12-2015,74
30-12-2015,113
31-12-2015,118
01-01-2016,118
05-01-2016,72
08-01-2016,119
09-01-2016,69
10-01-2016,107
11-01-2016,80
13-01-2016,77
14-01-2016,97
15-01-2016,27
18-01-2016,32
19-01-2016,241
20-01-2016,236
21-01-2016,283
22-01-2016,202
23-01-2016,120
28-01-2016,190
29-01-2016,111
30-01-2016,95
31-01-2016,172
01-02-2016,58
02-02-2016,45
03-02-2016,58
04-02-2016,31
05-02-2016,87
06-02-2016,82
09-02-2016,87
10-02-2016,77
11-02-2016,89
12-02-2016,80
13-02-2016,110
14-02-2016,49
15-02-2016,96
16-02-2016,77
17-02-2016,104
20-02-2016,70
21-02-2016,45
23-02-2016,103
24-02-2016,110
25-02-2016,83
29-02-2016,180
01-03-2016,79
04-03-2016,91
10-03-2016,60
11-03-2016,64
14-03-2016,48
15-03-2016,81
16-03-2016,44
17-03-2016,44
18-03-2016,60
20-03-2016,45
21-03-2016,35
22-03-2016,39
23-03-2016,57
24-03-2016,59
25-03-2016,54
29-03-2016,102
30-03-2016,76
05-04-2016,56
06-04-2016,68
13-04-2016,73
14-04-2016,68
15-04-2016,70
16-04-2016,68
18-04-2016,117
20-04-2016,100
21-04-2016,75
22-04-2016,70
25-04-2016,75
29-04-2016,88
30-04-2016,74
01-05-2016,72
02-05-2016,81
03-05-2016,196
04-05-2016,109
06-05-2016,68
12-05-2016,88
13-05-2016,75
14-05-2016,69
15-05-2016,72
16-05-2016,70
17-05-2016,74
18-05-2016,76
25-05-2016,63
26-05-2016,135
28-05-2016,88
31-05-2016,74
01-06-2016,70
02-06-2016,95
03-06-2016,76
05-06-2016,70
21-06-2016,35
23-06-2016,69
24-06-2016,69
29-06-2016,83
30-06-2016,119
01-07-2016,116
03-07-2016,51
11-07-2016,77
12-07-2016,43
13-07-2016,39
14-07-2016,55
15-07-2016,96
16-07-2016,63
17-07-2016,39
18-07-2016,47
19-07-2016,112
26-07-2016,92
28-07-2016,37
09-08-2016,43
11-08-2016,47
12-08-2016,40
16-08-2016,66
21-08-2016,69
23-08-2016,57
25-08-2016,58
26-08-2016,59
27-08-2016,52
31-08-2016,70
01-09-2016,40
02-09-2016,63
03-09-2016,67
04-09-2016,83
07-09-2016,82
08-09-2016,100
10-09-2016,78
11-09-2016,73
12-09-2016,72
13-09-2016,80
14-09-2016,74
15-09-2016,72
20-09-2016,187
21-09-2016,166
26-09-2016,119
28-09-2016,177
29-09-2016,221
30-09-2016,241
02-10-2016,133
03-10-2016,97
04-10-2016,81
05-10-2016,116
06-10-2016,81
07-10-2016,87
08-10-2016,64
10-10-2016,68
11-10-2016,61
12-10-2016,109
13-10-2016,113
15-10-2016,91
16-10-2016,93
17-10-2016,86
18-10-2016,111
19-10-2016,119
20-10-2016,62
24-10-2016,140
25-10-2016,99
26-10-2016,111
27-10-2016,126
28-10-2016,140
29-10-2016,118
30-10-2016,183
31-10-2016,282
01-11-2016,50
02-11-2016,140
03-11-2016,119
07-11-2016,126
09-11-2016,172
10-11-2016,132
11-11-2016,126
12-11-2016,72
13-11-2016,71
14-11-2016,89
15-11-2016,116
16-11-2016,120
17-11-2016,165
18-11-2016,117
22-11-2016,110
23-11-2016,88
24-11-2016,75
25-11-2016,103
26-11-2016,159
29-11-2016,215
30-11-2016,199
01-12-2016,142
02-12-2016,189
03-12-2016,178
04-12-2016,215
05-12-2016,192
06-12-2016,243
07-12-2016,257
08-12-2016,290
09-12-2016,213
10-12-2016,290
11-12-2016,226
12-12-2016,149
13-12-2016,90
16-12-2016,37
23-12-2016,145
24-12-2016,110
25-12-2016,132
26-12-2016,86
27-12-2016,236
28-12-2016,92
29-12-2016,82
30-12-2016,62
31-12-2016,24
04-01-2017,56
05-01-2017,43
06-01-2017,142
07-01-2017,86
08-01-2017,28
09-01-2017,39
10-01-2017,54
11-01-2017,80
12-01-2017,187
13-01-2017,113
14-01-2017,156
15-01-2017,133
16-01-2017,147
17-01-2017,258
18-01-2017,226
19-01-2017,168
20-01-2017,127
21-01-2017,253
22-01-2017,114
23-01-2017,97
24-01-2017,152
25-01-2017,36
27-01-2017,34
28-01-2017,74
29-01-2017,42
30-01-2017,59
31-01-2017,49
01-02-2017,43
02-02-2017,111
03-02-2017,139
04-02-2017,138
05-02-2017,121
06-02-2017,88
07-02-2017,118
09-02-2017,146
10-02-2017,149
11-02-2017,123
12-02-2017,105
13-02-2017,127
14-02-2017,102
15-02-2017,144
16-02-2017,67
17-02-2017,111
20-02-2017,81
21-02-2017,65
22-02-2017,84
23-02-2017,83
24-02-2017,64
25-02-2017,68
26-02-2017,61
27-02-2017,70
28-02-2017,87
01-03-2017,98
02-03-2017,85
03-03-2017,76
04-03-2017,142
05-03-2017,109
06-03-2017,122
07-03-2017,63
09-03-2017,45
10-03-2017,62
11-03-2017,50
12-03-2017,45
13-03-2017,51
14-03-2017,55
16-03-2017,56
17-03-2017,66
18-03-2017,64
19-03-2017,64
21-03-2017,129
22-03-2017,129
23-03-2017,130
24-03-2017,100
25-03-2017,32
27-03-2017,53
28-03-2017,84
29-03-2017,103
30-03-2017,64
31-03-2017,80
04-04-2017,146
05-04-2017,71
06-04-2017,55
07-04-2017,157
08-04-2017,84
09-04-2017,58
10-04-2017,40
11-04-2017,61
14-04-2017,49
15-04-2017,67
16-04-2017,66
17-04-2017,57
18-04-2017,105
19-04-2017,132
20-04-2017,111
21-04-2017,130
22-04-2017,115
23-04-2017,59
24-04-2017,63
25-04-2017,78
26-04-2017,67
27-04-2017,80
28-04-2017,67
29-04-2017,101
30-04-2017,95
01-05-2017,44
03-05-2017,132
04-05-2017,94
05-05-2017,136
06-05-2017,78
07-05-2017,102
08-05-2017,135
09-05-2017,184
10-05-2017,150
12-05-2017,190
13-05-2017,130
14-05-2017,87
15-05-2017,74
16-05-2017,168
17-05-2017,66
18-05-2017,55
20-05-2017,80
21-05-2017,152
22-05-2017,71
23-05-2017,73
24-05-2017,68
25-05-2017,76
26-05-2017,103
28-05-2017,173
29-05-2017,132
30-05-2017,87
31-05-2017,66
01-06-2017,64
02-06-2017,111
03-06-2017,216
04-06-2017,193
05-06-2017,233
06-06-2017,250
07-06-2017,59
09-06-2017,203
10-06-2017,88
11-06-2017,82
12-06-2017,84
13-06-2017,104
14-06-2017,113
15-06-2017,156
16-06-2017,115
17-06-2017,136
19-06-2017,124
20-06-2017,53
21-06-2017,72
22-06-2017,39
23-06-2017,47
24-06-2017,64
25-06-2017,102
26-06-2017,77
27-06-2017,41
28-06-2017,33
29-06-2017,33
30-06-2017,32
01-07-2017,34
02-07-2017,38
03-07-2017,33
04-07-2017,61
05-07-2017,63
06-07-2017,78
07-07-2017,58
08-07-2017,65
09-07-2017,92
10-07-2017,86
11-07-2017,46
12-07-2017,33
13-07-2017,32
14-07-2017,68
15-07-2017,46
16-07-2017,51
17-07-2017,48
18-07-2017,57
19-07-2017,61
20-07-2017,71
21-07-2017,81
22-07-2017,83
23-07-2017,98
24-07-2017,65
25-07-2017,60
26-07-2017,67
27-07-2017,69
28-07-2017,82
29-07-2017,91
30-07-2017,83
31-07-2017,65
01-08-2017,70
02-08-2017,84
03-08-2017,82
04-08-2017,55
05-08-2017,62
06-08-2017,47
07-08-2017,59
08-08-2017,41
09-08-2017,46
10-08-2017,84
11-08-2017,60
12-08-2017,64
13-08-2017,61
14-08-2017,46
15-08-2017,47
16-08-2017,74
17-08-2017,70
18-08-2017,78
19-08-2017,56
20-08-2017,34
21-08-2017,31
24-08-2017,34
25-08-2017,53
26-08-2017,32
27-08-2017,57
28-08-2017,35
29-08-2017,29
30-08-2017,36
03-09-2017,32
04-09-2017,37
05-09-2017,42
06-09-2017,39
07-09-2017,42
08-09-2017,33
09-09-2017,41
10-09-2017,75
11-09-2017,55
12-09-2017,48
13-09-2017,46
14-09-2017,321
15-09-2017,96
16-09-2017,104
17-09-2017,68
18-09-2017,200
19-09-2017,66
24-09-2017,81
25-09-2017,65
26-09-2017,92
29-09-2017,87
30-09-2017,119
01-10-2017,176
02-10-2017,157
03-10-2017,123
04-10-2017,128
05-10-2017,101
06-10-2017,99
07-10-2017,75
08-10-2017,70
09-10-2017,108
10-10-2017,164
11-10-2017,129
12-10-2017,232
13-10-2017,132
15-10-2017,66
16-10-2017,58
17-10-2017,68
18-10-2017,122
19-10-2017,128
21-10-2017,164
22-10-2017,145
23-10-2017,123
24-10-2017,91
25-10-2017,113
26-10-2017,119
27-10-2017,162
28-10-2017,122
29-10-2017,158
30-10-2017,148
31-10-2017,238
01-11-2017,231
02-11-2017,206
03-11-2017,275
04-11-2017,230
05-11-2017,202
06-11-2017,269
07-11-2017,249
09-11-2017,272
14-11-2017,143
15-11-2017,216
16-11-2017,187
19-11-2017,174
20-11-2017,164
21-11-2017,242
22-11-2017,205
23-11-2017,134
24-11-2017,91
25-11-2017,132
26-11-2017,143
27-11-2017,267
01-12-2017,178
02-12-2017,144
03-12-2017,133
04-12-2017,177
05-12-2017,220
06-12-2017,197
07-12-2017,116
08-12-2017,252
09-12-2017,203
10-12-2017,191
11-12-2017,119
12-12-2017,148
13-12-2017,248
14-12-2017,227
15-12-2017,147
16-12-2017,152
17-12-2017,192
18-12-2017,148
19-12-2017,161
21-12-2017,291
22-12-2017,269
23-12-2017,170
05-01-2018,311
06-01-2018,294
07-01-2018,191
08-01-2018,162
09-01-2018,193
10-01-2018,216
11-01-2018,180
12-01-2018,237
13-01-2018,167
14-01-2018,220
15-01-2018,192
16-01-2018,283
17-01-2018,255
18-01-2018,133
19-01-2018,125
20-01-2018,129
21-01-2018,180
22-01-2018,261
23-01-2018,238
24-01-2018,145
25-01-2018,108
26-01-2018,198
27-01-2018,267
28-01-2018,233
29-01-2018,162
30-01-2018,165
31-01-2018,128
01-02-2018,145
02-02-2018,137
03-02-2018,85
04-02-2018,135
05-02-2018,144
06-02-2018,112
07-02-2018,111
08-02-2018,99
09-02-2018,125
10-02-2018,94
11-02-2018,85
12-02-2018,112
13-02-2018,78
14-02-2018,82
15-02-2018,92
16-02-2018,129
17-02-2018,138
18-02-2018,78
19-02-2018,95
20-02-2018,92
21-02-2018,131
22-02-2018,210
23-02-2018,162
24-02-2018,86
25-02-2018,46
26-02-2018,93
27-02-2018,87
28-02-2018,90
01-03-2018,99
02-03-2018,74
03-03-2018,52
04-03-2018,40
05-03-2018,47
06-03-2018,48
07-03-2018,60
08-03-2018,46
09-03-2018,42
10-03-2018,54
11-03-2018,72
12-03-2018,102
13-03-2018,86
14-03-2018,95
20-03-2018,106
21-03-2018,91
27-03-2018,110
28-03-2018,110
29-03-2018,87
30-03-2018,100
31-03-2018,77
01-04-2018,77
02-04-2018,82
03-04-2018,91
04-04-2018,122
05-04-2018,142
06-04-2018,81
07-04-2018,88
08-04-2018,64
09-04-2018,53
10-04-2018,67
11-04-2018,66
12-04-2018,47
13-04-2018,59
14-04-2018,62
15-04-2018,64
16-04-2018,59
17-04-2018,64
24-04-2018,58
25-04-2018,73
26-04-2018,81
27-04-2018,133
28-04-2018,90
29-04-2018,83
30-04-2018,100
01-05-2018,76
02-05-2018,65
03-05-2018,67
04-05-2018,60
05-05-2018,81
06-05-2018,66
07-05-2018,59
08-05-2018,66
09-05-2018,53
10-05-2018,85
11-05-2018,99
12-05-2018,118
13-05-2018,104
14-05-2018,65
15-05-2018,74
16-05-2018,130
17-05-2018,166
19-05-2018,149
20-05-2018,94
21-05-2018,121
22-05-2018,97
23-05-2018,167
24-05-2018,136
25-05-2018,112
26-05-2018,100
29-05-2018,112
30-05-2018,130
31-05-2018,83
01-06-2018,90
02-06-2018,60
05-06-2018,70
06-06-2018,47
07-06-2018,70
08-06-2018,84
09-06-2018,90
10-06-2018,178
11-06-2018,124
12-06-2018,99
13-06-2018,233
14-06-2018,403
15-06-2018,474
16-06-2018,328
19-06-2018,192
20-06-2018,218
21-06-2018,193
22-06-2018,220
23-06-2018,232
25-06-2018,103
28-06-2018,54
29-06-2018,43
30-06-2018,37
01-07-2018,60
02-07-2018,91
06-07-2018,40
07-07-2018,54
08-07-2018,54
10-07-2018,59
13-07-2018,48
14-07-2018,29
15-07-2018,34
21-07-2018,59
24-07-2018,27
25-07-2018,55
26-07-2018,50
27-07-2018,28
28-07-2018,27
29-07-2018,28
30-07-2018,39
31-07-2018,66
03-08-2018,78
04-08-2018,106
05-08-2018,105
06-08-2018,46
07-08-2018,40
08-08-2018,27
09-08-2018,37
10-08-2018,59
12-08-2018,38
14-08-2018,72
17-08-2018,43
21-08-2018,40
22-08-2018,36
23-08-2018,46
28-08-2018,37
30-08-2018,58
01-09-2018,47
02-09-2018,49
03-09-2018,46
06-09-2018,75
07-09-2018,57
09-09-2018,36
11-09-2018,57
12-09-2018,54
13-09-2018,55
14-09-2018,85
19-09-2018,159
20-09-2018,103
21-09-2018,62
25-09-2018,54
26-09-2018,68
27-09-2018,92
28-09-2018,90
29-09-2018,114
30-09-2018,152
01-10-2018,103
03-10-2018,98
04-10-2018,162
05-10-2018,174
06-10-2018,97
07-10-2018,174
08-10-2018,249
09-10-2018,108
11-10-2018,84
12-10-2018,200
13-10-2018,79
14-10-2018,95
15-10-2018,85
16-10-2018,101
17-10-2018,85
18-10-2018,96
19-10-2018,120
20-10-2018,81
21-10-2018,76
22-10-2018,64
23-10-2018,57
24-10-2018,49
25-10-2018,185
26-10-2018,57
27-10-2018,66
28-10-2018,72
29-10-2018,73
30-10-2018,84
31-10-2018,97
01-11-2018,87
02-11-2018,89
03-11-2018,64
04-11-2018,85
05-11-2018,117
06-11-2018,122
07-11-2018,109
08-11-2018,157
09-11-2018,97
10-11-2018,144
11-11-2018,147
12-11-2018,135
13-11-2018,102
14-11-2018,109
15-11-2018,112
16-11-2018,51
17-11-2018,87
18-11-2018,42
19-11-2018,58
20-11-2018,92
21-11-2018,90
22-11-2018,61
23-11-2018,96
24-11-2018,115
25-11-2018,66
26-11-2018,57
27-11-2018,68
28-11-2018,87
29-11-2018,163
30-11-2018,103
01-12-2018,56
02-12-2018,94
03-12-2018,150
04-12-2018,73
05-12-2018,102
06-12-2018,76
07-12-2018,64
08-12-2018,91
09-12-2018,74
10-12-2018,76
11-12-2018,73
12-12-2018,67
13-12-2018,67
14-12-2018,64
15-12-2018,91
16-12-2018,92
17-12-2018,86
18-12-2018,100
19-12-2018,100
20-12-2018,108
21-12-2018,151
22-12-2018,139
23-12-2018,184
24-12-2018,140
25-12-2018,124
26-12-2018,174
27-12-2018,101
28-12-2018,150
29-12-2018,213
30-12-2018,121
31-12-2018,223
01-01-2019,167
02-01-2019,286
03-01-2019,151
04-01-2019,172
05-01-2019,268
06-01-2019,143
07-01-2019,78
08-01-2019,109
09-01-2019,95
10-01-2019,100
11-01-2019,127
12-01-2019,144
13-01-2019,150
14-01-2019,122
15-01-2019,77
16-01-2019,105
17-01-2019,117
18-01-2019,118
19-01-2019,145
20-01-2019,100
21-01-2019,124
22-01-2019,40
23-01-2019,42
24-01-2019,46
25-01-2019,67
26-01-2019,58
27-01-2019,93
28-01-2019,61
29-01-2019,67
30-01-2019,76
31-01-2019,143
01-02-2019,86
02-02-2019,124
03-02-2019,119
04-02-2019,106
05-02-2019,145
06-02-2019,90
07-02-2019,86
08-02-2019,77
09-02-2019,34
10-02-2019,96
11-02-2019,65
12-02-2019,82
13-02-2019,142
14-02-2019,101
15-02-2019,79
16-02-2019,95
17-02-2019,68
18-02-2019,66
19-02-2019,60
20-02-2019,60
21-02-2019,44
22-02-2019,80
23-02-2019,83
24-02-2019,81
25-02-2019,80
26-02-2019,82
27-02-2019,84
28-02-2019,51
01-03-2019,64
02-03-2019,92
03-03-2019,61
04-03-2019,47
05-03-2019,44
06-03-2019,58
08-03-2019,52
09-03-2019,46
10-03-2019,65
11-03-2019,74
12-03-2019,33
13-03-2019,77
14-03-2019,46
15-03-2019,33
16-03-2019,59
17-03-2019,75
18-03-2019,66
19-03-2019,64
20-03-2019,64
21-03-2019,55
22-03-2019,62
23-03-2019,58
24-03-2019,69
25-03-2019,95
26-03-2019,80
27-03-2019,81
28-03-2019,74
29-03-2019,99
30-03-2019,95
31-03-2019,79
01-04-2019,76
02-04-2019,72
03-04-2019,82
04-04-2019,87
05-04-2019,95
06-04-2019,130
07-04-2019,105
08-04-2019,141
09-04-2019,69
10-04-2019,84
11-04-2019,77
12-04-2019,63
13-04-2019,61
14-04-2019,63
15-04-2019,57
16-04-2019,85
17-04-2019,64
18-04-2019,60
19-04-2019,78
20-04-2019,96
21-04-2019,89
22-04-2019,88
23-04-2019,82
24-04-2019,91
25-04-2019,58
26-04-2019,79
27-04-2019,60
28-04-2019,61
29-04-2019,62
30-04-2019,79
01-05-2019,84
02-05-2019,69
03-05-2019,50
04-05-2019,54
05-05-2019,70
06-05-2019,47
07-05-2019,57
08-05-2019,41
09-05-2019,70
10-05-2019,117
11-05-2019,64
12-05-2019,51
13-05-2019,48
14-05-2019,92
15-05-2019,71
16-05-2019,171
17-05-2019,156
18-05-2019,123
19-05-2019,60
20-05-2019,100
21-05-2019,100
22-05-2019,62
23-05-2019,127
24-05-2019,66
25-05-2019,59
26-05-2019,65
27-05-2019,66
28-05-2019,65
29-05-2019,70
30-05-2019,65
31-05-2019,79
01-06-2019,76
02-06-2019,107
03-06-2019,106
05-06-2019,88
06-06-2019,79
07-06-2019,73
08-06-2019,67
09-06-2019,78
10-06-2019,83
11-06-2019,94
12-06-2019,63
13-06-2019,54
14-06-2019,83
