Date,AQI
10-01-2019,145
11-01-2019,312
12-01-2019,307
15-01-2019,105
16-01-2019,226
17-01-2019,370
18-01-2019,291
19-01-2019,225
20-01-2019,290
22-01-2019,91
23-01-2019,88
24-01-2019,122
25-01-2019,75
28-01-2019,119
29-01-2019,119
02-02-2019,246
03-02-2019,188
04-02-2019,214
05-02-2019,244
07-02-2019,200
09-02-2019,77
10-02-2019,89
11-02-2019,127
12-02-2019,177
13-02-2019,233
14-02-2019,325
15-02-2019,107
16-02-2019,95
17-02-2019,75
18-02-2019,86
19-02-2019,95
20-02-2019,150
21-02-2019,61
22-02-2019,93
23-02-2019,48
24-02-2019,61
25-02-2019,104
26-02-2019,82
27-02-2019,52
28-02-2019,62
01-03-2019,71
02-03-2019,90
03-03-2019,77
04-03-2019,75
05-03-2019,49
06-03-2019,57
07-03-2019,62
08-03-2019,117
09-03-2019,125
10-03-2019,83
11-03-2019,122
12-03-2019,73
13-03-2019,131
14-03-2019,121
15-03-2019,64
16-03-2019,87
17-03-2019,110
18-03-2019,116
19-03-2019,131
20-03-2019,146
21-03-2019,100
22-03-2019,66
23-03-2019,65
24-03-2019,66
25-03-2019,79
26-03-2019,89
27-03-2019,94
28-03-2019,145
29-03-2019,120
30-03-2019,134
31-03-2019,110
01-04-2019,79
02-04-2019,119
03-04-2019,96
04-04-2019,139
05-04-2019,125
06-04-2019,163
07-04-2019,247
08-04-2019,372
09-04-2019,148
10-04-2019,144
13-04-2019,81
14-04-2019,81
15-04-2019,81
19-04-2019,107
20-04-2019,113
21-04-2019,167
22-04-2019,137
23-04-2019,177
24-04-2019,197
25-04-2019,225
26-04-2019,168
27-04-2019,243
29-04-2019,213
30-04-2019,217
02-05-2019,153
04-05-2019,127
05-05-2019,146
06-05-2019,258
07-05-2019,180
08-05-2019,214
09-05-2019,315
10-05-2019,321
11-05-2019,164
12-05-2019,349
13-05-2019,186
16-05-2019,224
17-05-2019,331
18-05-2019,116
19-05-2019,134
20-05-2019,246
21-05-2019,172
22-05-2019,175
23-05-2019,289
24-05-2019,135
25-05-2019,121
26-05-2019,99
27-05-2019,138
28-05-2019,127
29-05-2019,180
30-05-2019,206
31-05-2019,290
01-06-2019,234
02-06-2019,143
03-06-2019,187
04-06-2019,117
05-06-2019,111
06-06-2019,189
08-06-2019,169
09-06-2019,132
10-06-2019,130
11-06-2019,144
12-06-2019,116
13-06-2019,135
14-06-2019,234
15-06-2019,173
18-06-2019,99
19-06-2019,162
20-06-2019,194
21-06-2019,183
22-06-2019,254
23-06-2019,99
24-06-2019,80
25-06-2019,152
26-06-2019,152
27-06-2019,150
28-06-2019,128
29-06-2019,205
30-06-2019,173
01-07-2019,205
02-07-2019,179
03-07-2019,102
04-07-2019,69
05-07-2019,73
06-07-2019,71
07-07-2019,68
08-07-2019,75
09-07-2019,100
10-07-2019,65
11-07-2019,204
12-07-2019,78
13-07-2019,183
14-07-2019,87
15-07-2019,51
16-07-2019,60
17-07-2019,47
18-07-2019,78
19-07-2019,75
20-07-2019,71
21-07-2019,69
22-07-2019,99
23-07-2019,75
24-07-2019,100
25-07-2019,54
26-07-2019,46
27-07-2019,33
28-07-2019,34
29-07-2019,37
30-07-2019,40
31-07-2019,44
01-08-2019,64
02-08-2019,85
03-08-2019,60
04-08-2019,74
05-08-2019,93
06-08-2019,84
07-08-2019,79
08-08-2019,79
09-08-2019,67
10-08-2019,54
11-08-2019,63
12-08-2019,78
13-08-2019,89
14-08-2019,98
15-08-2019,72
16-08-2019,56
17-08-2019,41
18-08-2019,27
19-08-2019,66
20-08-2019,82
21-08-2019,104
23-08-2019,113
24-08-2019,95
27-08-2019,74
28-08-2019,85
29-08-2019,93
30-08-2019,64
31-08-2019,134
01-09-2019,100
03-09-2019,97
04-09-2019,101
05-09-2019,72
06-09-2019,69
07-09-2019,64
08-09-2019,54
09-09-2019,90
10-09-2019,104
11-09-2019,181
12-09-2019,181
13-09-2019,110
14-09-2019,118
15-09-2019,79
16-09-2019,120
17-09-2019,164
18-09-2019,123
19-09-2019,70
20-09-2019,86
21-09-2019,115
22-09-2019,96
23-09-2019,60
24-09-2019,109
25-09-2019,114
26-09-2019,74
27-09-2019,58
28-09-2019,72
29-09-2019,45
30-09-2019,45
02-10-2019,104
03-10-2019,185
04-10-2019,121
06-10-2019,126
07-10-2019,167
08-10-2019,114
09-10-2019,178
10-10-2019,229
11-10-2019,247
12-10-2019,315
13-10-2019,337
14-10-2019,305
15-10-2019,336
16-10-2019,342
17-10-2019,261
18-10-2019,267
19-10-2019,182
20-10-2019,293
22-10-2019,235
23-10-2019,267
24-10-2019,319
25-10-2019,311
26-10-2019,289
27-10-2019,348
28-10-2019,366
29-10-2019,415
30-10-2019,475
31-10-2019,444
01-11-2019,421
02-11-2019,389
03-11-2019,465
04-11-2019,390
05-11-2019,371
06-11-2019,356
07-11-2019,321
08-11-2019,238
09-11-2019,247
10-11-2019,377
11-11-2019,425
12-11-2019,458
13-11-2019,408
14-11-2019,377
15-11-2019,399
16-11-2019,292
17-11-2019,130
18-11-2019,204
19-11-2019,289
20-11-2019,334
21-11-2019,350
22-11-2019,297
23-11-2019,275
24-11-2019,162
25-11-2019,173
26-11-2019,191
27-11-2019,127
28-11-2019,86
29-11-2019,124
30-11-2019,161
01-12-2019,186
02-12-2019,228
03-12-2019,263
04-12-2019,319
05-12-2019,382
06-12-2019,378
07-12-2019,362
08-12-2019,329
09-12-2019,311
10-12-2019,387
11-12-2019,419
12-12-2019,440
13-12-2019,212
14-12-2019,165
15-12-2019,161
16-12-2019,172
17-12-2019,180
18-12-2019,288
19-12-2019,334
20-12-2019,404
21-12-2019,406
22-12-2019,243
23-12-2019,316
24-12-2019,333
25-12-2019,315
26-12-2019,280
27-12-2019,341
28-12-2019,385
29-12-2019,404
30-12-2019,288
31-12-2019,318
01-01-2020,357
02-01-2020,340
03-01-2020,322
04-01-2020,287
06-01-2020,252
07-01-2020,143
08-01-2020,142
09-01-2020,126
10-01-2020,163
11-01-2020,186
12-01-2020,254
13-01-2020,310
14-01-2020,263
15-01-2020,150
16-01-2020,217
17-01-2020,196
18-01-2020,208
19-01-2020,229
20-01-2020,274
21-01-2020,303
22-01-2020,261
23-01-2020,138
24-01-2020,138
25-01-2020,266
26-01-2020,370
27-01-2020,274
28-01-2020,268
29-01-2020,148
30-01-2020,133
31-01-2020,120
01-02-2020,190
02-02-2020,173
03-02-2020,208
04-02-2020,320
05-02-2020,251
06-02-2020,166
07-02-2020,295
08-02-2020,211
09-02-2020,212
10-02-2020,241
11-02-2020,313
12-02-2020,261
13-02-2020,165
14-02-2020,156
15-02-2020,144
16-02-2020,194
17-02-2020,222
18-02-2020,170
19-02-2020,315
20-02-2020,268
21-02-2020,129
22-02-2020,112
23-02-2020,159
24-02-2020,132
25-02-2020,195
26-02-2020,252
27-02-2020,291
28-02-2020,282
29-02-2020,224
01-03-2020,80
02-03-2020,181
03-03-2020,160
04-03-2020,227
05-03-2020,105
06-03-2020,76
07-03-2020,68
08-03-2020,121
09-03-2020,98
11-03-2020,120
12-03-2020,105
13-03-2020,145
14-03-2020,107
15-03-2020,110
16-03-2020,124
17-03-2020,130
18-03-2020,138
19-03-2020,157
20-03-2020,208
21-03-2020,223
22-03-2020,178
23-03-2020,114
24-03-2020,136
25-03-2020,115
26-03-2020,90
27-03-2020,82
28-03-2020,54
30-03-2020,75
31-03-2020,80
02-04-2020,78
03-04-2020,63
04-04-2020,66
05-04-2020,84
06-04-2020,104
07-04-2020,111
08-04-2020,96
09-04-2020,101
10-04-2020,111
11-04-2020,113
12-04-2020,96
13-04-2020,113
14-04-2020,129
15-04-2020,213
16-04-2020,254
17-04-2020,137
18-04-2020,116
19-04-2020,91
20-04-2020,185
21-04-2020,91
22-04-2020,152
23-04-2020,203
24-04-2020,204
25-04-2020,269
28-04-2020,130
29-04-2020,239
30-04-2020,161
02-05-2020,243
03-05-2020,148
04-05-2020,82
05-05-2020,142
06-05-2020,166
08-05-2020,182
09-05-2020,218
10-05-2020,196
12-05-2020,135
13-05-2020,243
14-05-2020,300
16-05-2020,131
17-05-2020,168
18-05-2020,238
19-05-2020,242
20-05-2020,162
21-05-2020,163
22-05-2020,187
25-05-2020,166
28-05-2020,262
29-05-2020,134
30-05-2020,100
31-05-2020,85
01-06-2020,78
03-06-2020,125
04-06-2020,153
05-06-2020,95
06-06-2020,113
07-06-2020,117
08-06-2020,117
09-06-2020,159
10-06-2020,181
11-06-2020,178
12-06-2020,189
13-06-2020,202
14-06-2020,155
15-06-2020,169
16-06-2020,162
17-06-2020,152
18-06-2020,125
19-06-2020,160
20-06-2020,176
21-06-2020,163
22-06-2020,122
23-06-2020,126
24-06-2020,113
25-06-2020,113
26-06-2020,124
27-06-2020,142
28-06-2020,287
29-06-2020,297
30-06-2020,133
01-07-2020,142
02-07-2020,159
03-07-2020,209
04-07-2020,120
07-07-2020,102
09-07-2020,112
10-07-2020,120
12-07-2020,65
13-07-2020,77
14-07-2020,184
15-07-2020,150
16-07-2020,104
17-07-2020,107
18-07-2020,95
19-07-2020,66
20-07-2020,74
22-07-2020,59
23-07-2020,79
24-07-2020,118
25-07-2020,88
26-07-2020,94
28-07-2020,118
29-07-2020,112
30-07-2020,66
31-07-2020,92
01-08-2020,105
02-08-2020,99
03-08-2020,103
04-08-2020,82
06-08-2020,81
07-08-2020,55
08-08-2020,89
10-08-2020,86
11-08-2020,95
12-08-2020,86
13-08-2020,83
14-08-2020,51
15-08-2020,83
16-08-2020,94
17-08-2020,90
18-08-2020,90
19-08-2020,79
20-08-2020,56
21-08-2020,47
22-08-2020,56
23-08-2020,64
24-08-2020,61
25-08-2020,71
26-08-2020,75
27-08-2020,87
28-08-2020,88
29-08-2020,76
30-08-2020,93
31-08-2020,44
02-09-2020,84
03-09-2020,110
04-09-2020,105
05-09-2020,146
06-09-2020,79
07-09-2020,88
08-09-2020,112
09-09-2020,128
10-09-2020,111
11-09-2020,128
12-09-2020,132
13-09-2020,134
14-09-2020,146
15-09-2020,146
16-09-2020,168
17-09-2020,156
18-09-2020,117
19-09-2020,130
20-09-2020,161
21-09-2020,140
22-09-2020,153
23-09-2020,111
24-09-2020,98
25-09-2020,165
26-09-2020,182
27-09-2020,100
28-09-2020,157
29-09-2020,184
30-09-2020,159
02-10-2020,170
03-10-2020,191
04-10-2020,198
05-10-2020,168
06-10-2020,173
07-10-2020,251
08-10-2020,213
09-10-2020,196
10-10-2020,214
11-10-2020,281
12-10-2020,329
13-10-2020,340
14-10-2020,308
15-10-2020,106
16-10-2020,263
17-10-2020,282
18-10-2020,298
19-10-2020,269
20-10-2020,270
21-10-2020,350
22-10-2020,312
23-10-2020,345
24-10-2020,276
25-10-2020,331
26-10-2020,301
27-10-2020,307
28-10-2020,274
29-10-2020,330
30-10-2020,303
31-10-2020,347
01-11-2020,333
02-11-2020,386
03-11-2020,324
04-11-2020,368
05-11-2020,400
06-11-2020,334
07-11-2020,351
08-11-2020,405
09-11-2020,329
10-11-2020,375
11-11-2020,149
12-11-2020,278
13-11-2020,308
14-11-2020,387
15-11-2020,400
16-11-2020,144
17-11-2020,102
18-11-2020,121
19-11-2020,160
20-11-2020,205
21-11-2020,132
22-11-2020,155
23-11-2020,86
24-11-2020,326
25-11-2020,360
26-11-2020,168
27-11-2020,114
28-11-2020,129
29-11-2020,203
30-11-2020,259
02-12-2020,320
03-12-2020,329
06-12-2020,359
07-12-2020,303
10-12-2020,158
11-12-2020,215
12-12-2020,325
13-12-2020,229
14-12-2020,118
15-12-2020,128
16-12-2020,86
17-12-2020,129
18-12-2020,174
19-12-2020,212
20-12-2020,179
21-12-2020,210
22-12-2020,356
23-12-2020,327
24-12-2020,305
25-12-2020,184
27-12-2020,257
28-12-2020,274
29-12-2020,235
30-12-2020,194
31-12-2020,203
11-02-2021,217
12-02-2021,218
13-02-2021,203
14-02-2021,179
15-02-2021,174
16-02-2021,201
17-02-2021,139
18-02-2021,240
19-02-2021,179
20-02-2021,125
21-02-2021,149
22-02-2021,84
23-02-2021,89
24-02-2021,103
28-02-2021,187
01-03-2021,187
02-03-2021,159
03-03-2021,153
04-03-2021,269
05-03-2021,183
06-03-2021,63
07-03-2021,453
08-03-2021,415
09-03-2021,273
11-03-2021,192
12-03-2021,207
13-03-2021,173
14-03-2021,104
15-03-2021,119
16-03-2021,77
17-03-2021,220
18-03-2021,294
19-03-2021,227
20-03-2021,146
21-03-2021,236
22-03-2021,146
23-03-2021,152
24-03-2021,147
25-03-2021,105
26-03-2021,97
27-03-2021,127
28-03-2021,182
29-03-2021,218
30-03-2021,215
31-03-2021,171
01-04-2021,144
02-04-2021,151
03-04-2021,123
04-04-2021,118
05-04-2021,89
06-04-2021,163
07-04-2021,199
08-04-2021,137
09-04-2021,152
11-04-2021,179
12-04-2021,221
13-04-2021,194
14-04-2021,188
15-04-2021,179
16-04-2021,271
17-04-2021,50
18-04-2021,153
19-04-2021,178
20-04-2021,213
21-04-2021,126
22-04-2021,146
23-04-2021,144
24-04-2021,116
25-04-2021,154
26-04-2021,195
27-04-2021,303
28-04-2021,343
29-04-2021,338
30-04-2021,305
01-05-2021,243
02-05-2021,255
03-05-2021,241
04-05-2021,294
05-05-2021,196
06-05-2021,256
07-05-2021,126
08-05-2021,129
09-05-2021,142
11-05-2021,147
12-05-2021,160
13-05-2021,125
14-05-2021,114
15-05-2021,171
16-05-2021,136
17-05-2021,171
18-05-2021,167
19-05-2021,130
20-05-2021,91
21-05-2021,83
22-05-2021,79
23-05-2021,213
24-05-2021,122
25-05-2021,122
26-05-2021,123
27-05-2021,147
28-05-2021,135
29-05-2021,114
30-05-2021,104
31-05-2021,129
01-06-2021,114
02-06-2021,144
03-06-2021,122
04-06-2021,164
05-06-2021,75
06-06-2021,158
07-06-2021,170
08-06-2021,199
09-06-2021,347
10-06-2021,207
11-06-2021,136
12-06-2021,142
13-06-2021,42
15-06-2021,140
16-06-2021,87
17-06-2021,119
18-06-2021,70
19-06-2021,62
20-06-2021,50
21-06-2021,63
22-06-2021,119
23-06-2021,274
24-06-2021,114
25-06-2021,152
26-06-2021,149
27-06-2021,148
28-06-2021,150
29-06-2021,192
30-06-2021,210
02-07-2021,273
03-07-2021,227
04-07-2021,130
05-07-2021,169
06-07-2021,168
07-07-2021,179
08-07-2021,174
09-07-2021,108
10-07-2021,99
11-07-2021,86
12-07-2021,80
13-07-2021,62
14-07-2021,39
15-07-2021,50
16-07-2021,59
17-07-2021,132
18-07-2021,104
19-07-2021,66
20-07-2021,44
21-07-2021,59
22-07-2021,67
23-07-2021,58
24-07-2021,77
25-07-2021,95
26-07-2021,67
27-07-2021,81
28-07-2021,40
29-07-2021,41
30-07-2021,50
31-07-2021,53
01-08-2021,67
02-08-2021,56
03-08-2021,61
04-08-2021,58
05-08-2021,50
06-08-2021,66
07-08-2021,80
08-08-2021,74
09-08-2021,57
11-08-2021,125
12-08-2021,124
13-08-2021,115
14-08-2021,113
15-08-2021,125
16-08-2021,122
18-08-2021,143
19-08-2021,154
20-08-2021,101
21-08-2021,43
22-08-2021,57
23-08-2021,56
24-08-2021,376
25-08-2021,147
26-08-2021,186
27-08-2021,171
28-08-2021,151
29-08-2021,86
30-08-2021,63
31-08-2021,61
02-09-2021,64
03-09-2021,60
04-09-2021,66
05-09-2021,64
06-09-2021,91
07-09-2021,92
08-09-2021,62
09-09-2021,51
12-09-2021,56
13-09-2021,53
14-09-2021,55
17-09-2021,52
18-09-2021,65
19-09-2021,69
20-09-2021,85
21-09-2021,93
