Date,AQI
20-06-2023,112
21-06-2023,96
22-06-2023,96
23-06-2023,75
24-06-2023,93
25-06-2023,103
27-06-2023,67
28-06-2023,304
29-06-2023,44
30-06-2023,57
01-07-2023,35
02-07-2023,30
03-07-2023,29
04-07-2023,33
05-07-2023,33
06-07-2023,33
07-07-2023,36
09-07-2023,62
10-07-2023,68
11-07-2023,67
12-07-2023,50
13-07-2023,58
14-07-2023,44
15-07-2023,51
19-07-2023,24
20-07-2023,49
23-07-2023,43
24-07-2023,39
25-07-2023,37
26-07-2023,36
27-07-2023,36
28-07-2023,38
29-07-2023,36
30-07-2023,44
31-07-2023,62
01-08-2023,46
02-08-2023,53
03-08-2023,53
04-08-2023,62
05-08-2023,63
06-08-2023,42
07-08-2023,46
08-08-2023,65
09-08-2023,56
10-08-2023,74
11-08-2023,49
13-08-2023,49
19-08-2023,44
20-08-2023,37
21-08-2023,70
22-08-2023,52
23-08-2023,45
24-08-2023,51
25-08-2023,41
26-08-2023,43
27-08-2023,41
29-08-2023,76
30-08-2023,83
31-08-2023,92
01-09-2023,94
02-09-2023,251
03-09-2023,79
04-09-2023,59
05-09-2023,84
06-09-2023,74
07-09-2023,37
08-09-2023,46
09-09-2023,57
10-09-2023,59
11-09-2023,56
12-09-2023,63
13-09-2023,68
14-09-2023,61
15-09-2023,45
16-09-2023,44
17-09-2023,81
18-09-2023,43
19-09-2023,46
20-09-2023,35
21-09-2023,36
22-09-2023,33
23-09-2023,37
24-09-2023,34
25-09-2023,48
26-09-2023,50
27-09-2023,45
28-09-2023,91
29-09-2023,57
30-09-2023,51
01-10-2023,72
02-10-2023,86
03-10-2023,158
04-10-2023,106
05-10-2023,67
06-10-2023,95
07-10-2023,78
08-10-2023,113
09-10-2023,132
10-10-2023,111
11-10-2023,129
12-10-2023,153
13-10-2023,194
14-10-2023,195
15-10-2023,200
16-10-2023,212
17-10-2023,128
18-10-2023,92
19-10-2023,117
21-10-2023,147
22-10-2023,136
23-10-2023,127
24-10-2023,126
25-10-2023,121
26-10-2023,132
27-10-2023,132
28-10-2023,171
29-10-2023,143
30-10-2023,123
31-10-2023,199
02-11-2023,139
03-11-2023,189
04-11-2023,210
05-11-2023,265
06-11-2023,168
07-11-2023,160
08-11-2023,170
09-11-2023,153
10-11-2023,177
11-11-2023,190
12-11-2023,264
14-11-2023,236
15-11-2023,228
16-11-2023,262
17-11-2023,158
18-11-2023,131
19-11-2023,121
20-11-2023,110
21-11-2023,116
22-11-2023,116
23-11-2023,124
24-11-2023,103
25-11-2023,90
26-11-2023,113
27-11-2023,86
29-11-2023,58
30-11-2023,84
01-12-2023,54
02-12-2023,82
03-12-2023,95
05-12-2023,90
06-12-2023,64
07-12-2023,44
08-12-2023,61
10-12-2023,129
14-12-2023,185
15-12-2023,184
16-12-2023,198
17-12-2023,111
18-12-2023,125
19-12-2023,122
20-12-2023,95
21-12-2023,106
22-12-2023,185
23-12-2023,196
24-12-2023,186
25-12-2023,136
26-12-2023,199
27-12-2023,216
28-12-2023,177
29-12-2023,124
30-12-2023,108
31-12-2023,121
