Date,AQI
08-02-2018,109
09-02-2018,105
10-02-2018,367
12-02-2018,84
15-02-2018,87
16-02-2018,85
17-02-2018,101
18-02-2018,111
19-02-2018,120
20-02-2018,119
21-02-2018,132
22-02-2018,131
23-02-2018,135
24-02-2018,108
25-02-2018,64
26-02-2018,60
27-02-2018,77
28-02-2018,92
01-03-2018,96
02-03-2018,82
03-03-2018,51
04-03-2018,55
05-03-2018,64
06-03-2018,68
07-03-2018,74
08-03-2018,79
09-03-2018,76
10-03-2018,66
11-03-2018,74
12-03-2018,83
14-03-2018,99
15-03-2018,134
16-03-2018,116
17-03-2018,80
18-03-2018,72
19-03-2018,83
20-03-2018,88
21-03-2018,65
22-03-2018,50
23-03-2018,70
24-03-2018,86
25-03-2018,84
26-03-2018,84
27-03-2018,110
28-03-2018,100
29-03-2018,92
30-03-2018,110
31-03-2018,113
01-04-2018,96
02-04-2018,94
03-04-2018,102
04-04-2018,107
05-04-2018,111
07-04-2018,95
08-04-2018,83
09-04-2018,61
10-04-2018,63
11-04-2018,70
12-04-2018,49
13-04-2018,65
14-04-2018,80
15-04-2018,157
16-04-2018,94
17-04-2018,74
18-04-2018,78
19-04-2018,108
20-04-2018,111
21-04-2018,108
22-04-2018,92
23-04-2018,102
24-04-2018,103
25-04-2018,104
26-04-2018,119
27-04-2018,146
28-04-2018,126
29-04-2018,136
30-04-2018,131
01-05-2018,111
02-05-2018,107
03-05-2018,84
04-05-2018,89
06-05-2018,164
07-05-2018,114
08-05-2018,100
09-05-2018,80
10-05-2018,118
11-05-2018,198
12-05-2018,229
14-05-2018,73
16-05-2018,142
17-05-2018,211
18-05-2018,208
19-05-2018,166
20-05-2018,145
21-05-2018,133
22-05-2018,137
23-05-2018,150
25-05-2018,148
26-05-2018,154
27-05-2018,118
28-05-2018,102
29-05-2018,93
30-05-2018,115
31-05-2018,107
01-06-2018,126
02-06-2018,102
03-06-2018,77
05-06-2018,80
07-06-2018,53
08-06-2018,97
09-06-2018,69
10-06-2018,79
11-06-2018,76
12-06-2018,80
13-06-2018,80
15-06-2018,403
16-06-2018,281
18-06-2018,137
19-06-2018,111
20-06-2018,117
21-06-2018,136
22-06-2018,116
23-06-2018,79
24-06-2018,49
25-06-2018,65
26-06-2018,63
27-06-2018,53
28-06-2018,45
29-06-2018,40
30-06-2018,38
01-07-2018,45
02-07-2018,44
03-07-2018,40
04-07-2018,38
05-07-2018,43
06-07-2018,60
07-07-2018,63
08-07-2018,62
09-07-2018,74
10-07-2018,68
11-07-2018,46
12-07-2018,45
13-07-2018,45
14-07-2018,36
15-07-2018,36
16-07-2018,33
17-07-2018,33
18-07-2018,45
19-07-2018,35
20-07-2018,43
21-07-2018,41
22-07-2018,36
23-07-2018,43
24-07-2018,38
26-07-2018,31
27-07-2018,36
28-07-2018,32
29-07-2018,43
30-07-2018,46
31-07-2018,49
01-08-2018,59
02-08-2018,124
03-08-2018,92
04-08-2018,85
05-08-2018,67
06-08-2018,46
07-08-2018,36
08-08-2018,40
09-08-2018,36
10-08-2018,46
11-08-2018,54
12-08-2018,38
13-08-2018,41
14-08-2018,42
15-08-2018,40
16-08-2018,39
17-08-2018,42
19-08-2018,39
20-08-2018,40
21-08-2018,30
22-08-2018,40
23-08-2018,70
24-08-2018,70
25-08-2018,70
26-08-2018,70
27-08-2018,70
28-08-2018,70
29-08-2018,70
30-08-2018,70
31-08-2018,70
01-09-2018,70
02-09-2018,70
03-09-2018,70
04-09-2018,70
05-09-2018,79
06-09-2018,80
07-09-2018,80
08-09-2018,80
09-09-2018,80
10-09-2018,80
11-09-2018,80
