Date,AQI
18-09-2015,107
19-09-2015,136
22-09-2015,93
23-09-2015,102
25-09-2015,136
26-09-2015,153
28-09-2015,163
29-09-2015,221
01-10-2015,247
03-10-2015,165
06-10-2015,258
07-10-2015,239
08-10-2015,258
17-10-2015,177
21-10-2015,210
23-10-2015,301
27-10-2015,284
30-10-2015,117
31-10-2015,197
04-11-2015,266
05-11-2015,271
06-11-2015,313
07-11-2015,366
09-11-2015,342
10-11-2015,375
11-11-2015,360
12-11-2015,386
13-11-2015,359
14-11-2015,384
21-11-2015,425
24-11-2015,439
25-11-2015,405
26-11-2015,401
01-12-2015,396
02-12-2015,403
03-12-2015,245
05-12-2015,410
07-12-2015,338
09-12-2015,335
11-12-2015,340
12-12-2015,383
14-12-2015,378
15-12-2015,336
16-12-2015,405
17-12-2015,402
19-12-2015,406
23-12-2015,415
24-12-2015,421
26-12-2015,357
01-01-2016,488
02-01-2016,466
04-01-2016,424
05-01-2016,439
06-01-2016,453
07-01-2016,434
09-01-2016,379
10-01-2016,297
11-01-2016,347
12-01-2016,404
13-01-2016,429
14-01-2016,440
15-01-2016,443
16-01-2016,370
18-01-2016,368
20-01-2016,348
21-01-2016,362
22-01-2016,331
23-01-2016,349
25-01-2016,421
27-01-2016,384
30-01-2016,441
01-02-2016,426
03-02-2016,285
04-02-2016,273
12-02-2016,342
15-02-2016,327
18-02-2016,287
20-02-2016,270
23-02-2016,178
25-02-2016,294
26-02-2016,269
27-02-2016,233
29-02-2016,290
02-03-2016,281
03-03-2016,321
05-03-2016,364
08-03-2016,123
09-03-2016,186
12-03-2016,155
14-03-2016,116
15-03-2016,150
22-03-2016,83
28-03-2016,192
29-03-2016,159
31-03-2016,246
01-04-2016,246
03-04-2016,170
04-04-2016,186
05-04-2016,225
07-04-2016,115
08-04-2016,118
09-04-2016,133
11-04-2016,126
12-04-2016,112
13-04-2016,84
14-04-2016,137
16-04-2016,167
20-04-2016,182
21-04-2016,128
22-04-2016,126
23-04-2016,157
27-04-2016,222
29-04-2016,233
30-04-2016,189
02-05-2016,199
03-05-2016,134
04-05-2016,143
05-05-2016,115
06-05-2016,260
07-05-2016,188
11-05-2016,111
12-05-2016,114
13-05-2016,125
14-05-2016,115
16-05-2016,120
18-05-2016,105
19-05-2016,80
20-05-2016,64
23-05-2016,97
24-05-2016,110
28-05-2016,251
02-06-2016,147
09-06-2016,144
20-06-2016,82
21-06-2016,84
22-06-2016,67
23-06-2016,111
24-06-2016,104
27-06-2016,132
28-06-2016,99
29-06-2016,73
02-07-2016,66
05-07-2016,60
06-07-2016,71
07-07-2016,80
10-07-2016,62
11-07-2016,63
12-07-2016,54
14-07-2016,118
15-07-2016,76
18-07-2016,50
19-07-2016,80
20-07-2016,78
25-07-2016,77
26-07-2016,79
27-07-2016,63
28-07-2016,114
29-07-2016,83
30-07-2016,98
01-08-2016,85
02-08-2016,137
03-08-2016,48
04-08-2016,47
05-08-2016,70
06-08-2016,70
07-08-2016,41
08-08-2016,48
09-08-2016,74
10-08-2016,101
11-08-2016,59
12-08-2016,53
13-08-2016,58
14-08-2016,105
15-08-2016,106
16-08-2016,52
17-08-2016,55
18-08-2016,43
19-08-2016,57
20-08-2016,97
21-08-2016,84
22-08-2016,48
23-08-2016,58
24-08-2016,121
25-08-2016,178
26-08-2016,132
31-08-2016,91
01-09-2016,63
02-09-2016,69
03-09-2016,42
05-09-2016,152
06-09-2016,98
07-09-2016,86
08-09-2016,88
09-09-2016,83
10-09-2016,116
11-09-2016,116
12-09-2016,62
13-09-2016,64
14-09-2016,65
15-09-2016,102
16-09-2016,120
17-09-2016,72
18-09-2016,83
21-09-2016,90
22-09-2016,52
23-09-2016,82
24-09-2016,69
27-09-2016,83
28-09-2016,92
29-09-2016,62
30-09-2016,102
03-10-2016,226
04-10-2016,196
05-10-2016,192
06-10-2016,140
07-10-2016,127
08-10-2016,111
12-10-2016,212
13-10-2016,210
14-10-2016,162
15-10-2016,220
20-10-2016,253
21-10-2016,254
22-10-2016,265
23-10-2016,277
24-10-2016,274
25-10-2016,346
26-10-2016,337
27-10-2016,324
28-10-2016,309
30-10-2016,369
31-10-2016,381
01-11-2016,315
02-11-2016,287
03-11-2016,283
04-11-2016,246
07-11-2016,323
11-11-2016,344
13-11-2016,362
14-11-2016,316
15-11-2016,297
16-11-2016,309
17-11-2016,329
18-11-2016,368
20-11-2016,404
21-11-2016,404
22-11-2016,403
24-11-2016,399
25-11-2016,393
26-11-2016,392
28-11-2016,452
29-11-2016,476
01-12-2016,377
03-12-2016,400
05-12-2016,382
06-12-2016,390
07-12-2016,372
08-12-2016,347
09-12-2016,322
10-12-2016,364
11-12-2016,322
15-12-2016,385
20-12-2016,356
21-12-2016,440
22-12-2016,455
23-12-2016,448
26-12-2016,421
27-12-2016,370
28-12-2016,334
29-12-2016,376
30-12-2016,382
31-12-2016,335
03-01-2017,386
04-01-2017,344
05-01-2017,311
