Date,AQI
16-05-2023,68
17-05-2023,71
18-05-2023,94
19-05-2023,124
20-05-2023,98
21-05-2023,97
22-05-2023,98
23-05-2023,114
24-05-2023,102
25-05-2023,88
26-05-2023,71
27-05-2023,74
28-05-2023,79
29-05-2023,78
30-05-2023,104
31-05-2023,102
01-06-2023,130
02-06-2023,166
03-06-2023,76
04-06-2023,70
05-06-2023,77
06-06-2023,69
07-06-2023,74
08-06-2023,64
09-06-2023,44
10-06-2023,46
11-06-2023,55
12-06-2023,62
13-06-2023,86
14-06-2023,55
15-06-2023,52
16-06-2023,77
17-06-2023,73
18-06-2023,82
19-06-2023,92
20-06-2023,130
21-06-2023,67
22-06-2023,87
23-06-2023,74
24-06-2023,45
25-06-2023,33
26-06-2023,38
27-06-2023,41
28-06-2023,41
29-06-2023,35
30-06-2023,39
01-07-2023,35
02-07-2023,39
03-07-2023,41
04-07-2023,35
05-07-2023,39
06-07-2023,44
07-07-2023,42
08-07-2023,42
09-07-2023,45
10-07-2023,47
11-07-2023,45
12-07-2023,52
13-07-2023,60
14-07-2023,48
15-07-2023,35
16-07-2023,42
17-07-2023,39
18-07-2023,32
19-07-2023,39
20-07-2023,36
21-07-2023,43
22-07-2023,34
23-07-2023,36
24-07-2023,35
25-07-2023,34
26-07-2023,58
27-07-2023,28
28-07-2023,30
29-07-2023,33
30-07-2023,38
31-07-2023,43
01-08-2023,37
02-08-2023,41
03-08-2023,43
04-08-2023,46
05-08-2023,44
06-08-2023,55
07-08-2023,56
08-08-2023,69
09-08-2023,68
10-08-2023,64
11-08-2023,53
12-08-2023,60
13-08-2023,50
14-08-2023,48
15-08-2023,41
16-08-2023,38
17-08-2023,42
18-08-2023,45
19-08-2023,45
20-08-2023,38
21-08-2023,44
22-08-2023,47
23-08-2023,39
24-08-2023,46
25-08-2023,36
26-08-2023,37
27-08-2023,28
28-08-2023,23
29-08-2023,46
30-08-2023,63
31-08-2023,77
01-09-2023,85
02-09-2023,64
03-09-2023,54
04-09-2023,57
05-09-2023,69
06-09-2023,63
07-09-2023,49
08-09-2023,39
09-09-2023,38
10-09-2023,49
11-09-2023,46
12-09-2023,55
13-09-2023,58
14-09-2023,48
15-09-2023,58
16-09-2023,61
17-09-2023,38
18-09-2023,42
19-09-2023,48
20-09-2023,41
21-09-2023,37
22-09-2023,27
23-09-2023,33
24-09-2023,33
25-09-2023,41
26-09-2023,48
27-09-2023,51
28-09-2023,56
29-09-2023,57
30-09-2023,48
01-10-2023,56
02-10-2023,76
03-10-2023,79
04-10-2023,92
05-10-2023,93
06-10-2023,106
07-10-2023,98
08-10-2023,118
09-10-2023,111
10-10-2023,128
11-10-2023,95
12-10-2023,99
13-10-2023,148
14-10-2023,157
15-10-2023,126
16-10-2023,161
17-10-2023,171
18-10-2023,175
19-10-2023,155
20-10-2023,122
21-10-2023,208
22-10-2023,138
23-10-2023,172
24-10-2023,137
25-10-2023,122
26-10-2023,161
27-10-2023,184
28-10-2023,187
