Date,AQI
25-11-2017,203
26-11-2017,253
27-11-2017,295
28-11-2017,170
29-11-2017,186
30-11-2017,243
01-12-2017,191
02-12-2017,226
03-12-2017,225
04-12-2017,208
05-12-2017,196
06-12-2017,229
07-12-2017,308
08-12-2017,310
09-12-2017,177
10-12-2017,113
11-12-2017,116
12-12-2017,161
13-12-2017,146
14-12-2017,200
15-12-2017,251
16-12-2017,252
17-12-2017,153
18-12-2017,114
19-12-2017,103
20-12-2017,119
21-12-2017,220
22-12-2017,259
23-12-2017,260
24-12-2017,189
25-12-2017,150
26-12-2017,130
27-12-2017,172
28-12-2017,151
29-12-2017,185
30-12-2017,253
31-12-2017,234
01-01-2018,230
02-01-2018,230
03-01-2018,220
04-01-2018,165
05-01-2018,192
06-01-2018,134
07-01-2018,122
08-01-2018,163
09-01-2018,166
10-01-2018,161
11-01-2018,175
12-01-2018,198
13-01-2018,125
14-01-2018,156
15-01-2018,129
16-01-2018,120
17-01-2018,94
18-01-2018,80
19-01-2018,295
20-01-2018,116
21-01-2018,119
22-01-2018,162
23-01-2018,128
24-01-2018,224
25-01-2018,185
26-01-2018,155
27-01-2018,158
28-01-2018,173
29-01-2018,186
30-01-2018,139
31-01-2018,109
01-02-2018,113
02-02-2018,121
03-02-2018,119
04-02-2018,139
05-02-2018,181
06-02-2018,142
07-02-2018,152
08-02-2018,151
09-02-2018,113
10-02-2018,135
11-02-2018,112
12-02-2018,126
13-02-2018,120
14-02-2018,118
15-02-2018,168
16-02-2018,165
17-02-2018,142
18-02-2018,159
19-02-2018,161
20-02-2018,167
21-02-2018,128
22-02-2018,170
23-02-2018,173
24-02-2018,164
25-02-2018,170
26-02-2018,126
27-02-2018,121
28-02-2018,116
01-03-2018,137
02-03-2018,152
03-03-2018,104
04-03-2018,113
05-03-2018,111
06-03-2018,106
07-03-2018,105
08-03-2018,129
09-03-2018,112
10-03-2018,191
11-03-2018,109
12-03-2018,89
13-03-2018,126
14-03-2018,137
15-03-2018,136
16-03-2018,147
17-03-2018,129
18-03-2018,131
19-03-2018,138
20-03-2018,123
21-03-2018,120
22-03-2018,147
23-03-2018,140
24-03-2018,116
25-03-2018,111
26-03-2018,129
27-03-2018,143
28-03-2018,139
29-03-2018,142
30-03-2018,159
31-03-2018,156
01-04-2018,147
02-04-2018,151
03-04-2018,152
04-04-2018,132
05-04-2018,155
06-04-2018,168
07-04-2018,178
08-04-2018,138
09-04-2018,160
10-04-2018,156
11-04-2018,138
12-04-2018,142
13-04-2018,161
14-04-2018,150
15-04-2018,140
16-04-2018,133
17-04-2018,124
18-04-2018,127
19-04-2018,149
20-04-2018,155
21-04-2018,146
22-04-2018,162
23-04-2018,160
24-04-2018,123
25-04-2018,123
26-04-2018,110
27-04-2018,125
28-04-2018,123
29-04-2018,133
30-04-2018,134
01-05-2018,145
02-05-2018,142
03-05-2018,120
04-05-2018,130
05-05-2018,159
06-05-2018,156
07-05-2018,128
08-05-2018,135
09-05-2018,158
10-05-2018,144
11-05-2018,141
12-05-2018,130
13-05-2018,129
14-05-2018,145
15-05-2018,166
16-05-2018,193
17-05-2018,203
18-05-2018,202
19-05-2018,196
20-05-2018,207
21-05-2018,175
22-05-2018,180
23-05-2018,158
24-05-2018,184
25-05-2018,163
26-05-2018,123
27-05-2018,147
28-05-2018,156
29-05-2018,165
30-05-2018,126
31-05-2018,173
01-06-2018,173
02-06-2018,144
03-06-2018,121
04-06-2018,137
05-06-2018,127
06-06-2018,105
07-06-2018,114
08-06-2018,229
09-06-2018,145
10-06-2018,117
11-06-2018,146
12-06-2018,146
13-06-2018,159
14-06-2018,199
15-06-2018,183
16-06-2018,126
17-06-2018,114
18-06-2018,88
19-06-2018,108
20-06-2018,92
21-06-2018,99
22-06-2018,83
23-06-2018,67
24-06-2018,78
25-06-2018,65
26-06-2018,44
27-06-2018,100
28-06-2018,83
29-06-2018,88
30-06-2018,186
01-07-2018,83
02-07-2018,83
03-07-2018,52
04-07-2018,29
05-07-2018,52
06-07-2018,117
07-07-2018,112
08-07-2018,77
09-07-2018,112
10-07-2018,72
11-07-2018,53
12-07-2018,35
13-07-2018,33
14-07-2018,33
15-07-2018,56
16-07-2018,45
17-07-2018,29
18-07-2018,32
19-07-2018,25
20-07-2018,28
21-07-2018,30
22-07-2018,53
23-07-2018,73
24-07-2018,77
25-07-2018,60
29-07-2018,89
30-07-2018,78
31-07-2018,104
01-08-2018,166
02-08-2018,185
03-08-2018,116
04-08-2018,103
05-08-2018,120
06-08-2018,104
07-08-2018,89
08-08-2018,71
09-08-2018,80
10-08-2018,62
11-08-2018,56
12-08-2018,45
13-08-2018,41
14-08-2018,94
15-08-2018,124
16-08-2018,44
17-08-2018,35
18-08-2018,27
19-08-2018,56
20-08-2018,32
21-08-2018,27
22-08-2018,22
23-08-2018,41
24-08-2018,44
25-08-2018,48
26-08-2018,46
27-08-2018,59
28-08-2018,112
29-08-2018,100
30-08-2018,64
31-08-2018,71
01-09-2018,65
02-09-2018,53
03-09-2018,45
04-09-2018,45
05-09-2018,96
06-09-2018,109
07-09-2018,88
08-09-2018,70
09-09-2018,72
10-09-2018,67
11-09-2018,90
12-09-2018,86
13-09-2018,87
14-09-2018,81
15-09-2018,86
16-09-2018,71
17-09-2018,77
18-09-2018,107
19-09-2018,103
20-09-2018,118
21-09-2018,271
22-09-2018,56
23-09-2018,55
24-09-2018,67
25-09-2018,121
26-09-2018,122
27-09-2018,117
28-09-2018,139
29-09-2018,119
30-09-2018,124
01-10-2018,130
02-10-2018,133
03-10-2018,115
04-10-2018,163
05-10-2018,116
06-10-2018,124
07-10-2018,127
08-10-2018,122
09-10-2018,118
10-10-2018,159
11-10-2018,130
12-10-2018,178
13-10-2018,144
14-10-2018,156
15-10-2018,174
16-10-2018,167
17-10-2018,179
18-10-2018,150
19-10-2018,138
20-10-2018,136
21-10-2018,140
22-10-2018,121
23-10-2018,128
24-10-2018,123
25-10-2018,109
26-10-2018,140
27-10-2018,146
28-10-2018,133
29-10-2018,158
30-10-2018,140
31-10-2018,126
01-11-2018,134
02-11-2018,123
03-11-2018,129
04-11-2018,122
05-11-2018,161
06-11-2018,135
07-11-2018,185
08-11-2018,295
09-11-2018,198
10-11-2018,169
11-11-2018,172
12-11-2018,163
13-11-2018,127
14-11-2018,138
15-11-2018,150
16-11-2018,138
17-11-2018,154
18-11-2018,152
19-11-2018,116
20-11-2018,123
21-11-2018,160
22-11-2018,161
23-11-2018,149
24-11-2018,166
25-11-2018,166
26-11-2018,144
27-11-2018,142
28-11-2018,126
29-11-2018,178
30-11-2018,224
01-12-2018,241
02-12-2018,171
03-12-2018,198
04-12-2018,270
05-12-2018,223
06-12-2018,229
07-12-2018,197
08-12-2018,150
09-12-2018,193
10-12-2018,152
11-12-2018,134
12-12-2018,125
13-12-2018,146
14-12-2018,175
15-12-2018,198
16-12-2018,185
17-12-2018,120
18-12-2018,224
19-12-2018,253
20-12-2018,198
21-12-2018,116
22-12-2018,109
23-12-2018,110
24-12-2018,105
25-12-2018,114
26-12-2018,161
27-12-2018,135
28-12-2018,135
29-12-2018,119
30-12-2018,110
31-12-2018,92
01-01-2019,97
02-01-2019,108
03-01-2019,151
04-01-2019,127
05-01-2019,131
06-01-2019,159
07-01-2019,243
08-01-2019,305
09-01-2019,225
10-01-2019,185
11-01-2019,148
12-01-2019,136
13-01-2019,197
14-01-2019,159
15-01-2019,179
16-01-2019,116
17-01-2019,112
18-01-2019,122
19-01-2019,120
20-01-2019,85
21-01-2019,112
22-01-2019,154
23-01-2019,133
24-01-2019,140
25-01-2019,205
26-01-2019,152
27-01-2019,101
29-01-2019,128
30-01-2019,114
31-01-2019,95
01-02-2019,128
02-02-2019,161
03-02-2019,201
04-02-2019,170
05-02-2019,118
06-02-2019,173
07-02-2019,139
08-02-2019,208
09-02-2019,182
10-02-2019,118
11-02-2019,115
12-02-2019,131
13-02-2019,138
14-02-2019,144
15-02-2019,127
16-02-2019,120
17-02-2019,110
18-02-2019,123
19-02-2019,122
20-02-2019,120
21-02-2019,139
22-02-2019,110
23-02-2019,101
24-02-2019,125
25-02-2019,139
26-02-2019,164
27-02-2019,147
28-02-2019,125
01-03-2019,110
02-03-2019,112
03-03-2019,139
04-03-2019,177
05-03-2019,132
06-03-2019,116
07-03-2019,108
08-03-2019,114
09-03-2019,157
10-03-2019,138
11-03-2019,180
12-03-2019,131
13-03-2019,132
15-03-2019,132
16-03-2019,122
17-03-2019,126
18-03-2019,116
19-03-2019,117
20-03-2019,148
21-03-2019,106
22-03-2019,83
23-03-2019,118
24-03-2019,126
25-03-2019,156
26-03-2019,134
27-03-2019,126
28-03-2019,134
29-03-2019,147
30-03-2019,150
31-03-2019,172
01-04-2019,145
02-04-2019,136
03-04-2019,152
04-04-2019,139
05-04-2019,161
06-04-2019,138
07-04-2019,139
08-04-2019,155
09-04-2019,121
10-04-2019,150
11-04-2019,125
12-04-2019,125
13-04-2019,119
14-04-2019,123
15-04-2019,166
16-04-2019,127
17-04-2019,88
18-04-2019,123
19-04-2019,118
20-04-2019,100
21-04-2019,103
22-04-2019,108
23-04-2019,112
24-04-2019,121
25-04-2019,128
26-04-2019,122
27-04-2019,125
28-04-2019,139
29-04-2019,132
30-04-2019,152
01-05-2019,211
02-05-2019,245
03-05-2019,178
04-05-2019,145
05-05-2019,137
06-05-2019,125
07-05-2019,130
08-05-2019,127
09-05-2019,110
10-05-2019,92
11-05-2019,122
12-05-2019,221
13-05-2019,138
14-05-2019,166
15-05-2019,132
16-05-2019,123
17-05-2019,144
18-05-2019,156
19-05-2019,135
20-05-2019,121
21-05-2019,42
22-05-2019,124
23-05-2019,127
24-05-2019,153
25-05-2019,143
26-05-2019,138
27-05-2019,139
28-05-2019,149
29-05-2019,173
30-05-2019,173
31-05-2019,139
01-06-2019,134
02-06-2019,148
03-06-2019,146
04-06-2019,138
05-06-2019,166
06-06-2019,148
07-06-2019,150
08-06-2019,154
09-06-2019,141
10-06-2019,173
11-06-2019,116
12-06-2019,116
13-06-2019,87
14-06-2019,95
15-06-2019,97
16-06-2019,87
17-06-2019,88
18-06-2019,94
19-06-2019,64
20-06-2019,107
21-06-2019,102
22-06-2019,78
23-06-2019,80
24-06-2019,85
25-06-2019,48
26-06-2019,90
27-06-2019,85
28-06-2019,75
29-06-2019,66
30-06-2019,52
01-07-2019,29
02-07-2019,69
03-07-2019,50
04-07-2019,36
05-07-2019,34
06-07-2019,28
07-07-2019,34
08-07-2019,65
09-07-2019,61
10-07-2019,57
11-07-2019,89
12-07-2019,71
13-07-2019,73
14-07-2019,69
15-07-2019,83
16-07-2019,86
17-07-2019,89
18-07-2019,89
19-07-2019,90
20-07-2019,75
21-07-2019,59
22-07-2019,66
23-07-2019,38
24-07-2019,66
25-07-2019,49
26-07-2019,52
27-07-2019,61
28-07-2019,67
29-07-2019,56
30-07-2019,36
31-07-2019,16
01-08-2019,15
02-08-2019,46
03-08-2019,41
04-08-2019,28
05-08-2019,32
06-08-2019,63
07-08-2019,56
08-08-2019,42
09-08-2019,26
10-08-2019,25
11-08-2019,42
12-08-2019,69
13-08-2019,107
14-08-2019,81
15-08-2019,47
16-08-2019,31
17-08-2019,36
18-08-2019,55
19-08-2019,73
20-08-2019,77
21-08-2019,89
22-08-2019,99
23-08-2019,97
24-08-2019,101
25-08-2019,51
26-08-2019,42
27-08-2019,26
28-08-2019,30
29-08-2019,56
30-08-2019,74
31-08-2019,69
01-09-2019,58
02-09-2019,46
03-09-2019,55
04-09-2019,66
05-09-2019,57
06-09-2019,50
07-09-2019,42
08-09-2019,43
09-09-2019,32
10-09-2019,33
11-09-2019,54
12-09-2019,51
13-09-2019,39
14-09-2019,34
15-09-2019,36
16-09-2019,59
17-09-2019,64
18-09-2019,74
19-09-2019,58
20-09-2019,71
21-09-2019,38
22-09-2019,45
23-09-2019,74
24-09-2019,62
25-09-2019,73
26-09-2019,68
27-09-2019,54
28-09-2019,28
29-09-2019,35
30-09-2019,41
01-10-2019,29
02-10-2019,63
03-10-2019,70
04-10-2019,86
05-10-2019,91
06-10-2019,80
07-10-2019,75
08-10-2019,85
09-10-2019,120
10-10-2019,137
11-10-2019,93
12-10-2019,129
13-10-2019,120
14-10-2019,136
15-10-2019,161
16-10-2019,147
17-10-2019,161
18-10-2019,122
19-10-2019,149
20-10-2019,114
21-10-2019,199
22-10-2019,96
23-10-2019,86
24-10-2019,94
25-10-2019,147
26-10-2019,107
27-10-2019,60
28-10-2019,59
29-10-2019,26
30-10-2019,62
31-10-2019,71
01-11-2019,91
02-11-2019,85
03-11-2019,64
04-11-2019,71
05-11-2019,80
06-11-2019,113
07-11-2019,101
08-11-2019,81
09-11-2019,97
10-11-2019,210
11-11-2019,135
12-11-2019,136
13-11-2019,110
14-11-2019,145
15-11-2019,135
16-11-2019,142
17-11-2019,212
18-11-2019,103
19-11-2019,125
20-11-2019,170
21-11-2019,120
22-11-2019,126
23-11-2019,138
24-11-2019,164
25-11-2019,197
26-11-2019,175
27-11-2019,156
28-11-2019,133
29-11-2019,122
30-11-2019,137
01-12-2019,132
02-12-2019,223
03-12-2019,250
04-12-2019,116
05-12-2019,113
06-12-2019,113
07-12-2019,177
08-12-2019,257
09-12-2019,256
10-12-2019,231
11-12-2019,231
12-12-2019,204
13-12-2019,138
14-12-2019,86
15-12-2019,114
16-12-2019,136
17-12-2019,169
18-12-2019,170
19-12-2019,176
20-12-2019,162
21-12-2019,170
22-12-2019,158
23-12-2019,146
24-12-2019,136
25-12-2019,242
26-12-2019,247
27-12-2019,100
28-12-2019,102
29-12-2019,91
30-12-2019,103
31-12-2019,120
01-01-2020,207
02-01-2020,219
03-01-2020,123
04-01-2020,242
05-01-2020,143
06-01-2020,88
07-01-2020,97
08-01-2020,112
09-01-2020,138
10-01-2020,119
11-01-2020,104
12-01-2020,108
13-01-2020,113
14-01-2020,114
15-01-2020,122
16-01-2020,113
17-01-2020,144
18-01-2020,197
19-01-2020,126
20-01-2020,101
21-01-2020,134
22-01-2020,182
23-01-2020,140
24-01-2020,109
25-01-2020,135
26-01-2020,100
27-01-2020,82
28-01-2020,130
29-01-2020,140
30-01-2020,113
31-01-2020,102
01-02-2020,124
02-02-2020,103
03-02-2020,84
04-02-2020,118
05-02-2020,117
06-02-2020,125
07-02-2020,127
08-02-2020,115
09-02-2020,105
10-02-2020,85
11-02-2020,121
12-02-2020,141
13-02-2020,124
14-02-2020,107
15-02-2020,124
16-02-2020,112
17-02-2020,90
18-02-2020,98
19-02-2020,82
20-02-2020,118
21-02-2020,142
22-02-2020,139
23-02-2020,133
24-02-2020,121
25-02-2020,115
26-02-2020,120
27-02-2020,124
28-02-2020,133
29-02-2020,114
01-03-2020,132
02-03-2020,103
03-03-2020,135
04-03-2020,143
05-03-2020,132
06-03-2020,148
07-03-2020,134
08-03-2020,111
09-03-2020,110
10-03-2020,115
11-03-2020,110
12-03-2020,108
13-03-2020,106
14-03-2020,136
15-03-2020,133
16-03-2020,116
17-03-2020,119
18-03-2020,124
19-03-2020,122
20-03-2020,134
21-03-2020,121
22-03-2020,122
23-03-2020,112
24-03-2020,112
25-03-2020,96
26-03-2020,84
27-03-2020,49
28-03-2020,54
29-03-2020,56
30-03-2020,56
31-03-2020,69
01-04-2020,80
02-04-2020,94
03-04-2020,79
04-04-2020,83
05-04-2020,78
06-04-2020,103
07-04-2020,114
08-04-2020,111
09-04-2020,126
10-04-2020,124
11-04-2020,162
12-04-2020,134
13-04-2020,133
14-04-2020,132
15-04-2020,134
16-04-2020,112
17-04-2020,111
18-04-2020,111
19-04-2020,107
20-04-2020,103
21-04-2020,116
22-04-2020,125
23-04-2020,118
24-04-2020,94
25-04-2020,112
26-04-2020,120
27-04-2020,112
28-04-2020,85
29-04-2020,88
30-04-2020,106
01-05-2020,119
02-05-2020,108
03-05-2020,108
04-05-2020,129
05-05-2020,108
06-05-2020,143
07-05-2020,88
08-05-2020,122
09-05-2020,114
10-05-2020,94
11-05-2020,92
12-05-2020,95
13-05-2020,106
14-05-2020,99
15-05-2020,109
16-05-2020,128
17-05-2020,119
18-05-2020,166
19-05-2020,163
20-05-2020,138
21-05-2020,126
22-05-2020,134
23-05-2020,127
25-05-2020,114
26-05-2020,107
27-05-2020,116
28-05-2020,107
29-05-2020,94
30-05-2020,102
31-05-2020,119
01-06-2020,132
02-06-2020,72
03-06-2020,60
04-06-2020,31
05-06-2020,56
06-06-2020,59
07-06-2020,69
08-06-2020,66
09-06-2020,63
10-06-2020,74
11-06-2020,55
12-06-2020,56
13-06-2020,54
14-06-2020,55
15-06-2020,44
16-06-2020,62
17-06-2020,54
18-06-2020,45
19-06-2020,51
21-06-2020,78
22-06-2020,67
23-06-2020,69
24-06-2020,45
25-06-2020,43
26-06-2020,55
27-06-2020,38
28-06-2020,43
29-06-2020,64
