Date,AQI
13-03-2023,85
14-03-2023,97
16-03-2023,95
17-03-2023,83
18-03-2023,69
19-03-2023,47
21-03-2023,73
22-03-2023,78
23-03-2023,82
24-03-2023,93
25-03-2023,96
26-03-2023,87
27-03-2023,80
28-03-2023,105
29-03-2023,96
30-03-2023,117
31-03-2023,67
01-04-2023,68
02-04-2023,96
03-04-2023,76
04-04-2023,104
06-04-2023,123
07-04-2023,111
08-04-2023,87
09-04-2023,77
10-04-2023,199
11-04-2023,100
12-04-2023,115
13-04-2023,76
14-04-2023,88
15-04-2023,98
16-04-2023,103
17-04-2023,93
18-04-2023,122
19-04-2023,102
20-04-2023,120
21-04-2023,113
22-04-2023,104
23-04-2023,91
24-04-2023,107
25-04-2023,105
26-04-2023,110
27-04-2023,89
28-04-2023,72
29-04-2023,65
30-04-2023,51
01-05-2023,63
02-05-2023,77
03-05-2023,62
04-05-2023,78
05-05-2023,85
06-05-2023,79
08-05-2023,88
09-05-2023,99
10-05-2023,104
11-05-2023,112
12-05-2023,112
13-05-2023,107
14-05-2023,104
15-05-2023,114
17-05-2023,100
19-05-2023,95
20-05-2023,100
21-05-2023,107
22-05-2023,93
23-05-2023,105
24-05-2023,118
25-05-2023,101
27-05-2023,107
28-05-2023,87
29-05-2023,78
30-05-2023,76
01-06-2023,80
02-06-2023,90
03-06-2023,108
04-06-2023,79
05-06-2023,81
06-06-2023,77
07-06-2023,92
08-06-2023,92
09-06-2023,100
10-06-2023,71
11-06-2023,56
12-06-2023,170
13-06-2023,92
14-06-2023,103
15-06-2023,103
16-06-2023,111
17-06-2023,101
18-06-2023,106
19-06-2023,83
20-06-2023,105
21-06-2023,110
22-06-2023,98
23-06-2023,89
24-06-2023,101
25-06-2023,69
26-06-2023,44
01-07-2023,45
02-07-2023,45
03-07-2023,77
04-07-2023,84
05-07-2023,72
06-07-2023,78
07-07-2023,62
08-07-2023,46
09-07-2023,46
10-07-2023,51
11-07-2023,60
12-07-2023,113
13-07-2023,121
14-07-2023,120
15-07-2023,114
16-07-2023,91
18-07-2023,67
19-07-2023,50
20-07-2023,50
21-07-2023,47
22-07-2023,67
23-07-2023,51
24-07-2023,50
25-07-2023,45
26-07-2023,75
27-07-2023,90
28-07-2023,44
29-07-2023,63
30-07-2023,37
31-07-2023,47
01-08-2023,78
02-08-2023,72
03-08-2023,98
04-08-2023,93
05-08-2023,94
06-08-2023,97
07-08-2023,100
08-08-2023,84
09-08-2023,107
10-08-2023,101
11-08-2023,94
12-08-2023,97
13-08-2023,92
14-08-2023,87
15-08-2023,100
16-08-2023,110
17-08-2023,122
18-08-2023,139
19-08-2023,154
20-08-2023,66
21-08-2023,45
22-08-2023,106
23-08-2023,109
24-08-2023,84
25-08-2023,93
26-08-2023,117
27-08-2023,127
28-08-2023,142
29-08-2023,109
30-08-2023,115
31-08-2023,123
01-09-2023,126
03-09-2023,119
04-09-2023,114
05-09-2023,98
06-09-2023,78
07-09-2023,49
08-09-2023,44
09-09-2023,50
10-09-2023,52
11-09-2023,90
12-09-2023,80
13-09-2023,67
14-09-2023,62
15-09-2023,50
16-09-2023,50
17-09-2023,35
18-09-2023,40
19-09-2023,33
20-09-2023,47
21-09-2023,65
22-09-2023,92
23-09-2023,67
24-09-2023,59
25-09-2023,72
26-09-2023,71
27-09-2023,75
28-09-2023,83
29-09-2023,87
30-09-2023,165
01-10-2023,165
02-10-2023,181
03-10-2023,112
04-10-2023,118
05-10-2023,103
07-10-2023,104
08-10-2023,97
10-10-2023,112
11-10-2023,105
12-10-2023,103
13-10-2023,121
14-10-2023,92
15-10-2023,95
16-10-2023,85
17-10-2023,100
18-10-2023,110
19-10-2023,106
21-10-2023,115
22-10-2023,116
23-10-2023,109
24-10-2023,119
25-10-2023,113
26-10-2023,112
27-10-2023,109
29-10-2023,104
30-10-2023,103
01-11-2023,117
02-11-2023,155
03-11-2023,153
04-11-2023,130
05-11-2023,188
06-11-2023,177
07-11-2023,168
08-11-2023,236
09-11-2023,173
10-11-2023,208
11-11-2023,151
12-11-2023,94
13-11-2023,155
14-11-2023,165
15-11-2023,163
16-11-2023,172
17-11-2023,215
18-11-2023,223
20-11-2023,239
21-11-2023,223
22-11-2023,194
23-11-2023,118
24-11-2023,121
25-11-2023,131
26-11-2023,133
28-11-2023,67
29-11-2023,87
30-11-2023,116
01-12-2023,126
02-12-2023,76
03-12-2023,79
04-12-2023,61
05-12-2023,69
06-12-2023,103
07-12-2023,175
08-12-2023,152
09-12-2023,96
10-12-2023,131
11-12-2023,112
12-12-2023,85
13-12-2023,99
14-12-2023,103
15-12-2023,96
16-12-2023,114
17-12-2023,112
18-12-2023,96
19-12-2023,98
20-12-2023,115
21-12-2023,99
22-12-2023,105
23-12-2023,137
24-12-2023,267
25-12-2023,314
26-12-2023,300
27-12-2023,279
28-12-2023,205
29-12-2023,150
30-12-2023,222
31-12-2023,248
