Date,AQI
03-06-2021,169
04-06-2021,128
05-06-2021,126
07-06-2021,73
08-06-2021,92
09-06-2021,96
10-06-2021,297
11-06-2021,387
12-06-2021,49
13-06-2021,29
14-06-2021,26
15-06-2021,30
16-06-2021,44
18-06-2021,29
19-06-2021,21
20-06-2021,40
21-06-2021,64
22-06-2021,71
23-06-2021,64
24-06-2021,60
25-06-2021,43
26-06-2021,42
27-06-2021,42
28-06-2021,88
29-06-2021,120
30-06-2021,85
01-07-2021,80
02-07-2021,56
03-07-2021,60
04-07-2021,85
05-07-2021,96
06-07-2021,80
07-07-2021,80
08-07-2021,98
09-07-2021,64
10-07-2021,98
11-07-2021,138
12-07-2021,67
13-07-2021,60
14-07-2021,51
15-07-2021,52
16-07-2021,52
17-07-2021,62
18-07-2021,36
19-07-2021,40
20-07-2021,26
21-07-2021,12
22-07-2021,37
24-07-2021,41
25-07-2021,41
26-07-2021,44
27-07-2021,28
28-07-2021,33
29-07-2021,28
30-07-2021,30
31-07-2021,32
01-08-2021,66
02-08-2021,21
03-08-2021,36
04-08-2021,48
05-08-2021,46
06-08-2021,35
07-08-2021,48
08-08-2021,44
09-08-2021,29
10-08-2021,20
11-08-2021,30
12-08-2021,59
13-08-2021,82
14-08-2021,77
15-08-2021,77
16-08-2021,85
17-08-2021,76
18-08-2021,64
19-08-2021,45
20-08-2021,38
21-08-2021,39
22-08-2021,37
23-08-2021,39
24-08-2021,53
25-08-2021,34
26-08-2021,44
27-08-2021,62
28-08-2021,60
29-08-2021,66
30-08-2021,26
31-08-2021,28
01-09-2021,45
02-09-2021,66
03-09-2021,49
04-09-2021,42
05-09-2021,46
06-09-2021,138
07-09-2021,39
08-09-2021,32
09-09-2021,29
10-09-2021,46
11-09-2021,52
12-09-2021,38
13-09-2021,52
14-09-2021,25
15-09-2021,19
16-09-2021,22
17-09-2021,23
18-09-2021,22
19-09-2021,70
20-09-2021,54
21-09-2021,52
22-09-2021,61
23-09-2021,52
24-09-2021,36
25-09-2021,38
26-09-2021,54
27-09-2021,68
28-09-2021,38
29-09-2021,48
30-09-2021,44
01-10-2021,47
02-10-2021,38
03-10-2021,44
04-10-2021,44
05-10-2021,71
06-10-2021,76
07-10-2021,69
08-10-2021,103
09-10-2021,138
10-10-2021,145
11-10-2021,146
12-10-2021,179
13-10-2021,186
14-10-2021,161
15-10-2021,217
16-10-2021,193
17-10-2021,92
18-10-2021,57
19-10-2021,30
20-10-2021,46
21-10-2021,88
22-10-2021,109
23-10-2021,115
24-10-2021,122
25-10-2021,185
26-10-2021,175
27-10-2021,144
28-10-2021,168
29-10-2021,223
30-10-2021,213
31-10-2021,143
01-11-2021,172
02-11-2021,255
03-11-2021,232
04-11-2021,267
05-11-2021,311
06-11-2021,259
07-11-2021,301
