Date,AQI
13-01-2021,86
14-01-2021,58
15-01-2021,57
16-01-2021,55
17-01-2021,49
18-01-2021,46
19-01-2021,59
20-01-2021,80
21-01-2021,81
22-01-2021,32
23-01-2021,34
24-01-2021,54
25-01-2021,52
26-01-2021,58
27-01-2021,69
28-01-2021,108
29-01-2021,122
30-01-2021,101
31-01-2021,74
01-02-2021,48
02-02-2021,66
03-02-2021,84
04-02-2021,73
05-02-2021,78
06-02-2021,84
07-02-2021,74
08-02-2021,67
09-02-2021,73
10-02-2021,80
11-02-2021,64
12-02-2021,53
13-02-2021,47
14-02-2021,43
15-02-2021,39
16-02-2021,38
17-02-2021,56
18-02-2021,71
19-02-2021,63
20-02-2021,52
21-02-2021,51
22-02-2021,38
23-02-2021,50
24-02-2021,43
25-02-2021,49
26-02-2021,58
27-02-2021,49
28-02-2021,31
01-03-2021,47
02-03-2021,46
03-03-2021,109
04-03-2021,52
05-03-2021,43
06-03-2021,60
07-03-2021,46
08-03-2021,27
09-03-2021,25
10-03-2021,22
11-03-2021,27
12-03-2021,31
13-03-2021,43
14-03-2021,38
15-03-2021,39
16-03-2021,33
17-03-2021,40
18-03-2021,59
19-03-2021,58
20-03-2021,83
21-03-2021,78
22-03-2021,50
23-03-2021,74
24-03-2021,100
25-03-2021,99
26-03-2021,92
27-03-2021,66
28-03-2021,53
29-03-2021,38
30-03-2021,60
31-03-2021,45
01-04-2021,57
02-04-2021,80
03-04-2021,75
04-04-2021,76
05-04-2021,76
06-04-2021,68
07-04-2021,67
08-04-2021,80
09-04-2021,67
10-04-2021,60
11-04-2021,57
12-04-2021,26
13-04-2021,40
14-04-2021,33
15-04-2021,29
16-04-2021,45
17-04-2021,45
18-04-2021,40
19-04-2021,63
20-04-2021,45
21-04-2021,47
22-04-2021,47
23-04-2021,54
24-04-2021,53
25-04-2021,44
26-04-2021,46
27-04-2021,47
28-04-2021,50
29-04-2021,48
30-04-2021,38
01-05-2021,33
02-05-2021,25
03-05-2021,18
04-05-2021,19
