Date,AQI
20-08-2015,130
21-08-2015,106
22-08-2015,96
23-08-2015,89
24-08-2015,79
25-08-2015,85
26-08-2015,73
27-08-2015,84
29-08-2015,73
30-08-2015,68
31-08-2015,84
01-09-2015,100
02-09-2015,116
03-09-2015,128
04-09-2015,128
05-09-2015,142
08-09-2015,105
09-09-2015,107
10-09-2015,71
11-09-2015,77
12-09-2015,90
13-09-2015,74
14-09-2015,85
15-09-2015,89
16-09-2015,88
17-09-2015,79
18-09-2015,74
19-09-2015,76
20-09-2015,70
21-09-2015,93
23-09-2015,87
25-09-2015,121
26-09-2015,140
27-09-2015,132
28-09-2015,132
29-09-2015,144
30-09-2015,237
01-10-2015,204
02-10-2015,93
03-10-2015,64
04-10-2015,65
05-10-2015,94
06-10-2015,188
07-10-2015,197
09-10-2015,179
10-10-2015,121
11-10-2015,92
12-10-2015,74
13-10-2015,103
14-10-2015,143
15-10-2015,147
16-10-2015,182
17-10-2015,179
18-10-2015,162
19-10-2015,155
20-10-2015,180
21-10-2015,181
23-10-2015,209
24-10-2015,174
25-10-2015,153
26-10-2015,175
27-10-2015,168
28-10-2015,210
29-10-2015,178
30-10-2015,196
31-10-2015,188
01-11-2015,223
02-11-2015,206
03-11-2015,166
04-11-2015,204
05-11-2015,177
06-11-2015,177
07-11-2015,190
08-11-2015,197
09-11-2015,213
10-11-2015,270
11-11-2015,281
12-11-2015,315
13-11-2015,224
14-11-2015,237
15-11-2015,245
16-11-2015,246
17-11-2015,226
18-11-2015,244
19-11-2015,228
21-11-2015,152
22-11-2015,117
23-11-2015,86
24-11-2015,92
25-11-2015,195
26-11-2015,258
27-11-2015,240
28-11-2015,264
29-11-2015,255
30-11-2015,200
01-12-2015,244
02-12-2015,186
03-12-2015,186
04-12-2015,211
05-12-2015,225
06-12-2015,256
07-12-2015,240
08-12-2015,210
09-12-2015,240
10-12-2015,216
11-12-2015,154
12-12-2015,119
15-12-2015,164
16-12-2015,179
17-12-2015,139
21-12-2015,153
22-12-2015,84
23-12-2015,123
24-12-2015,164
25-12-2015,270
26-12-2015,292
27-12-2015,304
28-12-2015,296
29-12-2015,320
30-12-2015,266
31-12-2015,220
01-01-2016,218
02-01-2016,174
03-01-2016,143
04-01-2016,199
05-01-2016,226
06-01-2016,222
07-01-2016,242
08-01-2016,275
09-01-2016,225
10-01-2016,214
