Date,AQI
23-11-2021,384
24-11-2021,188
25-11-2021,272
26-11-2021,246
27-11-2021,332
28-11-2021,315
29-11-2021,320
30-11-2021,366
01-12-2021,303
02-12-2021,294
03-12-2021,303
04-12-2021,323
05-12-2021,291
06-12-2021,279
07-12-2021,295
08-12-2021,287
09-12-2021,306
10-12-2021,248
12-12-2021,335
13-12-2021,335
14-12-2021,345
17-12-2021,312
18-12-2021,318
21-12-2021,375
22-12-2021,326
23-12-2021,325
24-12-2021,355
25-12-2021,239
26-12-2021,207
27-12-2021,298
28-12-2021,286
30-12-2021,84
31-12-2021,260
01-01-2022,305
02-01-2022,244
03-01-2022,287
04-01-2022,302
05-01-2022,305
07-01-2022,380
08-01-2022,350
09-01-2022,300
10-01-2022,298
11-01-2022,340
12-01-2022,327
13-01-2022,202
14-01-2022,207
15-01-2022,297
16-01-2022,236
18-01-2022,311
19-01-2022,309
20-01-2022,332
21-01-2022,334
22-01-2022,348
23-01-2022,366
24-01-2022,202
25-01-2022,299
01-02-2022,406
02-02-2022,315
03-02-2022,272
04-02-2022,132
06-02-2022,131
07-02-2022,238
08-02-2022,264
09-02-2022,297
10-02-2022,305
11-02-2022,283
12-02-2022,187
13-02-2022,270
14-02-2022,268
15-02-2022,249
16-02-2022,260
17-02-2022,267
19-02-2022,179
20-02-2022,122
21-02-2022,204
22-02-2022,167
23-02-2022,160
24-02-2022,192
25-02-2022,177
26-02-2022,118
27-02-2022,234
28-02-2022,172
01-03-2022,144
02-03-2022,221
04-03-2022,194
05-03-2022,133
06-03-2022,225
07-03-2022,248
08-03-2022,231
09-03-2022,188
10-03-2022,222
11-03-2022,241
12-03-2022,196
13-03-2022,230
14-03-2022,239
15-03-2022,199
16-03-2022,257
17-03-2022,274
18-03-2022,296
19-03-2022,186
22-03-2022,195
24-03-2022,238
25-03-2022,235
26-03-2022,144
27-03-2022,175
30-03-2022,149
02-04-2022,86
03-04-2022,94
04-04-2022,86
05-04-2022,82
06-04-2022,87
07-04-2022,72
08-04-2022,88
09-04-2022,96
12-04-2022,97
14-04-2022,92
15-04-2022,155
16-04-2022,143
19-04-2022,89
26-04-2022,80
27-04-2022,77
28-04-2022,70
29-04-2022,71
30-04-2022,78
03-05-2022,63
04-05-2022,73
05-05-2022,96
06-05-2022,136
07-05-2022,104
08-05-2022,159
09-05-2022,175
10-05-2022,89
11-05-2022,90
12-05-2022,119
13-05-2022,135
14-05-2022,103
15-05-2022,130
16-05-2022,108
18-05-2022,112
19-05-2022,166
25-05-2022,122
26-05-2022,125
27-05-2022,172
28-05-2022,218
29-05-2022,123
30-05-2022,188
31-05-2022,203
01-06-2022,183
02-06-2022,183
03-06-2022,160
05-06-2022,197
06-06-2022,132
10-06-2022,226
11-06-2022,268
12-06-2022,220
13-06-2022,112
15-06-2022,126
16-06-2022,226
17-06-2022,237
18-06-2022,129
19-06-2022,77
22-06-2022,137
23-06-2022,170
24-06-2022,136
25-06-2022,75
26-06-2022,74
27-06-2022,91
28-06-2022,144
29-06-2022,123
30-06-2022,85
01-07-2022,109
02-07-2022,97
03-07-2022,130
04-07-2022,83
05-07-2022,107
06-07-2022,92
07-07-2022,73
08-07-2022,91
09-07-2022,69
10-07-2022,81
11-07-2022,79
12-07-2022,75
13-07-2022,87
14-07-2022,75
15-07-2022,66
16-07-2022,73
17-07-2022,81
18-07-2022,70
19-07-2022,83
20-07-2022,104
23-07-2022,59
24-07-2022,44
25-07-2022,64
26-07-2022,85
27-07-2022,114
28-07-2022,74
29-07-2022,146
30-07-2022,138
31-07-2022,99
01-08-2022,171
02-08-2022,80
03-08-2022,192
04-08-2022,115
05-08-2022,96
07-08-2022,169
11-08-2022,61
12-08-2022,62
13-08-2022,161
14-08-2022,65
15-08-2022,62
16-08-2022,106
17-08-2022,182
18-08-2022,179
19-08-2022,97
22-08-2022,108
23-08-2022,240
24-08-2022,74
25-08-2022,110
26-08-2022,208
27-08-2022,297
29-08-2022,68
30-08-2022,165
31-08-2022,188
01-09-2022,126
02-09-2022,130
04-09-2022,65
05-09-2022,64
06-09-2022,80
07-09-2022,103
08-09-2022,97
09-09-2022,73
10-09-2022,88
11-09-2022,65
12-09-2022,66
13-09-2022,67
14-09-2022,77
15-09-2022,75
16-09-2022,75
18-09-2022,87
20-09-2022,94
22-09-2022,96
23-09-2022,100
24-09-2022,122
25-09-2022,90
26-09-2022,93
27-09-2022,115
28-09-2022,203
29-09-2022,112
30-09-2022,78
01-10-2022,103
02-10-2022,188
03-10-2022,105
04-10-2022,66
05-10-2022,72
07-10-2022,72
08-10-2022,125
10-10-2022,75
11-10-2022,66
13-10-2022,95
14-10-2022,98
15-10-2022,96
16-10-2022,131
17-10-2022,121
18-10-2022,129
20-10-2022,173
21-10-2022,172
22-10-2022,145
23-10-2022,141
24-10-2022,136
25-10-2022,92
26-10-2022,273
27-10-2022,241
28-10-2022,287
29-10-2022,253
30-10-2022,182
31-10-2022,170
02-11-2022,148
03-11-2022,254
04-11-2022,292
05-11-2022,237
06-11-2022,177
07-11-2022,214
08-11-2022,228
09-11-2022,269
10-11-2022,304
11-11-2022,358
12-11-2022,379
13-11-2022,378
15-11-2022,367
16-11-2022,418
17-11-2022,417
18-11-2022,416
20-11-2022,348
21-11-2022,347
23-11-2022,408
24-11-2022,411
25-11-2022,387
26-11-2022,373
27-11-2022,390
28-11-2022,314
29-11-2022,266
30-11-2022,282
01-12-2022,318
02-12-2022,386
03-12-2022,396
04-12-2022,423
05-12-2022,415
06-12-2022,382
07-12-2022,400
08-12-2022,404
09-12-2022,400
10-12-2022,347
11-12-2022,366
12-12-2022,389
13-12-2022,431
14-12-2022,450
15-12-2022,460
16-12-2022,419
17-12-2022,427
18-12-2022,404
19-12-2022,351
20-12-2022,382
21-12-2022,404
22-12-2022,381
24-12-2022,393
25-12-2022,404
26-12-2022,404
27-12-2022,400
29-12-2022,395
30-12-2022,432
31-12-2022,420
01-01-2023,445
02-01-2023,389
03-01-2023,287
04-01-2023,323
05-01-2023,297
06-01-2023,325
07-01-2023,329
08-01-2023,349
09-01-2023,353
10-01-2023,392
11-01-2023,333
12-01-2023,397
13-01-2023,420
14-01-2023,422
15-01-2023,406
16-01-2023,325
17-01-2023,367
18-01-2023,399
20-01-2023,420
21-01-2023,423
22-01-2023,410
23-01-2023,435
24-01-2023,383
25-01-2023,385
26-01-2023,411
27-01-2023,291
28-01-2023,274
29-01-2023,317
30-01-2023,379
31-01-2023,347
01-02-2023,228
02-02-2023,251
03-02-2023,149
08-02-2023,312
13-02-2023,109
14-02-2023,237
16-02-2023,275
20-02-2023,239
21-02-2023,213
22-02-2023,264
23-02-2023,120
24-02-2023,132
25-02-2023,223
26-02-2023,237
27-02-2023,220
28-02-2023,199
03-03-2023,217
04-03-2023,158
05-03-2023,214
06-03-2023,109
08-03-2023,138
10-03-2023,179
11-03-2023,157
12-03-2023,159
14-03-2023,195
15-03-2023,192
16-03-2023,114
17-03-2023,131
18-03-2023,123
21-03-2023,69
22-03-2023,110
23-03-2023,99
24-03-2023,136
25-03-2023,152
26-03-2023,161
27-03-2023,125
29-03-2023,151
30-03-2023,120
31-03-2023,107
05-04-2023,86
06-04-2023,106
08-04-2023,153
09-04-2023,211
10-04-2023,207
11-04-2023,199
15-04-2023,138
16-04-2023,98
17-04-2023,129
21-04-2023,112
22-04-2023,201
23-04-2023,200
24-04-2023,160
27-04-2023,118
28-04-2023,72
29-04-2023,76
30-04-2023,68
01-05-2023,73
02-05-2023,162
03-05-2023,150
04-05-2023,150
05-05-2023,88
06-05-2023,120
07-05-2023,174
08-05-2023,173
09-05-2023,199
10-05-2023,196
11-05-2023,217
12-05-2023,181
13-05-2023,170
14-05-2023,171
15-05-2023,103
19-05-2023,100
21-05-2023,127
22-05-2023,102
23-05-2023,97
24-05-2023,82
25-05-2023,140
26-05-2023,86
27-05-2023,83
28-05-2023,99
29-05-2023,104
30-05-2023,138
31-05-2023,168
01-06-2023,182
02-06-2023,142
03-06-2023,165
07-06-2023,118
08-06-2023,129
09-06-2023,166
10-06-2023,79
11-06-2023,74
12-06-2023,75
14-06-2023,84
15-06-2023,84
16-06-2023,98
17-06-2023,78
21-06-2023,79
22-06-2023,73
