Date,AQI
17-12-2020,76
18-12-2020,112
19-12-2020,130
20-12-2020,121
21-12-2020,123
23-12-2020,95
24-12-2020,116
25-12-2020,126
26-12-2020,131
28-12-2020,196
29-12-2020,194
30-12-2020,150
31-12-2020,119
01-01-2021,143
02-01-2021,151
03-01-2021,136
05-01-2021,94
06-01-2021,83
08-01-2021,112
09-01-2021,81
10-01-2021,90
11-01-2021,111
12-01-2021,124
13-01-2021,124
14-01-2021,110
15-01-2021,108
16-01-2021,123
17-01-2021,141
18-01-2021,93
19-01-2021,100
20-01-2021,161
21-01-2021,212
22-01-2021,213
23-01-2021,148
24-01-2021,145
25-01-2021,156
26-01-2021,142
27-01-2021,131
28-01-2021,141
29-01-2021,128
09-02-2021,128
10-02-2021,136
11-02-2021,167
12-02-2021,121
13-02-2021,131
14-02-2021,117
15-02-2021,112
16-02-2021,173
17-02-2021,124
18-02-2021,117
19-02-2021,117
20-02-2021,112
21-02-2021,78
23-02-2021,58
24-02-2021,121
25-02-2021,134
26-02-2021,159
27-02-2021,146
28-02-2021,142
01-03-2021,146
02-03-2021,134
03-03-2021,134
07-03-2021,159
08-03-2021,133
09-03-2021,98
10-03-2021,103
11-03-2021,108
12-03-2021,71
13-03-2021,72
14-03-2021,87
15-03-2021,126
16-03-2021,144
17-03-2021,136
18-03-2021,134
19-03-2021,121
20-03-2021,135
21-03-2021,123
22-03-2021,134
23-03-2021,134
24-03-2021,117
25-03-2021,140
26-03-2021,143
27-03-2021,145
28-03-2021,187
29-03-2021,134
30-03-2021,137
31-03-2021,106
01-04-2021,104
02-04-2021,83
03-04-2021,113
04-04-2021,90
05-04-2021,189
06-04-2021,133
07-04-2021,113
08-04-2021,102
09-04-2021,110
20-04-2021,89
21-04-2021,72
22-04-2021,71
25-04-2021,70
26-04-2021,74
27-04-2021,72
30-04-2021,76
01-05-2021,93
02-05-2021,79
03-05-2021,71
04-05-2021,70
06-05-2021,58
07-05-2021,63
08-05-2021,60
09-05-2021,63
14-05-2021,63
18-05-2021,29
19-05-2021,32
21-05-2021,69
22-05-2021,57
23-05-2021,71
24-05-2021,60
25-05-2021,70
26-05-2021,67
27-05-2021,63
28-05-2021,61
29-05-2021,52
30-05-2021,49
31-05-2021,38
01-06-2021,30
02-06-2021,41
03-06-2021,34
04-06-2021,24
05-06-2021,27
06-06-2021,22
07-06-2021,33
08-06-2021,56
09-06-2021,26
10-06-2021,29
11-06-2021,38
12-06-2021,32
14-06-2021,30
15-06-2021,26
16-06-2021,24
17-06-2021,36
18-06-2021,58
19-06-2021,54
20-06-2021,45
21-06-2021,112
22-06-2021,111
23-06-2021,96
24-06-2021,73
25-06-2021,45
27-06-2021,28
29-06-2021,75
30-06-2021,57
01-07-2021,40
02-07-2021,30
03-07-2021,48
04-07-2021,41
05-07-2021,49
06-07-2021,52
07-07-2021,43
08-07-2021,42
09-07-2021,33
12-07-2021,26
13-07-2021,32
14-07-2021,17
15-07-2021,17
17-07-2021,23
18-07-2021,32
20-07-2021,36
21-07-2021,31
22-07-2021,26
23-07-2021,29
24-07-2021,46
01-08-2021,36
02-08-2021,37
03-08-2021,39
04-08-2021,32
08-08-2021,51
09-08-2021,65
11-08-2021,47
12-08-2021,43
13-08-2021,39
14-08-2021,45
15-08-2021,40
16-08-2021,25
17-08-2021,27
18-08-2021,40
19-08-2021,43
20-08-2021,36
21-08-2021,49
22-08-2021,36
23-08-2021,38
24-08-2021,72
25-08-2021,48
26-08-2021,48
27-08-2021,45
28-08-2021,30
29-08-2021,40
02-09-2021,55
03-09-2021,41
04-09-2021,61
05-09-2021,22
06-09-2021,21
07-09-2021,22
08-09-2021,37
09-09-2021,36
10-09-2021,43
11-09-2021,34
12-09-2021,22
13-09-2021,26
14-09-2021,34
15-09-2021,66
16-09-2021,71
17-09-2021,77
18-09-2021,76
19-09-2021,72
20-09-2021,51
21-09-2021,35
22-09-2021,21
24-09-2021,22
25-09-2021,57
26-09-2021,32
27-09-2021,24
28-09-2021,38
29-09-2021,47
01-10-2021,53
02-10-2021,47
05-10-2021,46
06-10-2021,56
07-10-2021,29
08-10-2021,47
11-10-2021,46
12-10-2021,109
13-10-2021,140
14-10-2021,126
15-10-2021,123
16-10-2021,126
17-10-2021,77
18-10-2021,114
19-10-2021,133
21-10-2021,111
22-10-2021,113
23-10-2021,127
24-10-2021,80
25-10-2021,96
26-10-2021,121
28-10-2021,103
29-10-2021,127
30-10-2021,94
31-10-2021,59
01-11-2021,89
02-11-2021,65
03-11-2021,50
04-11-2021,54
05-11-2021,67
06-11-2021,79
07-11-2021,96
08-11-2021,112
09-11-2021,125
10-11-2021,150
11-11-2021,167
12-11-2021,190
13-11-2021,53
14-11-2021,53
15-11-2021,50
16-11-2021,57
17-11-2021,43
18-11-2021,54
19-11-2021,83
20-11-2021,35
22-11-2021,63
23-11-2021,70
24-11-2021,71
25-11-2021,80
26-11-2021,106
27-11-2021,139
28-11-2021,127
01-12-2021,125
02-12-2021,120
03-12-2021,118
04-12-2021,178
05-12-2021,188
07-12-2021,145
08-12-2021,167
09-12-2021,95
10-12-2021,64
14-12-2021,109
15-12-2021,132
16-12-2021,136
17-12-2021,160
18-12-2021,156
19-12-2021,139
20-12-2021,131
22-12-2021,246
23-12-2021,175
24-12-2021,169
25-12-2021,135
27-12-2021,138
28-12-2021,117
29-12-2021,97
30-12-2021,89
31-12-2021,92
01-01-2022,89
04-01-2022,117
05-01-2022,113
06-01-2022,102
07-01-2022,96
08-01-2022,78
09-01-2022,76
10-01-2022,85
11-01-2022,80
12-01-2022,93
13-01-2022,125
14-01-2022,136
16-01-2022,59
17-01-2022,68
18-01-2022,79
19-01-2022,141
20-01-2022,130
21-01-2022,132
22-01-2022,150
23-01-2022,96
24-01-2022,158
25-01-2022,390
28-01-2022,163
29-01-2022,124
30-01-2022,130
31-01-2022,169
02-02-2022,182
03-02-2022,155
04-02-2022,162
08-02-2022,125
09-02-2022,121
10-02-2022,102
11-02-2022,144
12-02-2022,117
13-02-2022,108
14-02-2022,112
15-02-2022,114
16-02-2022,122
17-02-2022,126
18-02-2022,107
