Date,AQI
26-10-2022,132
27-10-2022,150
28-10-2022,116
04-01-2023,112
05-01-2023,112
06-01-2023,101
07-01-2023,106
08-01-2023,106
09-01-2023,114
10-01-2023,128
12-01-2023,96
13-01-2023,125
14-01-2023,98
15-01-2023,90
16-01-2023,86
17-01-2023,112
18-01-2023,103
19-01-2023,107
20-01-2023,98
22-01-2023,88
23-01-2023,89
24-01-2023,93
25-01-2023,108
26-01-2023,106
27-01-2023,102
28-01-2023,103
29-01-2023,99
30-01-2023,95
31-01-2023,105
01-02-2023,88
02-02-2023,89
03-02-2023,97
04-02-2023,93
05-02-2023,113
06-02-2023,118
07-02-2023,102
08-02-2023,98
09-02-2023,81
10-02-2023,111
11-02-2023,106
12-02-2023,84
13-02-2023,87
14-02-2023,92
15-02-2023,114
16-02-2023,95
17-02-2023,114
18-02-2023,114
19-02-2023,146
20-02-2023,116
21-02-2023,106
22-02-2023,113
23-02-2023,108
24-02-2023,109
25-02-2023,101
26-02-2023,115
27-02-2023,117
28-02-2023,126
01-03-2023,136
02-03-2023,117
03-03-2023,119
04-03-2023,119
05-03-2023,114
06-03-2023,112
07-03-2023,106
08-03-2023,91
09-03-2023,84
10-03-2023,88
11-03-2023,102
12-03-2023,108
13-03-2023,108
14-03-2023,114
15-03-2023,104
16-03-2023,102
17-03-2023,77
18-03-2023,68
19-03-2023,70
20-03-2023,72
21-03-2023,71
22-03-2023,63
23-03-2023,78
24-03-2023,98
25-03-2023,82
26-03-2023,81
27-03-2023,53
28-03-2023,98
29-03-2023,104
30-03-2023,64
31-03-2023,51
01-04-2023,54
02-04-2023,79
03-04-2023,90
04-04-2023,73
05-04-2023,88
06-04-2023,96
07-04-2023,67
08-04-2023,63
09-04-2023,92
10-04-2023,74
11-04-2023,81
12-04-2023,106
13-04-2023,89
14-04-2023,73
15-04-2023,74
16-04-2023,74
17-04-2023,98
18-04-2023,95
19-04-2023,91
20-04-2023,87
21-04-2023,63
22-04-2023,54
23-04-2023,46
24-04-2023,59
25-04-2023,54
26-04-2023,60
27-04-2023,65
28-04-2023,61
29-04-2023,54
30-04-2023,52
01-05-2023,52
02-05-2023,50
03-05-2023,44
04-05-2023,76
05-05-2023,71
06-05-2023,60
07-05-2023,84
08-05-2023,86
09-05-2023,90
10-05-2023,54
11-05-2023,87
12-05-2023,98
13-05-2023,113
14-05-2023,124
15-05-2023,93
16-05-2023,73
17-05-2023,82
18-05-2023,80
19-05-2023,76
20-05-2023,57
21-05-2023,65
22-05-2023,66
23-05-2023,66
24-05-2023,74
25-05-2023,62
26-05-2023,83
27-05-2023,88
28-05-2023,82
29-05-2023,84
30-05-2023,72
31-05-2023,66
01-06-2023,89
02-06-2023,98
03-06-2023,85
04-06-2023,103
05-06-2023,79
06-06-2023,80
07-06-2023,96
08-06-2023,88
09-06-2023,94
10-06-2023,87
11-06-2023,76
12-06-2023,69
13-06-2023,67
14-06-2023,53
15-06-2023,57
16-06-2023,80
17-06-2023,77
18-06-2023,79
19-06-2023,92
20-06-2023,84
21-06-2023,52
22-06-2023,55
23-06-2023,43
24-06-2023,61
25-06-2023,62
26-06-2023,50
27-06-2023,62
28-06-2023,59
29-06-2023,57
30-06-2023,57
01-07-2023,60
02-07-2023,62
03-07-2023,61
04-07-2023,60
05-07-2023,55
06-07-2023,51
07-07-2023,44
08-07-2023,42
09-07-2023,49
10-07-2023,70
11-07-2023,54
12-07-2023,40
13-07-2023,40
14-07-2023,39
15-07-2023,41
16-07-2023,50
17-07-2023,45
18-07-2023,49
19-07-2023,56
20-07-2023,68
21-07-2023,54
22-07-2023,38
23-07-2023,38
24-07-2023,39
25-07-2023,49
26-07-2023,73
27-07-2023,39
28-07-2023,42
29-07-2023,42
30-07-2023,49
31-07-2023,43
01-08-2023,41
02-08-2023,45
03-08-2023,28
04-08-2023,36
05-08-2023,44
06-08-2023,48
07-08-2023,46
08-08-2023,41
09-08-2023,60
10-08-2023,59
11-08-2023,58
12-08-2023,61
13-08-2023,57
14-08-2023,36
15-08-2023,39
16-08-2023,36
17-08-2023,56
18-08-2023,38
19-08-2023,38
20-08-2023,24
21-08-2023,30
22-08-2023,42
23-08-2023,44
24-08-2023,40
25-08-2023,37
26-08-2023,41
27-08-2023,58
28-08-2023,68
29-08-2023,105
30-08-2023,71
31-08-2023,66
01-09-2023,72
02-09-2023,70
03-09-2023,50
04-09-2023,47
05-09-2023,57
06-09-2023,54
07-09-2023,76
08-09-2023,33
09-09-2023,27
10-09-2023,30
11-09-2023,44
12-09-2023,58
13-09-2023,57
14-09-2023,66
15-09-2023,20
16-09-2023,20
17-09-2023,38
18-09-2023,47
19-09-2023,54
20-09-2023,61
21-09-2023,41
22-09-2023,35
23-09-2023,36
24-09-2023,28
25-09-2023,40
26-09-2023,75
27-09-2023,67
28-09-2023,92
29-09-2023,94
30-09-2023,52
01-10-2023,51
02-10-2023,62
03-10-2023,49
04-10-2023,76
05-10-2023,90
06-10-2023,84
07-10-2023,95
08-10-2023,91
09-10-2023,68
10-10-2023,81
11-10-2023,94
12-10-2023,83
13-10-2023,106
14-10-2023,101
15-10-2023,98
16-10-2023,74
17-10-2023,94
18-10-2023,97
19-10-2023,110
20-10-2023,113
21-10-2023,110
22-10-2023,112
23-10-2023,104
24-10-2023,120
25-10-2023,117
26-10-2023,99
27-10-2023,100
28-10-2023,111
29-10-2023,117
30-10-2023,126
31-10-2023,117
01-11-2023,83
02-11-2023,117
03-11-2023,109
04-11-2023,88
05-11-2023,114
06-11-2023,106
07-11-2023,129
08-11-2023,130
09-11-2023,120
10-11-2023,116
11-11-2023,135
12-11-2023,110
13-11-2023,93
14-11-2023,103
15-11-2023,102
16-11-2023,86
17-11-2023,74
18-11-2023,87
19-11-2023,86
20-11-2023,79
21-11-2023,71
22-11-2023,118
23-11-2023,103
24-11-2023,113
25-11-2023,96
26-11-2023,107
27-11-2023,124
28-11-2023,119
29-11-2023,73
30-11-2023,92
01-12-2023,83
02-12-2023,85
03-12-2023,68
04-12-2023,80
05-12-2023,61
06-12-2023,44
07-12-2023,47
08-12-2023,52
09-12-2023,72
10-12-2023,105
11-12-2023,104
12-12-2023,106
13-12-2023,112
14-12-2023,110
15-12-2023,114
16-12-2023,130
17-12-2023,118
18-12-2023,102
19-12-2023,105
20-12-2023,108
21-12-2023,128
22-12-2023,137
23-12-2023,165
24-12-2023,133
25-12-2023,144
26-12-2023,176
27-12-2023,146
28-12-2023,176
29-12-2023,153
30-12-2023,146
31-12-2023,143
