Date,AQI
27-11-2022,128
28-11-2022,160
29-11-2022,198
30-11-2022,178
01-12-2022,145
02-12-2022,181
03-12-2022,172
04-12-2022,280
05-12-2022,285
06-12-2022,295
07-12-2022,294
08-12-2022,260
09-12-2022,289
10-12-2022,253
11-12-2022,296
12-12-2022,190
13-12-2022,161
14-12-2022,117
15-12-2022,116
16-12-2022,122
17-12-2022,123
18-12-2022,183
19-12-2022,250
20-12-2022,232
21-12-2022,217
22-12-2022,250
23-12-2022,114
24-12-2022,106
25-12-2022,97
26-12-2022,75
27-12-2022,110
28-12-2022,191
29-12-2022,260
30-12-2022,118
31-12-2022,95
01-01-2023,219
02-01-2023,282
03-01-2023,319
04-01-2023,295
05-01-2023,314
06-01-2023,272
07-01-2023,147
08-01-2023,163
09-01-2023,135
10-01-2023,105
13-01-2023,207
14-01-2023,239
15-01-2023,135
16-01-2023,181
17-01-2023,192
18-01-2023,207
19-01-2023,198
20-01-2023,187
22-01-2023,292
23-01-2023,270
24-01-2023,231
25-01-2023,246
26-01-2023,221
27-01-2023,270
29-01-2023,199
30-01-2023,171
31-01-2023,159
01-02-2023,167
02-02-2023,140
03-02-2023,130
04-02-2023,110
05-02-2023,108
06-02-2023,111
07-02-2023,108
08-02-2023,110
09-02-2023,115
10-02-2023,112
11-02-2023,125
12-02-2023,162
13-02-2023,117
14-02-2023,115
15-02-2023,116
16-02-2023,144
17-02-2023,157
18-02-2023,144
19-02-2023,163
21-02-2023,187
22-02-2023,152
23-02-2023,148
24-02-2023,148
25-02-2023,187
26-02-2023,236
27-02-2023,196
28-02-2023,180
01-03-2023,216
02-03-2023,159
03-03-2023,192
04-03-2023,200
05-03-2023,214
06-03-2023,210
07-03-2023,251
08-03-2023,249
09-03-2023,177
10-03-2023,210
11-03-2023,157
13-03-2023,245
14-03-2023,235
15-03-2023,149
16-03-2023,153
17-03-2023,118
18-03-2023,116
21-03-2023,65
22-03-2023,71
23-03-2023,74
24-03-2023,109
25-03-2023,118
26-03-2023,123
27-03-2023,134
28-03-2023,104
29-03-2023,139
30-03-2023,127
31-03-2023,145
04-04-2023,144
05-04-2023,160
06-04-2023,157
07-04-2023,186
08-04-2023,174
11-04-2023,229
12-04-2023,216
13-04-2023,200
14-04-2023,208
15-04-2023,268
16-04-2023,295
17-04-2023,241
18-04-2023,273
19-04-2023,224
20-04-2023,186
21-04-2023,154
22-04-2023,108
23-04-2023,67
26-04-2023,57
27-04-2023,66
28-04-2023,72
29-04-2023,89
30-04-2023,73
02-05-2023,62
03-05-2023,66
04-05-2023,62
05-05-2023,64
06-05-2023,69
07-05-2023,75
08-05-2023,87
09-05-2023,94
10-05-2023,92
11-05-2023,92
12-05-2023,76
13-05-2023,76
14-05-2023,90
15-05-2023,104
16-05-2023,78
17-05-2023,78
18-05-2023,77
19-05-2023,76
21-05-2023,80
22-05-2023,79
23-05-2023,79
24-05-2023,81
25-05-2023,78
26-05-2023,77
27-05-2023,43
30-05-2023,66
31-05-2023,75
01-06-2023,74
02-06-2023,82
03-06-2023,91
04-06-2023,65
05-06-2023,67
06-06-2023,69
08-06-2023,89
09-06-2023,83
10-06-2023,75
13-06-2023,113
14-06-2023,151
15-06-2023,87
16-06-2023,92
19-06-2023,46
20-06-2023,52
21-06-2023,69
22-06-2023,51
23-06-2023,48
24-06-2023,61
25-06-2023,49
26-06-2023,35
27-06-2023,30
28-06-2023,42
29-06-2023,87
30-06-2023,92
01-07-2023,75
02-07-2023,69
03-07-2023,86
04-07-2023,71
05-07-2023,50
06-07-2023,33
07-07-2023,39
08-07-2023,42
09-07-2023,53
10-07-2023,57
11-07-2023,85
12-07-2023,61
13-07-2023,41
14-07-2023,55
15-07-2023,61
16-07-2023,38
17-07-2023,57
18-07-2023,53
19-07-2023,43
20-07-2023,30
21-07-2023,29
22-07-2023,27
23-07-2023,36
24-07-2023,49
25-07-2023,40
10-09-2023,62
11-09-2023,55
12-09-2023,47
13-09-2023,44
14-09-2023,29
15-09-2023,32
16-09-2023,45
17-09-2023,39
19-09-2023,33
20-09-2023,33
21-09-2023,36
22-09-2023,53
23-09-2023,56
24-09-2023,51
25-09-2023,43
26-09-2023,58
27-09-2023,68
28-09-2023,59
29-09-2023,84
30-09-2023,65
01-10-2023,41
02-10-2023,36
03-10-2023,35
04-10-2023,35
05-10-2023,45
06-10-2023,57
07-10-2023,60
08-10-2023,76
09-10-2023,90
10-10-2023,111
11-10-2023,106
12-10-2023,106
13-10-2023,114
14-10-2023,120
15-10-2023,99
16-10-2023,105
17-10-2023,112
18-10-2023,215
19-10-2023,216
20-10-2023,154
21-10-2023,209
22-10-2023,151
23-10-2023,115
24-10-2023,112
25-10-2023,146
26-10-2023,124
27-10-2023,153
28-10-2023,190
29-10-2023,163
30-10-2023,114
31-10-2023,179
01-11-2023,113
02-11-2023,129
03-11-2023,89
04-11-2023,60
05-11-2023,96
06-11-2023,155
07-11-2023,115
08-11-2023,172
09-11-2023,171
10-11-2023,191
11-11-2023,181
12-11-2023,218
13-11-2023,320
14-11-2023,213
15-11-2023,161
16-11-2023,122
17-11-2023,86
18-11-2023,114
19-11-2023,95
20-11-2023,161
21-11-2023,187
22-11-2023,208
23-11-2023,268
24-11-2023,272
25-11-2023,247
26-11-2023,268
27-11-2023,188
28-11-2023,178
01-12-2023,175
02-12-2023,259
03-12-2023,244
04-12-2023,214
05-12-2023,171
06-12-2023,77
07-12-2023,51
08-12-2023,47
13-12-2023,143
14-12-2023,126
15-12-2023,132
16-12-2023,192
17-12-2023,166
18-12-2023,175
19-12-2023,282
20-12-2023,226
21-12-2023,252
22-12-2023,232
23-12-2023,270
24-12-2023,239
25-12-2023,156
28-12-2023,258
29-12-2023,277
30-12-2023,272
31-12-2023,281
