Date,AQI
13-09-2017,36
14-09-2017,35
15-09-2017,52
16-09-2017,70
17-09-2017,36
18-09-2017,42
19-09-2017,53
20-09-2017,58
21-09-2017,67
22-09-2017,74
23-09-2017,78
24-09-2017,66
25-09-2017,63
26-09-2017,76
27-09-2017,63
28-09-2017,70
29-09-2017,55
30-09-2017,75
01-10-2017,62
02-10-2017,66
03-10-2017,77
04-10-2017,53
05-10-2017,56
06-10-2017,60
07-10-2017,57
08-10-2017,59
09-10-2017,59
10-10-2017,47
11-10-2017,46
12-10-2017,55
13-10-2017,66
15-10-2017,60
16-10-2017,68
17-10-2017,100
18-10-2017,98
20-10-2017,254
21-10-2017,154
22-10-2017,170
23-10-2017,160
24-10-2017,186
25-10-2017,87
26-10-2017,101
27-10-2017,118
28-10-2017,150
29-10-2017,151
30-10-2017,105
31-10-2017,173
01-11-2017,123
02-11-2017,113
03-11-2017,103
04-11-2017,94
05-11-2017,103
06-11-2017,117
07-11-2017,160
08-11-2017,99
09-11-2017,100
10-11-2017,108
11-11-2017,104
12-11-2017,163
13-11-2017,87
14-11-2017,80
15-11-2017,59
16-11-2017,60
17-11-2017,73
18-11-2017,84
19-11-2017,88
20-11-2017,86
21-11-2017,103
22-11-2017,131
23-11-2017,128
24-11-2017,140
25-11-2017,176
26-11-2017,172
27-11-2017,182
28-11-2017,206
29-11-2017,167
30-11-2017,205
01-12-2017,208
02-12-2017,187
03-12-2017,239
04-12-2017,187
05-12-2017,194
06-12-2017,230
07-12-2017,240
08-12-2017,216
09-12-2017,182
10-12-2017,143
11-12-2017,133
12-12-2017,160
13-12-2017,120
14-12-2017,145
15-12-2017,119
16-12-2017,127
17-12-2017,164
18-12-2017,180
19-12-2017,193
21-12-2017,165
22-12-2017,214
26-12-2017,266
29-12-2017,159
30-12-2017,90
03-01-2018,161
04-01-2018,146
05-01-2018,164
06-01-2018,164
07-01-2018,199
08-01-2018,194
09-01-2018,194
10-01-2018,229
11-01-2018,276
12-01-2018,270
13-01-2018,253
14-01-2018,297
15-01-2018,284
16-01-2018,191
17-01-2018,151
18-01-2018,120
