Date,AQI
24-11-2021,200
25-11-2021,245
26-11-2021,279
27-11-2021,342
28-11-2021,359
29-11-2021,360
30-11-2021,332
01-12-2021,247
02-12-2021,261
03-12-2021,324
04-12-2021,295
05-12-2021,139
06-12-2021,126
07-12-2021,206
23-12-2021,342
24-12-2021,326
25-12-2021,365
26-12-2021,400
27-12-2021,390
28-12-2021,340
30-12-2021,148
31-12-2021,185
01-01-2022,229
02-01-2022,237
03-01-2022,331
04-01-2022,327
05-01-2022,297
06-01-2022,354
07-01-2022,356
08-01-2022,259
09-01-2022,232
10-01-2022,229
11-01-2022,348
12-01-2022,217
13-01-2022,160
14-01-2022,228
15-01-2022,313
16-01-2022,320
17-01-2022,327
18-01-2022,347
21-01-2022,373
24-01-2022,173
26-01-2022,252
27-01-2022,184
28-01-2022,232
29-01-2022,263
02-02-2022,346
03-02-2022,358
04-02-2022,196
06-02-2022,132
07-02-2022,204
08-02-2022,249
09-02-2022,283
10-02-2022,343
11-02-2022,214
12-02-2022,114
13-02-2022,156
14-02-2022,152
15-02-2022,195
16-02-2022,195
17-02-2022,209
18-02-2022,118
19-02-2022,124
20-02-2022,110
25-02-2022,253
26-02-2022,293
27-02-2022,163
28-02-2022,129
01-03-2022,155
02-03-2022,158
04-03-2022,138
05-03-2022,150
06-03-2022,142
07-03-2022,155
08-03-2022,138
09-03-2022,134
10-03-2022,133
11-03-2022,125
12-03-2022,130
13-03-2022,132
14-03-2022,130
15-03-2022,139
19-03-2022,197
20-03-2022,206
21-03-2022,237
22-03-2022,145
23-03-2022,159
24-03-2022,155
26-03-2022,155
27-03-2022,144
28-03-2022,155
30-03-2022,256
31-03-2022,143
01-04-2022,240
02-04-2022,221
03-04-2022,158
06-04-2022,173
07-04-2022,214
08-04-2022,160
09-04-2022,172
10-04-2022,136
11-04-2022,110
12-04-2022,162
15-04-2022,173
16-04-2022,192
17-04-2022,164
18-04-2022,194
20-04-2022,132
21-04-2022,105
22-04-2022,126
23-04-2022,182
24-04-2022,192
25-04-2022,186
26-04-2022,177
27-04-2022,214
28-04-2022,162
29-04-2022,142
02-05-2022,128
03-05-2022,99
04-05-2022,68
07-05-2022,92
08-05-2022,82
09-05-2022,84
10-05-2022,65
16-05-2022,118
17-05-2022,114
01-06-2022,125
02-06-2022,120
06-06-2022,112
08-06-2022,118
09-06-2022,123
11-06-2022,120
12-06-2022,139
13-06-2022,127
14-06-2022,123
15-06-2022,121
16-06-2022,83
17-06-2022,73
18-06-2022,107
20-06-2022,54
21-06-2022,54
22-06-2022,54
23-06-2022,73
24-06-2022,87
25-06-2022,72
26-06-2022,69
