Date,AQI
14-03-2023,70
15-03-2023,98
17-03-2023,58
19-03-2023,53
20-03-2023,43
21-03-2023,53
22-03-2023,64
23-03-2023,54
24-03-2023,46
25-03-2023,62
26-03-2023,86
27-03-2023,104
28-03-2023,85
29-03-2023,85
30-03-2023,90
31-03-2023,44
01-04-2023,53
02-04-2023,53
03-04-2023,47
04-04-2023,70
05-04-2023,76
06-04-2023,133
07-04-2023,129
09-04-2023,74
10-04-2023,107
11-04-2023,100
12-04-2023,84
13-04-2023,48
14-04-2023,53
16-04-2023,56
17-04-2023,62
18-04-2023,69
19-04-2023,107
20-04-2023,73
21-04-2023,76
22-04-2023,80
23-04-2023,74
24-04-2023,101
25-04-2023,127
28-04-2023,58
29-04-2023,45
30-04-2023,50
01-05-2023,38
02-05-2023,52
03-05-2023,57
04-05-2023,77
05-05-2023,97
06-05-2023,80
07-05-2023,88
08-05-2023,73
09-05-2023,91
10-05-2023,110
11-05-2023,79
12-05-2023,88
13-05-2023,85
14-05-2023,76
15-05-2023,98
16-05-2023,94
18-05-2023,81
19-05-2023,75
20-05-2023,109
21-05-2023,106
22-05-2023,88
24-05-2023,103
25-05-2023,82
26-05-2023,149
27-05-2023,141
28-05-2023,161
29-05-2023,71
30-05-2023,115
31-05-2023,96
01-06-2023,134
03-06-2023,126
04-06-2023,54
05-06-2023,70
06-06-2023,178
07-06-2023,83
08-06-2023,98
09-06-2023,96
10-06-2023,67
11-06-2023,60
12-06-2023,50
13-06-2023,69
14-06-2023,86
15-06-2023,82
16-06-2023,74
17-06-2023,190
18-06-2023,62
19-06-2023,79
20-06-2023,93
21-06-2023,112
22-06-2023,112
23-06-2023,122
24-06-2023,136
25-06-2023,84
26-06-2023,78
27-06-2023,103
28-06-2023,139
29-06-2023,98
30-06-2023,79
01-07-2023,159
02-07-2023,96
03-07-2023,92
04-07-2023,87
05-07-2023,140
06-07-2023,91
07-07-2023,91
08-07-2023,92
09-07-2023,130
10-07-2023,97
11-07-2023,135
12-07-2023,128
14-07-2023,78
16-07-2023,143
17-07-2023,132
18-07-2023,128
19-07-2023,126
20-07-2023,168
21-07-2023,151
22-07-2023,103
23-07-2023,69
24-07-2023,180
25-07-2023,96
26-07-2023,86
27-07-2023,126
28-07-2023,68
29-07-2023,65
30-07-2023,49
31-07-2023,60
01-08-2023,77
02-08-2023,61
03-08-2023,80
04-08-2023,82
05-08-2023,98
06-08-2023,75
07-08-2023,76
08-08-2023,82
09-08-2023,96
10-08-2023,101
11-08-2023,78
12-08-2023,80
13-08-2023,77
14-08-2023,101
15-08-2023,107
16-08-2023,122
17-08-2023,123
18-08-2023,140
19-08-2023,135
20-08-2023,98
21-08-2023,79
22-08-2023,87
23-08-2023,84
24-08-2023,84
26-08-2023,102
27-08-2023,173
28-08-2023,230
29-08-2023,195
30-08-2023,180
31-08-2023,240
01-09-2023,112
02-09-2023,104
03-09-2023,80
04-09-2023,35
05-09-2023,34
06-09-2023,39
07-09-2023,43
08-09-2023,42
09-09-2023,41
10-09-2023,90
11-09-2023,56
12-09-2023,49
13-09-2023,46
14-09-2023,42
15-09-2023,64
16-09-2023,45
17-09-2023,45
18-09-2023,50
19-09-2023,38
20-09-2023,35
21-09-2023,54
22-09-2023,75
23-09-2023,56
24-09-2023,57
25-09-2023,56
26-09-2023,53
27-09-2023,82
28-09-2023,83
29-09-2023,113
30-09-2023,119
01-10-2023,100
02-10-2023,107
03-10-2023,101
04-10-2023,86
05-10-2023,77
07-10-2023,55
09-10-2023,65
10-10-2023,50
11-10-2023,59
12-10-2023,61
13-10-2023,71
14-10-2023,63
15-10-2023,63
16-10-2023,53
20-10-2023,93
21-10-2023,94
22-10-2023,92
24-10-2023,106
25-10-2023,116
26-10-2023,102
27-10-2023,107
28-10-2023,103
29-10-2023,102
30-10-2023,76
31-10-2023,90
02-11-2023,95
03-11-2023,90
06-11-2023,79
07-11-2023,124
08-11-2023,100
09-11-2023,83
10-11-2023,134
11-11-2023,74
12-11-2023,71
13-11-2023,191
14-11-2023,133
15-11-2023,158
17-11-2023,241
18-11-2023,255
19-11-2023,229
20-11-2023,259
21-11-2023,209
22-11-2023,160
23-11-2023,124
24-11-2023,173
25-11-2023,204
26-11-2023,215
27-11-2023,69
28-11-2023,84
29-11-2023,89
30-11-2023,122
02-12-2023,147
03-12-2023,170
04-12-2023,50
05-12-2023,63
06-12-2023,118
07-12-2023,154
08-12-2023,139
09-12-2023,145
10-12-2023,139
11-12-2023,106
12-12-2023,96
13-12-2023,92
14-12-2023,98
15-12-2023,129
16-12-2023,114
17-12-2023,78
18-12-2023,130
19-12-2023,111
20-12-2023,123
21-12-2023,132
22-12-2023,114
23-12-2023,94
24-12-2023,251
25-12-2023,309
26-12-2023,299
27-12-2023,285
28-12-2023,181
29-12-2023,225
30-12-2023,240
31-12-2023,271
