Date,AQI
23-09-2019,31
24-09-2019,28
25-09-2019,27
26-09-2019,22
27-09-2019,34
28-09-2019,39
29-09-2019,51
30-09-2019,48
01-10-2019,49
04-10-2019,40
05-10-2019,45
06-10-2019,40
10-10-2019,41
11-10-2019,55
12-10-2019,56
16-10-2019,39
17-10-2019,27
18-10-2019,32
19-10-2019,29
20-10-2019,30
21-10-2019,39
26-10-2019,41
27-10-2019,44
28-10-2019,42
29-10-2019,50
30-10-2019,39
31-10-2019,34
01-11-2019,39
02-11-2019,51
03-11-2019,68
04-11-2019,79
05-11-2019,99
06-11-2019,96
07-11-2019,87
08-11-2019,64
09-11-2019,66
10-11-2019,56
11-11-2019,84
12-11-2019,77
13-11-2019,67
14-11-2019,56
15-11-2019,41
16-11-2019,49
17-11-2019,55
18-11-2019,64
19-11-2019,43
20-11-2019,51
21-11-2019,48
22-11-2019,72
23-11-2019,69
24-11-2019,64
25-11-2019,67
26-11-2019,68
27-11-2019,50
28-11-2019,49
29-11-2019,43
30-11-2019,60
01-12-2019,36
02-12-2019,34
03-12-2019,36
04-12-2019,52
05-12-2019,70
06-12-2019,110
07-12-2019,79
08-12-2019,46
09-12-2019,45
10-12-2019,55
11-12-2019,53
12-12-2019,75
13-12-2019,69
14-12-2019,50
15-12-2019,36
16-12-2019,47
17-12-2019,41
24-12-2019,59
29-12-2019,64
31-12-2019,64
01-01-2020,63
02-01-2020,52
03-01-2020,48
04-01-2020,70
05-01-2020,82
06-01-2020,43
07-01-2020,40
08-01-2020,37
09-01-2020,62
10-01-2020,80
11-01-2020,55
12-01-2020,65
13-01-2020,76
14-01-2020,101
15-01-2020,90
16-01-2020,68
17-01-2020,64
18-01-2020,56
19-01-2020,27
20-01-2020,36
21-01-2020,60
22-01-2020,53
23-01-2020,60
24-01-2020,59
25-01-2020,68
26-01-2020,80
27-01-2020,77
28-01-2020,77
29-01-2020,78
30-01-2020,79
31-01-2020,97
01-02-2020,82
04-02-2020,46
05-02-2020,39
06-02-2020,68
07-02-2020,66
08-02-2020,74
09-02-2020,69
10-02-2020,43
11-02-2020,51
12-02-2020,58
13-02-2020,66
14-02-2020,86
15-02-2020,105
16-02-2020,94
17-02-2020,77
18-02-2020,95
19-02-2020,82
20-02-2020,79
21-02-2020,62
22-02-2020,55
23-02-2020,53
24-02-2020,48
25-02-2020,65
26-02-2020,71
27-02-2020,51
28-02-2020,59
29-02-2020,62
01-03-2020,63
03-03-2020,78
04-03-2020,79
05-03-2020,90
06-03-2020,60
07-03-2020,55
08-03-2020,53
