Date,AQI
09-08-2022,123
10-08-2022,120
11-08-2022,103
12-08-2022,110
13-08-2022,106
14-08-2022,97
15-08-2022,74
16-08-2022,78
17-08-2022,122
18-08-2022,110
19-08-2022,124
20-08-2022,156
21-08-2022,134
22-08-2022,143
23-08-2022,133
24-08-2022,140
25-08-2022,156
26-08-2022,107
27-08-2022,28
28-08-2022,36
29-08-2022,45
30-08-2022,47
31-08-2022,30
01-09-2022,19
02-09-2022,24
03-09-2022,29
04-09-2022,26
05-09-2022,34
06-09-2022,22
07-09-2022,27
08-09-2022,30
09-09-2022,68
11-09-2022,49
13-09-2022,45
14-09-2022,45
15-09-2022,39
16-09-2022,46
17-09-2022,50
18-09-2022,47
19-09-2022,31
20-09-2022,37
21-09-2022,43
22-09-2022,44
23-09-2022,46
24-09-2022,51
25-09-2022,51
26-09-2022,46
27-09-2022,52
28-09-2022,55
29-09-2022,47
30-09-2022,37
01-10-2022,34
02-10-2022,37
03-10-2022,23
04-10-2022,34
05-10-2022,47
06-10-2022,60
07-10-2022,57
08-10-2022,48
09-10-2022,37
10-10-2022,31
12-10-2022,14
13-10-2022,34
14-10-2022,28
15-10-2022,18
16-10-2022,16
17-10-2022,16
18-10-2022,25
19-10-2022,34
20-10-2022,22
21-10-2022,21
22-10-2022,41
23-10-2022,38
24-10-2022,33
25-10-2022,196
26-10-2022,56
27-10-2022,98
28-10-2022,95
29-10-2022,52
30-10-2022,36
31-10-2022,67
01-11-2022,68
02-11-2022,37
04-11-2022,28
05-11-2022,14
06-11-2022,21
07-11-2022,36
08-11-2022,40
09-11-2022,37
10-11-2022,38
11-11-2022,40
12-11-2022,16
13-11-2022,31
14-11-2022,18
15-11-2022,24
16-11-2022,76
17-11-2022,113
18-11-2022,116
19-11-2022,99
20-11-2022,95
21-11-2022,132
22-11-2022,94
23-11-2022,74
24-11-2022,67
25-11-2022,77
26-11-2022,54
27-11-2022,51
28-11-2022,68
29-11-2022,94
30-11-2022,97
01-12-2022,63
02-12-2022,33
03-12-2022,22
