Date,AQI
03-01-2019,141
04-01-2019,140
05-01-2019,152
06-01-2019,147
07-01-2019,225
08-01-2019,252
09-01-2019,223
10-01-2019,175
11-01-2019,126
12-01-2019,120
13-01-2019,126
14-01-2019,171
15-01-2019,173
16-01-2019,159
17-01-2019,162
18-01-2019,133
19-01-2019,133
20-01-2019,120
21-01-2019,238
22-01-2019,144
23-01-2019,143
24-01-2019,157
25-01-2019,188
26-01-2019,126
06-02-2019,223
07-02-2019,149
12-02-2019,119
13-02-2019,145
14-02-2019,170
15-02-2019,120
16-02-2019,108
17-02-2019,86
18-02-2019,120
19-02-2019,148
20-02-2019,175
21-02-2019,192
22-02-2019,104
23-02-2019,105
24-02-2019,101
25-02-2019,111
26-02-2019,132
03-03-2019,180
04-03-2019,166
06-03-2019,120
09-03-2019,127
10-03-2019,121
11-03-2019,131
12-03-2019,122
13-03-2019,130
14-03-2019,124
15-03-2019,123
16-03-2019,132
17-03-2019,106
18-03-2019,146
19-03-2019,126
21-03-2019,97
22-03-2019,87
23-03-2019,113
24-03-2019,123
25-03-2019,134
26-03-2019,110
28-03-2019,171
29-03-2019,220
30-03-2019,160
31-03-2019,127
01-04-2019,188
02-04-2019,118
03-04-2019,117
04-04-2019,134
05-04-2019,137
06-04-2019,135
07-04-2019,118
08-04-2019,145
09-04-2019,134
10-04-2019,125
11-04-2019,124
12-04-2019,141
13-04-2019,127
14-04-2019,106
15-04-2019,135
16-04-2019,127
17-04-2019,51
18-04-2019,105
19-04-2019,94
20-04-2019,71
21-04-2019,64
22-04-2019,102
23-04-2019,85
24-04-2019,103
25-04-2019,94
26-04-2019,99
27-04-2019,92
28-04-2019,153
29-04-2019,128
30-04-2019,118
01-05-2019,189
02-05-2019,218
03-05-2019,153
08-05-2019,108
12-05-2019,182
13-05-2019,183
14-05-2019,190
15-05-2019,129
16-05-2019,132
17-05-2019,170
18-05-2019,135
19-05-2019,118
20-05-2019,107
21-05-2019,107
22-05-2019,128
23-05-2019,123
24-05-2019,159
25-05-2019,146
26-05-2019,136
27-05-2019,132
28-05-2019,142
29-05-2019,148
30-05-2019,149
31-05-2019,143
01-06-2019,133
02-06-2019,134
03-06-2019,126
04-06-2019,132
05-06-2019,136
06-06-2019,163
07-06-2019,151
08-06-2019,163
09-06-2019,129
10-06-2019,134
11-06-2019,117
12-06-2019,128
14-06-2019,207
15-06-2019,68
16-06-2019,97
17-06-2019,104
18-06-2019,80
19-06-2019,87
20-06-2019,125
21-06-2019,79
22-06-2019,70
23-06-2019,58
24-06-2019,54
25-06-2019,43
26-06-2019,75
27-06-2019,45
29-06-2019,67
30-06-2019,62
01-07-2019,30
03-07-2019,59
05-07-2019,24
12-07-2019,79
13-07-2019,74
14-07-2019,74
15-07-2019,83
16-07-2019,77
17-07-2019,82
18-07-2019,94
19-07-2019,79
20-07-2019,70
21-07-2019,48
22-07-2019,51
23-07-2019,58
24-07-2019,59
25-07-2019,101
26-07-2019,71
27-07-2019,70
28-07-2019,60
29-07-2019,54
02-08-2019,40
03-08-2019,65
04-08-2019,48
05-08-2019,56
06-08-2019,50
07-08-2019,65
08-08-2019,46
11-08-2019,38
12-08-2019,61
13-08-2019,82
14-08-2019,69
15-08-2019,37
16-08-2019,37
17-08-2019,60
18-08-2019,63
19-08-2019,67
20-08-2019,70
21-08-2019,75
19-09-2019,88
20-09-2019,38
21-09-2019,30
22-09-2019,31
23-09-2019,46
24-09-2019,42
25-09-2019,57
26-09-2019,35
27-09-2019,45
28-09-2019,23
29-09-2019,27
30-09-2019,24
01-10-2019,23
02-10-2019,38
03-10-2019,69
04-10-2019,85
05-10-2019,104
06-10-2019,57
07-10-2019,80
08-10-2019,116
09-10-2019,140
10-10-2019,93
11-10-2019,117
