Date,AQI
10-02-2023,89
11-02-2023,71
12-02-2023,109
13-02-2023,80
14-02-2023,90
15-02-2023,106
16-02-2023,107
17-02-2023,71
18-02-2023,70
19-02-2023,82
20-02-2023,98
21-02-2023,86
22-02-2023,71
23-02-2023,53
24-02-2023,54
25-02-2023,62
26-02-2023,71
27-02-2023,77
28-02-2023,67
01-03-2023,50
02-03-2023,42
03-03-2023,54
04-03-2023,54
05-03-2023,54
06-03-2023,55
07-03-2023,68
08-03-2023,69
09-03-2023,51
10-03-2023,58
11-03-2023,73
12-03-2023,83
13-03-2023,84
14-03-2023,85
15-03-2023,52
16-03-2023,47
17-03-2023,44
19-03-2023,34
20-03-2023,39
21-03-2023,33
22-03-2023,21
23-03-2023,61
24-03-2023,45
25-03-2023,47
26-03-2023,34
30-03-2023,47
31-03-2023,47
01-04-2023,24
02-04-2023,24
03-04-2023,36
04-04-2023,40
05-04-2023,42
06-04-2023,45
07-04-2023,45
08-04-2023,48
09-04-2023,58
10-04-2023,53
11-04-2023,52
12-04-2023,61
13-04-2023,66
14-04-2023,70
15-04-2023,71
16-04-2023,54
17-04-2023,79
18-04-2023,93
19-04-2023,85
20-04-2023,35
21-04-2023,45
22-04-2023,46
23-04-2023,42
24-04-2023,49
25-04-2023,66
26-04-2023,60
27-04-2023,63
28-04-2023,50
29-04-2023,66
30-04-2023,61
01-05-2023,37
02-05-2023,23
03-05-2023,25
04-05-2023,33
05-05-2023,41
06-05-2023,46
07-05-2023,53
08-05-2023,49
09-05-2023,55
10-05-2023,55
11-05-2023,73
12-05-2023,79
13-05-2023,83
14-05-2023,70
15-05-2023,68
16-05-2023,67
17-05-2023,158
18-05-2023,90
19-05-2023,58
20-05-2023,62
21-05-2023,61
22-05-2023,79
23-05-2023,82
24-05-2023,52
25-05-2023,31
26-05-2023,50
27-05-2023,41
28-05-2023,47
29-05-2023,58
30-05-2023,36
31-05-2023,51
02-06-2023,39
03-06-2023,38
04-06-2023,46
05-06-2023,55
06-06-2023,33
07-06-2023,37
08-06-2023,45
09-06-2023,44
10-06-2023,51
11-06-2023,73
12-06-2023,52
13-06-2023,59
14-06-2023,91
15-06-2023,62
16-06-2023,50
17-06-2023,65
18-06-2023,69
19-06-2023,41
20-06-2023,48
21-06-2023,39
22-06-2023,53
23-06-2023,44
24-06-2023,37
25-06-2023,34
26-06-2023,27
27-06-2023,30
28-06-2023,25
29-06-2023,30
30-06-2023,29
01-07-2023,40
02-07-2023,34
03-07-2023,50
04-07-2023,64
05-07-2023,40
06-07-2023,29
07-07-2023,35
08-07-2023,28
09-07-2023,23
10-07-2023,23
18-07-2023,30
19-07-2023,31
20-07-2023,28
21-07-2023,38
22-07-2023,30
23-07-2023,28
24-07-2023,41
25-07-2023,31
26-07-2023,31
27-07-2023,32
28-07-2023,31
29-07-2023,38
30-07-2023,30
31-07-2023,42
01-08-2023,43
02-08-2023,30
03-08-2023,48
04-08-2023,48
05-08-2023,29
06-08-2023,26
07-08-2023,31
08-08-2023,57
09-08-2023,34
10-08-2023,31
12-08-2023,35
13-08-2023,46
14-08-2023,39
15-08-2023,33
16-08-2023,41
23-08-2023,26
24-08-2023,38
25-08-2023,49
26-08-2023,49
27-08-2023,52
28-08-2023,53
29-08-2023,50
30-08-2023,63
31-08-2023,56
01-09-2023,56
02-09-2023,75
03-09-2023,68
04-09-2023,52
05-09-2023,61
07-09-2023,41
08-09-2023,40
09-09-2023,28
10-09-2023,20
11-09-2023,24
12-09-2023,44
13-09-2023,47
14-09-2023,42
15-09-2023,53
16-09-2023,32
17-09-2023,29
18-09-2023,30
19-09-2023,26
20-09-2023,29
21-09-2023,40
22-09-2023,44
23-09-2023,37
24-09-2023,35
25-09-2023,36
26-09-2023,43
27-09-2023,46
28-09-2023,48
29-09-2023,55
30-09-2023,42
01-10-2023,46
02-10-2023,54
03-10-2023,48
04-10-2023,54
05-10-2023,54
06-10-2023,59
07-10-2023,68
08-10-2023,72
09-10-2023,78
10-10-2023,61
11-10-2023,47
12-10-2023,54
13-10-2023,47
14-10-2023,49
15-10-2023,56
16-10-2023,48
17-10-2023,26
18-10-2023,31
19-10-2023,38
20-10-2023,41
21-10-2023,31
22-10-2023,37
23-10-2023,41
24-10-2023,33
25-10-2023,33
26-10-2023,33
27-10-2023,36
28-10-2023,40
29-10-2023,50
30-10-2023,56
31-10-2023,56
01-11-2023,45
02-11-2023,41
03-11-2023,38
04-11-2023,46
05-11-2023,50
06-11-2023,64
07-11-2023,65
08-11-2023,59
09-11-2023,74
10-11-2023,66
11-11-2023,72
12-11-2023,39
13-11-2023,79
14-11-2023,41
15-11-2023,40
16-11-2023,36
17-11-2023,36
18-11-2023,35
19-11-2023,40
20-11-2023,42
21-11-2023,45
22-11-2023,52
23-11-2023,63
24-11-2023,54
25-11-2023,57
26-11-2023,50
27-11-2023,54
28-11-2023,53
29-11-2023,45
30-11-2023,55
01-12-2023,100
02-12-2023,75
03-12-2023,79
04-12-2023,72
05-12-2023,28
06-12-2023,30
07-12-2023,38
08-12-2023,54
09-12-2023,77
10-12-2023,81
11-12-2023,122
12-12-2023,102
13-12-2023,71
14-12-2023,68
15-12-2023,123
16-12-2023,107
17-12-2023,120
18-12-2023,105
19-12-2023,120
20-12-2023,100
21-12-2023,72
22-12-2023,63
23-12-2023,69
24-12-2023,57
25-12-2023,61
26-12-2023,82
27-12-2023,64
28-12-2023,59
29-12-2023,71
