Date,AQI
16-01-2016,203
17-01-2016,237
18-01-2016,243
19-01-2016,187
20-01-2016,269
21-01-2016,300
23-01-2016,127
24-01-2016,102
25-01-2016,96
26-01-2016,82
09-02-2016,49
10-02-2016,41
16-02-2016,68
17-02-2016,70
01-03-2016,52
03-03-2016,62
04-03-2016,58
11-03-2016,36
14-03-2016,39
15-03-2016,43
16-03-2016,41
19-03-2016,31
22-03-2016,36
24-03-2016,40
25-03-2016,42
26-03-2016,44
27-03-2016,43
28-03-2016,45
29-03-2016,38
03-04-2016,34
27-04-2016,55
28-04-2016,37
29-04-2016,49
04-05-2016,34
24-10-2016,42
25-10-2016,40
26-10-2016,40
27-10-2016,41
28-10-2016,39
30-10-2016,48
31-10-2016,64
01-11-2016,90
02-11-2016,52
03-11-2016,53
06-11-2016,52
07-11-2016,55
08-11-2016,52
09-11-2016,53
10-11-2016,53
25-11-2016,65
26-11-2016,71
27-11-2016,183
28-11-2016,134
29-11-2016,217
30-11-2016,275
01-12-2016,285
02-12-2016,304
03-12-2016,318
04-12-2016,336
05-12-2016,312
06-12-2016,304
14-12-2016,283
15-12-2016,298
16-12-2016,313
17-12-2016,315
18-12-2016,310
19-12-2016,320
20-12-2016,286
21-12-2016,260
22-12-2016,266
23-12-2016,260
25-12-2016,139
26-12-2016,295
27-12-2016,303
28-12-2016,285
29-12-2016,278
30-12-2016,300
31-12-2016,296
01-01-2017,282
02-01-2017,305
03-01-2017,327
04-01-2017,291
06-01-2017,135
07-01-2017,104
08-01-2017,213
09-01-2017,289
10-01-2017,273
11-01-2017,235
12-01-2017,218
13-01-2017,226
14-01-2017,266
15-01-2017,276
16-01-2017,186
17-01-2017,269
18-01-2017,306
19-01-2017,37
21-01-2017,40
22-01-2017,40
23-01-2017,40
24-01-2017,40
25-01-2017,85
26-01-2017,76
27-01-2017,71
28-01-2017,159
29-01-2017,90
30-01-2017,70
31-01-2017,40
01-02-2017,64
15-02-2017,299
16-02-2017,104
17-02-2017,289
18-02-2017,299
22-02-2017,234
23-02-2017,219
25-02-2017,99
26-02-2017,41
27-02-2017,108
28-02-2017,151
01-03-2017,83
02-03-2017,85
03-03-2017,55
04-03-2017,38
06-03-2017,81
07-03-2017,55
08-03-2017,43
09-03-2017,70
10-03-2017,51
11-03-2017,111
12-03-2017,105
14-03-2017,90
15-03-2017,76
19-03-2017,86
20-03-2017,152
21-03-2017,135
22-03-2017,100
23-03-2017,59
24-03-2017,57
25-03-2017,75
26-03-2017,99
27-03-2017,65
28-03-2017,58
29-03-2017,35
30-03-2017,55
31-03-2017,59
01-04-2017,42
02-04-2017,38
03-04-2017,82
04-04-2017,119
05-04-2017,94
06-04-2017,34
07-04-2017,206
08-04-2017,274
09-04-2017,130
10-04-2017,78
11-04-2017,68
13-04-2017,192
14-04-2017,164
15-04-2017,90
16-04-2017,129
17-04-2017,199
18-04-2017,174
19-04-2017,113
22-04-2017,193
23-04-2017,271
24-04-2017,250
25-04-2017,156
26-04-2017,161
27-04-2017,200
28-04-2017,201
29-04-2017,153
30-04-2017,178
