Date,AQI
27-11-2022,269
28-11-2022,227
29-11-2022,256
30-11-2022,248
01-12-2022,285
02-12-2022,269
03-12-2022,261
04-12-2022,225
05-12-2022,232
06-12-2022,210
07-12-2022,220
08-12-2022,248
09-12-2022,199
14-12-2022,234
15-12-2022,215
16-12-2022,198
17-12-2022,174
18-12-2022,221
19-12-2022,210
20-12-2022,251
21-12-2022,220
22-12-2022,264
23-12-2022,250
24-12-2022,198
25-12-2022,237
26-12-2022,167
27-12-2022,196
28-12-2022,218
29-12-2022,222
30-12-2022,193
31-12-2022,206
01-01-2023,251
02-01-2023,288
03-01-2023,322
04-01-2023,291
05-01-2023,286
06-01-2023,242
07-01-2023,147
08-01-2023,132
09-01-2023,121
10-01-2023,173
12-01-2023,167
13-01-2023,224
14-01-2023,168
15-01-2023,168
16-01-2023,149
17-01-2023,190
18-01-2023,247
19-01-2023,272
20-01-2023,257
22-01-2023,211
23-01-2023,179
24-01-2023,147
25-01-2023,145
26-01-2023,171
27-01-2023,169
28-01-2023,184
29-01-2023,196
30-01-2023,146
31-01-2023,134
01-02-2023,130
02-02-2023,115
03-02-2023,115
04-02-2023,130
05-02-2023,168
06-02-2023,132
07-02-2023,132
08-02-2023,179
09-02-2023,111
10-02-2023,167
11-02-2023,214
12-02-2023,234
13-02-2023,167
14-02-2023,183
15-02-2023,193
16-02-2023,205
17-02-2023,158
18-02-2023,183
19-02-2023,163
20-02-2023,210
21-02-2023,178
22-02-2023,205
23-02-2023,202
24-02-2023,181
25-02-2023,148
26-02-2023,150
27-02-2023,175
28-02-2023,160
01-03-2023,193
02-03-2023,211
03-03-2023,205
04-03-2023,173
05-03-2023,162
06-03-2023,168
07-03-2023,219
08-03-2023,246
09-03-2023,187
10-03-2023,237
11-03-2023,194
12-03-2023,279
13-03-2023,305
14-03-2023,309
15-03-2023,304
16-03-2023,216
17-03-2023,191
18-03-2023,269
19-03-2023,94
20-03-2023,75
21-03-2023,74
22-03-2023,106
23-03-2023,122
24-03-2023,162
25-03-2023,199
26-03-2023,215
27-03-2023,180
28-03-2023,122
29-03-2023,132
30-03-2023,122
31-03-2023,122
01-04-2023,73
02-04-2023,105
03-04-2023,120
04-04-2023,132
05-04-2023,140
06-04-2023,156
07-04-2023,145
08-04-2023,188
09-04-2023,150
10-04-2023,175
11-04-2023,174
12-04-2023,218
13-04-2023,238
14-04-2023,314
15-04-2023,310
