Date,AQI
03-05-2018,41
04-05-2018,56
06-05-2018,85
07-05-2018,56
08-05-2018,64
09-05-2018,35
10-05-2018,67
11-05-2018,88
12-05-2018,111
13-05-2018,138
14-05-2018,76
15-05-2018,98
16-05-2018,122
17-05-2018,160
18-05-2018,158
20-05-2018,147
21-05-2018,142
22-05-2018,138
23-05-2018,150
24-05-2018,133
25-05-2018,135
26-05-2018,137
27-05-2018,181
28-05-2018,163
29-05-2018,150
01-06-2018,123
02-06-2018,128
03-06-2018,73
04-06-2018,99
05-06-2018,95
06-06-2018,82
07-06-2018,105
09-06-2018,68
10-06-2018,87
11-06-2018,78
12-06-2018,106
13-06-2018,125
14-06-2018,417
15-06-2018,313
16-06-2018,319
17-06-2018,145
18-06-2018,121
19-06-2018,106
20-06-2018,110
21-06-2018,102
22-06-2018,145
23-06-2018,132
24-06-2018,101
25-06-2018,121
26-06-2018,124
27-06-2018,69
28-06-2018,35
29-06-2018,74
30-06-2018,96
01-07-2018,88
02-07-2018,84
06-07-2018,105
07-07-2018,74
08-07-2018,112
09-07-2018,130
10-07-2018,84
11-07-2018,74
12-07-2018,78
13-07-2018,49
14-07-2018,34
15-07-2018,64
16-07-2018,58
17-07-2018,67
18-07-2018,82
19-07-2018,27
20-07-2018,76
21-07-2018,81
24-07-2018,27
25-07-2018,45
26-07-2018,33
27-07-2018,27
28-07-2018,28
29-07-2018,258
30-07-2018,324
01-08-2018,64
05-08-2018,155
06-08-2018,93
07-08-2018,24
08-08-2018,50
09-08-2018,56
10-08-2018,42
11-08-2018,44
12-08-2018,33
13-08-2018,39
14-08-2018,44
15-08-2018,49
16-08-2018,78
17-08-2018,68
18-08-2018,58
21-08-2018,33
22-08-2018,39
23-08-2018,45
25-08-2018,42
28-08-2018,57
30-08-2018,141
31-08-2018,93
01-09-2018,198
02-09-2018,46
03-09-2018,45
04-09-2018,36
05-09-2018,47
06-09-2018,73
07-09-2018,41
08-09-2018,28
09-09-2018,54
10-09-2018,28
11-09-2018,35
12-09-2018,47
13-09-2018,55
14-09-2018,69
15-09-2018,70
16-09-2018,83
17-09-2018,78
18-09-2018,81
19-09-2018,84
20-09-2018,104
21-09-2018,96
25-09-2018,41
26-09-2018,75
27-09-2018,124
28-09-2018,101
30-09-2018,123
01-10-2018,348
04-10-2018,88
06-10-2018,99
07-10-2018,95
10-10-2018,148
11-10-2018,69
12-10-2018,56
13-10-2018,66
15-10-2018,68
16-10-2018,73
18-10-2018,125
21-10-2018,85
22-10-2018,78
23-10-2018,115
25-10-2018,91
30-10-2018,142
31-10-2018,115
01-11-2018,120
02-11-2018,143
04-11-2018,81
05-11-2018,103
07-11-2018,83
08-11-2018,146
09-11-2018,121
10-11-2018,115
11-11-2018,162
12-11-2018,134
13-11-2018,134
15-11-2018,78
16-11-2018,78
21-11-2018,107
22-11-2018,135
23-11-2018,143
25-11-2018,141
26-11-2018,131
27-11-2018,142
28-11-2018,149
29-11-2018,185
01-12-2018,116
02-12-2018,128
03-12-2018,120
04-12-2018,110
05-12-2018,129
06-12-2018,128
07-12-2018,116
08-12-2018,115
09-12-2018,133
10-12-2018,114
11-12-2018,127
12-12-2018,124
13-12-2018,64
15-12-2018,91
16-12-2018,112
18-12-2018,128
19-12-2018,134
20-12-2018,140
21-12-2018,144
22-12-2018,150
23-12-2018,180
24-12-2018,144
25-12-2018,133
26-12-2018,155
27-12-2018,148
28-12-2018,101
29-12-2018,191
30-12-2018,163
31-12-2018,158
01-01-2019,162
03-01-2019,192
04-01-2019,127
05-01-2019,200
06-01-2019,115
08-01-2019,90
09-01-2019,100
10-01-2019,154
11-01-2019,146
12-01-2019,171
13-01-2019,97
14-01-2019,52
15-01-2019,79
17-01-2019,192
19-01-2019,131
20-01-2019,151
21-01-2019,174
22-01-2019,49
23-01-2019,38
24-01-2019,127
25-01-2019,123
26-01-2019,115
27-01-2019,88
28-01-2019,75
29-01-2019,94
30-01-2019,140
31-01-2019,134
01-02-2019,95
02-02-2019,45
03-02-2019,86
04-02-2019,120
05-02-2019,117
06-02-2019,123
07-02-2019,53
08-02-2019,30
09-02-2019,70
12-02-2019,96
13-02-2019,85
14-02-2019,120
16-02-2019,53
17-02-2019,68
18-02-2019,82
19-02-2019,23
20-02-2019,134
21-02-2019,44
22-02-2019,66
24-02-2019,82
25-02-2019,104
26-02-2019,86
27-02-2019,45
28-02-2019,49
01-03-2019,90
02-03-2019,73
03-03-2019,48
06-03-2019,259
07-03-2019,122
09-03-2019,113
10-03-2019,111
11-03-2019,121
12-03-2019,85
13-03-2019,100
14-03-2019,70
15-03-2019,98
16-03-2019,93
17-03-2019,116
18-03-2019,143
19-03-2019,127
20-03-2019,85
21-03-2019,67
22-03-2019,78
23-03-2019,98
28-03-2019,127
31-03-2019,96
01-04-2019,76
03-04-2019,54
04-04-2019,60
05-04-2019,57
06-04-2019,64
07-04-2019,58
08-04-2019,44
09-04-2019,102
10-04-2019,73
11-04-2019,68
12-04-2019,62
15-04-2019,56
16-04-2019,86
17-04-2019,49
18-04-2019,39
19-04-2019,55
20-04-2019,82
21-04-2019,83
23-04-2019,47
24-04-2019,62
25-04-2019,63
26-04-2019,65
27-04-2019,60
28-04-2019,219
29-04-2019,215
30-04-2019,198
01-05-2019,128
02-05-2019,112
03-05-2019,90
04-05-2019,160
05-05-2019,155
06-05-2019,138
07-05-2019,163
08-05-2019,185
09-05-2019,179
10-05-2019,203
12-05-2019,133
13-05-2019,110
14-05-2019,127
15-05-2019,125
16-05-2019,175
17-05-2019,157
18-05-2019,143
19-05-2019,121
20-05-2019,182
21-05-2019,216
22-05-2019,216
23-05-2019,238
24-05-2019,87
25-05-2019,83
26-05-2019,63
27-05-2019,122
28-05-2019,124
29-05-2019,140
30-05-2019,159
31-05-2019,187
01-06-2019,186
02-06-2019,128
03-06-2019,184
04-06-2019,68
05-06-2019,96
06-06-2019,127
07-06-2019,74
08-06-2019,86
09-06-2019,85
10-06-2019,106
11-06-2019,133
12-06-2019,79
13-06-2019,118
14-06-2019,95
15-06-2019,100
16-06-2019,111
17-06-2019,105
18-06-2019,66
19-06-2019,137
20-06-2019,100
22-06-2019,108
23-06-2019,115
24-06-2019,55
25-06-2019,71
26-06-2019,90
27-06-2019,112
28-06-2019,100
29-06-2019,117
30-06-2019,117
01-07-2019,105
02-07-2019,80
03-07-2019,118
04-07-2019,63
05-07-2019,55
06-07-2019,60
07-07-2019,54
08-07-2019,66
09-07-2019,82
10-07-2019,84
11-07-2019,130
12-07-2019,89
13-07-2019,184
14-07-2019,96
15-07-2019,58
16-07-2019,77
17-07-2019,65
18-07-2019,62
19-07-2019,56
20-07-2019,106
21-07-2019,64
22-07-2019,74
23-07-2019,73
24-07-2019,94
25-07-2019,66
26-07-2019,58
27-07-2019,57
28-07-2019,47
29-07-2019,57
30-07-2019,58
31-07-2019,48
01-08-2019,79
02-08-2019,79
03-08-2019,59
06-08-2019,67
07-08-2019,72
08-08-2019,73
09-08-2019,68
10-08-2019,85
11-08-2019,55
12-08-2019,89
13-08-2019,73
14-08-2019,31
15-08-2019,54
18-08-2019,17
20-08-2019,79
21-08-2019,47
22-08-2019,83
23-08-2019,98
24-08-2019,58
25-08-2019,38
26-08-2019,81
27-08-2019,110
28-08-2019,93
29-08-2019,77
30-08-2019,68
31-08-2019,77
01-09-2019,84
02-09-2019,60
03-09-2019,56
04-09-2019,62
05-09-2019,47
06-09-2019,81
07-09-2019,65
08-09-2019,62
09-09-2019,67
10-09-2019,75
11-09-2019,74
12-09-2019,88
13-09-2019,66
14-09-2019,63
15-09-2019,61
16-09-2019,61
17-09-2019,84
18-09-2019,145
19-09-2019,55
20-09-2019,86
22-09-2019,106
23-09-2019,68
24-09-2019,63
25-09-2019,80
26-09-2019,54
27-09-2019,67
28-09-2019,80
29-09-2019,54
30-09-2019,58
01-10-2019,75
02-10-2019,97
03-10-2019,86
04-10-2019,56
05-10-2019,81
06-10-2019,68
07-10-2019,78
08-10-2019,72
09-10-2019,82
10-10-2019,78
11-10-2019,131
13-10-2019,96
14-10-2019,100
15-10-2019,103
16-10-2019,121
17-10-2019,120
18-10-2019,130
19-10-2019,98
20-10-2019,101
21-10-2019,91
22-10-2019,81
23-10-2019,92
24-10-2019,110
25-10-2019,134
26-10-2019,130
27-10-2019,126
28-10-2019,108
29-10-2019,114
30-10-2019,256
31-10-2019,311
01-11-2019,251
02-11-2019,274
03-11-2019,275
06-11-2019,236
07-11-2019,149
08-11-2019,131
09-11-2019,182
10-11-2019,180
11-11-2019,257
12-11-2019,260
13-11-2019,207
14-11-2019,257
16-11-2019,153
17-11-2019,150
19-11-2019,170
20-11-2019,213
21-11-2019,228
23-11-2019,220
24-11-2019,195
25-11-2019,215
26-11-2019,219
27-11-2019,114
28-11-2019,129
29-11-2019,97
30-11-2019,167
01-12-2019,111
02-12-2019,165
03-12-2019,175
04-12-2019,220
05-12-2019,169
06-12-2019,161
07-12-2019,138
08-12-2019,136
09-12-2019,149
10-12-2019,129
12-12-2019,191
13-12-2019,74
14-12-2019,50
15-12-2019,106
16-12-2019,99
17-12-2019,66
18-12-2019,77
19-12-2019,83
20-12-2019,120
21-12-2019,105
22-12-2019,96
23-12-2019,77
24-12-2019,94
25-12-2019,86
26-12-2019,85
27-12-2019,74
28-12-2019,103
29-12-2019,136
30-12-2019,97
31-12-2019,232
01-01-2020,284
02-01-2020,249
03-01-2020,177
04-01-2020,140
05-01-2020,147
06-01-2020,100
07-01-2020,73
08-01-2020,62
09-01-2020,52
10-01-2020,81
11-01-2020,79
12-01-2020,116
14-01-2020,58
15-01-2020,69
