Date,AQI
05-02-2020,65
06-02-2020,61
07-02-2020,64
08-02-2020,70
09-02-2020,62
10-02-2020,77
11-02-2020,66
12-02-2020,58
13-02-2020,101
14-02-2020,83
15-02-2020,71
16-02-2020,94
17-02-2020,124
18-02-2020,110
19-02-2020,101
20-02-2020,65
21-02-2020,79
22-02-2020,75
23-02-2020,70
24-02-2020,57
25-02-2020,70
26-02-2020,93
27-02-2020,83
01-03-2020,65
03-03-2020,55
04-03-2020,51
05-03-2020,74
06-03-2020,79
07-03-2020,86
08-03-2020,81
09-03-2020,52
10-03-2020,53
11-03-2020,31
12-03-2020,58
13-03-2020,55
14-03-2020,67
15-03-2020,86
16-03-2020,66
17-03-2020,78
18-03-2020,76
19-03-2020,72
20-03-2020,56
21-03-2020,76
22-03-2020,69
23-03-2020,68
24-03-2020,80
25-03-2020,69
27-03-2020,34
29-03-2020,22
30-03-2020,31
31-03-2020,32
01-04-2020,45
02-04-2020,51
03-04-2020,43
04-04-2020,42
05-04-2020,45
06-04-2020,44
07-04-2020,65
08-04-2020,63
09-04-2020,67
10-04-2020,68
11-04-2020,48
12-04-2020,72
13-04-2020,61
14-04-2020,78
15-04-2020,50
16-04-2020,60
26-04-2020,64
29-04-2020,57
30-04-2020,72
01-05-2020,62
02-05-2020,82
03-05-2020,93
04-05-2020,66
05-05-2020,54
06-05-2020,60
08-05-2020,57
09-05-2020,98
10-05-2020,66
11-05-2020,49
12-05-2020,56
13-05-2020,77
14-05-2020,78
15-05-2020,58
16-05-2020,44
17-05-2020,48
18-05-2020,46
19-05-2020,63
20-05-2020,123
21-05-2020,110
22-05-2020,97
23-05-2020,105
24-05-2020,100
25-05-2020,98
26-05-2020,91
27-05-2020,90
28-05-2020,101
29-05-2020,110
30-05-2020,90
31-05-2020,103
01-06-2020,99
04-06-2020,59
06-06-2020,50
07-06-2020,47
08-06-2020,38
09-06-2020,56
10-06-2020,75
11-06-2020,75
12-06-2020,94
13-06-2020,51
14-06-2020,40
15-06-2020,25
16-06-2020,30
17-06-2020,59
18-06-2020,49
20-06-2020,31
21-06-2020,52
22-06-2020,68
23-06-2020,46
24-06-2020,50
25-06-2020,53
26-06-2020,64
27-06-2020,24
28-06-2020,45
29-06-2020,55
30-06-2020,44
01-07-2020,44
02-07-2020,42
03-07-2020,52
04-07-2020,28
05-07-2020,40
06-07-2020,32
07-07-2020,37
08-07-2020,46
09-07-2020,55
10-07-2020,66
11-07-2020,66
12-07-2020,39
13-07-2020,39
14-07-2020,52
15-07-2020,28
16-07-2020,43
17-07-2020,51
18-07-2020,33
19-07-2020,33
20-07-2020,32
21-07-2020,27
22-07-2020,49
23-07-2020,55
24-07-2020,23
25-07-2020,35
26-07-2020,20
27-07-2020,34
28-07-2020,44
29-07-2020,32
30-07-2020,32
31-07-2020,38
01-08-2020,41
02-08-2020,25
03-08-2020,23
04-08-2020,44
05-08-2020,17
