Date,AQI
23-11-2021,333
24-11-2021,374
01-12-2021,311
02-12-2021,275
03-12-2021,318
04-12-2021,326
05-12-2021,376
06-12-2021,266
07-12-2021,358
08-12-2021,290
09-12-2021,322
10-12-2021,268
11-12-2021,240
12-12-2021,289
13-12-2021,352
14-12-2021,385
15-12-2021,241
16-12-2021,208
17-12-2021,229
21-12-2021,283
22-12-2021,222
23-12-2021,264
24-12-2021,259
25-12-2021,258
26-12-2021,201
27-12-2021,261
28-12-2021,256
29-12-2021,116
31-12-2021,176
01-01-2022,222
02-01-2022,202
03-01-2022,267
04-01-2022,300
05-01-2022,296
07-01-2022,397
08-01-2022,193
09-01-2022,239
10-01-2022,267
11-01-2022,333
12-01-2022,301
13-01-2022,126
14-01-2022,212
15-01-2022,249
16-01-2022,259
17-01-2022,246
18-01-2022,269
19-01-2022,289
20-01-2022,313
21-01-2022,342
22-01-2022,353
23-01-2022,393
24-01-2022,243
25-01-2022,312
26-01-2022,248
27-01-2022,189
28-01-2022,254
30-01-2022,365
31-01-2022,385
01-02-2022,266
02-02-2022,352
03-02-2022,367
06-02-2022,133
07-02-2022,265
08-02-2022,316
09-02-2022,370
10-02-2022,356
11-02-2022,249
12-02-2022,235
13-02-2022,362
14-02-2022,292
15-02-2022,304
16-02-2022,290
17-02-2022,287
18-02-2022,273
19-02-2022,283
20-02-2022,269
21-02-2022,292
22-02-2022,329
23-02-2022,308
24-02-2022,296
25-02-2022,277
26-02-2022,242
27-02-2022,333
28-02-2022,233
01-03-2022,153
02-03-2022,263
03-03-2022,294
04-03-2022,266
05-03-2022,212
06-03-2022,257
07-03-2022,325
08-03-2022,292
09-03-2022,236
10-03-2022,292
11-03-2022,285
12-03-2022,249
13-03-2022,323
14-03-2022,273
15-03-2022,310
16-03-2022,366
17-03-2022,385
20-03-2022,409
21-03-2022,394
22-03-2022,322
23-03-2022,356
24-03-2022,303
25-03-2022,237
26-03-2022,234
27-03-2022,224
30-03-2022,192
31-03-2022,164
01-04-2022,211
02-04-2022,178
03-04-2022,128
04-04-2022,211
05-04-2022,205
06-04-2022,222
07-04-2022,164
08-04-2022,152
09-04-2022,164
10-04-2022,127
11-04-2022,104
12-04-2022,122
14-04-2022,211
15-04-2022,279
16-04-2022,231
17-04-2022,246
18-04-2022,217
19-04-2022,138
22-04-2022,252
23-04-2022,257
24-04-2022,267
27-04-2022,350
28-04-2022,185
29-04-2022,176
05-05-2022,120
06-05-2022,149
15-05-2022,153
16-05-2022,209
17-05-2022,147
18-05-2022,145
19-05-2022,230
20-05-2022,101
22-05-2022,84
23-05-2022,131
24-05-2022,101
25-05-2022,139
26-05-2022,135
27-05-2022,157
28-05-2022,160
31-05-2022,236
01-06-2022,315
02-06-2022,306
03-06-2022,267
04-06-2022,214
05-06-2022,172
06-06-2022,135
07-06-2022,113
08-06-2022,188
09-06-2022,178
10-06-2022,163
11-06-2022,170
12-06-2022,179
13-06-2022,113
14-06-2022,166
24-06-2022,232
25-06-2022,111
26-06-2022,96
27-06-2022,123
29-06-2022,87
30-06-2022,162
03-07-2022,195
04-07-2022,137
05-07-2022,151
06-07-2022,168
07-07-2022,119
08-07-2022,145
09-07-2022,85
11-07-2022,160
12-07-2022,33
14-07-2022,33
17-07-2022,126
18-07-2022,103
19-07-2022,129
20-07-2022,196
23-07-2022,81
24-07-2022,40
26-07-2022,76
27-07-2022,177
28-07-2022,124
31-07-2022,151
01-08-2022,72
02-08-2022,142
03-08-2022,230
05-08-2022,234
06-08-2022,171
07-08-2022,64
08-08-2022,87
10-08-2022,37
12-08-2022,27
13-08-2022,79
18-08-2022,130
19-08-2022,153
22-08-2022,123
23-08-2022,187
24-08-2022,163
25-08-2022,117
26-08-2022,206
27-08-2022,272
28-08-2022,114
29-08-2022,130
30-08-2022,212
31-08-2022,203
18-09-2022,65
19-09-2022,175
20-09-2022,73
21-09-2022,39
24-09-2022,235
01-10-2022,189
02-10-2022,202
05-10-2022,29
06-10-2022,50
07-10-2022,52
08-10-2022,42
09-10-2022,149
10-10-2022,71
11-10-2022,44
12-10-2022,46
13-10-2022,81
14-10-2022,127
15-10-2022,105
16-10-2022,157
17-10-2022,102
18-10-2022,175
19-10-2022,174
20-10-2022,251
21-10-2022,246
24-10-2022,236
25-10-2022,76
26-10-2022,229
27-10-2022,270
29-10-2022,281
30-10-2022,200
31-10-2022,169
01-11-2022,162
06-11-2022,198
07-11-2022,258
08-11-2022,230
09-11-2022,269
10-11-2022,377
11-11-2022,358
12-11-2022,372
13-11-2022,322
16-11-2022,334
17-11-2022,373
18-11-2022,330
19-11-2022,315
20-11-2022,326
21-11-2022,327
22-11-2022,336
23-11-2022,341
24-11-2022,349
25-11-2022,345
