Date,AQI
03-09-2022,97
04-09-2022,96
08-09-2022,58
10-09-2022,63
11-09-2022,66
12-09-2022,22
13-09-2022,26
14-09-2022,36
15-09-2022,47
16-09-2022,34
23-09-2022,53
27-09-2022,39
25-10-2022,181
26-10-2022,111
27-10-2022,87
01-11-2022,97
02-11-2022,29
03-11-2022,56
04-11-2022,24
05-11-2022,67
06-11-2022,38
07-11-2022,69
08-11-2022,67
12-11-2022,71
13-11-2022,25
14-11-2022,25
19-11-2022,84
20-11-2022,86
21-11-2022,112
22-11-2022,90
23-11-2022,81
24-11-2022,85
26-11-2022,64
27-11-2022,53
28-11-2022,82
29-11-2022,112
30-11-2022,138
01-12-2022,116
03-12-2022,37
08-12-2022,149
13-12-2022,38
14-12-2022,25
15-12-2022,35
16-12-2022,76
17-12-2022,82
18-12-2022,137
19-12-2022,92
20-12-2022,75
21-12-2022,76
22-12-2022,75
23-12-2022,113
24-12-2022,106
27-12-2022,72
28-12-2022,71
29-12-2022,70
30-12-2022,70
31-12-2022,71
01-01-2023,70
02-01-2023,71
04-01-2023,71
05-01-2023,73
06-01-2023,79
08-01-2023,111
10-01-2023,83
12-01-2023,90
13-01-2023,90
14-01-2023,90
17-01-2023,90
19-01-2023,60
20-01-2023,60
24-01-2023,98
25-01-2023,98
26-01-2023,97
27-01-2023,110
31-01-2023,101
01-02-2023,97
02-02-2023,95
03-02-2023,95
04-02-2023,91
08-02-2023,96
09-02-2023,93
15-02-2023,95
16-02-2023,97
17-02-2023,97
18-02-2023,99
19-02-2023,102
20-02-2023,101
21-02-2023,101
24-02-2023,100
01-03-2023,93
07-03-2023,58
08-03-2023,65
09-03-2023,64
10-03-2023,75
11-03-2023,79
12-03-2023,59
13-03-2023,60
14-03-2023,81
17-03-2023,36
21-03-2023,98
22-03-2023,98
25-03-2023,99
26-03-2023,99
27-03-2023,99
29-03-2023,79
01-04-2023,83
03-04-2023,40
04-04-2023,81
06-04-2023,34
07-04-2023,81
08-04-2023,88
09-04-2023,99
10-04-2023,89
11-04-2023,99
12-04-2023,116
13-04-2023,134
14-04-2023,94
29-04-2023,88
30-04-2023,88
05-05-2023,91
07-05-2023,92
10-05-2023,93
11-05-2023,96
15-05-2023,59
18-05-2023,77
19-05-2023,71
20-05-2023,51
22-05-2023,81
26-05-2023,50
07-06-2023,62
15-06-2023,94
21-06-2023,96
22-06-2023,98
23-06-2023,97
27-06-2023,98
04-07-2023,59
08-07-2023,103
09-07-2023,103
11-07-2023,103
12-07-2023,103
18-07-2023,29
19-07-2023,38
20-07-2023,82
21-07-2023,83
22-07-2023,81
23-07-2023,70
24-07-2023,28
25-07-2023,33
28-07-2023,28
29-07-2023,33
01-08-2023,34
02-08-2023,43
03-08-2023,80
11-08-2023,78
12-08-2023,78
17-08-2023,80
19-08-2023,79
21-08-2023,80
25-08-2023,78
30-08-2023,30
31-08-2023,42
03-09-2023,30
05-09-2023,79
06-09-2023,80
09-09-2023,77
10-09-2023,26
11-09-2023,26
12-09-2023,69
14-09-2023,33
16-09-2023,79
17-09-2023,28
19-09-2023,80
20-09-2023,77
22-09-2023,41
23-09-2023,31
24-09-2023,31
25-09-2023,30
26-09-2023,40
28-09-2023,32
29-09-2023,27
30-09-2023,26
01-10-2023,26
02-10-2023,26
04-10-2023,74
05-10-2023,61
06-10-2023,80
07-10-2023,80
10-10-2023,75
11-10-2023,46
13-10-2023,94
14-10-2023,79
17-10-2023,39
18-10-2023,78
19-10-2023,114
21-10-2023,84
22-10-2023,103
26-10-2023,92
27-10-2023,111
28-10-2023,65
31-10-2023,54
03-11-2023,81
04-11-2023,80
05-11-2023,61
06-11-2023,30
07-11-2023,35
10-11-2023,80
11-11-2023,99
12-11-2023,142
14-11-2023,146
15-11-2023,91
16-11-2023,108
18-11-2023,60
20-11-2023,80
22-11-2023,33
23-11-2023,81
24-11-2023,81
25-11-2023,81
28-11-2023,32
29-11-2023,80
30-11-2023,80
01-12-2023,32
02-12-2023,69
03-12-2023,81
05-12-2023,73
06-12-2023,82
08-12-2023,68
13-12-2023,83
14-12-2023,88
15-12-2023,88
16-12-2023,83
17-12-2023,48
18-12-2023,56
19-12-2023,109
20-12-2023,122
21-12-2023,151
22-12-2023,126
23-12-2023,188
24-12-2023,145
27-12-2023,98
28-12-2023,99
29-12-2023,99
31-12-2023,65
