Date,AQI
24-03-2022,320
25-03-2022,286
26-03-2022,232
27-03-2022,282
28-03-2022,363
29-03-2022,304
30-03-2022,289
31-03-2022,240
02-04-2022,196
03-04-2022,173
04-04-2022,234
05-04-2022,281
06-04-2022,318
08-04-2022,188
12-04-2022,193
15-04-2022,287
16-04-2022,309
17-04-2022,386
18-04-2022,367
19-04-2022,265
20-04-2022,288
21-04-2022,176
23-04-2022,260
24-04-2022,287
25-04-2022,347
26-04-2022,289
27-04-2022,340
28-04-2022,188
29-04-2022,259
02-05-2022,141
04-05-2022,92
06-05-2022,178
07-05-2022,189
08-05-2022,253
09-05-2022,183
10-05-2022,126
11-05-2022,128
12-05-2022,137
13-05-2022,281
15-05-2022,126
16-05-2022,147
17-05-2022,131
18-05-2022,136
19-05-2022,199
21-05-2022,142
23-05-2022,150
24-05-2022,157
25-05-2022,166
26-05-2022,96
27-05-2022,235
28-05-2022,210
29-05-2022,123
30-05-2022,180
31-05-2022,192
01-06-2022,249
02-06-2022,297
04-06-2022,268
05-06-2022,187
07-06-2022,149
08-06-2022,159
09-06-2022,183
10-06-2022,134
12-06-2022,187
14-06-2022,142
15-06-2022,167
23-06-2022,182
24-06-2022,148
27-06-2022,127
28-06-2022,193
01-07-2022,175
02-07-2022,93
04-07-2022,147
09-07-2022,122
10-07-2022,126
15-07-2022,116
16-07-2022,115
18-07-2022,88
19-07-2022,164
20-07-2022,138
21-07-2022,118
22-07-2022,106
23-07-2022,109
26-07-2022,113
29-07-2022,110
05-08-2022,139
06-08-2022,143
19-08-2022,75
21-08-2022,51
23-08-2022,132
24-08-2022,134
25-08-2022,251
26-08-2022,140
27-08-2022,118
28-08-2022,64
29-08-2022,110
30-08-2022,151
01-09-2022,123
02-09-2022,121
04-09-2022,73
05-09-2022,97
06-09-2022,149
07-09-2022,122
08-09-2022,98
10-09-2022,160
11-09-2022,81
12-09-2022,72
13-09-2022,61
14-09-2022,67
16-09-2022,55
18-09-2022,86
19-09-2022,141
20-09-2022,84
21-09-2022,132
23-09-2022,135
24-09-2022,148
25-09-2022,83
26-09-2022,143
27-09-2022,102
28-09-2022,135
29-09-2022,107
30-09-2022,83
01-10-2022,119
02-10-2022,127
03-10-2022,118
04-10-2022,48
07-10-2022,100
08-10-2022,87
09-10-2022,205
10-10-2022,104
11-10-2022,58
12-10-2022,96
13-10-2022,165
14-10-2022,161
15-10-2022,90
16-10-2022,173
17-10-2022,133
18-10-2022,175
