Date,AQI
13-06-2023,53
14-06-2023,48
15-06-2023,45
16-06-2023,54
17-06-2023,50
19-06-2023,67
20-06-2023,80
21-06-2023,71
22-06-2023,67
23-06-2023,50
24-06-2023,28
25-06-2023,26
26-06-2023,30
27-06-2023,31
28-06-2023,27
29-06-2023,29
30-06-2023,29
01-07-2023,25
02-07-2023,23
03-07-2023,24
04-07-2023,25
05-07-2023,41
06-07-2023,39
07-07-2023,33
08-07-2023,26
09-07-2023,25
10-07-2023,32
11-07-2023,39
12-07-2023,45
13-07-2023,40
14-07-2023,28
15-07-2023,21
16-07-2023,29
17-07-2023,25
18-07-2023,25
19-07-2023,25
20-07-2023,24
21-07-2023,23
22-07-2023,25
23-07-2023,20
24-07-2023,18
25-07-2023,18
26-07-2023,23
27-07-2023,18
28-07-2023,20
29-07-2023,33
30-07-2023,34
31-07-2023,29
01-08-2023,21
02-08-2023,22
03-08-2023,33
04-08-2023,28
05-08-2023,32
06-08-2023,33
07-08-2023,31
08-08-2023,35
09-08-2023,43
10-08-2023,51
11-08-2023,48
12-08-2023,51
13-08-2023,96
14-08-2023,33
15-08-2023,36
16-08-2023,32
17-08-2023,29
18-08-2023,35
19-08-2023,32
20-08-2023,34
21-08-2023,35
22-08-2023,36
23-08-2023,38
24-08-2023,28
25-08-2023,18
26-08-2023,38
27-08-2023,31
29-08-2023,25
30-08-2023,32
31-08-2023,45
01-09-2023,45
02-09-2023,40
03-09-2023,39
04-09-2023,32
05-09-2023,53
06-09-2023,40
07-09-2023,35
08-09-2023,26
09-09-2023,28
10-09-2023,25
11-09-2023,25
12-09-2023,28
13-09-2023,28
14-09-2023,31
15-09-2023,30
16-09-2023,25
17-09-2023,34
18-09-2023,30
19-09-2023,20
20-09-2023,21
21-09-2023,28
22-09-2023,30
23-09-2023,29
24-09-2023,26
25-09-2023,28
26-09-2023,31
27-09-2023,34
28-09-2023,31
29-09-2023,29
30-09-2023,34
01-10-2023,34
02-10-2023,46
03-10-2023,67
04-10-2023,77
05-10-2023,74
06-10-2023,81
07-10-2023,79
08-10-2023,91
09-10-2023,99
10-10-2023,89
11-10-2023,97
12-10-2023,92
13-10-2023,103
14-10-2023,104
15-10-2023,104
16-10-2023,119
17-10-2023,104
18-10-2023,91
19-10-2023,109
21-10-2023,165
22-10-2023,134
23-10-2023,103
24-10-2023,105
25-10-2023,104
26-10-2023,116
29-10-2023,100
30-10-2023,101
31-10-2023,102
01-11-2023,107
02-11-2023,113
03-11-2023,132
04-11-2023,96
05-11-2023,60
06-11-2023,125
07-11-2023,85
08-11-2023,48
09-11-2023,35
10-11-2023,45
11-11-2023,109
12-11-2023,111
13-11-2023,174
14-11-2023,178
15-11-2023,193
16-11-2023,212
17-11-2023,179
18-11-2023,232
19-11-2023,211
20-11-2023,103
21-11-2023,110
22-11-2023,110
23-11-2023,113
24-11-2023,71
26-11-2023,63
27-11-2023,103
28-11-2023,67
29-11-2023,57
30-11-2023,56
01-12-2023,36
02-12-2023,65
03-12-2023,93
04-12-2023,85
05-12-2023,87
06-12-2023,93
07-12-2023,69
08-12-2023,81
09-12-2023,100
10-12-2023,82
11-12-2023,92
13-12-2023,127
14-12-2023,102
15-12-2023,131
16-12-2023,119
17-12-2023,126
18-12-2023,128
19-12-2023,160
20-12-2023,149
21-12-2023,203
22-12-2023,209
23-12-2023,190
24-12-2023,121
25-12-2023,148
26-12-2023,192
27-12-2023,107
28-12-2023,117
29-12-2023,114
30-12-2023,151
31-12-2023,111
