Date,AQI
13-11-2021,148
14-11-2021,171
15-11-2021,202
16-11-2021,217
17-11-2021,183
18-11-2021,168
19-11-2021,213
20-11-2021,243
21-11-2021,268
24-11-2021,187
25-11-2021,219
26-11-2021,281
27-11-2021,360
28-11-2021,401
29-11-2021,390
30-11-2021,361
01-12-2021,358
02-12-2021,325
03-12-2021,394
05-12-2021,370
06-12-2021,250
07-12-2021,304
08-12-2021,196
09-12-2021,314
10-12-2021,329
11-12-2021,314
12-12-2021,270
13-12-2021,319
14-12-2021,331
15-12-2021,340
16-12-2021,307
17-12-2021,239
18-12-2021,257
19-12-2021,183
20-12-2021,267
21-12-2021,269
22-12-2021,309
23-12-2021,299
25-12-2021,339
26-12-2021,337
27-12-2021,356
28-12-2021,367
29-12-2021,164
30-12-2021,166
31-12-2021,94
01-01-2022,232
02-01-2022,287
03-01-2022,294
04-01-2022,355
05-01-2022,389
06-01-2022,394
07-01-2022,391
08-01-2022,282
09-01-2022,242
10-01-2022,213
11-01-2022,243
12-01-2022,292
13-01-2022,229
14-01-2022,237
15-01-2022,315
16-01-2022,333
17-01-2022,346
18-01-2022,349
19-01-2022,381
20-01-2022,376
21-01-2022,395
22-01-2022,380
23-01-2022,305
24-01-2022,135
25-01-2022,293
26-01-2022,198
27-01-2022,210
28-01-2022,194
29-01-2022,171
30-01-2022,123
31-01-2022,227
01-02-2022,313
02-02-2022,307
03-02-2022,351
04-02-2022,259
05-02-2022,181
06-02-2022,168
07-02-2022,177
09-02-2022,287
10-02-2022,328
11-02-2022,186
12-02-2022,112
13-02-2022,147
14-02-2022,170
15-02-2022,191
16-02-2022,232
17-02-2022,220
18-02-2022,120
19-02-2022,134
20-02-2022,116
21-02-2022,108
22-02-2022,175
23-02-2022,163
24-02-2022,261
26-02-2022,281
27-02-2022,204
28-02-2022,179
01-03-2022,155
02-03-2022,138
03-03-2022,159
04-03-2022,136
05-03-2022,162
06-03-2022,136
07-03-2022,173
08-03-2022,149
09-03-2022,164
10-03-2022,303
11-03-2022,276
12-03-2022,302
13-03-2022,264
14-03-2022,302
15-03-2022,191
16-03-2022,197
17-03-2022,258
18-03-2022,330
19-03-2022,302
20-03-2022,300
21-03-2022,229
23-03-2022,154
24-03-2022,159
25-03-2022,173
27-03-2022,193
28-03-2022,207
29-03-2022,217
30-03-2022,241
31-03-2022,231
01-04-2022,300
02-04-2022,247
03-04-2022,234
04-04-2022,187
05-04-2022,191
06-04-2022,189
07-04-2022,160
08-04-2022,194
09-04-2022,182
10-04-2022,167
11-04-2022,179
12-04-2022,220
14-04-2022,220
15-04-2022,174
16-04-2022,183
17-04-2022,252
18-04-2022,198
19-04-2022,201
20-04-2022,202
21-04-2022,171
22-04-2022,155
24-04-2022,171
25-04-2022,174
01-05-2022,193
02-05-2022,275
03-05-2022,189
04-05-2022,174
05-05-2022,156
06-05-2022,169
07-05-2022,177
08-05-2022,180
09-05-2022,115
12-05-2022,81
13-05-2022,233
14-05-2022,202
15-05-2022,179
16-05-2022,194
17-05-2022,151
18-05-2022,148
19-05-2022,184
20-05-2022,214
21-05-2022,158
22-05-2022,176
23-05-2022,170
24-05-2022,249
25-05-2022,153
26-05-2022,142
28-05-2022,168
29-05-2022,151
30-05-2022,189
31-05-2022,168
01-06-2022,180
02-06-2022,176
06-06-2022,208
07-06-2022,141
08-06-2022,164
10-06-2022,147
11-06-2022,162
12-06-2022,188
13-06-2022,172
14-06-2022,111
15-06-2022,133
16-06-2022,78
17-06-2022,80
23-06-2022,93
24-06-2022,95
25-06-2022,73
26-06-2022,76
28-06-2022,85
29-06-2022,67
30-06-2022,51
01-07-2022,107
02-07-2022,56
03-07-2022,63
04-07-2022,65
05-07-2022,79
08-07-2022,67
09-07-2022,59
