Date,AQI
04-02-2018,151
07-02-2018,132
08-02-2018,119
09-02-2018,117
10-02-2018,201
11-02-2018,135
12-02-2018,61
13-02-2018,92
14-02-2018,66
15-02-2018,70
16-02-2018,111
17-02-2018,132
18-02-2018,225
19-02-2018,132
20-02-2018,164
21-02-2018,110
22-02-2018,121
23-02-2018,176
24-02-2018,116
25-02-2018,137
26-02-2018,115
27-02-2018,124
28-02-2018,142
01-03-2018,106
02-03-2018,107
03-03-2018,100
04-03-2018,109
05-03-2018,134
06-03-2018,94
07-03-2018,92
08-03-2018,127
09-03-2018,116
10-03-2018,110
11-03-2018,108
12-03-2018,123
13-03-2018,259
14-03-2018,247
15-03-2018,152
16-03-2018,167
17-03-2018,143
18-03-2018,179
19-03-2018,214
20-03-2018,190
21-03-2018,160
22-03-2018,298
23-03-2018,114
24-03-2018,112
25-03-2018,96
26-03-2018,105
27-03-2018,156
28-03-2018,137
29-03-2018,126
30-03-2018,151
31-03-2018,159
01-04-2018,99
02-04-2018,76
03-04-2018,114
04-04-2018,126
05-04-2018,125
06-04-2018,126
07-04-2018,97
08-04-2018,74
09-04-2018,89
10-04-2018,119
11-04-2018,89
13-04-2018,88
17-04-2018,103
18-04-2018,112
19-04-2018,114
20-04-2018,123
21-04-2018,115
22-04-2018,166
23-04-2018,116
24-04-2018,108
25-04-2018,127
26-04-2018,125
27-04-2018,127
28-04-2018,122
29-04-2018,146
30-04-2018,140
01-05-2018,70
02-05-2018,76
03-05-2018,63
04-05-2018,73
05-05-2018,94
06-05-2018,124
07-05-2018,110
08-05-2018,136
09-05-2018,109
10-05-2018,112
11-05-2018,153
12-05-2018,109
13-05-2018,116
17-05-2018,154
19-05-2018,119
20-05-2018,134
21-05-2018,130
22-05-2018,147
23-05-2018,175
24-05-2018,135
25-05-2018,341
26-05-2018,500
27-05-2018,500
28-05-2018,446
29-05-2018,147
30-05-2018,120
31-05-2018,85
01-06-2018,83
02-06-2018,93
03-06-2018,129
04-06-2018,124
07-06-2018,119
08-06-2018,144
09-06-2018,140
10-06-2018,63
11-06-2018,66
12-06-2018,106
13-06-2018,146
14-06-2018,133
15-06-2018,121
16-06-2018,117
17-06-2018,100
18-06-2018,103
19-06-2018,92
20-06-2018,108
21-06-2018,142
22-06-2018,120
23-06-2018,126
24-06-2018,66
25-06-2018,79
26-06-2018,64
27-06-2018,79
28-06-2018,58
29-06-2018,71
30-06-2018,72
01-07-2018,68
02-07-2018,66
03-07-2018,67
04-07-2018,65
05-07-2018,58
06-07-2018,60
07-07-2018,119
08-07-2018,82
09-07-2018,82
10-07-2018,66
11-07-2018,61
12-07-2018,49
13-07-2018,55
14-07-2018,76
15-07-2018,59
16-07-2018,44
18-07-2018,53
19-07-2018,68
20-07-2018,64
21-07-2018,52
22-07-2018,387
23-07-2018,387
24-07-2018,425
25-07-2018,255
26-07-2018,57
27-07-2018,62
28-07-2018,84
29-07-2018,60
30-07-2018,61
31-07-2018,53
01-08-2018,55
02-08-2018,98
03-08-2018,144
04-08-2018,122
05-08-2018,117
06-08-2018,87
07-08-2018,78
08-08-2018,59
12-08-2018,52
13-08-2018,58
14-08-2018,67
15-08-2018,75
16-08-2018,97
17-08-2018,100
18-08-2018,102
19-08-2018,97
20-08-2018,88
21-08-2018,94
22-08-2018,80
23-08-2018,75
24-08-2018,61
25-08-2018,56
26-08-2018,53
27-08-2018,101
28-08-2018,100
29-08-2018,88
30-08-2018,105
31-08-2018,104
01-09-2018,104
02-09-2018,104
03-09-2018,103
04-09-2018,104
05-09-2018,75
06-09-2018,57
07-09-2018,103
08-09-2018,98
09-09-2018,136
11-09-2018,62
12-09-2018,65
13-09-2018,72
14-09-2018,68
15-09-2018,77
16-09-2018,82
17-09-2018,70
18-09-2018,80
20-09-2018,94
21-09-2018,68
23-09-2018,72
24-09-2018,103
26-09-2018,104
27-09-2018,102
28-09-2018,116
29-09-2018,132
30-09-2018,111
01-10-2018,118
02-10-2018,138
03-10-2018,161
04-10-2018,141
05-10-2018,111
06-10-2018,106
07-10-2018,132
08-10-2018,168
09-10-2018,162
10-10-2018,391
11-10-2018,88
12-10-2018,82
13-10-2018,80
14-10-2018,162
15-10-2018,203
16-10-2018,160
17-10-2018,140
18-10-2018,129
21-10-2018,108
22-10-2018,107
23-10-2018,130
24-10-2018,157
25-10-2018,144
26-10-2018,108
27-10-2018,138
28-10-2018,139
29-10-2018,144
30-10-2018,99
31-10-2018,84
01-11-2018,90
02-11-2018,97
03-11-2018,101
04-11-2018,114
05-11-2018,118
06-11-2018,136
07-11-2018,163
08-11-2018,187
09-11-2018,153
10-11-2018,179
11-11-2018,205
12-11-2018,169
13-11-2018,139
14-11-2018,178
15-11-2018,132
18-11-2018,170
19-11-2018,126
20-11-2018,130
21-11-2018,147
22-11-2018,139
23-11-2018,145
24-11-2018,178
25-11-2018,140
26-11-2018,139
27-11-2018,120
29-11-2018,111
30-11-2018,131
01-12-2018,121
02-12-2018,105
03-12-2018,151
04-12-2018,175
05-12-2018,158
06-12-2018,194
07-12-2018,118
08-12-2018,94
09-12-2018,141
10-12-2018,101
11-12-2018,110
12-12-2018,101
13-12-2018,91
14-12-2018,129
15-12-2018,109
16-12-2018,160
17-12-2018,124
18-12-2018,125
20-12-2018,185
21-12-2018,146
22-12-2018,142
23-12-2018,122
24-12-2018,167
25-12-2018,190
26-12-2018,152
27-12-2018,136
28-12-2018,108
29-12-2018,152
30-12-2018,187
31-12-2018,131
01-01-2019,174
02-01-2019,133
03-01-2019,216
04-01-2019,191
05-01-2019,99
07-01-2019,129
08-01-2019,95
09-01-2019,113
10-01-2019,120
11-01-2019,107
12-01-2019,154
13-01-2019,275
14-01-2019,204
15-01-2019,95
16-01-2019,107
17-01-2019,116
18-01-2019,170
19-01-2019,165
20-01-2019,195
21-01-2019,136
22-01-2019,106
23-01-2019,104
