Date,AQI
13-03-2023,172
14-03-2023,153
15-03-2023,152
16-03-2023,133
17-03-2023,128
18-03-2023,63
19-03-2023,99
20-03-2023,51
21-03-2023,76
23-03-2023,74
24-03-2023,78
25-03-2023,91
26-03-2023,110
27-03-2023,144
28-03-2023,129
29-03-2023,118
30-03-2023,139
31-03-2023,60
01-04-2023,69
02-04-2023,69
04-04-2023,89
05-04-2023,107
07-04-2023,121
08-04-2023,125
09-04-2023,75
10-04-2023,150
12-04-2023,127
13-04-2023,100
14-04-2023,114
15-04-2023,118
16-04-2023,92
17-04-2023,114
18-04-2023,123
20-04-2023,129
21-04-2023,134
22-04-2023,94
23-04-2023,124
24-04-2023,74
25-04-2023,98
26-04-2023,114
27-04-2023,99
28-04-2023,79
29-04-2023,69
02-05-2023,59
03-05-2023,76
05-05-2023,93
06-05-2023,84
09-05-2023,112
10-05-2023,103
11-05-2023,97
13-05-2023,107
14-05-2023,132
28-05-2023,67
30-05-2023,77
31-05-2023,74
01-06-2023,82
02-06-2023,86
03-06-2023,108
04-06-2023,77
05-06-2023,91
06-06-2023,90
07-06-2023,243
08-06-2023,106
09-06-2023,85
10-06-2023,95
12-06-2023,74
13-06-2023,76
14-06-2023,92
15-06-2023,90
16-06-2023,86
17-06-2023,87
18-06-2023,81
20-06-2023,47
21-06-2023,121
22-06-2023,153
23-06-2023,160
24-06-2023,156
27-06-2023,79
28-06-2023,97
29-06-2023,74
30-06-2023,74
01-07-2023,70
02-07-2023,89
03-07-2023,89
04-07-2023,104
05-07-2023,99
06-07-2023,96
07-07-2023,90
08-07-2023,42
09-07-2023,70
11-07-2023,96
12-07-2023,171
13-07-2023,135
14-07-2023,95
15-07-2023,120
16-07-2023,84
17-07-2023,83
18-07-2023,136
19-07-2023,65
20-07-2023,67
21-07-2023,65
22-07-2023,69
23-07-2023,44
24-07-2023,74
25-07-2023,47
26-07-2023,59
27-07-2023,53
28-07-2023,47
29-07-2023,46
30-07-2023,53
31-07-2023,58
01-08-2023,60
02-08-2023,62
03-08-2023,73
04-08-2023,94
05-08-2023,92
06-08-2023,82
07-08-2023,92
08-08-2023,96
09-08-2023,110
10-08-2023,118
11-08-2023,106
12-08-2023,85
13-08-2023,62
14-08-2023,53
15-08-2023,64
16-08-2023,71
17-08-2023,84
18-08-2023,94
19-08-2023,86
21-08-2023,87
22-08-2023,111
23-08-2023,72
24-08-2023,96
25-08-2023,115
27-08-2023,122
28-08-2023,130
29-08-2023,102
30-08-2023,90
31-08-2023,90
01-09-2023,80
02-09-2023,89
03-09-2023,77
04-09-2023,72
05-09-2023,80
06-09-2023,49
07-09-2023,49
10-09-2023,55
11-09-2023,57
12-09-2023,54
13-09-2023,55
14-09-2023,53
15-09-2023,54
16-09-2023,49
17-09-2023,49
18-09-2023,49
19-09-2023,49
20-09-2023,51
22-09-2023,48
23-09-2023,47
25-09-2023,58
26-09-2023,53
27-09-2023,66
28-09-2023,77
29-09-2023,88
30-09-2023,93
01-10-2023,85
02-10-2023,73
03-10-2023,76
04-10-2023,72
05-10-2023,68
06-10-2023,63
07-10-2023,66
08-10-2023,63
09-10-2023,62
10-10-2023,62
11-10-2023,60
12-10-2023,78
13-10-2023,89
14-10-2023,102
15-10-2023,85
16-10-2023,80
17-10-2023,73
18-10-2023,82
20-10-2023,89
21-10-2023,85
22-10-2023,84
23-10-2023,181
24-10-2023,178
25-10-2023,155
26-10-2023,171
27-10-2023,144
28-10-2023,164
29-10-2023,133
30-10-2023,185
31-10-2023,192
01-11-2023,124
02-11-2023,161
03-11-2023,209
04-11-2023,172
05-11-2023,166
06-11-2023,182
07-11-2023,179
08-11-2023,174
09-11-2023,196
10-11-2023,187
11-11-2023,225
12-11-2023,190
13-11-2023,221
14-11-2023,236
15-11-2023,275
16-11-2023,295
17-11-2023,295
18-11-2023,266
19-11-2023,182
20-11-2023,171
21-11-2023,204
22-11-2023,230
23-11-2023,232
24-11-2023,237
25-11-2023,216
26-11-2023,240
27-11-2023,131
28-11-2023,81
29-11-2023,127
30-11-2023,163
01-12-2023,115
02-12-2023,126
03-12-2023,159
04-12-2023,108
05-12-2023,83
06-12-2023,175
07-12-2023,160
08-12-2023,160
09-12-2023,168
10-12-2023,149
11-12-2023,148
12-12-2023,154
13-12-2023,147
14-12-2023,143
15-12-2023,130
16-12-2023,161
17-12-2023,153
18-12-2023,159
19-12-2023,152
20-12-2023,164
21-12-2023,168
22-12-2023,178
23-12-2023,183
24-12-2023,183
25-12-2023,186
26-12-2023,189
27-12-2023,184
28-12-2023,175
29-12-2023,149
30-12-2023,140
31-12-2023,146
