Date,AQI
17-09-2019,32
18-09-2019,40
19-09-2019,33
20-09-2019,27
21-09-2019,31
22-09-2019,28
23-09-2019,29
24-09-2019,28
25-09-2019,31
26-09-2019,27
27-09-2019,28
28-09-2019,44
29-09-2019,29
30-09-2019,34
01-10-2019,35
02-10-2019,41
03-10-2019,36
04-10-2019,43
10-10-2019,35
11-10-2019,33
12-10-2019,43
13-10-2019,40
14-10-2019,34
15-10-2019,31
16-10-2019,31
17-10-2019,35
18-10-2019,34
19-10-2019,52
20-10-2019,56
21-10-2019,82
22-10-2019,57
23-10-2019,49
24-10-2019,53
25-10-2019,29
24-11-2019,15
25-11-2019,17
26-11-2019,27
27-11-2019,24
28-11-2019,16
11-01-2020,40
12-01-2020,36
13-01-2020,32
14-01-2020,79
15-01-2020,71
18-01-2020,48
19-01-2020,64
20-01-2020,71
21-01-2020,39
23-01-2020,52
24-01-2020,46
25-01-2020,73
26-01-2020,88
27-01-2020,90
28-01-2020,90
29-01-2020,125
30-01-2020,110
31-01-2020,76
01-02-2020,80
02-02-2020,81
03-02-2020,92
04-02-2020,114
05-02-2020,101
06-02-2020,68
07-02-2020,105
08-02-2020,103
09-02-2020,67
10-02-2020,71
11-02-2020,81
12-02-2020,77
14-02-2020,90
15-02-2020,149
17-02-2020,152
18-02-2020,166
19-02-2020,198
20-02-2020,153
21-02-2020,140
25-02-2020,46
26-02-2020,37
27-02-2020,34
28-02-2020,25
29-02-2020,39
01-03-2020,45
02-03-2020,57
03-03-2020,59
04-03-2020,54
05-03-2020,45
06-03-2020,51
07-03-2020,43
08-03-2020,60
09-03-2020,51
10-03-2020,65
11-03-2020,57
12-03-2020,45
13-03-2020,69
14-03-2020,101
15-03-2020,75
16-03-2020,45
17-03-2020,54
18-03-2020,90
19-03-2020,101
20-03-2020,100
21-03-2020,115
22-03-2020,60
24-03-2020,46
25-03-2020,73
26-03-2020,71
27-03-2020,103
28-03-2020,80
29-03-2020,47
30-03-2020,66
31-03-2020,155
01-04-2020,117
02-04-2020,80
03-04-2020,74
02-05-2020,27
03-05-2020,16
04-05-2020,21
05-05-2020,31
06-05-2020,22
07-05-2020,28
08-05-2020,34
09-05-2020,34
10-05-2020,44
11-05-2020,35
12-05-2020,37
13-05-2020,52
14-05-2020,40
15-05-2020,27
20-05-2020,39
22-05-2020,11
23-05-2020,31
24-05-2020,34
25-05-2020,26
26-05-2020,13
27-05-2020,21
28-05-2020,19
29-05-2020,22
30-05-2020,22
31-05-2020,22
01-06-2020,27
02-06-2020,29
03-06-2020,35
04-06-2020,32
05-06-2020,32
06-06-2020,13
07-06-2020,34
08-06-2020,35
09-06-2020,40
10-06-2020,27
11-06-2020,25
12-06-2020,29
13-06-2020,26
18-06-2020,28
19-06-2020,42
20-06-2020,38
21-06-2020,31
22-06-2020,40
23-06-2020,42
24-06-2020,27
25-06-2020,17
27-06-2020,31
28-06-2020,29
29-06-2020,20
30-06-2020,23
01-07-2020,23
02-07-2020,20
03-07-2020,21
04-07-2020,17
05-07-2020,12
08-07-2020,7
13-07-2020,14
17-07-2020,8
18-07-2020,9
19-07-2020,12
20-07-2020,19
21-07-2020,17
31-07-2020,15
01-08-2020,25
03-08-2020,19
04-08-2020,22
05-08-2020,8
07-08-2020,9
08-08-2020,12
09-08-2020,10
10-08-2020,9
11-08-2020,10
12-08-2020,7
13-08-2020,10
15-08-2020,7
16-08-2020,7
17-08-2020,7
18-08-2020,8
19-08-2020,8
20-08-2020,8
21-08-2020,11
22-08-2020,15
24-08-2020,14
25-08-2020,20
26-08-2020,12
27-08-2020,14
01-09-2020,25
02-09-2020,13
03-09-2020,19
04-09-2020,29
05-09-2020,27
06-09-2020,23
07-09-2020,26
08-09-2020,22
09-09-2020,29
10-09-2020,30
11-09-2020,16
12-09-2020,10
13-09-2020,11
14-09-2020,9
15-09-2020,9
17-09-2020,12
18-09-2020,21
19-09-2020,20
20-09-2020,12
21-09-2020,12
22-09-2020,9
23-09-2020,10
24-09-2020,12
27-09-2020,12
28-09-2020,17
29-09-2020,22
30-09-2020,30
01-10-2020,31
02-10-2020,16
03-10-2020,20
04-10-2020,30
05-10-2020,27
06-10-2020,24
08-10-2020,18
10-10-2020,21
11-10-2020,26
12-10-2020,24
13-10-2020,27
14-10-2020,30
15-10-2020,21
16-10-2020,30
17-10-2020,25
18-10-2020,25
19-10-2020,34
20-10-2020,25
21-10-2020,31
22-10-2020,28
23-10-2020,17
24-10-2020,9
25-10-2020,13
26-10-2020,18
27-10-2020,21
28-10-2020,22
29-10-2020,22
30-10-2020,12
31-10-2020,18
01-11-2020,18
02-11-2020,13
03-11-2020,22
04-11-2020,27
05-11-2020,47
06-11-2020,57
07-11-2020,33
08-11-2020,19
09-11-2020,24
10-11-2020,18
13-11-2020,27
15-11-2020,20
16-11-2020,16
17-11-2020,25
18-11-2020,35
19-11-2020,57
20-11-2020,63
21-11-2020,77
22-11-2020,63
23-11-2020,73
24-11-2020,35
25-11-2020,23
27-11-2020,26
28-11-2020,21
29-11-2020,25
30-11-2020,21
01-12-2020,22
02-12-2020,26
05-12-2020,43
11-12-2020,29
12-12-2020,63
13-12-2020,88
14-12-2020,80
15-12-2020,94
16-12-2020,85
17-12-2020,39
24-12-2020,29
25-12-2020,23
26-12-2020,23
27-12-2020,20
28-12-2020,21
29-12-2020,24
30-12-2020,21
31-12-2020,25
01-01-2021,23
02-01-2021,23
03-01-2021,26
04-01-2021,25
05-01-2021,24
06-01-2021,28
07-01-2021,31
15-01-2021,63
18-01-2021,35
20-01-2021,62
21-01-2021,66
19-02-2021,16
27-02-2021,79
28-02-2021,84
01-03-2021,78
02-03-2021,73
03-03-2021,51
05-03-2021,144
06-03-2021,67
13-03-2021,40
14-03-2021,43
15-03-2021,41
16-03-2021,42
17-03-2021,53
18-03-2021,43
19-03-2021,48
20-03-2021,49
21-03-2021,67
22-03-2021,49
23-03-2021,71
24-03-2021,75
25-03-2021,64
26-03-2021,80
27-03-2021,113
28-03-2021,109
29-03-2021,145
31-03-2021,52
06-04-2021,80
07-04-2021,61
08-04-2021,51
28-04-2021,42
06-05-2021,20
07-05-2021,18
09-05-2021,22
10-05-2021,21
11-05-2021,12
12-05-2021,13
13-05-2021,11
14-05-2021,10
15-05-2021,17
16-05-2021,21
17-05-2021,21
18-05-2021,22
19-05-2021,20
20-05-2021,26
15-07-2021,13
16-07-2021,14
17-07-2021,12
18-07-2021,11
19-07-2021,11
20-07-2021,12
21-07-2021,13
22-07-2021,12
23-07-2021,13
24-07-2021,14
26-07-2021,13
27-07-2021,13
28-07-2021,14
29-07-2021,13
31-07-2021,13
01-08-2021,13
02-08-2021,12
03-08-2021,12
04-08-2021,13
06-08-2021,13
07-08-2021,11
09-08-2021,12
14-08-2021,16
15-08-2021,16
16-08-2021,17
17-08-2021,17
20-08-2021,16
21-08-2021,14
23-08-2021,15
26-08-2021,16
28-08-2021,15
29-08-2021,16
30-08-2021,17
01-09-2021,16
02-09-2021,15
03-09-2021,15
04-09-2021,15
05-09-2021,15
06-09-2021,16
07-09-2021,15
08-09-2021,16
09-09-2021,15
10-09-2021,14
11-09-2021,14
12-09-2021,14
13-09-2021,15
14-09-2021,17
15-09-2021,16
22-09-2021,15
23-09-2021,16
24-09-2021,16
25-09-2021,15
26-09-2021,15
27-09-2021,18
28-09-2021,19
29-09-2021,18
30-09-2021,18
01-10-2021,16
02-10-2021,17
05-10-2021,16
06-10-2021,15
07-10-2021,16
08-10-2021,18
09-10-2021,20
10-10-2021,17
11-10-2021,18
12-10-2021,20
21-10-2021,18
25-10-2021,18
26-10-2021,21
29-10-2021,11
30-10-2021,13
31-10-2021,12
01-11-2021,13
02-11-2021,20
03-11-2021,14
04-11-2021,16
05-11-2021,22
06-11-2021,12
07-11-2021,11
08-11-2021,11
09-11-2021,12
10-11-2021,13
18-11-2021,12
20-11-2021,25
21-11-2021,33
22-11-2021,28
23-11-2021,35
24-11-2021,38
01-12-2021,21
02-12-2021,21
03-12-2021,22
04-12-2021,24
05-12-2021,26
06-12-2021,28
07-12-2021,24
09-12-2021,22
10-12-2021,23
11-12-2021,26
12-12-2021,28
13-12-2021,21
14-12-2021,24
15-12-2021,22
18-12-2021,19
19-12-2021,25
20-12-2021,15
21-12-2021,17
22-12-2021,19
23-12-2021,11
24-12-2021,19
25-12-2021,20
26-12-2021,19
27-12-2021,19
28-12-2021,19
29-12-2021,20
30-12-2021,19
31-12-2021,21
01-01-2022,20
02-01-2022,18
03-01-2022,27
04-01-2022,33
05-01-2022,30
06-01-2022,13
07-01-2022,36
08-01-2022,35
09-01-2022,30
10-01-2022,34
14-01-2022,23
15-01-2022,31
16-01-2022,28
17-01-2022,27
18-01-2022,17
19-01-2022,20
20-01-2022,21
21-01-2022,45
22-01-2022,27
23-01-2022,28
24-01-2022,32
30-01-2022,52
31-01-2022,44
02-02-2022,41
03-02-2022,39
04-02-2022,49
09-02-2022,36
16-02-2022,40
18-02-2022,54
19-02-2022,60
20-02-2022,49
23-02-2022,49
25-02-2022,50
26-02-2022,36
02-03-2022,56
03-03-2022,60
04-03-2022,45
