Date,AQI
10-11-2020,82
12-11-2020,78
13-11-2020,56
14-11-2020,45
15-11-2020,53
16-11-2020,60
17-11-2020,38
18-11-2020,34
19-11-2020,89
20-11-2020,51
21-11-2020,35
26-11-2020,68
27-11-2020,50
28-11-2020,32
29-11-2020,37
30-11-2020,53
01-12-2020,67
02-12-2020,78
03-12-2020,79
04-12-2020,77
05-12-2020,59
06-12-2020,76
10-12-2020,57
11-12-2020,61
12-12-2020,70
13-12-2020,84
14-12-2020,62
15-12-2020,79
16-12-2020,107
17-12-2020,92
18-12-2020,74
19-12-2020,84
20-12-2020,84
21-12-2020,84
22-12-2020,97
23-12-2020,106
24-12-2020,88
25-12-2020,81
26-12-2020,71
27-12-2020,94
28-12-2020,107
29-12-2020,148
30-12-2020,135
31-12-2020,66
01-01-2021,60
02-01-2021,66
03-01-2021,61
04-01-2021,57
05-01-2021,60
06-01-2021,57
07-01-2021,61
08-01-2021,42
09-01-2021,35
10-01-2021,62
11-01-2021,54
14-01-2021,58
15-01-2021,51
16-01-2021,48
17-01-2021,61
18-01-2021,83
19-01-2021,96
20-01-2021,92
23-01-2021,143
25-01-2021,95
26-01-2021,64
27-01-2021,78
29-01-2021,104
30-01-2021,115
31-01-2021,39
01-02-2021,69
02-02-2021,66
03-02-2021,58
04-02-2021,55
05-02-2021,96
06-02-2021,84
07-02-2021,107
08-02-2021,95
09-02-2021,96
10-02-2021,95
12-02-2021,88
13-02-2021,98
14-02-2021,76
15-02-2021,73
16-02-2021,86
17-02-2021,82
18-02-2021,75
19-02-2021,87
20-02-2021,64
21-02-2021,59
22-02-2021,85
23-02-2021,100
24-02-2021,131
25-02-2021,75
26-02-2021,65
27-02-2021,88
28-02-2021,82
01-03-2021,93
02-03-2021,84
03-03-2021,66
04-03-2021,66
05-03-2021,56
06-03-2021,60
07-03-2021,41
08-03-2021,56
09-03-2021,58
10-03-2021,55
18-03-2021,66
20-03-2021,59
21-03-2021,48
22-03-2021,65
24-03-2021,61
25-03-2021,64
26-03-2021,60
27-03-2021,68
28-03-2021,57
29-03-2021,69
30-03-2021,72
31-03-2021,65
01-04-2021,56
02-04-2021,59
03-04-2021,61
04-04-2021,62
05-04-2021,68
06-04-2021,80
07-04-2021,69
08-04-2021,62
10-04-2021,63
11-04-2021,70
16-04-2021,62
17-04-2021,61
18-04-2021,63
19-04-2021,53
20-04-2021,57
21-04-2021,54
22-04-2021,51
23-04-2021,71
24-04-2021,69
25-04-2021,71
26-04-2021,62
27-04-2021,59
28-04-2021,68
29-04-2021,48
30-04-2021,63
01-05-2021,67
02-05-2021,49
03-05-2021,51
04-05-2021,53
05-05-2021,52
13-05-2021,57
14-05-2021,50
15-05-2021,50
19-05-2021,48
20-05-2021,47
21-05-2021,50
22-05-2021,52
23-05-2021,46
24-05-2021,42
25-05-2021,43
26-05-2021,50
27-05-2021,48
28-05-2021,45
29-05-2021,46
30-05-2021,45
31-05-2021,51
01-06-2021,37
02-06-2021,36
03-06-2021,31
04-06-2021,39
05-06-2021,40
06-06-2021,35
07-06-2021,41
15-06-2021,34
16-06-2021,37
17-06-2021,43
18-06-2021,38
19-06-2021,34
20-06-2021,39
21-06-2021,36
23-06-2021,45
24-06-2021,41
25-06-2021,51
26-06-2021,41
27-06-2021,36
28-06-2021,36
29-06-2021,38
30-06-2021,42
01-07-2021,39
02-07-2021,38
03-07-2021,41
04-07-2021,36
05-07-2021,39
06-07-2021,41
07-07-2021,37
08-07-2021,41
09-07-2021,50
10-07-2021,50
11-07-2021,49
12-07-2021,48
13-07-2021,42
14-07-2021,35
15-07-2021,34
16-07-2021,32
17-07-2021,33
18-07-2021,38
19-07-2021,40
21-07-2021,41
22-07-2021,39
23-07-2021,32
24-07-2021,40
25-07-2021,33
26-07-2021,39
27-07-2021,41
28-07-2021,41
29-07-2021,42
30-07-2021,46
31-07-2021,40
01-08-2021,36
02-08-2021,41
03-08-2021,45
04-08-2021,202
05-08-2021,40
06-08-2021,41
07-08-2021,45
08-08-2021,50
09-08-2021,44
10-08-2021,38
11-08-2021,47
12-08-2021,42
13-08-2021,40
14-08-2021,48
15-08-2021,44
16-08-2021,36
17-08-2021,40
18-08-2021,42
19-08-2021,41
20-08-2021,42
21-08-2021,39
22-08-2021,38
23-08-2021,41
24-08-2021,40
25-08-2021,40
26-08-2021,46
27-08-2021,41
28-08-2021,34
29-08-2021,40
02-09-2021,41
03-09-2021,43
04-09-2021,41
05-09-2021,43
06-09-2021,46
07-09-2021,42
08-09-2021,42
12-09-2021,54
13-09-2021,40
14-09-2021,35
15-09-2021,42
16-09-2021,41
17-09-2021,43
18-09-2021,40
19-09-2021,44
20-09-2021,41
21-09-2021,40
22-09-2021,40
23-09-2021,44
24-09-2021,37
25-09-2021,40
26-09-2021,43
27-09-2021,51
28-09-2021,41
29-09-2021,40
30-09-2021,40
06-10-2021,35
07-10-2021,36
08-10-2021,40
09-10-2021,38
10-10-2021,41
11-10-2021,37
12-10-2021,37
13-10-2021,38
14-10-2021,39
15-10-2021,45
16-10-2021,38
17-10-2021,39
18-10-2021,39
19-10-2021,42
20-10-2021,41
21-10-2021,38
22-10-2021,42
23-10-2021,41
24-10-2021,41
25-10-2021,40
26-10-2021,43
27-10-2021,43
28-10-2021,42
29-10-2021,46
30-10-2021,39
31-10-2021,38
01-11-2021,50
02-11-2021,41
03-11-2021,43
04-11-2021,48
05-11-2021,43
06-11-2021,43
07-11-2021,41
08-11-2021,46
09-11-2021,44
10-11-2021,54
11-11-2021,58
12-11-2021,53
13-11-2021,41
14-11-2021,39
16-11-2021,37
17-11-2021,37
18-11-2021,41
24-11-2021,42
25-11-2021,46
26-11-2021,45
27-11-2021,44
28-11-2021,38
29-11-2021,43
30-11-2021,51
01-12-2021,46
02-12-2021,44
03-12-2021,46
04-12-2021,49
05-12-2021,54
06-12-2021,34
07-12-2021,36
08-12-2021,39
09-12-2021,50
10-12-2021,49
11-12-2021,51
12-12-2021,48
13-12-2021,50
14-12-2021,50
15-12-2021,50
16-12-2021,50
17-12-2021,52
19-12-2021,54
20-12-2021,50
21-12-2021,49
22-12-2021,48
23-12-2021,50
24-12-2021,51
25-12-2021,49
26-12-2021,50
27-12-2021,50
28-12-2021,49
29-12-2021,49
30-12-2021,50
31-12-2021,50
01-01-2022,49
02-01-2022,48
03-01-2022,50
04-01-2022,49
05-01-2022,50
06-01-2022,48
07-01-2022,49
08-01-2022,50
09-01-2022,55
10-01-2022,52
11-01-2022,54
12-01-2022,50
13-01-2022,49
14-01-2022,48
15-01-2022,54
16-01-2022,52
17-01-2022,54
18-01-2022,49
19-01-2022,48
20-01-2022,49
21-01-2022,51
22-01-2022,51
23-01-2022,51
24-01-2022,51
25-01-2022,51
26-01-2022,54
27-01-2022,91
28-01-2022,62
29-01-2022,55
30-01-2022,64
31-01-2022,56
01-02-2022,64
02-02-2022,65
03-02-2022,64
04-02-2022,56
05-02-2022,61
06-02-2022,62
07-02-2022,62
08-02-2022,59
09-02-2022,64
10-02-2022,65
11-02-2022,52
12-02-2022,55
13-02-2022,59
14-02-2022,57
15-02-2022,58
16-02-2022,61
17-02-2022,66
18-02-2022,86
19-02-2022,97
20-02-2022,66
21-02-2022,69
22-02-2022,62
23-02-2022,82
24-02-2022,71
25-02-2022,85
26-02-2022,62
27-02-2022,50
28-02-2022,48
01-03-2022,55
02-03-2022,55
03-03-2022,47
04-03-2022,48
05-03-2022,63
06-03-2022,65
08-03-2022,52
09-03-2022,52
10-03-2022,67
11-03-2022,73
12-03-2022,90
13-03-2022,162
14-03-2022,155
15-03-2022,94
16-03-2022,74
17-03-2022,67
18-03-2022,94
19-03-2022,58
20-03-2022,60
21-03-2022,61
22-03-2022,56
23-03-2022,67
24-03-2022,62
25-03-2022,71
26-03-2022,56
27-03-2022,56
28-03-2022,60
29-03-2022,60
30-03-2022,56
31-03-2022,78
01-04-2022,55
02-04-2022,55
03-04-2022,71
04-04-2022,62
05-04-2022,78
06-04-2022,57
07-04-2022,54
08-04-2022,53
09-04-2022,56
10-04-2022,58
11-04-2022,58
12-04-2022,59
13-04-2022,61
14-04-2022,57
15-04-2022,53
16-04-2022,51
17-04-2022,109
18-04-2022,81
19-04-2022,59
20-04-2022,61
21-04-2022,67
22-04-2022,58
23-04-2022,54
25-04-2022,54
26-04-2022,64
27-04-2022,68
28-04-2022,63
29-04-2022,61
30-04-2022,59
01-05-2022,62
02-05-2022,57
03-05-2022,60
04-05-2022,62
05-05-2022,55
06-05-2022,59
07-05-2022,64
08-05-2022,63
09-05-2022,58
10-05-2022,57
11-05-2022,54
12-05-2022,48
13-05-2022,53
14-05-2022,53
15-05-2022,54
16-05-2022,60
17-05-2022,59
18-05-2022,45
19-05-2022,41
20-05-2022,43
21-05-2022,59
22-05-2022,61
23-05-2022,61
24-05-2022,61
25-05-2022,63
26-05-2022,59
27-05-2022,55
28-05-2022,58
29-05-2022,59
02-06-2022,45
03-06-2022,50
04-06-2022,61
05-06-2022,48
06-06-2022,68
07-06-2022,51
08-06-2022,54
09-06-2022,52
10-06-2022,49
11-06-2022,50
12-06-2022,50
13-06-2022,46
14-06-2022,60
15-06-2022,62
16-06-2022,53
17-06-2022,86
18-06-2022,60
19-06-2022,55
20-06-2022,52
21-06-2022,50
22-06-2022,52
23-06-2022,52
24-06-2022,52
25-06-2022,49
26-06-2022,48
27-06-2022,49
28-06-2022,53
29-06-2022,51
01-07-2022,51
02-07-2022,47
03-07-2022,47
04-07-2022,52
05-07-2022,49
06-07-2022,47
07-07-2022,54
08-07-2022,48
09-07-2022,46
10-07-2022,47
11-07-2022,41
12-07-2022,45
13-07-2022,44
14-07-2022,45
16-07-2022,43
17-07-2022,37
18-07-2022,42
19-07-2022,42
20-07-2022,88
21-07-2022,43
22-07-2022,42
23-07-2022,48
24-07-2022,40
25-07-2022,48
26-07-2022,42
27-07-2022,40
28-07-2022,42
29-07-2022,43
30-07-2022,69
31-07-2022,52
01-08-2022,52
02-08-2022,49
03-08-2022,48
04-08-2022,74
05-08-2022,43
06-08-2022,47
07-08-2022,44
08-08-2022,44
09-08-2022,44
10-08-2022,42
11-08-2022,42
12-08-2022,52
13-08-2022,44
14-08-2022,46
15-08-2022,43
16-08-2022,44
17-08-2022,48
18-08-2022,42
19-08-2022,44
20-08-2022,41
21-08-2022,45
22-08-2022,46
23-08-2022,46
24-08-2022,45
25-08-2022,42
26-08-2022,42
27-08-2022,43
28-08-2022,41
29-08-2022,38
30-08-2022,49
31-08-2022,45
01-09-2022,43
02-09-2022,44
03-09-2022,43
04-09-2022,47
05-09-2022,46
06-09-2022,44
07-09-2022,48
08-09-2022,46
09-09-2022,53
10-09-2022,46
11-09-2022,45
12-09-2022,45
13-09-2022,45
14-09-2022,45
15-09-2022,73
16-09-2022,53
17-09-2022,44
18-09-2022,48
19-09-2022,45
20-09-2022,70
21-09-2022,43
22-09-2022,48
23-09-2022,41
24-09-2022,42
25-09-2022,42
26-09-2022,45
27-09-2022,60
28-09-2022,44
29-09-2022,44
30-09-2022,45
01-10-2022,45
02-10-2022,45
03-10-2022,43
04-10-2022,42
05-10-2022,43
06-10-2022,51
07-10-2022,48
08-10-2022,53
09-10-2022,53
10-10-2022,45
11-10-2022,40
12-10-2022,44
13-10-2022,42
14-10-2022,47
15-10-2022,64
16-10-2022,63
17-10-2022,56
18-10-2022,47
19-10-2022,95
20-10-2022,44
21-10-2022,50
22-10-2022,69
23-10-2022,88
24-10-2022,116
25-10-2022,66
26-10-2022,65
27-10-2022,61
28-10-2022,64
29-10-2022,54
30-10-2022,58
31-10-2022,58
01-11-2022,64
02-11-2022,63
03-11-2022,44
04-11-2022,44
05-11-2022,45
06-11-2022,45
07-11-2022,53
08-11-2022,56
09-11-2022,64
10-11-2022,59
