Date,AQI
13-03-2023,196
14-03-2023,184
15-03-2023,163
16-03-2023,134
17-03-2023,77
18-03-2023,122
19-03-2023,98
20-03-2023,77
21-03-2023,87
22-03-2023,96
23-03-2023,95
24-03-2023,63
25-03-2023,116
26-03-2023,182
27-03-2023,130
28-03-2023,120
29-03-2023,153
30-03-2023,177
31-03-2023,61
01-04-2023,73
02-04-2023,77
03-04-2023,103
04-04-2023,88
05-04-2023,82
06-04-2023,176
07-04-2023,112
08-04-2023,131
09-04-2023,179
10-04-2023,144
11-04-2023,168
12-04-2023,135
13-04-2023,168
14-04-2023,212
15-04-2023,171
16-04-2023,132
17-04-2023,180
18-04-2023,134
19-04-2023,167
20-04-2023,154
21-04-2023,194
22-04-2023,208
23-04-2023,132
24-04-2023,128
25-04-2023,162
26-04-2023,167
27-04-2023,188
28-04-2023,126
29-04-2023,104
30-04-2023,70
01-05-2023,81
02-05-2023,91
03-05-2023,112
04-05-2023,117
05-05-2023,124
06-05-2023,129
07-05-2023,103
09-05-2023,178
10-05-2023,139
11-05-2023,158
12-05-2023,164
13-05-2023,166
14-05-2023,244
15-05-2023,86
16-05-2023,123
17-05-2023,159
18-05-2023,192
19-05-2023,162
20-05-2023,162
21-05-2023,171
22-05-2023,133
23-05-2023,115
24-05-2023,86
25-05-2023,83
27-05-2023,86
28-05-2023,72
29-05-2023,65
30-05-2023,123
01-06-2023,89
02-06-2023,73
03-06-2023,91
04-06-2023,133
05-06-2023,110
06-06-2023,93
07-06-2023,106
08-06-2023,172
10-06-2023,120
11-06-2023,210
12-06-2023,151
13-06-2023,107
14-06-2023,122
15-06-2023,111
16-06-2023,71
17-06-2023,62
18-06-2023,48
19-06-2023,50
20-06-2023,78
21-06-2023,84
22-06-2023,95
23-06-2023,96
24-06-2023,98
25-06-2023,55
26-06-2023,69
27-06-2023,74
28-06-2023,62
30-06-2023,132
01-07-2023,43
02-07-2023,50
03-07-2023,38
04-07-2023,104
05-07-2023,89
07-07-2023,74
08-07-2023,89
09-07-2023,63
10-07-2023,50
11-07-2023,83
12-07-2023,62
13-07-2023,86
14-07-2023,66
15-07-2023,91
16-07-2023,90
17-07-2023,69
18-07-2023,112
19-07-2023,63
20-07-2023,79
21-07-2023,55
22-07-2023,70
23-07-2023,64
24-07-2023,103
25-07-2023,101
26-07-2023,52
27-07-2023,63
28-07-2023,49
29-07-2023,39
30-07-2023,54
31-07-2023,48
01-08-2023,69
02-08-2023,75
03-08-2023,77
04-08-2023,78
05-08-2023,85
06-08-2023,83
07-08-2023,88
08-08-2023,90
09-08-2023,110
11-08-2023,112
12-08-2023,112
13-08-2023,91
14-08-2023,99
15-08-2023,125
16-08-2023,97
17-08-2023,96
18-08-2023,108
19-08-2023,111
20-08-2023,81
21-08-2023,103
22-08-2023,68
23-08-2023,86
24-08-2023,85
25-08-2023,121
26-08-2023,152
27-08-2023,244
28-08-2023,148
29-08-2023,103
30-08-2023,103
31-08-2023,105
01-09-2023,103
02-09-2023,105
03-09-2023,100
05-09-2023,105
06-09-2023,108
07-09-2023,98
08-09-2023,88
09-09-2023,78
10-09-2023,45
11-09-2023,52
12-09-2023,91
13-09-2023,75
14-09-2023,83
15-09-2023,62
16-09-2023,79
17-09-2023,45
18-09-2023,31
19-09-2023,39
20-09-2023,66
21-09-2023,72
22-09-2023,80
23-09-2023,75
24-09-2023,82
26-09-2023,68
27-09-2023,111
28-09-2023,133
29-09-2023,151
30-09-2023,119
01-10-2023,100
02-10-2023,122
03-10-2023,105
04-10-2023,96
05-10-2023,90
06-10-2023,71
07-10-2023,106
08-10-2023,108
09-10-2023,108
10-10-2023,111
11-10-2023,148
12-10-2023,175
13-10-2023,126
14-10-2023,121
15-10-2023,112
16-10-2023,121
17-10-2023,103
18-10-2023,95
19-10-2023,93
20-10-2023,113
21-10-2023,119
22-10-2023,131
23-10-2023,84
24-10-2023,127
25-10-2023,146
26-10-2023,139
27-10-2023,176
28-10-2023,126
29-10-2023,192
30-10-2023,138
31-10-2023,231
01-11-2023,186
02-11-2023,213
03-11-2023,189
04-11-2023,245
05-11-2023,200
06-11-2023,190
07-11-2023,214
08-11-2023,245
09-11-2023,250
10-11-2023,136
11-11-2023,147
12-11-2023,172
13-11-2023,268
14-11-2023,241
15-11-2023,295
16-11-2023,452
17-11-2023,341
18-11-2023,276
19-11-2023,208
20-11-2023,244
21-11-2023,309
22-11-2023,368
23-11-2023,283
24-11-2023,233
25-11-2023,244
26-11-2023,269
27-11-2023,229
28-11-2023,277
29-11-2023,198
30-11-2023,295
01-12-2023,245
02-12-2023,317
03-12-2023,211
04-12-2023,183
05-12-2023,201
06-12-2023,187
07-12-2023,160
08-12-2023,216
09-12-2023,223
10-12-2023,219
11-12-2023,202
12-12-2023,183
13-12-2023,174
14-12-2023,200
15-12-2023,170
16-12-2023,196
17-12-2023,186
18-12-2023,242
19-12-2023,212
20-12-2023,235
21-12-2023,279
22-12-2023,214
23-12-2023,236
24-12-2023,355
25-12-2023,202
26-12-2023,200
27-12-2023,160
28-12-2023,248
29-12-2023,182
30-12-2023,253
31-12-2023,209
