Date,AQI
13-03-2023,76
14-03-2023,78
15-03-2023,80
16-03-2023,65
17-03-2023,48
18-03-2023,38
19-03-2023,43
20-03-2023,44
21-03-2023,33
22-03-2023,25
23-03-2023,31
24-03-2023,30
25-03-2023,43
26-03-2023,29
27-03-2023,40
28-03-2023,35
29-03-2023,27
30-03-2023,39
31-03-2023,28
01-04-2023,32
02-04-2023,41
03-04-2023,50
04-04-2023,42
05-04-2023,27
06-04-2023,25
07-04-2023,41
08-04-2023,42
09-04-2023,44
10-04-2023,59
11-04-2023,62
12-04-2023,65
13-04-2023,63
14-04-2023,70
15-04-2023,69
16-04-2023,65
17-04-2023,67
19-04-2023,49
21-04-2023,31
22-04-2023,30
23-04-2023,52
24-04-2023,34
25-04-2023,37
26-04-2023,75
27-04-2023,38
28-04-2023,38
29-04-2023,89
30-04-2023,40
01-05-2023,32
02-05-2023,28
03-05-2023,32
04-05-2023,39
05-05-2023,22
06-05-2023,23
07-05-2023,48
08-05-2023,38
09-05-2023,42
10-05-2023,49
11-05-2023,32
12-05-2023,35
13-05-2023,35
14-05-2023,26
15-05-2023,52
16-05-2023,44
17-05-2023,25
18-05-2023,29
19-05-2023,43
20-05-2023,26
21-05-2023,31
22-05-2023,60
23-05-2023,62
24-05-2023,49
25-05-2023,47
27-05-2023,36
28-05-2023,39
29-05-2023,43
30-05-2023,38
31-05-2023,30
01-06-2023,33
02-06-2023,36
03-06-2023,35
04-06-2023,32
05-06-2023,32
06-06-2023,46
09-06-2023,22
10-06-2023,35
11-06-2023,3
13-06-2023,39
14-06-2023,33
15-06-2023,38
16-06-2023,28
17-06-2023,32
18-06-2023,29
19-06-2023,28
20-06-2023,27
21-06-2023,16
22-06-2023,21
23-06-2023,21
24-06-2023,5
25-06-2023,37
26-06-2023,28
27-06-2023,25
28-06-2023,21
29-06-2023,28
30-06-2023,53
01-07-2023,27
02-07-2023,31
03-07-2023,29
04-07-2023,41
05-07-2023,38
06-07-2023,32
07-07-2023,32
08-07-2023,29
09-07-2023,43
10-07-2023,43
11-07-2023,42
12-07-2023,39
13-07-2023,25
14-07-2023,33
15-07-2023,40
16-07-2023,25
17-07-2023,43
18-07-2023,35
19-07-2023,39
20-07-2023,38
21-07-2023,26
22-07-2023,36
23-07-2023,28
24-07-2023,28
25-07-2023,27
26-07-2023,54
27-07-2023,26
28-07-2023,31
29-07-2023,30
30-07-2023,19
31-07-2023,32
01-08-2023,41
02-08-2023,24
03-08-2023,24
04-08-2023,33
05-08-2023,32
06-08-2023,33
07-08-2023,39
08-08-2023,30
09-08-2023,38
10-08-2023,28
11-08-2023,35
12-08-2023,20
13-08-2023,43
14-08-2023,42
15-08-2023,42
16-08-2023,41
17-08-2023,36
18-08-2023,30
19-08-2023,35
20-08-2023,29
22-08-2023,36
23-08-2023,32
24-08-2023,28
25-08-2023,36
26-08-2023,29
27-08-2023,32
28-08-2023,32
29-08-2023,21
30-08-2023,38
31-08-2023,30
01-09-2023,52
02-09-2023,43
03-09-2023,15
04-09-2023,29
05-09-2023,33
06-09-2023,37
07-09-2023,26
08-09-2023,36
09-09-2023,24
10-09-2023,42
11-09-2023,18
12-09-2023,44
13-09-2023,37
14-09-2023,39
15-09-2023,22
17-09-2023,22
18-09-2023,48
20-09-2023,31
21-09-2023,46
22-09-2023,39
23-09-2023,23
24-09-2023,35
25-09-2023,24
26-09-2023,28
27-09-2023,24
28-09-2023,31
29-09-2023,32
30-09-2023,21
01-10-2023,33
02-10-2023,34
04-10-2023,79
05-10-2023,24
06-10-2023,36
07-10-2023,26
08-10-2023,37
09-10-2023,40
10-10-2023,48
11-10-2023,38
12-10-2023,38
13-10-2023,39
14-10-2023,19
16-10-2023,21
17-10-2023,28
18-10-2023,30
19-10-2023,27
20-10-2023,29
21-10-2023,52
22-10-2023,38
23-10-2023,29
24-10-2023,30
25-10-2023,22
26-10-2023,28
27-10-2023,33
28-10-2023,29
29-10-2023,28
30-10-2023,36
31-10-2023,44
01-11-2023,24
02-11-2023,29
03-11-2023,39
04-11-2023,35
05-11-2023,46
06-11-2023,34
07-11-2023,29
08-11-2023,32
09-11-2023,32
10-11-2023,46
11-11-2023,48
12-11-2023,34
13-11-2023,40
14-11-2023,41
15-11-2023,43
16-11-2023,43
17-11-2023,41
18-11-2023,37
19-11-2023,42
20-11-2023,42
21-11-2023,44
22-11-2023,44
23-11-2023,44
24-11-2023,32
25-11-2023,33
26-11-2023,38
27-11-2023,31
28-11-2023,38
29-11-2023,41
30-11-2023,45
01-12-2023,42
02-12-2023,38
03-12-2023,32
04-12-2023,33
05-12-2023,47
06-12-2023,43
07-12-2023,41
08-12-2023,26
09-12-2023,35
10-12-2023,44
11-12-2023,43
12-12-2023,29
13-12-2023,37
14-12-2023,51
15-12-2023,31
17-12-2023,29
18-12-2023,45
19-12-2023,29
20-12-2023,33
21-12-2023,29
22-12-2023,41
23-12-2023,36
24-12-2023,37
25-12-2023,38
26-12-2023,37
27-12-2023,36
28-12-2023,36
29-12-2023,45
30-12-2023,44
31-12-2023,51
