Date,AQI
08-02-2018,415
09-02-2018,399
10-02-2018,368
11-02-2018,327
12-02-2018,284
13-02-2018,269
14-02-2018,348
15-02-2018,180
16-02-2018,291
17-02-2018,282
18-02-2018,343
19-02-2018,338
20-02-2018,337
21-02-2018,312
22-02-2018,324
23-02-2018,260
24-02-2018,198
25-02-2018,240
26-02-2018,219
27-02-2018,79
28-02-2018,156
02-03-2018,158
03-03-2018,140
04-03-2018,184
05-03-2018,131
06-03-2018,163
07-03-2018,207
08-03-2018,249
09-03-2018,278
10-03-2018,201
11-03-2018,263
12-03-2018,127
13-03-2018,73
14-03-2018,183
15-03-2018,269
16-03-2018,319
17-03-2018,291
18-03-2018,280
19-03-2018,336
20-03-2018,359
21-03-2018,376
22-03-2018,325
23-03-2018,228
24-03-2018,220
25-03-2018,203
26-03-2018,295
27-03-2018,178
28-03-2018,196
29-03-2018,282
30-03-2018,110
31-03-2018,81
01-04-2018,87
02-04-2018,221
03-04-2018,252
04-04-2018,272
05-04-2018,236
06-04-2018,176
07-04-2018,214
08-04-2018,90
09-04-2018,75
10-04-2018,107
11-04-2018,68
12-04-2018,65
13-04-2018,72
14-04-2018,81
15-04-2018,82
16-04-2018,68
17-04-2018,85
18-04-2018,66
24-04-2018,104
25-04-2018,95
26-04-2018,88
27-04-2018,83
28-04-2018,104
29-04-2018,106
03-05-2018,55
04-05-2018,58
05-05-2018,66
06-05-2018,63
07-05-2018,52
08-05-2018,65
09-05-2018,74
10-05-2018,59
11-05-2018,75
12-05-2018,73
13-05-2018,94
14-05-2018,60
15-05-2018,65
16-05-2018,72
17-05-2018,70
18-05-2018,72
19-05-2018,64
20-05-2018,81
21-05-2018,55
22-05-2018,100
23-05-2018,61
24-05-2018,45
25-05-2018,50
26-05-2018,59
27-05-2018,54
28-05-2018,77
29-05-2018,74
30-05-2018,65
31-05-2018,62
02-06-2018,63
03-06-2018,53
04-06-2018,55
05-06-2018,70
06-06-2018,89
07-06-2018,50
08-06-2018,46
09-06-2018,61
10-06-2018,58
11-06-2018,43
12-06-2018,48
13-06-2018,45
15-06-2018,82
16-06-2018,92
17-06-2018,63
19-06-2018,86
20-06-2018,68
21-06-2018,64
