Date,AQI
08-12-2017,347
09-12-2017,295
10-12-2017,253
11-12-2017,327
12-12-2017,295
13-12-2017,301
14-12-2017,333
15-12-2017,323
16-12-2017,296
17-12-2017,231
18-12-2017,289
19-12-2017,316
20-12-2017,363
21-12-2017,388
22-12-2017,376
23-12-2017,302
24-12-2017,246
25-12-2017,270
26-12-2017,223
27-12-2017,308
29-12-2017,351
30-12-2017,365
31-12-2017,380
01-01-2018,382
02-01-2018,345
03-01-2018,300
04-01-2018,316
05-01-2018,356
06-01-2018,306
09-01-2018,239
10-01-2018,260
11-01-2018,248
12-01-2018,244
13-01-2018,246
14-01-2018,290
15-01-2018,246
16-01-2018,254
18-01-2018,251
19-01-2018,389
20-01-2018,250
22-01-2018,296
23-01-2018,320
24-01-2018,257
25-01-2018,253
26-01-2018,253
27-01-2018,199
28-01-2018,249
29-01-2018,227
30-01-2018,224
31-01-2018,173
01-02-2018,232
02-02-2018,184
03-02-2018,296
04-02-2018,279
05-02-2018,262
06-02-2018,283
07-02-2018,166
08-02-2018,156
09-02-2018,223
10-02-2018,253
11-02-2018,272
12-02-2018,174
13-02-2018,149
14-02-2018,153
15-02-2018,131
16-02-2018,189
17-02-2018,157
18-02-2018,250
19-02-2018,210
20-02-2018,202
21-02-2018,171
22-02-2018,202
23-02-2018,186
24-02-2018,201
25-02-2018,242
26-02-2018,190
27-02-2018,168
28-02-2018,192
01-03-2018,174
02-03-2018,223
03-03-2018,134
04-03-2018,190
05-03-2018,196
06-03-2018,155
07-03-2018,161
08-03-2018,182
09-03-2018,206
10-03-2018,211
11-03-2018,246
12-03-2018,275
13-03-2018,210
14-03-2018,223
15-03-2018,290
16-03-2018,137
17-03-2018,126
18-03-2018,190
19-03-2018,192
20-03-2018,205
21-03-2018,284
22-03-2018,235
23-03-2018,302
24-03-2018,221
25-03-2018,206
26-03-2018,168
27-03-2018,210
28-03-2018,328
29-03-2018,277
30-03-2018,231
31-03-2018,406
01-04-2018,220
02-04-2018,190
03-04-2018,209
04-04-2018,233
07-04-2018,189
08-04-2018,121
09-04-2018,149
10-04-2018,153
11-04-2018,143
12-04-2018,145
13-04-2018,126
15-04-2018,171
16-04-2018,128
17-04-2018,294
18-04-2018,209
19-04-2018,256
20-04-2018,301
21-04-2018,234
22-04-2018,286
23-04-2018,316
24-04-2018,263
25-04-2018,272
26-04-2018,254
27-04-2018,205
28-04-2018,207
29-04-2018,192
30-04-2018,225
01-05-2018,204
07-05-2018,192
10-05-2018,247
11-05-2018,265
12-05-2018,237
13-05-2018,168
14-05-2018,135
15-05-2018,127
16-05-2018,193
17-05-2018,219
18-05-2018,309
19-05-2018,177
20-05-2018,269
21-05-2018,147
23-05-2018,290
24-05-2018,217
25-05-2018,256
26-05-2018,206
27-05-2018,283
28-05-2018,162
29-05-2018,179
30-05-2018,153
01-06-2018,109
02-06-2018,153
04-06-2018,146
05-06-2018,169
06-06-2018,139
07-06-2018,182
08-06-2018,91
10-06-2018,95
11-06-2018,63
12-06-2018,110
13-06-2018,215
14-06-2018,225
15-06-2018,165
16-06-2018,164
17-06-2018,142
18-06-2018,125
19-06-2018,116
20-06-2018,121
21-06-2018,152
22-06-2018,102
23-06-2018,74
24-06-2018,75
25-06-2018,52
30-06-2018,45
01-07-2018,72
03-07-2018,47
04-07-2018,37
05-07-2018,30
08-07-2018,119
10-07-2018,54
12-07-2018,82
13-07-2018,67
14-07-2018,50
15-07-2018,73
16-07-2018,64
18-07-2018,54
19-07-2018,56
20-07-2018,52
22-07-2018,49
23-07-2018,39
24-07-2018,54
25-07-2018,21
27-07-2018,56
28-07-2018,73
29-07-2018,371
30-07-2018,426
31-07-2018,84
01-08-2018,48
02-08-2018,60
03-08-2018,124
04-08-2018,125
05-08-2018,151
06-08-2018,125
07-08-2018,94
08-08-2018,65
09-08-2018,55
10-08-2018,74
11-08-2018,104
12-08-2018,53
13-08-2018,40
15-08-2018,55
16-08-2018,45
17-08-2018,61
18-08-2018,78
19-08-2018,71
20-08-2018,49
21-08-2018,39
22-08-2018,35
23-08-2018,17
25-08-2018,22
26-08-2018,31
27-08-2018,38
