Date,AQI
13-03-2023,91
15-03-2023,97
16-03-2023,74
17-03-2023,112
18-03-2023,91
19-03-2023,82
21-03-2023,73
22-03-2023,62
23-03-2023,59
24-03-2023,68
25-03-2023,73
26-03-2023,81
27-03-2023,113
01-04-2023,128
02-04-2023,101
03-04-2023,81
04-04-2023,59
29-04-2023,67
30-04-2023,83
01-05-2023,68
02-05-2023,72
05-05-2023,179
06-05-2023,116
07-05-2023,86
08-05-2023,91
09-05-2023,100
08-06-2023,95
09-06-2023,85
10-06-2023,68
11-06-2023,63
12-06-2023,75
13-06-2023,72
14-06-2023,84
15-06-2023,74
16-06-2023,53
23-06-2023,94
24-06-2023,85
25-06-2023,83
26-06-2023,64
27-06-2023,53
28-06-2023,69
29-06-2023,67
02-07-2023,48
03-07-2023,59
04-07-2023,73
05-07-2023,75
06-07-2023,70
07-07-2023,73
08-07-2023,48
09-07-2023,42
12-07-2023,115
13-07-2023,90
14-07-2023,101
15-07-2023,70
16-07-2023,76
17-07-2023,108
18-07-2023,101
19-07-2023,101
20-07-2023,95
21-07-2023,96
22-07-2023,55
23-07-2023,38
24-07-2023,42
25-07-2023,26
26-07-2023,29
27-07-2023,41
28-07-2023,39
29-07-2023,31
30-07-2023,24
31-07-2023,38
01-08-2023,35
02-08-2023,90
03-08-2023,57
04-08-2023,56
05-08-2023,56
06-08-2023,58
07-08-2023,58
08-08-2023,59
09-08-2023,54
10-08-2023,52
11-08-2023,54
12-08-2023,52
13-08-2023,46
14-08-2023,61
15-08-2023,67
16-08-2023,81
17-08-2023,80
18-08-2023,104
19-08-2023,104
20-08-2023,90
21-08-2023,53
22-08-2023,63
23-08-2023,55
24-08-2023,64
25-08-2023,80
26-08-2023,89
27-08-2023,127
28-08-2023,101
29-08-2023,85
30-08-2023,69
31-08-2023,72
01-09-2023,81
02-09-2023,74
03-09-2023,55
04-09-2023,59
05-09-2023,59
06-09-2023,69
07-09-2023,48
08-09-2023,30
09-09-2023,33
10-09-2023,39
11-09-2023,41
12-09-2023,42
13-09-2023,30
14-09-2023,35
15-09-2023,42
16-09-2023,59
17-09-2023,35
18-09-2023,32
19-09-2023,35
20-09-2023,41
22-09-2023,68
23-09-2023,46
24-09-2023,47
25-09-2023,37
26-09-2023,56
27-09-2023,56
28-09-2023,88
29-09-2023,154
30-09-2023,114
01-10-2023,111
02-10-2023,118
03-10-2023,109
04-10-2023,96
05-10-2023,91
06-10-2023,76
07-10-2023,71
08-10-2023,66
09-10-2023,69
10-10-2023,57
11-10-2023,73
12-10-2023,77
13-10-2023,93
14-10-2023,105
15-10-2023,86
16-10-2023,58
17-10-2023,89
18-10-2023,92
19-10-2023,128
20-10-2023,118
21-10-2023,118
22-10-2023,104
23-10-2023,111
24-10-2023,97
25-10-2023,118
26-10-2023,96
27-10-2023,92
28-10-2023,99
29-10-2023,95
30-10-2023,121
31-10-2023,152
01-11-2023,150
02-11-2023,161
04-11-2023,140
05-11-2023,118
06-11-2023,112
07-11-2023,159
08-11-2023,140
09-11-2023,164
10-11-2023,145
11-11-2023,116
12-11-2023,90
13-11-2023,155
14-11-2023,158
15-11-2023,183
16-11-2023,181
17-11-2023,237
18-11-2023,194
19-11-2023,185
20-11-2023,202
21-11-2023,193
22-11-2023,170
23-11-2023,180
24-11-2023,176
25-11-2023,122
26-11-2023,146
28-11-2023,89
29-11-2023,154
30-11-2023,66
01-12-2023,78
02-12-2023,125
03-12-2023,94
04-12-2023,67
05-12-2023,64
06-12-2023,84
07-12-2023,100
08-12-2023,90
09-12-2023,110
10-12-2023,113
11-12-2023,104
12-12-2023,99
13-12-2023,150
14-12-2023,169
15-12-2023,118
16-12-2023,117
17-12-2023,96
18-12-2023,153
19-12-2023,102
20-12-2023,95
22-12-2023,106
23-12-2023,119
24-12-2023,106
25-12-2023,162
26-12-2023,156
27-12-2023,167
28-12-2023,216
29-12-2023,166
30-12-2023,186
31-12-2023,206
