Date,AQI
28-01-2019,190
29-01-2019,192
30-01-2019,240
31-01-2019,272
01-02-2019,268
02-02-2019,202
03-02-2019,243
04-02-2019,269
05-02-2019,257
06-02-2019,290
07-02-2019,254
08-02-2019,97
09-02-2019,89
10-02-2019,112
11-02-2019,123
12-02-2019,135
13-02-2019,156
14-02-2019,306
15-02-2019,228
16-02-2019,150
17-02-2019,159
18-02-2019,149
19-02-2019,74
20-02-2019,185
21-02-2019,146
22-02-2019,82
23-02-2019,101
24-02-2019,168
25-02-2019,142
26-02-2019,57
27-02-2019,78
28-02-2019,106
01-03-2019,111
02-03-2019,88
03-03-2019,89
04-03-2019,82
05-03-2019,92
06-03-2019,88
07-03-2019,100
08-03-2019,63
09-03-2019,132
10-03-2019,109
11-03-2019,81
12-03-2019,96
13-03-2019,137
14-03-2019,105
15-03-2019,97
16-03-2019,100
17-03-2019,101
18-03-2019,155
19-03-2019,110
20-03-2019,108
21-03-2019,86
22-03-2019,110
23-03-2019,122
24-03-2019,85
25-03-2019,101
26-03-2019,138
27-03-2019,153
28-03-2019,156
29-03-2019,126
30-03-2019,191
31-03-2019,125
01-04-2019,124
02-04-2019,134
03-04-2019,120
04-04-2019,144
05-04-2019,171
06-04-2019,194
07-04-2019,170
08-04-2019,404
09-04-2019,208
10-04-2019,161
11-04-2019,122
12-04-2019,159
13-04-2019,93
14-04-2019,72
15-04-2019,106
16-04-2019,118
17-04-2019,80
18-04-2019,67
19-04-2019,79
20-04-2019,83
21-04-2019,87
22-04-2019,98
23-04-2019,113
24-04-2019,173
25-04-2019,150
26-04-2019,125
27-04-2019,141
28-04-2019,149
29-04-2019,161
30-04-2019,142
01-05-2019,129
02-05-2019,176
03-05-2019,133
04-05-2019,177
05-05-2019,191
06-05-2019,231
07-05-2019,240
08-05-2019,266
09-05-2019,306
10-05-2019,223
11-05-2019,116
12-05-2019,264
13-05-2019,262
14-05-2019,154
15-05-2019,140
16-05-2019,166
17-05-2019,147
18-05-2019,72
19-05-2019,135
20-05-2019,213
21-05-2019,150
22-05-2019,150
23-05-2019,166
24-05-2019,170
25-05-2019,71
26-05-2019,87
27-05-2019,92
28-05-2019,98
29-05-2019,148
30-05-2019,167
31-05-2019,242
01-06-2019,155
02-06-2019,171
03-06-2019,185
04-06-2019,236
05-06-2019,177
06-06-2019,173
07-06-2019,149
08-06-2019,135
09-06-2019,168
10-06-2019,156
11-06-2019,197
12-06-2019,241
13-06-2019,253
14-06-2019,161
15-06-2019,186
16-06-2019,210
17-06-2019,170
18-06-2019,113
19-06-2019,125
20-06-2019,170
21-06-2019,124
22-06-2019,194
23-06-2019,172
24-06-2019,158
25-06-2019,216
26-06-2019,86
27-06-2019,194
28-06-2019,178
29-06-2019,219
30-06-2019,232
01-07-2019,268
02-07-2019,198
03-07-2019,222
04-07-2019,186
05-07-2019,218
06-07-2019,119
07-07-2019,90
08-07-2019,226
09-07-2019,187
10-07-2019,259
11-07-2019,405
12-07-2019,370
13-07-2019,432
14-07-2019,352
15-07-2019,174
16-07-2019,109
17-07-2019,64
18-07-2019,119
19-07-2019,127
20-07-2019,110
21-07-2019,199
22-07-2019,142
23-07-2019,137
24-07-2019,214
25-07-2019,96
26-07-2019,55
27-07-2019,88
28-07-2019,54
29-07-2019,45
30-07-2019,86
31-07-2019,71
01-08-2019,129
02-08-2019,71
03-08-2019,106
04-08-2019,179
05-08-2019,166
06-08-2019,93
07-08-2019,104
08-08-2019,127
09-08-2019,133
10-08-2019,71
11-08-2019,73
12-08-2019,49
13-08-2019,60
14-08-2019,84
15-08-2019,124
16-08-2019,121
17-08-2019,70
18-08-2019,27
19-08-2019,47
20-08-2019,92
21-08-2019,130
22-08-2019,95
23-08-2019,104
24-08-2019,112
25-08-2019,127
27-08-2019,94
28-08-2019,94
29-08-2019,153
30-08-2019,122
31-08-2019,133
01-09-2019,179
02-09-2019,101
03-09-2019,113
04-09-2019,115
05-09-2019,241
06-09-2019,116
07-09-2019,157
08-09-2019,184
09-09-2019,225
10-09-2019,185
11-09-2019,225
12-09-2019,214
13-09-2019,225
14-09-2019,278
15-09-2019,170
16-09-2019,179
17-09-2019,229
18-09-2019,145
19-09-2019,117
20-09-2019,87
21-09-2019,85
22-09-2019,100
23-09-2019,86
24-09-2019,73
25-09-2019,79
26-09-2019,83
27-09-2019,77
28-09-2019,82
29-09-2019,77
30-09-2019,66
01-10-2019,98
02-10-2019,142
03-10-2019,211
04-10-2019,64
05-10-2019,92
06-10-2019,136
07-10-2019,123
08-10-2019,99
09-10-2019,151
10-10-2019,152
11-10-2019,264
12-10-2019,214
13-10-2019,266
14-10-2019,271
15-10-2019,246
16-10-2019,301
17-10-2019,342
18-10-2019,347
19-10-2019,165
20-10-2019,238
21-10-2019,259
22-10-2019,247
23-10-2019,309
24-10-2019,308
25-10-2019,306
27-10-2019,379
28-10-2019,392
29-10-2019,378
30-10-2019,359
31-10-2019,346
01-11-2019,462
03-11-2019,432
04-11-2019,426
06-11-2019,291
08-11-2019,83
09-11-2019,92
10-11-2019,162
11-11-2019,254
12-11-2019,293
13-11-2019,415
14-11-2019,391
15-11-2019,222
16-11-2019,85
17-11-2019,62
18-11-2019,107
19-11-2019,222
20-11-2019,280
21-11-2019,227
22-11-2019,182
23-11-2019,148
24-11-2019,139
25-11-2019,147
26-11-2019,115
27-11-2019,67
28-11-2019,71
29-11-2019,63
30-11-2019,103
01-12-2019,202
02-12-2019,209
03-12-2019,158
04-12-2019,223
05-12-2019,199
06-12-2019,249
07-12-2019,155
08-12-2019,130
09-12-2019,171
10-12-2019,181
11-12-2019,203
12-12-2019,194
13-12-2019,110
14-12-2019,71
15-12-2019,77
16-12-2019,68
17-12-2019,63
18-12-2019,104
19-12-2019,88
20-12-2019,97
21-12-2019,102
22-12-2019,92
23-12-2019,82
24-12-2019,102
25-12-2019,120
26-12-2019,150
27-12-2019,146
28-12-2019,157
29-12-2019,139
30-12-2019,104
31-12-2019,136
01-01-2020,133
04-01-2020,138
05-01-2020,128
06-01-2020,120
07-01-2020,54
08-01-2020,77
09-01-2020,58
10-01-2020,83
11-01-2020,89
12-01-2020,106
13-01-2020,109
14-01-2020,57
