Date,AQI
30-09-2022,55
01-10-2022,38
02-10-2022,23
03-10-2022,23
04-10-2022,15
05-10-2022,12
06-10-2022,12
07-10-2022,12
08-10-2022,14
09-10-2022,13
10-10-2022,16
11-10-2022,15
12-10-2022,18
13-10-2022,12
14-10-2022,19
15-10-2022,16
16-10-2022,30
17-10-2022,20
18-10-2022,26
19-10-2022,24
20-10-2022,24
21-10-2022,30
22-10-2022,29
23-10-2022,39
24-10-2022,30
25-10-2022,9
26-10-2022,9
27-10-2022,14
28-10-2022,22
29-10-2022,23
30-10-2022,23
31-10-2022,21
01-11-2022,22
02-11-2022,37
03-11-2022,27
04-11-2022,27
05-11-2022,31
06-11-2022,36
07-11-2022,27
08-11-2022,32
09-11-2022,34
10-11-2022,40
11-11-2022,46
12-11-2022,42
13-11-2022,37
14-11-2022,32
15-11-2022,37
16-11-2022,40
17-11-2022,40
18-11-2022,47
19-11-2022,47
20-11-2022,46
21-11-2022,45
22-11-2022,51
23-11-2022,53
24-11-2022,41
25-11-2022,46
26-11-2022,47
29-11-2022,46
30-11-2022,53
01-12-2022,56
02-12-2022,62
03-12-2022,59
04-12-2022,60
05-12-2022,70
09-12-2022,45
10-12-2022,51
11-12-2022,53
12-12-2022,54
13-12-2022,53
14-12-2022,50
15-12-2022,52
16-12-2022,56
17-12-2022,58
18-12-2022,48
19-12-2022,49
20-12-2022,43
21-12-2022,37
22-12-2022,33
24-12-2022,42
25-12-2022,40
26-12-2022,21
27-12-2022,29
28-12-2022,29
29-12-2022,36
30-12-2022,42
31-12-2022,39
01-01-2023,44
02-01-2023,42
03-01-2023,40
04-01-2023,35
05-01-2023,43
06-01-2023,48
08-01-2023,43
09-01-2023,51
10-01-2023,43
12-01-2023,51
13-01-2023,43
14-01-2023,35
15-01-2023,31
16-01-2023,40
17-01-2023,44
18-01-2023,54
19-01-2023,52
20-01-2023,42
22-01-2023,50
23-01-2023,42
24-01-2023,47
26-01-2023,69
27-01-2023,74
30-01-2023,67
31-01-2023,73
01-02-2023,74
03-02-2023,76
04-02-2023,67
05-02-2023,75
06-02-2023,91
08-02-2023,44
09-02-2023,80
10-02-2023,75
11-02-2023,87
12-02-2023,70
13-02-2023,57
14-02-2023,60
15-02-2023,72
16-02-2023,56
17-02-2023,61
18-02-2023,68
20-02-2023,78
21-02-2023,71
22-02-2023,49
25-02-2023,48
26-02-2023,55
27-02-2023,56
28-02-2023,38
01-03-2023,49
02-03-2023,63
03-03-2023,63
04-03-2023,70
05-03-2023,79
06-03-2023,68
07-03-2023,54
08-03-2023,46
09-03-2023,65
10-03-2023,72
11-03-2023,74
12-03-2023,74
13-03-2023,68
14-03-2023,73
15-03-2023,57
16-03-2023,53
17-03-2023,42
18-03-2023,57
19-03-2023,69
20-03-2023,48
21-03-2023,34
22-03-2023,20
23-03-2023,24
24-03-2023,24
25-03-2023,52
26-03-2023,49
27-03-2023,43
28-03-2023,33
29-03-2023,25
30-03-2023,35
31-03-2023,39
01-04-2023,66
03-04-2023,15
04-04-2023,19
05-04-2023,21
06-04-2023,32
07-04-2023,43
08-04-2023,51
09-04-2023,60
10-04-2023,64
11-04-2023,67
12-04-2023,74
13-04-2023,79
14-04-2023,79
15-04-2023,74
16-04-2023,80
17-04-2023,65
18-04-2023,51
19-04-2023,52
20-04-2023,28
21-04-2023,23
22-04-2023,28
23-04-2023,29
25-04-2023,34
26-04-2023,28
27-04-2023,34
28-04-2023,27
29-04-2023,31
30-04-2023,31
01-05-2023,29
02-05-2023,24
03-05-2023,24
04-05-2023,25
05-05-2023,25
06-05-2023,25
07-05-2023,19
08-05-2023,20
09-05-2023,31
10-05-2023,33
11-05-2023,37
12-05-2023,40
13-05-2023,48
14-05-2023,49
15-05-2023,21
16-05-2023,15
17-05-2023,13
18-05-2023,19
19-05-2023,23
20-05-2023,21
21-05-2023,17
22-05-2023,19
23-05-2023,25
24-05-2023,38
25-05-2023,23
26-05-2023,26
27-05-2023,18
28-05-2023,19
29-05-2023,30
30-05-2023,41
31-05-2023,39
01-06-2023,40
02-06-2023,43
03-06-2023,36
04-06-2023,43
05-06-2023,44
06-06-2023,62
07-06-2023,44
08-06-2023,37
09-06-2023,31
10-06-2023,18
11-06-2023,14
12-06-2023,12
13-06-2023,22
14-06-2023,71
15-06-2023,49
16-06-2023,68
17-06-2023,66
18-06-2023,70
19-06-2023,68
20-06-2023,69
21-06-2023,17
22-06-2023,22
23-06-2023,14
24-06-2023,42
25-06-2023,28
26-06-2023,20
27-06-2023,17
28-06-2023,16
29-06-2023,18
30-06-2023,22
01-07-2023,15
02-07-2023,16
03-07-2023,18
04-07-2023,16
05-07-2023,17
06-07-2023,12
07-07-2023,15
08-07-2023,11
09-07-2023,10
10-07-2023,13
11-07-2023,40
12-07-2023,19
13-07-2023,22
14-07-2023,27
15-07-2023,27
20-07-2023,32
21-07-2023,33
22-07-2023,33
23-07-2023,32
24-07-2023,32
25-07-2023,33
26-07-2023,33
27-07-2023,32
28-07-2023,22
29-07-2023,14
30-07-2023,14
31-07-2023,13
01-08-2023,22
02-08-2023,16
03-08-2023,14
04-08-2023,16
05-08-2023,13
06-08-2023,18
07-08-2023,10
08-08-2023,9
09-08-2023,10
10-08-2023,15
11-08-2023,30
12-08-2023,20
13-08-2023,16
14-08-2023,21
15-08-2023,20
16-08-2023,21
17-08-2023,27
18-08-2023,18
19-08-2023,12
20-08-2023,15
21-08-2023,19
22-08-2023,20
23-08-2023,35
24-08-2023,22
25-08-2023,19
26-08-2023,12
27-08-2023,11
28-08-2023,17
29-08-2023,30
30-08-2023,52
31-08-2023,57
01-09-2023,58
02-09-2023,40
03-09-2023,53
04-09-2023,34
05-09-2023,28
06-09-2023,33
07-09-2023,30
08-09-2023,19
09-09-2023,21
10-09-2023,19
11-09-2023,17
12-09-2023,18
13-09-2023,21
14-09-2023,24
15-09-2023,20
16-09-2023,25
17-09-2023,30
18-09-2023,25
19-09-2023,26
21-09-2023,19
22-09-2023,22
23-09-2023,20
24-09-2023,18
25-09-2023,22
26-09-2023,28
27-09-2023,35
28-09-2023,36
29-09-2023,33
30-09-2023,31
01-10-2023,23
02-10-2023,20
03-10-2023,21
04-10-2023,19
05-10-2023,21
06-10-2023,18
07-10-2023,23
08-10-2023,20
09-10-2023,21
10-10-2023,17
12-10-2023,23
13-10-2023,24
14-10-2023,32
15-10-2023,38
16-10-2023,35
17-10-2023,39
18-10-2023,44
19-10-2023,39
20-10-2023,35
21-10-2023,33
22-10-2023,36
23-10-2023,32
24-10-2023,43
25-10-2023,36
26-10-2023,38
27-10-2023,27
28-10-2023,34
29-10-2023,38
30-10-2023,47
31-10-2023,48
01-11-2023,43
02-11-2023,50
03-11-2023,45
04-11-2023,40
05-11-2023,35
06-11-2023,48
07-11-2023,47
08-11-2023,51
09-11-2023,54
10-11-2023,55
11-11-2023,53
12-11-2023,52
13-11-2023,59
14-11-2023,62
15-11-2023,53
16-11-2023,55
17-11-2023,55
18-11-2023,17
19-11-2023,39
20-11-2023,48
21-11-2023,40
22-11-2023,47
23-11-2023,50
24-11-2023,59
25-11-2023,49
26-11-2023,53
27-11-2023,50
28-11-2023,54
29-11-2023,55
30-11-2023,57
01-12-2023,52
02-12-2023,49
03-12-2023,57
04-12-2023,55
05-12-2023,53
06-12-2023,58
07-12-2023,53
08-12-2023,34
09-12-2023,25
10-12-2023,38
11-12-2023,30
12-12-2023,57
13-12-2023,48
14-12-2023,29
15-12-2023,45
16-12-2023,45
17-12-2023,53
18-12-2023,46
19-12-2023,31
20-12-2023,48
21-12-2023,50
22-12-2023,60
23-12-2023,48
24-12-2023,62
25-12-2023,47
26-12-2023,51
27-12-2023,59
28-12-2023,58
29-12-2023,50
30-12-2023,49
31-12-2023,54
