Date,AQI
23-11-2021,381
24-11-2021,420
25-11-2021,308
26-11-2021,426
27-11-2021,435
28-11-2021,426
29-11-2021,385
30-11-2021,342
01-12-2021,382
02-12-2021,314
03-12-2021,406
04-12-2021,313
05-12-2021,301
06-12-2021,251
07-12-2021,311
08-12-2021,203
09-12-2021,302
10-12-2021,324
17-12-2021,309
18-12-2021,253
19-12-2021,267
20-12-2021,376
22-12-2021,366
23-12-2021,347
24-12-2021,365
25-12-2021,379
26-12-2021,355
27-12-2021,331
28-12-2021,319
30-12-2021,144
31-12-2021,249
01-01-2022,301
02-01-2022,196
04-01-2022,404
05-01-2022,437
06-01-2022,404
07-01-2022,366
08-01-2022,261
09-01-2022,254
10-01-2022,263
11-01-2022,295
12-01-2022,275
14-01-2022,316
15-01-2022,344
16-01-2022,332
18-01-2022,359
19-01-2022,348
20-01-2022,368
21-01-2022,452
25-01-2022,364
26-01-2022,288
27-01-2022,310
28-01-2022,344
29-01-2022,414
30-01-2022,413
31-01-2022,400
02-02-2022,354
03-02-2022,326
04-02-2022,117
05-02-2022,67
06-02-2022,155
09-02-2022,335
10-02-2022,329
11-02-2022,145
12-02-2022,178
13-02-2022,264
14-02-2022,278
16-02-2022,258
17-02-2022,261
18-02-2022,204
19-02-2022,202
20-02-2022,133
21-02-2022,144
22-02-2022,292
23-02-2022,256
24-02-2022,221
25-02-2022,263
26-02-2022,286
27-02-2022,242
28-02-2022,189
01-03-2022,190
02-03-2022,182
03-03-2022,223
04-03-2022,196
05-03-2022,163
06-03-2022,179
09-03-2022,193
13-03-2022,200
14-03-2022,221
15-03-2022,238
16-03-2022,250
19-03-2022,306
20-03-2022,250
23-03-2022,285
24-03-2022,252
25-03-2022,212
26-03-2022,214
27-03-2022,206
28-03-2022,332
29-03-2022,268
30-03-2022,188
31-03-2022,172
01-04-2022,228
02-04-2022,200
03-04-2022,158
04-04-2022,257
05-04-2022,287
06-04-2022,245
08-04-2022,232
09-04-2022,269
11-04-2022,142
12-04-2022,201
14-04-2022,314
15-04-2022,234
16-04-2022,228
17-04-2022,199
18-04-2022,249
20-04-2022,195
21-04-2022,126
22-04-2022,236
26-04-2022,278
27-04-2022,261
29-04-2022,252
30-04-2022,181
01-05-2022,101
02-05-2022,128
03-05-2022,107
05-05-2022,96
07-05-2022,119
08-05-2022,129
09-05-2022,168
10-05-2022,119
14-05-2022,111
15-05-2022,185
17-05-2022,115
18-05-2022,199
21-05-2022,129
13-06-2022,102
20-06-2022,65
22-06-2022,67
23-06-2022,111
25-06-2022,86
26-06-2022,64
02-07-2022,192
05-07-2022,71
06-07-2022,207
07-07-2022,88
08-07-2022,196
09-07-2022,111
10-07-2022,127
11-07-2022,117
12-07-2022,86
14-07-2022,86
15-07-2022,59
16-07-2022,80
17-07-2022,70
18-07-2022,78
19-07-2022,86
21-07-2022,55
22-07-2022,53
23-07-2022,55
25-07-2022,48
26-07-2022,60
28-07-2022,58
29-07-2022,53
30-07-2022,56
31-07-2022,52
03-08-2022,67
05-08-2022,91
06-08-2022,94
11-08-2022,59
12-08-2022,57
18-08-2022,97
19-08-2022,74
25-08-2022,87
27-08-2022,103
30-08-2022,132
01-09-2022,94
02-09-2022,99
04-09-2022,76
06-09-2022,76
07-09-2022,91
08-09-2022,83
09-09-2022,64
11-09-2022,56
13-09-2022,49
22-09-2022,75
26-09-2022,75
29-09-2022,89
01-10-2022,132
02-10-2022,119
04-10-2022,50
07-10-2022,42
10-10-2022,50
11-10-2022,59
12-10-2022,50
13-10-2022,72
14-10-2022,67
15-10-2022,90
16-10-2022,119
17-10-2022,161
18-10-2022,130
19-10-2022,223
20-10-2022,300
21-10-2022,272
22-10-2022,256
24-10-2022,202
25-10-2022,275
26-10-2022,258
27-10-2022,312
28-10-2022,345
29-10-2022,329
30-10-2022,296
31-10-2022,221
01-11-2022,240
02-11-2022,302
03-11-2022,290
04-11-2022,334
05-11-2022,313
06-11-2022,322
07-11-2022,331
08-11-2022,318
09-11-2022,340
10-11-2022,389
11-11-2022,406
12-11-2022,417
13-11-2022,372
14-11-2022,398
15-11-2022,430
16-11-2022,394
17-11-2022,394
18-11-2022,330
19-11-2022,366
20-11-2022,401
22-11-2022,402
23-11-2022,385
24-11-2022,400
25-11-2022,401
26-11-2022,384
27-11-2022,432
28-11-2022,439
29-11-2022,454
30-11-2022,460
01-12-2022,385
02-12-2022,373
03-12-2022,399
06-12-2022,392
07-12-2022,374
08-12-2022,406
09-12-2022,417
10-12-2022,406
11-12-2022,385
13-12-2022,460
14-12-2022,378
15-12-2022,360
16-12-2022,331
18-12-2022,429
19-12-2022,440
20-12-2022,440
21-12-2022,401
22-12-2022,372
23-12-2022,407
25-12-2022,420
26-12-2022,362
27-12-2022,350
28-12-2022,362
29-12-2022,429
30-12-2022,488
31-12-2022,469
03-01-2023,316
04-01-2023,348
05-01-2023,338
06-01-2023,356
07-01-2023,399
09-01-2023,389
10-01-2023,351
11-01-2023,365
12-01-2023,385
13-01-2023,359
14-01-2023,442
15-01-2023,391
16-01-2023,370
17-01-2023,346
18-01-2023,395
19-01-2023,404
20-01-2023,408
21-01-2023,414
22-01-2023,389
23-01-2023,331
24-01-2023,405
25-01-2023,437
26-01-2023,375
27-01-2023,241
28-01-2023,319
30-01-2023,402
31-01-2023,308
01-02-2023,217
02-02-2023,265
03-02-2023,359
04-02-2023,359
05-02-2023,390
06-02-2023,397
07-02-2023,295
08-02-2023,364
09-02-2023,248
10-02-2023,293
11-02-2023,352
12-02-2023,330
13-02-2023,176
14-02-2023,273
15-02-2023,312
16-02-2023,360
17-02-2023,370
18-02-2023,351
19-02-2023,324
20-02-2023,328
21-02-2023,345
22-02-2023,320
23-02-2023,218
24-02-2023,175
25-02-2023,219
26-02-2023,307
27-02-2023,284
28-02-2023,311
01-03-2023,308
02-03-2023,242
03-03-2023,189
04-03-2023,213
05-03-2023,155
06-03-2023,151
07-03-2023,181
08-03-2023,265
09-03-2023,271
10-03-2023,248
11-03-2023,250
12-03-2023,267
13-03-2023,283
14-03-2023,285
15-03-2023,322
16-03-2023,306
17-03-2023,279
18-03-2023,302
20-03-2023,127
21-03-2023,89
23-03-2023,128
24-03-2023,228
25-03-2023,304
26-03-2023,234
28-03-2023,162
29-03-2023,146
30-03-2023,167
31-03-2023,294
01-04-2023,148
02-04-2023,252
03-04-2023,136
04-04-2023,145
05-04-2023,132
06-04-2023,209
07-04-2023,146
08-04-2023,191
09-04-2023,167
10-04-2023,190
11-04-2023,178
12-04-2023,174
13-04-2023,205
14-04-2023,219
15-04-2023,222
16-04-2023,250
17-04-2023,219
18-04-2023,190
19-04-2023,228
20-04-2023,224
21-04-2023,223
22-04-2023,154
23-04-2023,133
24-04-2023,147
25-04-2023,179
26-04-2023,219
27-04-2023,245
28-04-2023,196
29-04-2023,194
30-04-2023,213
02-05-2023,72
03-05-2023,149
04-05-2023,71
05-05-2023,172
06-05-2023,109
07-05-2023,162
08-05-2023,174
09-05-2023,174
10-05-2023,155
11-05-2023,207
12-05-2023,207
13-05-2023,222
14-05-2023,186
15-05-2023,185
16-05-2023,184
17-05-2023,169
18-05-2023,160
19-05-2023,118
20-05-2023,173
21-05-2023,211
22-05-2023,155
23-05-2023,134
25-05-2023,118
26-05-2023,94
27-05-2023,53
28-05-2023,135
29-05-2023,140
30-05-2023,174
31-05-2023,151
01-06-2023,139
02-06-2023,152
03-06-2023,142
04-06-2023,153
05-06-2023,167
06-06-2023,165
07-06-2023,139
08-06-2023,153
10-06-2023,158
11-06-2023,149
12-06-2023,191
13-06-2023,146
14-06-2023,212
15-06-2023,270
16-06-2023,255
17-06-2023,174
20-06-2023,134
21-06-2023,130
22-06-2023,222
23-06-2023,196
24-06-2023,194
25-06-2023,110
26-06-2023,158
27-06-2023,116
28-06-2023,80
29-06-2023,53
01-07-2023,341
03-07-2023,136
04-07-2023,280
05-07-2023,64
06-07-2023,63
07-07-2023,84
08-07-2023,51
09-07-2023,63
10-07-2023,152
11-07-2023,80
12-07-2023,102
13-07-2023,98
14-07-2023,89
15-07-2023,43
16-07-2023,58
18-07-2023,72
19-07-2023,92
20-07-2023,98
21-07-2023,92
22-07-2023,38
23-07-2023,54
24-07-2023,79
25-07-2023,98
26-07-2023,98
27-07-2023,84
28-07-2023,72
31-07-2023,53
01-08-2023,58
02-08-2023,49
03-08-2023,68
04-08-2023,73
05-08-2023,79
06-08-2023,59
07-08-2023,36
08-08-2023,77
09-08-2023,58
10-08-2023,48
11-08-2023,37
12-08-2023,74
13-08-2023,102
14-08-2023,103
15-08-2023,101
17-08-2023,34
18-08-2023,73
19-08-2023,63
20-08-2023,101
21-08-2023,110
22-08-2023,66
24-08-2023,43
25-08-2023,42
29-08-2023,150
30-08-2023,147
01-09-2023,199
02-09-2023,224
03-09-2023,125
05-09-2023,104
06-09-2023,102
15-09-2023,85
16-09-2023,87
18-09-2023,47
19-09-2023,80
20-09-2023,126
21-09-2023,112
22-09-2023,114
23-09-2023,119
24-09-2023,74
25-09-2023,121
26-09-2023,185
28-09-2023,348
29-09-2023,143
30-09-2023,140
03-10-2023,125
05-10-2023,109
06-10-2023,85
07-10-2023,121
08-10-2023,100
10-10-2023,147
11-10-2023,153
12-10-2023,140
13-10-2023,143
14-10-2023,186
15-10-2023,174
16-10-2023,149
17-10-2023,121
18-10-2023,118
19-10-2023,168
20-10-2023,95
21-10-2023,193
22-10-2023,244
23-10-2023,123
24-10-2023,121
25-10-2023,122
26-10-2023,130
28-10-2023,107
29-10-2023,115
30-10-2023,122
31-10-2023,143
01-11-2023,114
02-11-2023,92
03-11-2023,106
04-11-2023,128
05-11-2023,141
06-11-2023,139
07-11-2023,132
08-11-2023,144
09-11-2023,155
10-11-2023,216
11-11-2023,194
12-11-2023,158
13-11-2023,343
14-11-2023,409
15-11-2023,290
16-11-2023,258
18-11-2023,283
19-11-2023,301
20-11-2023,292
22-11-2023,334
23-11-2023,361
24-11-2023,371
25-11-2023,383
26-11-2023,373
27-11-2023,327
29-11-2023,240
30-11-2023,333
01-12-2023,260
