Date,AQI
12-01-2016,255
13-01-2016,171
14-01-2016,150
15-01-2016,134
16-01-2016,108
17-01-2016,113
18-01-2016,116
19-01-2016,94
21-01-2016,98
22-01-2016,106
23-01-2016,119
24-01-2016,151
25-01-2016,196
26-01-2016,163
27-01-2016,127
28-01-2016,129
29-01-2016,153
30-01-2016,159
31-01-2016,177
01-02-2016,180
02-02-2016,136
03-02-2016,143
04-02-2016,124
05-02-2016,150
06-02-2016,144
07-02-2016,158
08-02-2016,149
09-02-2016,125
10-02-2016,198
11-02-2016,132
12-02-2016,100
13-02-2016,105
14-02-2016,140
15-02-2016,152
16-02-2016,112
17-02-2016,94
18-02-2016,117
19-02-2016,77
20-02-2016,120
21-02-2016,120
22-02-2016,112
23-02-2016,114
24-02-2016,126
25-02-2016,139
26-02-2016,166
27-02-2016,101
28-02-2016,89
29-02-2016,103
01-03-2016,94
02-03-2016,88
03-03-2016,81
04-03-2016,123
05-03-2016,91
06-03-2016,173
07-03-2016,166
08-03-2016,98
09-03-2016,124
10-03-2016,122
11-03-2016,127
12-03-2016,116
13-03-2016,153
14-03-2016,85
15-03-2016,93
16-03-2016,100
17-03-2016,112
18-03-2016,123
19-03-2016,119
20-03-2016,126
21-03-2016,121
22-03-2016,117
23-03-2016,126
24-03-2016,147
25-03-2016,134
26-03-2016,131
27-03-2016,123
28-03-2016,107
29-03-2016,121
30-03-2016,119
31-03-2016,113
01-04-2016,113
02-04-2016,138
06-04-2016,109
08-04-2016,101
09-04-2016,109
10-05-2016,108
13-05-2016,106
16-05-2016,109
17-05-2016,109
18-05-2016,109
19-05-2016,102
20-05-2016,103
21-05-2016,101
22-05-2016,100
23-05-2016,103
24-05-2016,102
25-05-2016,103
26-05-2016,103
27-05-2016,102
28-05-2016,101
29-05-2016,102
30-05-2016,105
31-05-2016,104
01-06-2016,104
02-06-2016,104
03-06-2016,105
04-06-2016,103
05-06-2016,104
07-06-2016,106
08-06-2016,112
09-06-2016,106
10-06-2016,105
11-06-2016,106
12-06-2016,106
13-06-2016,105
14-06-2016,100
15-06-2016,96
16-06-2016,104
17-06-2016,102
18-06-2016,105
19-06-2016,107
20-06-2016,107
21-06-2016,112
22-06-2016,98
23-06-2016,106
24-06-2016,104
25-06-2016,111
26-06-2016,115
27-06-2016,114
28-06-2016,116
29-06-2016,114
30-06-2016,116
01-07-2016,114
02-07-2016,116
03-07-2016,119
05-07-2016,118
06-07-2016,115
07-07-2016,117
08-07-2016,116
09-07-2016,115
10-07-2016,119
11-07-2016,117
12-07-2016,116
13-07-2016,115
14-07-2016,114
15-07-2016,109
16-07-2016,115
17-07-2016,117
18-07-2016,114
19-07-2016,116
20-07-2016,113
24-07-2016,117
25-07-2016,114
26-07-2016,117
27-07-2016,114
28-07-2016,113
29-07-2016,114
30-07-2016,114
31-07-2016,119
01-08-2016,115
02-08-2016,117
03-08-2016,117
04-08-2016,117
05-08-2016,117
06-08-2016,116
07-08-2016,119
08-08-2016,114
09-08-2016,117
10-08-2016,117
11-08-2016,117
12-08-2016,115
13-08-2016,120
14-08-2016,119
15-08-2016,119
16-08-2016,115
17-08-2016,117
18-08-2016,116
19-08-2016,118
20-08-2016,116
21-08-2016,121
22-08-2016,118
23-08-2016,120
24-08-2016,116
25-08-2016,118
26-08-2016,116
27-08-2016,117
28-08-2016,121
29-08-2016,117
30-08-2016,117
31-08-2016,115
01-09-2016,119
02-09-2016,117
03-09-2016,117
04-09-2016,119
05-09-2016,116
06-09-2016,118
07-09-2016,115
08-09-2016,119
09-09-2016,116
10-09-2016,118
11-09-2016,121
12-09-2016,122
13-09-2016,119
14-09-2016,119
15-09-2016,117
16-09-2016,122
17-09-2016,122
18-09-2016,118
19-09-2016,120
20-09-2016,119
21-09-2016,119
22-09-2016,118
23-09-2016,122
24-09-2016,120
25-09-2016,117
26-09-2016,123
27-09-2016,122
28-09-2016,124
29-09-2016,126
30-09-2016,120
01-10-2016,122
02-10-2016,127
03-10-2016,126
04-10-2016,125
05-10-2016,123
06-10-2016,124
07-10-2016,121
08-10-2016,125
09-10-2016,128
10-10-2016,116
11-10-2016,110
12-10-2016,116
14-10-2016,114
15-10-2016,119
16-10-2016,117
17-10-2016,113
18-10-2016,118
19-10-2016,116
20-10-2016,117
21-10-2016,149
22-10-2016,125
23-10-2016,128
24-10-2016,117
25-10-2016,114
26-10-2016,120
27-10-2016,125
28-10-2016,134
29-10-2016,148
30-10-2016,147
31-10-2016,160
01-11-2016,136
02-11-2016,142
03-11-2016,118
04-11-2016,125
05-11-2016,128
06-11-2016,153
07-11-2016,124
08-11-2016,143
09-11-2016,155
10-11-2016,156
11-11-2016,168
12-11-2016,186
13-11-2016,192
14-11-2016,241
15-11-2016,225
16-11-2016,191
17-11-2016,210
18-11-2016,164
19-11-2016,144
20-11-2016,128
21-11-2016,164
22-11-2016,129
23-11-2016,164
24-11-2016,141
25-11-2016,133
26-11-2016,135
27-11-2016,126
28-11-2016,122
29-11-2016,168
30-11-2016,152
01-12-2016,188
02-12-2016,131
03-12-2016,129
04-12-2016,95
05-12-2016,113
06-12-2016,73
07-12-2016,93
08-12-2016,155
09-12-2016,133
10-12-2016,119
11-12-2016,118
12-12-2016,132
13-12-2016,120
14-12-2016,103
15-12-2016,118
16-12-2016,135
17-12-2016,133
18-12-2016,130
19-12-2016,111
20-12-2016,134
21-12-2016,147
22-12-2016,145
24-12-2016,126
25-12-2016,198
26-12-2016,193
27-12-2016,134
28-12-2016,155
29-12-2016,175
30-12-2016,168
31-12-2016,172
01-01-2017,187
02-01-2017,177
03-01-2017,134
04-01-2017,124
05-01-2017,153
06-01-2017,207
07-01-2017,199
08-01-2017,203
09-01-2017,171
10-01-2017,135
11-01-2017,112
12-01-2017,129
13-01-2017,136
14-01-2017,157
15-01-2017,139
16-01-2017,178
17-01-2017,191
18-01-2017,170
19-01-2017,150
20-01-2017,144
21-01-2017,164
22-01-2017,148
23-01-2017,134
24-01-2017,164
26-01-2017,152
27-01-2017,129
28-01-2017,117
29-01-2017,125
30-01-2017,166
31-01-2017,182
01-02-2017,168
02-02-2017,162
03-02-2017,178
04-02-2017,162
05-02-2017,167
06-02-2017,150
07-02-2017,146
08-02-2017,188
09-02-2017,216
10-02-2017,190
11-02-2017,137
12-02-2017,117
13-02-2017,124
14-02-2017,136
15-02-2017,136
16-02-2017,141
17-02-2017,152
18-02-2017,133
19-02-2017,134
20-02-2017,107
21-02-2017,107
22-02-2017,134
23-02-2017,99
24-02-2017,109
25-02-2017,122
26-02-2017,125
27-02-2017,138
28-02-2017,149
01-03-2017,110
02-03-2017,151
03-03-2017,128
04-03-2017,141
05-03-2017,125
06-03-2017,114
07-03-2017,111
08-03-2017,98
09-03-2017,102
10-03-2017,106
11-03-2017,96
12-03-2017,112
13-03-2017,116
14-03-2017,109
15-03-2017,109
16-03-2017,120
17-03-2017,85
18-03-2017,102
19-03-2017,110
20-03-2017,104
21-03-2017,112
22-03-2017,126
23-03-2017,138
24-03-2017,151
25-03-2017,134
26-03-2017,138
27-03-2017,137
28-03-2017,126
29-03-2017,149
30-03-2017,129
31-03-2017,133
01-04-2017,151
02-04-2017,104
03-04-2017,93
04-04-2017,98
05-04-2017,96
06-04-2017,112
07-04-2017,104
08-04-2017,130
09-04-2017,107
10-04-2017,136
11-04-2017,147
13-04-2017,124
14-04-2017,160
