Date,AQI
09-01-2019,134
10-01-2019,230
11-01-2019,301
12-01-2019,392
13-01-2019,368
14-01-2019,203
15-01-2019,160
16-01-2019,295
17-01-2019,344
18-01-2019,343
19-01-2019,274
22-01-2019,91
23-01-2019,102
24-01-2019,231
25-01-2019,124
26-01-2019,162
27-01-2019,164
28-01-2019,135
29-01-2019,129
30-01-2019,167
31-01-2019,292
01-02-2019,298
02-02-2019,223
03-02-2019,196
04-02-2019,189
05-02-2019,263
06-02-2019,391
07-02-2019,262
08-02-2019,101
09-02-2019,98
10-02-2019,155
11-02-2019,242
12-02-2019,257
13-02-2019,279
14-02-2019,327
16-02-2019,172
17-02-2019,97
18-02-2019,117
19-02-2019,154
20-02-2019,238
21-02-2019,106
22-02-2019,185
23-02-2019,103
24-02-2019,103
25-02-2019,149
26-02-2019,104
27-02-2019,102
28-02-2019,101
01-03-2019,100
02-03-2019,132
03-03-2019,136
04-03-2019,122
05-03-2019,120
06-03-2019,141
09-03-2019,133
10-03-2019,80
11-03-2019,119
12-03-2019,109
13-03-2019,127
14-03-2019,171
15-03-2019,105
16-03-2019,76
17-03-2019,87
18-03-2019,104
19-03-2019,119
20-03-2019,244
21-03-2019,172
22-03-2019,85
23-03-2019,79
24-03-2019,74
25-03-2019,87
26-03-2019,109
27-03-2019,91
28-03-2019,133
29-03-2019,161
30-03-2019,182
31-03-2019,141
01-04-2019,105
02-04-2019,130
03-04-2019,109
04-04-2019,250
05-04-2019,205
06-04-2019,190
08-04-2019,296
09-04-2019,206
10-04-2019,198
11-04-2019,127
12-04-2019,142
13-04-2019,126
14-04-2019,128
15-04-2019,137
16-04-2019,123
17-04-2019,81
18-04-2019,77
19-04-2019,86
20-04-2019,98
21-04-2019,131
22-04-2019,176
23-04-2019,161
24-04-2019,226
25-04-2019,279
26-04-2019,189
27-04-2019,260
28-04-2019,265
29-04-2019,215
30-04-2019,277
01-05-2019,262
02-05-2019,247
03-05-2019,152
04-05-2019,120
05-05-2019,180
06-05-2019,237
07-05-2019,331
08-05-2019,313
09-05-2019,309
10-05-2019,348
11-05-2019,163
12-05-2019,267
13-05-2019,280
14-05-2019,130
15-05-2019,186
16-05-2019,140
17-05-2019,269
18-05-2019,94
19-05-2019,243
20-05-2019,176
21-05-2019,151
22-05-2019,173
23-05-2019,280
24-05-2019,151
25-05-2019,99
26-05-2019,172
27-05-2019,109
28-05-2019,169
29-05-2019,180
30-05-2019,164
31-05-2019,260
01-06-2019,206
02-06-2019,196
03-06-2019,232
04-06-2019,184
05-06-2019,165
06-06-2019,180
07-06-2019,198
08-06-2019,195
09-06-2019,213
10-06-2019,234
15-06-2019,349
16-06-2019,250
17-06-2019,117
18-06-2019,76
19-06-2019,157
20-06-2019,192
21-06-2019,158
22-06-2019,247
25-06-2019,125
26-06-2019,210
27-06-2019,215
29-06-2019,272
30-06-2019,230
01-07-2019,213
02-07-2019,224
03-07-2019,155
04-07-2019,60
05-07-2019,265
06-07-2019,149
07-07-2019,103
08-07-2019,166
09-07-2019,174
10-07-2019,109
11-07-2019,333
12-07-2019,166
13-07-2019,308
14-07-2019,228
15-07-2019,85
17-07-2019,93
18-07-2019,83
19-07-2019,104
20-07-2019,109
21-07-2019,107
22-07-2019,96
23-07-2019,93
24-07-2019,143
26-07-2019,48
27-07-2019,33
28-07-2019,39
29-07-2019,47
30-07-2019,59
31-07-2019,66
01-08-2019,78
02-08-2019,83
03-08-2019,63
04-08-2019,74
05-08-2019,101
06-08-2019,131
07-08-2019,66
08-08-2019,75
10-08-2019,85
11-08-2019,89
12-08-2019,83
13-08-2019,87
14-08-2019,77
15-08-2019,76
16-08-2019,86
17-08-2019,54
20-08-2019,77
21-08-2019,101
22-08-2019,119
23-08-2019,172
27-08-2019,125
28-08-2019,106
29-08-2019,195
30-08-2019,103
31-08-2019,110
01-09-2019,160
03-09-2019,111
04-09-2019,146
05-09-2019,101
06-09-2019,96
07-09-2019,121
08-09-2019,89
09-09-2019,186
10-09-2019,136
11-09-2019,169
12-09-2019,164
13-09-2019,71
14-09-2019,68
16-09-2019,85
17-09-2019,125
18-09-2019,97
19-09-2019,48
20-09-2019,65
21-09-2019,96
22-09-2019,79
23-09-2019,38
25-09-2019,99
26-09-2019,103
27-09-2019,63
28-09-2019,87
29-09-2019,37
30-09-2019,53
01-10-2019,114
02-10-2019,132
03-10-2019,118
04-10-2019,89
05-10-2019,82
06-10-2019,82
07-10-2019,93
08-10-2019,89
10-10-2019,174
12-10-2019,198
13-10-2019,239
14-10-2019,165
15-10-2019,230
17-10-2019,217
18-10-2019,176
20-10-2019,53
21-10-2019,228
23-10-2019,122
26-10-2019,260
27-10-2019,215
28-10-2019,140
29-10-2019,234
30-10-2019,216
31-10-2019,195
01-11-2019,196
02-11-2019,216
03-11-2019,206
04-11-2019,308
05-11-2019,151
06-11-2019,280
07-11-2019,301
09-11-2019,211
10-11-2019,252
11-11-2019,251
12-11-2019,309
13-11-2019,247
14-11-2019,163
15-11-2019,263
16-11-2019,212
19-11-2019,209
20-11-2019,157
21-11-2019,136
22-11-2019,137
23-11-2019,143
24-11-2019,86
26-11-2019,143
27-11-2019,59
28-11-2019,50
30-11-2019,88
01-12-2019,88
02-12-2019,108
03-12-2019,77
04-12-2019,79
05-12-2019,94
06-12-2019,91
07-12-2019,95
08-12-2019,100
09-12-2019,107
10-12-2019,111
11-12-2019,115
12-12-2019,116
13-12-2019,103
15-12-2019,55
16-12-2019,107
18-12-2019,66
19-12-2019,78
21-12-2019,347
23-12-2019,345
24-12-2019,277
25-12-2019,317
26-12-2019,224
27-12-2019,295
28-12-2019,149
29-12-2019,143
30-12-2019,139
31-12-2019,153
01-01-2020,335
02-01-2020,268
03-01-2020,226
04-01-2020,219
05-01-2020,228
06-01-2020,221
07-01-2020,169
08-01-2020,181
10-01-2020,138
11-01-2020,126
12-01-2020,150
13-01-2020,253
14-01-2020,175
15-01-2020,124
16-01-2020,168
17-01-2020,128
18-01-2020,129
19-01-2020,125
20-01-2020,119
21-01-2020,156
22-01-2020,170
23-01-2020,110
24-01-2020,88
25-01-2020,153
26-01-2020,199
27-01-2020,165
28-01-2020,133
29-01-2020,111
30-01-2020,95
31-01-2020,81
01-02-2020,151
02-02-2020,109
03-02-2020,126
04-02-2020,145
05-02-2020,154
06-02-2020,111
07-02-2020,143
08-02-2020,123
09-02-2020,164
10-02-2020,148
11-02-2020,150
12-02-2020,153
13-02-2020,119
14-02-2020,111
17-02-2020,152
18-02-2020,160
19-02-2020,246
20-02-2020,253
23-02-2020,137
24-02-2020,108
25-02-2020,143
26-02-2020,156
27-02-2020,175
28-02-2020,190
29-02-2020,136
01-03-2020,71
02-03-2020,121
03-03-2020,116
04-03-2020,164
08-03-2020,121
09-03-2020,75
10-03-2020,107
11-03-2020,108
13-03-2020,160
14-03-2020,110
15-03-2020,110
16-03-2020,109
17-03-2020,100
18-03-2020,99
19-03-2020,118
20-03-2020,140
21-03-2020,180
22-03-2020,160
23-03-2020,88
24-03-2020,117
25-03-2020,136
26-03-2020,105
27-03-2020,97
28-03-2020,62
29-03-2020,51
30-03-2020,81
31-03-2020,114
01-04-2020,78
02-04-2020,72
03-04-2020,79
04-04-2020,85
