Date,AQI
13-03-2023,194
14-03-2023,223
15-03-2023,246
16-03-2023,240
17-03-2023,167
18-03-2023,126
19-03-2023,126
20-03-2023,149
21-03-2023,131
22-03-2023,288
23-03-2023,230
24-03-2023,162
26-03-2023,70
27-03-2023,162
28-03-2023,271
29-03-2023,341
30-03-2023,180
31-03-2023,68
01-04-2023,101
02-04-2023,188
03-04-2023,151
04-04-2023,183
05-04-2023,220
06-04-2023,136
07-04-2023,154
08-04-2023,215
09-04-2023,267
10-04-2023,266
11-04-2023,250
12-04-2023,240
13-04-2023,250
14-04-2023,282
15-04-2023,305
16-04-2023,108
17-04-2023,229
18-04-2023,338
21-04-2023,210
22-04-2023,202
23-04-2023,132
24-04-2023,337
25-04-2023,264
26-04-2023,270
27-04-2023,313
28-04-2023,276
29-04-2023,167
30-04-2023,235
01-05-2023,210
02-05-2023,162
03-05-2023,158
04-05-2023,165
05-05-2023,182
06-05-2023,224
07-05-2023,292
08-05-2023,179
09-05-2023,168
10-05-2023,223
11-05-2023,294
12-05-2023,250
13-05-2023,318
14-05-2023,259
15-05-2023,206
16-05-2023,271
19-05-2023,139
20-05-2023,124
21-05-2023,187
22-05-2023,235
23-05-2023,217
24-05-2023,269
25-05-2023,184
26-05-2023,109
27-05-2023,122
28-05-2023,227
29-05-2023,120
30-05-2023,172
31-05-2023,78
01-06-2023,70
02-06-2023,77
04-06-2023,138
05-06-2023,157
06-06-2023,196
07-06-2023,181
08-06-2023,201
09-06-2023,225
10-06-2023,179
11-06-2023,115
12-06-2023,219
13-06-2023,259
14-06-2023,224
15-06-2023,180
16-06-2023,136
17-06-2023,116
18-06-2023,123
19-06-2023,155
20-06-2023,152
21-06-2023,157
22-06-2023,64
23-06-2023,89
24-06-2023,91
25-06-2023,102
27-06-2023,184
28-06-2023,292
30-06-2023,202
01-07-2023,176
02-07-2023,121
03-07-2023,168
04-07-2023,188
05-07-2023,160
06-07-2023,93
07-07-2023,141
08-07-2023,173
11-07-2023,184
12-07-2023,257
13-07-2023,224
14-07-2023,234
15-07-2023,168
16-07-2023,139
17-07-2023,111
18-07-2023,218
19-07-2023,298
20-07-2023,329
21-07-2023,205
22-07-2023,64
23-07-2023,210
24-07-2023,250
25-07-2023,171
26-07-2023,206
28-07-2023,92
29-07-2023,124
30-07-2023,50
31-07-2023,144
01-08-2023,118
04-08-2023,101
05-08-2023,118
06-08-2023,128
07-08-2023,154
08-08-2023,200
09-08-2023,150
11-08-2023,146
12-08-2023,127
13-08-2023,116
14-08-2023,145
15-08-2023,179
16-08-2023,151
17-08-2023,96
18-08-2023,97
19-08-2023,136
20-08-2023,137
21-08-2023,122
22-08-2023,81
23-08-2023,72
24-08-2023,76
25-08-2023,80
26-08-2023,98
27-08-2023,117
28-08-2023,116
29-08-2023,102
30-08-2023,104
31-08-2023,94
01-09-2023,103
02-09-2023,100
03-09-2023,117
04-09-2023,104
05-09-2023,95
06-09-2023,117
07-09-2023,142
08-09-2023,152
09-09-2023,134
10-09-2023,74
11-09-2023,90
12-09-2023,84
13-09-2023,129
14-09-2023,169
15-09-2023,160
19-09-2023,60
20-09-2023,91
21-09-2023,85
22-09-2023,158
23-09-2023,211
24-09-2023,88
25-09-2023,71
26-09-2023,100
27-09-2023,153
28-09-2023,152
29-09-2023,169
30-09-2023,186
01-10-2023,192
02-10-2023,162
03-10-2023,182
04-10-2023,240
05-10-2023,252
06-10-2023,171
07-10-2023,103
08-10-2023,101
09-10-2023,125
10-10-2023,100
11-10-2023,153
12-10-2023,151
13-10-2023,158
14-10-2023,178
15-10-2023,88
16-10-2023,67
17-10-2023,59
18-10-2023,78
19-10-2023,175
20-10-2023,159
21-10-2023,182
22-10-2023,102
23-10-2023,167
24-10-2023,299
25-10-2023,190
26-10-2023,244
27-10-2023,216
28-10-2023,268
29-10-2023,343
30-10-2023,368
31-10-2023,344
01-11-2023,354
02-11-2023,359
03-11-2023,378
04-11-2023,440
05-11-2023,385
06-11-2023,310
07-11-2023,389
08-11-2023,351
09-11-2023,345
10-11-2023,216
11-11-2023,137
12-11-2023,249
13-11-2023,329
15-11-2023,356
16-11-2023,374
17-11-2023,426
18-11-2023,402
19-11-2023,441
20-11-2023,423
21-11-2023,319
22-11-2023,214
23-11-2023,200
24-11-2023,223
25-11-2023,234
26-11-2023,212
27-11-2023,210
28-11-2023,184
29-11-2023,151
30-11-2023,130
01-12-2023,78
02-12-2023,96
03-12-2023,145
04-12-2023,123
05-12-2023,156
06-12-2023,156
07-12-2023,137
08-12-2023,143
09-12-2023,184
10-12-2023,132
11-12-2023,160
12-12-2023,153
13-12-2023,175
14-12-2023,265
15-12-2023,357
16-12-2023,379
17-12-2023,307
19-12-2023,223
20-12-2023,266
21-12-2023,321
22-12-2023,371
23-12-2023,348
24-12-2023,399
25-12-2023,313
26-12-2023,403
27-12-2023,330
28-12-2023,332
29-12-2023,260
30-12-2023,263
31-12-2023,285
