Date,AQI
10-02-2021,277
12-02-2021,194
14-02-2021,236
15-02-2021,174
16-02-2021,170
17-02-2021,121
18-02-2021,130
19-02-2021,146
20-02-2021,80
21-02-2021,193
22-02-2021,171
25-02-2021,96
26-02-2021,48
27-02-2021,35
28-02-2021,25
01-03-2021,78
02-03-2021,87
03-03-2021,155
05-03-2021,79
06-03-2021,84
07-03-2021,104
08-03-2021,44
09-03-2021,59
13-03-2021,29
14-03-2021,58
15-03-2021,43
16-03-2021,120
17-03-2021,117
19-03-2021,125
20-03-2021,92
21-03-2021,129
25-03-2021,26
26-03-2021,105
27-03-2021,118
29-03-2021,52
30-03-2021,44
31-03-2021,51
01-04-2021,86
02-04-2021,62
03-04-2021,63
04-04-2021,91
05-04-2021,37
06-04-2021,40
07-04-2021,36
08-04-2021,48
09-04-2021,55
10-04-2021,82
11-04-2021,83
12-04-2021,36
13-04-2021,72
14-04-2021,102
15-04-2021,49
16-04-2021,36
18-04-2021,34
19-04-2021,34
20-04-2021,100
21-04-2021,68
22-04-2021,70
23-04-2021,32
24-04-2021,55
25-04-2021,85
26-04-2021,83
27-04-2021,110
28-04-2021,95
29-04-2021,64
30-04-2021,88
01-05-2021,53
02-05-2021,94
03-05-2021,91
04-05-2021,98
05-05-2021,63
06-05-2021,76
07-05-2021,72
08-05-2021,92
09-05-2021,87
10-05-2021,101
11-05-2021,55
12-05-2021,51
13-05-2021,38
14-05-2021,49
15-05-2021,52
16-05-2021,41
17-05-2021,43
18-05-2021,93
19-05-2021,68
20-05-2021,88
21-05-2021,47
22-05-2021,43
23-05-2021,80
24-05-2021,69
25-05-2021,97
26-05-2021,105
27-05-2021,114
28-05-2021,134
29-05-2021,132
30-05-2021,90
31-05-2021,131
01-06-2021,77
02-06-2021,66
03-06-2021,100
04-06-2021,50
05-06-2021,89
06-06-2021,84
07-06-2021,96
08-06-2021,109
09-06-2021,127
10-06-2021,162
11-06-2021,172
12-06-2021,75
13-06-2021,46
15-06-2021,71
16-06-2021,80
17-06-2021,62
19-06-2021,86
20-06-2021,91
21-06-2021,51
22-06-2021,80
23-06-2021,123
24-06-2021,57
25-06-2021,66
26-06-2021,59
27-06-2021,61
28-06-2021,87
29-06-2021,132
30-06-2021,148
01-07-2021,116
02-07-2021,91
03-07-2021,75
04-07-2021,112
05-07-2021,75
06-07-2021,120
07-07-2021,106
08-07-2021,120
09-07-2021,135
10-07-2021,141
11-07-2021,119
12-07-2021,74
13-07-2021,57
14-07-2021,53
15-07-2021,88
16-07-2021,100
17-07-2021,88
18-07-2021,67
19-07-2021,47
20-07-2021,40
21-07-2021,45
22-07-2021,39
23-07-2021,64
24-07-2021,103
25-07-2021,115
26-07-2021,66
27-07-2021,77
28-07-2021,38
29-07-2021,33
30-07-2021,46
31-07-2021,43
01-08-2021,42
02-08-2021,54
03-08-2021,70
04-08-2021,72
05-08-2021,86
06-08-2021,58
07-08-2021,69
08-08-2021,73
09-08-2021,64
10-08-2021,69
11-08-2021,66
12-08-2021,68
