Date,AQI
27-11-2022,123
28-11-2022,186
29-11-2022,231
30-11-2022,231
01-12-2022,177
02-12-2022,220
03-12-2022,251
04-12-2022,256
05-12-2022,294
06-12-2022,267
07-12-2022,249
08-12-2022,217
09-12-2022,263
10-12-2022,263
11-12-2022,250
12-12-2022,168
13-12-2022,145
14-12-2022,137
15-12-2022,111
16-12-2022,96
17-12-2022,130
18-12-2022,140
19-12-2022,206
20-12-2022,166
21-12-2022,183
22-12-2022,185
24-12-2022,138
25-12-2022,103
26-12-2022,89
27-12-2022,75
28-12-2022,137
29-12-2022,177
30-12-2022,94
31-12-2022,119
01-01-2023,197
02-01-2023,255
03-01-2023,286
04-01-2023,288
06-01-2023,225
07-01-2023,115
08-01-2023,125
09-01-2023,118
10-01-2023,114
12-01-2023,178
13-01-2023,267
14-01-2023,160
15-01-2023,124
16-01-2023,129
17-01-2023,228
18-01-2023,267
19-01-2023,286
20-01-2023,295
22-01-2023,309
23-01-2023,233
24-01-2023,236
25-01-2023,161
26-01-2023,193
27-01-2023,252
28-01-2023,294
29-01-2023,268
30-01-2023,227
31-01-2023,174
01-02-2023,128
02-02-2023,127
03-02-2023,101
04-02-2023,114
05-02-2023,97
06-02-2023,97
07-02-2023,130
08-02-2023,193
09-02-2023,136
10-02-2023,121
11-02-2023,122
12-02-2023,123
13-02-2023,99
14-02-2023,124
15-02-2023,110
16-02-2023,115
17-02-2023,188
18-02-2023,118
19-02-2023,153
20-02-2023,138
21-02-2023,147
22-02-2023,149
23-02-2023,152
24-02-2023,158
25-02-2023,110
26-02-2023,151
28-02-2023,150
01-03-2023,196
02-03-2023,184
03-03-2023,187
04-03-2023,135
05-03-2023,124
06-03-2023,142
07-03-2023,151
08-03-2023,181
09-03-2023,233
10-03-2023,205
11-03-2023,185
13-03-2023,238
14-03-2023,256
15-03-2023,171
16-03-2023,139
17-03-2023,162
18-03-2023,178
19-03-2023,84
20-03-2023,74
21-03-2023,55
22-03-2023,71
23-03-2023,78
24-03-2023,92
25-03-2023,88
26-03-2023,97
27-03-2023,100
28-03-2023,106
29-03-2023,83
30-03-2023,88
31-03-2023,81
01-04-2023,48
02-04-2023,55
03-04-2023,75
04-04-2023,100
05-04-2023,97
06-04-2023,128
07-04-2023,113
08-04-2023,165
09-04-2023,112
10-04-2023,144
11-04-2023,148
12-04-2023,130
13-04-2023,137
14-04-2023,208
15-04-2023,218
16-04-2023,216
17-04-2023,200
18-04-2023,201
19-04-2023,154
20-04-2023,142
21-04-2023,109
22-04-2023,73
23-04-2023,56
24-04-2023,57
25-04-2023,59
26-04-2023,72
27-04-2023,58
28-04-2023,79
29-04-2023,65
30-04-2023,73
01-05-2023,61
02-05-2023,40
03-05-2023,61
04-05-2023,37
05-05-2023,46
06-05-2023,80
07-05-2023,94
08-05-2023,97
09-05-2023,111
10-05-2023,104
11-05-2023,153
12-05-2023,98
13-05-2023,96
15-05-2023,130
16-05-2023,118
17-05-2023,84
18-05-2023,92
19-05-2023,101
20-05-2023,88
23-05-2023,85
24-05-2023,103
25-05-2023,85
26-05-2023,86
27-05-2023,84
28-05-2023,69
29-05-2023,83
30-05-2023,93
31-05-2023,97
01-06-2023,93
02-06-2023,154
06-06-2023,92
07-06-2023,104
08-06-2023,128
09-06-2023,162
10-06-2023,107
11-06-2023,115
12-06-2023,113
13-06-2023,169
15-06-2023,72
16-06-2023,98
17-06-2023,99
18-06-2023,91
20-06-2023,75
21-06-2023,83
22-06-2023,75
23-06-2023,67
24-06-2023,254
25-06-2023,76
26-06-2023,60
27-06-2023,46
28-06-2023,42
29-06-2023,45
30-06-2023,58
01-07-2023,69
03-07-2023,71
04-07-2023,64
05-07-2023,48
06-07-2023,43
07-07-2023,52
08-07-2023,38
11-07-2023,78
12-07-2023,76
13-07-2023,65
14-07-2023,65
15-07-2023,52
16-07-2023,37
17-07-2023,36
20-07-2023,48
21-07-2023,53
22-07-2023,34
23-07-2023,37
24-07-2023,54
25-07-2023,53
26-07-2023,39
28-07-2023,46
29-07-2023,52
30-07-2023,62
31-07-2023,48
01-08-2023,44
02-08-2023,39
03-08-2023,34
04-08-2023,34
05-08-2023,56
06-08-2023,54
07-08-2023,56
08-08-2023,74
09-08-2023,107
10-08-2023,126
11-08-2023,126
12-08-2023,108
13-08-2023,100
14-08-2023,80
15-08-2023,75
17-08-2023,78
18-08-2023,65
19-08-2023,47
20-08-2023,60
21-08-2023,83
22-08-2023,68
23-08-2023,55
24-08-2023,52
25-08-2023,64
26-08-2023,79
29-08-2023,187
30-08-2023,160
01-09-2023,113
03-09-2023,95
04-09-2023,89
05-09-2023,55
06-09-2023,44
07-09-2023,62
08-09-2023,49
09-09-2023,63
10-09-2023,72
11-09-2023,90
12-09-2023,96
13-09-2023,53
14-09-2023,38
16-09-2023,49
17-09-2023,50
19-09-2023,88
20-09-2023,48
21-09-2023,39
22-09-2023,49
23-09-2023,44
24-09-2023,69
25-09-2023,77
26-09-2023,61
27-09-2023,67
28-09-2023,58
29-09-2023,87
30-09-2023,89
01-10-2023,49
02-10-2023,55
03-10-2023,41
04-10-2023,40
05-10-2023,71
06-10-2023,103
07-10-2023,90
08-10-2023,77
10-10-2023,133
11-10-2023,128
12-10-2023,111
13-10-2023,114
14-10-2023,157
15-10-2023,173
16-10-2023,135
17-10-2023,127
18-10-2023,120
19-10-2023,184
20-10-2023,154
21-10-2023,162
22-10-2023,162
23-10-2023,126
24-10-2023,111
25-10-2023,105
26-10-2023,117
27-10-2023,165
28-10-2023,166
29-10-2023,114
01-11-2023,112
02-11-2023,110
03-11-2023,99
04-11-2023,69
05-11-2023,70
06-11-2023,165
07-11-2023,126
08-11-2023,190
09-11-2023,180
10-11-2023,151
11-11-2023,153
12-11-2023,181
13-11-2023,277
14-11-2023,231
15-11-2023,196
16-11-2023,133
17-11-2023,107
18-11-2023,107
19-11-2023,97
20-11-2023,147
21-11-2023,173
22-11-2023,133
23-11-2023,161
25-11-2023,218
26-11-2023,247
27-11-2023,180
28-11-2023,210
29-11-2023,165
30-11-2023,129
01-12-2023,164
02-12-2023,154
03-12-2023,220
04-12-2023,150
05-12-2023,109
06-12-2023,78
12-12-2023,104
13-12-2023,114
14-12-2023,152
15-12-2023,198
16-12-2023,190
17-12-2023,194
18-12-2023,269
19-12-2023,213
20-12-2023,211
21-12-2023,177
22-12-2023,214
23-12-2023,192
24-12-2023,165
25-12-2023,114
26-12-2023,132
27-12-2023,173
28-12-2023,206
29-12-2023,251
30-12-2023,237
31-12-2023,257
