Date,AQI
04-11-2022,251
05-11-2022,247
06-11-2022,247
09-11-2022,299
10-11-2022,224
11-11-2022,213
12-11-2022,142
13-11-2022,154
14-11-2022,154
15-11-2022,154
16-11-2022,154
17-11-2022,154
18-11-2022,154
19-11-2022,154
20-11-2022,188
21-11-2022,209
23-11-2022,274
24-11-2022,196
25-11-2022,210
26-11-2022,211
27-11-2022,165
28-11-2022,259
29-11-2022,231
30-11-2022,179
01-12-2022,254
02-12-2022,243
03-12-2022,293
04-12-2022,281
05-12-2022,273
06-12-2022,325
07-12-2022,342
08-12-2022,280
09-12-2022,158
10-12-2022,188
11-12-2022,222
12-12-2022,278
13-12-2022,264
14-12-2022,184
15-12-2022,159
16-12-2022,258
17-12-2022,287
18-12-2022,156
19-12-2022,147
21-12-2022,201
22-12-2022,174
23-12-2022,113
24-12-2022,98
25-12-2022,280
26-12-2022,306
27-12-2022,313
28-12-2022,330
29-12-2022,321
30-12-2022,276
31-12-2022,151
01-01-2023,207
02-01-2023,237
03-01-2023,274
04-01-2023,172
05-01-2023,191
06-01-2023,334
07-01-2023,332
08-01-2023,261
09-01-2023,156
10-01-2023,188
12-01-2023,170
13-01-2023,150
14-01-2023,190
15-01-2023,211
16-01-2023,199
17-01-2023,248
18-01-2023,253
19-01-2023,299
20-01-2023,340
22-01-2023,131
23-01-2023,155
24-01-2023,231
25-01-2023,254
26-01-2023,223
27-01-2023,203
28-01-2023,115
04-02-2023,143
05-02-2023,232
06-02-2023,216
07-02-2023,132
08-02-2023,185
09-02-2023,194
10-02-2023,241
11-02-2023,194
12-02-2023,135
13-02-2023,114
14-02-2023,137
15-02-2023,201
16-02-2023,223
17-02-2023,178
18-02-2023,198
19-02-2023,193
20-02-2023,247
21-02-2023,270
22-02-2023,195
23-02-2023,204
24-02-2023,193
25-02-2023,222
26-02-2023,225
28-02-2023,161
01-03-2023,196
02-03-2023,208
03-03-2023,259
04-03-2023,306
05-03-2023,245
08-03-2023,149
09-03-2023,135
10-03-2023,93
11-03-2023,118
12-03-2023,158
13-03-2023,178
14-03-2023,131
15-03-2023,212
16-03-2023,118
17-03-2023,189
18-03-2023,158
19-03-2023,127
20-03-2023,80
21-03-2023,79
22-03-2023,66
26-03-2023,95
27-03-2023,87
28-03-2023,110
29-03-2023,99
30-03-2023,81
31-03-2023,78
01-04-2023,81
02-04-2023,87
03-04-2023,82
04-04-2023,84
05-04-2023,87
06-04-2023,85
07-04-2023,110
08-04-2023,90
09-04-2023,90
10-04-2023,83
11-04-2023,87
12-04-2023,80
13-04-2023,87
14-04-2023,96
15-04-2023,78
16-04-2023,83
18-04-2023,74
29-04-2023,77
30-04-2023,80
01-05-2023,74
02-05-2023,74
03-05-2023,76
06-05-2023,77
07-05-2023,77
08-05-2023,77
09-05-2023,77
10-05-2023,88
11-05-2023,93
12-05-2023,79
13-05-2023,65
14-05-2023,72
15-05-2023,65
16-05-2023,73
17-05-2023,74
18-05-2023,65
19-05-2023,74
20-05-2023,245
21-05-2023,71
22-05-2023,222
23-05-2023,194
24-05-2023,237
25-05-2023,210
26-05-2023,206
27-05-2023,68
28-05-2023,230
29-05-2023,80
30-05-2023,77
31-05-2023,78
01-06-2023,96
03-06-2023,57
04-06-2023,251
05-06-2023,101
06-06-2023,59
08-06-2023,71
09-06-2023,110
10-06-2023,110
12-06-2023,84
14-06-2023,36
15-06-2023,215
16-06-2023,32
17-06-2023,39
19-06-2023,35
20-06-2023,40
21-06-2023,39
23-06-2023,102
24-06-2023,69
01-07-2023,15
06-07-2023,39
07-07-2023,32
08-07-2023,25
09-07-2023,34
10-07-2023,41
11-07-2023,53
12-07-2023,42
13-07-2023,45
14-07-2023,39
17-07-2023,30
18-07-2023,29
19-07-2023,21
20-07-2023,32
21-07-2023,33
25-07-2023,13
26-07-2023,12
27-07-2023,14
28-07-2023,16
02-08-2023,32
03-08-2023,32
04-08-2023,48
05-08-2023,65
06-08-2023,124
07-08-2023,37
09-08-2023,88
12-08-2023,108
13-08-2023,148
14-08-2023,98
15-08-2023,173
16-08-2023,108
17-08-2023,147
18-08-2023,252
19-08-2023,384
24-08-2023,102
12-09-2023,102
13-09-2023,136
14-09-2023,108
17-09-2023,183
19-09-2023,210
20-09-2023,187
21-09-2023,133
22-09-2023,229
23-09-2023,162
24-09-2023,170
25-09-2023,196
26-09-2023,295
27-09-2023,274
01-10-2023,171
02-10-2023,113
03-10-2023,168
04-10-2023,123
05-10-2023,70
06-10-2023,76
07-10-2023,65
08-10-2023,83
09-10-2023,127
10-10-2023,66
11-10-2023,95
12-10-2023,137
13-10-2023,146
14-10-2023,199
15-10-2023,106
16-10-2023,209
17-10-2023,159
18-10-2023,120
19-10-2023,117
20-10-2023,153
21-10-2023,196
22-10-2023,200
23-10-2023,177
24-10-2023,182
25-10-2023,151
26-10-2023,178
27-10-2023,200
28-10-2023,177
29-10-2023,192
30-10-2023,207
31-10-2023,174
01-11-2023,166
02-11-2023,180
03-11-2023,242
04-11-2023,153
05-11-2023,182
06-11-2023,193
07-11-2023,192
08-11-2023,169
09-11-2023,274
11-11-2023,201
12-11-2023,156
13-11-2023,299
15-11-2023,150
16-11-2023,186
17-11-2023,195
18-11-2023,209
19-11-2023,231
20-11-2023,181
21-11-2023,206
22-11-2023,196
23-11-2023,174
24-11-2023,212
25-11-2023,205
26-11-2023,192
27-11-2023,27
28-11-2023,119
29-11-2023,129
30-11-2023,178
01-12-2023,186
02-12-2023,175
03-12-2023,296
04-12-2023,332
08-12-2023,155
10-12-2023,180
11-12-2023,204
12-12-2023,190
13-12-2023,215
14-12-2023,193
15-12-2023,261
16-12-2023,317
18-12-2023,80
19-12-2023,58
20-12-2023,72
21-12-2023,86
22-12-2023,110
23-12-2023,135
24-12-2023,134
25-12-2023,137
26-12-2023,165
29-12-2023,181
30-12-2023,145
31-12-2023,88
