Date,AQI
08-02-2018,295
09-02-2018,294
10-02-2018,320
13-02-2018,311
14-02-2018,260
16-02-2018,319
17-02-2018,292
18-02-2018,350
19-02-2018,302
20-02-2018,267
21-02-2018,277
22-02-2018,392
23-02-2018,359
24-02-2018,322
25-02-2018,298
26-02-2018,348
27-02-2018,323
28-02-2018,321
01-03-2018,308
02-03-2018,337
03-03-2018,304
04-03-2018,388
05-03-2018,357
06-03-2018,295
07-03-2018,292
08-03-2018,222
10-03-2018,262
21-03-2018,366
22-03-2018,265
23-03-2018,175
24-03-2018,213
25-03-2018,147
26-03-2018,145
27-03-2018,286
28-03-2018,344
29-03-2018,168
30-03-2018,122
31-03-2018,124
01-04-2018,121
02-04-2018,112
03-04-2018,106
04-04-2018,112
16-04-2018,195
17-04-2018,165
18-04-2018,222
20-04-2018,77
21-04-2018,104
22-04-2018,142
23-04-2018,101
24-04-2018,133
27-04-2018,107
28-04-2018,105
30-04-2018,100
01-05-2018,85
02-05-2018,96
03-05-2018,111
04-05-2018,101
05-05-2018,111
06-05-2018,101
07-05-2018,139
08-05-2018,131
09-05-2018,141
10-05-2018,156
11-05-2018,111
12-05-2018,110
13-05-2018,98
14-05-2018,82
15-05-2018,157
16-05-2018,116
17-05-2018,110
18-05-2018,108
19-05-2018,143
20-05-2018,101
22-05-2018,175
23-05-2018,90
24-05-2018,92
25-05-2018,88
26-05-2018,88
27-05-2018,87
28-05-2018,100
29-05-2018,106
30-05-2018,94
31-05-2018,98
01-06-2018,178
02-06-2018,93
03-06-2018,204
04-06-2018,152
05-06-2018,111
06-06-2018,108
07-06-2018,111
19-06-2018,207
20-06-2018,182
21-06-2018,173
22-06-2018,109
23-06-2018,130
24-06-2018,110
25-06-2018,119
26-06-2018,104
27-06-2018,105
28-06-2018,99
29-06-2018,102
30-06-2018,116
01-07-2018,122
02-07-2018,103
03-07-2018,108
04-07-2018,137
05-07-2018,147
06-07-2018,137
07-07-2018,150
08-07-2018,104
09-07-2018,101
10-07-2018,102
11-07-2018,106
12-07-2018,105
13-07-2018,106
14-07-2018,104
15-07-2018,106
18-07-2018,108
19-07-2018,127
20-07-2018,108
21-07-2018,105
22-07-2018,103
23-07-2018,106
24-07-2018,146
25-07-2018,132
14-08-2018,109
15-08-2018,108
16-08-2018,104
21-08-2018,109
22-08-2018,109
23-08-2018,108
23-09-2018,50
24-09-2018,45
25-09-2018,46
26-09-2018,56
28-09-2018,70
29-09-2018,54
30-09-2018,60
17-10-2018,97
19-10-2018,102
20-10-2018,106
21-10-2018,113
23-10-2018,120
24-10-2018,103
25-10-2018,115
26-10-2018,118
27-10-2018,142
28-10-2018,125
29-10-2018,104
30-10-2018,98
31-10-2018,118
01-11-2018,102
02-11-2018,110
03-11-2018,180
04-11-2018,118
05-11-2018,222
06-11-2018,253
07-11-2018,194
08-11-2018,175
09-11-2018,190
10-11-2018,287
11-11-2018,306
12-11-2018,269
13-11-2018,257
14-11-2018,330
15-11-2018,315
16-11-2018,383
17-11-2018,318
18-11-2018,334
19-11-2018,210
20-11-2018,384
21-11-2018,336
22-11-2018,334
23-11-2018,357
24-11-2018,299
25-11-2018,306
26-11-2018,344
27-11-2018,414
29-11-2018,313
30-11-2018,404
01-12-2018,353
02-12-2018,382
03-12-2018,364
04-12-2018,320
05-12-2018,274
06-12-2018,272
07-12-2018,259
08-12-2018,265
09-12-2018,198
10-12-2018,268
11-12-2018,220
12-12-2018,256
13-12-2018,260
26-12-2018,238
27-12-2018,235
28-12-2018,237
29-12-2018,248
30-12-2018,213
31-12-2018,207
01-01-2019,254
02-01-2019,299
03-01-2019,311
04-01-2019,309
05-01-2019,317
06-01-2019,319
07-01-2019,313
08-01-2019,258
09-01-2019,220
10-01-2019,291
11-01-2019,305
12-01-2019,282
13-01-2019,305
14-01-2019,285
15-01-2019,302
16-01-2019,324
17-01-2019,343
19-01-2019,304
20-01-2019,331
21-01-2019,354
22-01-2019,274
23-01-2019,235
24-01-2019,176
25-01-2019,151
26-01-2019,195
27-01-2019,181
28-01-2019,151
29-01-2019,214
30-01-2019,255
31-01-2019,298
01-02-2019,306
02-02-2019,304
03-02-2019,342
04-02-2019,328
05-02-2019,367
06-02-2019,310
07-02-2019,343
08-02-2019,208
09-02-2019,244
10-02-2019,218
11-02-2019,263
12-02-2019,315
13-02-2019,359
17-02-2019,229
19-02-2019,354
20-02-2019,349
21-02-2019,278
24-02-2019,362
25-02-2019,181
26-02-2019,102
27-02-2019,112
28-02-2019,131
01-03-2019,147
02-03-2019,160
03-03-2019,193
04-03-2019,209
05-03-2019,139
07-03-2019,277
21-03-2019,118
22-03-2019,162
23-03-2019,171
24-03-2019,237
25-03-2019,343
26-03-2019,250
27-03-2019,144
28-03-2019,115
29-03-2019,215
30-03-2019,207
03-04-2019,169
04-04-2019,120
05-04-2019,159
06-04-2019,161
07-04-2019,102
08-04-2019,82
09-04-2019,146
10-04-2019,158
11-04-2019,126
12-04-2019,193
13-04-2019,145
15-04-2019,191
16-04-2019,170
17-04-2019,271
18-04-2019,121
19-04-2019,119
20-04-2019,121
21-04-2019,117
23-04-2019,113
24-04-2019,77
25-04-2019,93
30-04-2019,89
01-05-2019,69
03-05-2019,97
05-05-2019,131
06-05-2019,154
07-05-2019,177
08-05-2019,192
09-05-2019,170
10-05-2019,202
11-05-2019,153
12-05-2019,137
13-05-2019,196
14-05-2019,115
15-05-2019,117
20-05-2019,116
21-05-2019,131
22-05-2019,122
23-05-2019,105
24-05-2019,95
29-05-2019,195
30-05-2019,112
02-06-2019,95
04-06-2019,117
05-06-2019,95
08-06-2019,90
09-06-2019,108
10-06-2019,101
12-06-2019,121
18-06-2019,119
19-06-2019,139
25-06-2019,63
27-06-2019,80
28-06-2019,88
29-06-2019,132
30-06-2019,91
01-07-2019,82
02-07-2019,69
03-07-2019,88
06-07-2019,78
07-07-2019,91
08-07-2019,96
09-07-2019,119
10-07-2019,95
11-07-2019,101
12-07-2019,96
13-07-2019,112
14-07-2019,132
15-07-2019,101
16-07-2019,152
17-07-2019,192
18-07-2019,112
20-07-2019,66
22-07-2019,60
23-07-2019,66
24-07-2019,81
25-07-2019,100
27-07-2019,74
28-07-2019,91
29-07-2019,73
30-07-2019,68
31-07-2019,71
01-08-2019,73
02-08-2019,97
03-08-2019,95
04-08-2019,79
05-08-2019,87
08-08-2019,82
10-08-2019,102
11-08-2019,100
12-08-2019,102
22-08-2019,103
24-08-2019,113
25-08-2019,108
26-08-2019,97
27-08-2019,110
28-08-2019,107
29-08-2019,100
30-08-2019,80
31-08-2019,64
11-09-2019,72
14-09-2019,58
15-09-2019,76
16-09-2019,74
17-09-2019,56
