Date,AQI
27-11-2022,116
28-11-2022,140
29-11-2022,220
30-11-2022,190
02-12-2022,185
03-12-2022,194
04-12-2022,259
05-12-2022,240
09-12-2022,175
13-12-2022,79
14-12-2022,79
15-12-2022,79
16-12-2022,65
17-12-2022,82
18-12-2022,105
19-12-2022,156
20-12-2022,82
21-12-2022,87
22-12-2022,144
23-12-2022,110
24-12-2022,83
25-12-2022,55
30-12-2022,85
31-12-2022,85
01-01-2023,152
02-01-2023,240
03-01-2023,295
04-01-2023,279
05-01-2023,325
06-01-2023,250
10-01-2023,72
12-01-2023,90
17-01-2023,192
18-01-2023,251
19-01-2023,281
20-01-2023,287
23-01-2023,155
24-01-2023,100
25-01-2023,80
26-01-2023,113
27-01-2023,169
28-01-2023,224
29-01-2023,180
30-01-2023,143
31-01-2023,115
01-02-2023,105
02-02-2023,72
03-02-2023,79
04-02-2023,74
05-02-2023,86
06-02-2023,68
07-02-2023,85
08-02-2023,87
09-02-2023,101
11-02-2023,98
12-02-2023,91
13-02-2023,102
14-02-2023,109
15-02-2023,101
16-02-2023,114
19-02-2023,104
20-02-2023,147
21-02-2023,106
22-02-2023,111
23-02-2023,100
24-02-2023,121
25-02-2023,114
26-02-2023,103
27-02-2023,112
28-02-2023,106
01-03-2023,113
02-03-2023,146
05-03-2023,91
11-03-2023,196
12-03-2023,223
13-03-2023,261
14-03-2023,337
16-03-2023,245
17-03-2023,248
18-03-2023,212
19-03-2023,79
20-03-2023,39
21-03-2023,39
22-03-2023,57
23-03-2023,60
24-03-2023,87
25-03-2023,87
26-03-2023,85
27-03-2023,100
28-03-2023,85
29-03-2023,79
30-03-2023,67
04-04-2023,69
05-04-2023,74
06-04-2023,107
07-04-2023,93
08-04-2023,105
09-04-2023,99
10-04-2023,110
11-04-2023,108
12-04-2023,105
18-04-2023,104
19-04-2023,124
20-04-2023,111
21-04-2023,96
27-04-2023,58
28-04-2023,76
29-04-2023,50
30-04-2023,51
01-05-2023,42
02-05-2023,38
03-05-2023,51
04-05-2023,31
06-05-2023,75
07-05-2023,79
08-05-2023,72
09-05-2023,101
10-05-2023,73
11-05-2023,102
12-05-2023,112
13-05-2023,101
14-05-2023,118
15-05-2023,137
18-05-2023,81
19-05-2023,107
20-05-2023,64
21-05-2023,47
22-05-2023,53
24-05-2023,91
26-05-2023,76
27-05-2023,90
28-05-2023,57
29-05-2023,70
30-05-2023,82
31-05-2023,89
01-06-2023,84
02-06-2023,58
03-06-2023,105
04-06-2023,79
05-06-2023,62
06-06-2023,76
07-06-2023,89
08-06-2023,96
09-06-2023,119
10-06-2023,113
13-06-2023,90
14-06-2023,78
15-06-2023,62
16-06-2023,89
17-06-2023,99
18-06-2023,95
19-06-2023,69
20-06-2023,67
22-06-2023,64
23-06-2023,57
24-06-2023,70
27-06-2023,22
29-06-2023,34
30-06-2023,39
01-07-2023,37
02-07-2023,40
04-07-2023,38
05-07-2023,36
06-07-2023,43
08-07-2023,25
09-07-2023,29
10-07-2023,43
11-07-2023,50
12-07-2023,63
13-07-2023,40
18-07-2023,47
19-07-2023,40
20-07-2023,38
21-07-2023,39
26-07-2023,40
27-07-2023,37
28-07-2023,44
29-07-2023,54
30-07-2023,46
31-07-2023,53
01-08-2023,36
02-08-2023,30
03-08-2023,28
04-08-2023,26
15-08-2023,40
17-08-2023,49
18-08-2023,38
19-08-2023,50
20-08-2023,35
22-08-2023,39
23-08-2023,37
24-08-2023,31
25-08-2023,41
29-08-2023,107
02-09-2023,77
05-09-2023,45
06-09-2023,37
07-09-2023,44
08-09-2023,38
09-09-2023,38
10-09-2023,45
11-09-2023,49
12-09-2023,49
13-09-2023,47
14-09-2023,39
15-09-2023,33
16-09-2023,41
17-09-2023,43
18-09-2023,52
19-09-2023,50
20-09-2023,47
21-09-2023,45
22-09-2023,35
23-09-2023,29
24-09-2023,38
25-09-2023,45
26-09-2023,89
27-09-2023,60
28-09-2023,67
29-09-2023,67
30-09-2023,77
01-10-2023,35
02-10-2023,34
07-10-2023,64
08-10-2023,50
09-10-2023,98
10-10-2023,95
11-10-2023,88
12-10-2023,80
13-10-2023,80
14-10-2023,100
15-10-2023,75
16-10-2023,97
17-10-2023,94
18-10-2023,95
19-10-2023,122
20-10-2023,87
21-10-2023,84
22-10-2023,86
23-10-2023,88
24-10-2023,93
25-10-2023,71
26-10-2023,89
27-10-2023,100
28-10-2023,82
29-10-2023,74
30-10-2023,86
31-10-2023,123
01-11-2023,77
02-11-2023,71
03-11-2023,56
04-11-2023,50
05-11-2023,82
06-11-2023,104
07-11-2023,73
08-11-2023,94
09-11-2023,96
10-11-2023,110
11-11-2023,107
12-11-2023,103
13-11-2023,150
14-11-2023,101
15-11-2023,112
16-11-2023,108
19-11-2023,68
20-11-2023,79
21-11-2023,94
22-11-2023,97
23-11-2023,101
24-11-2023,111
25-11-2023,113
26-11-2023,138
27-11-2023,103
28-11-2023,99
29-11-2023,91
30-11-2023,91
01-12-2023,108
02-12-2023,110
03-12-2023,123
04-12-2023,102
05-12-2023,89
06-12-2023,66
07-12-2023,36
08-12-2023,47
09-12-2023,97
10-12-2023,152
11-12-2023,120
12-12-2023,106
13-12-2023,99
14-12-2023,86
15-12-2023,97
20-12-2023,107
21-12-2023,114
22-12-2023,105
23-12-2023,126
24-12-2023,86
25-12-2023,84
26-12-2023,99
27-12-2023,107
28-12-2023,144
29-12-2023,122
30-12-2023,126
31-12-2023,124
