Date,AQI
01-09-2016,38
02-09-2016,40
03-09-2016,41
04-09-2016,59
05-09-2016,48
06-09-2016,46
07-09-2016,45
08-09-2016,48
09-09-2016,49
10-09-2016,40
13-09-2016,47
14-09-2016,45
15-09-2016,39
16-09-2016,39
17-09-2016,38
18-09-2016,44
19-09-2016,40
20-09-2016,66
21-09-2016,50
22-09-2016,45
23-09-2016,40
24-09-2016,47
25-09-2016,52
26-09-2016,45
27-09-2016,38
29-09-2016,49
30-09-2016,53
01-10-2016,45
02-10-2016,47
03-10-2016,41
04-10-2016,42
05-10-2016,48
06-10-2016,50
07-10-2016,48
08-10-2016,56
09-10-2016,58
10-10-2016,67
11-10-2016,81
12-10-2016,71
13-10-2016,79
14-10-2016,88
15-10-2016,166
16-10-2016,114
17-10-2016,101
19-10-2016,118
20-10-2016,118
21-10-2016,95
22-10-2016,113
23-10-2016,134
24-10-2016,124
25-10-2016,92
28-10-2016,192
30-10-2016,262
31-10-2016,228
01-11-2016,209
03-11-2016,180
04-11-2016,263
05-11-2016,246
06-11-2016,193
07-11-2016,171
08-11-2016,188
09-11-2016,175
10-11-2016,209
11-11-2016,318
12-11-2016,181
13-11-2016,172
14-11-2016,270
15-11-2016,225
16-11-2016,247
17-11-2016,134
19-11-2016,198
20-11-2016,179
21-11-2016,175
22-11-2016,267
23-11-2016,181
24-11-2016,148
25-11-2016,237
26-11-2016,191
27-11-2016,194
28-11-2016,233
29-11-2016,315
30-11-2016,199
01-12-2016,182
02-12-2016,279
03-12-2016,161
04-12-2016,125
05-12-2016,151
06-12-2016,173
07-12-2016,189
08-12-2016,250
09-12-2016,287
10-12-2016,210
11-12-2016,193
12-12-2016,181
13-12-2016,134
14-12-2016,134
15-12-2016,95
17-12-2016,160
18-12-2016,113
19-12-2016,181
24-12-2016,312
25-12-2016,302
26-12-2016,171
27-12-2016,173
28-12-2016,306
29-12-2016,205
30-12-2016,202
31-12-2016,184
03-01-2017,142
04-01-2017,162
05-01-2017,305
06-01-2017,224
07-01-2017,148
08-01-2017,142
09-01-2017,123
10-01-2017,190
11-01-2017,168
12-01-2017,173
13-01-2017,158
14-01-2017,152
15-01-2017,140
16-01-2017,133
18-01-2017,131
19-01-2017,157
20-01-2017,149
21-01-2017,184
22-01-2017,159
23-01-2017,214
24-01-2017,147
25-01-2017,154
26-01-2017,262
27-01-2017,143
28-01-2017,116
29-01-2017,135
30-01-2017,186
31-01-2017,208
01-02-2017,164
02-02-2017,242
03-02-2017,307
04-02-2017,122
05-02-2017,110
06-02-2017,163
07-02-2017,204
08-02-2017,188
09-02-2017,153
10-02-2017,153
16-02-2017,171
17-02-2017,175
18-02-2017,154
19-02-2017,203
20-02-2017,190
21-02-2017,137
22-02-2017,136
23-02-2017,132
24-02-2017,175
25-02-2017,182
26-02-2017,234
27-02-2017,248
28-02-2017,270
01-03-2017,275
02-03-2017,225
03-03-2017,175
04-03-2017,157
05-03-2017,153
06-03-2017,237
07-03-2017,165
08-03-2017,174
