Date,AQI
13-07-2017,50
14-07-2017,42
15-07-2017,62
16-07-2017,48
17-07-2017,50
18-07-2017,55
19-07-2017,43
20-07-2017,41
25-07-2017,54
27-07-2017,52
28-07-2017,38
29-07-2017,33
30-07-2017,50
31-07-2017,60
01-08-2017,37
02-08-2017,50
03-08-2017,49
04-08-2017,48
05-08-2017,46
06-08-2017,44
07-08-2017,44
08-08-2017,53
09-08-2017,51
10-08-2017,54
11-08-2017,53
12-08-2017,49
13-08-2017,59
14-08-2017,76
15-08-2017,63
16-08-2017,51
17-08-2017,50
18-08-2017,52
19-08-2017,44
20-08-2017,45
21-08-2017,49
22-08-2017,52
23-08-2017,47
24-08-2017,161
25-08-2017,60
26-08-2017,54
27-08-2017,49
28-08-2017,47
29-08-2017,49
30-08-2017,50
31-08-2017,49
01-09-2017,49
02-09-2017,57
03-09-2017,48
04-09-2017,44
05-09-2017,49
06-09-2017,44
07-09-2017,48
08-09-2017,51
09-09-2017,45
10-09-2017,50
11-09-2017,62
12-09-2017,57
13-09-2017,57
14-09-2017,51
15-09-2017,46
16-09-2017,58
17-09-2017,51
18-09-2017,51
19-09-2017,47
20-09-2017,52
21-09-2017,44
22-09-2017,53
23-09-2017,51
24-09-2017,47
25-09-2017,56
26-09-2017,57
27-09-2017,50
28-09-2017,49
29-09-2017,46
30-09-2017,49
01-10-2017,37
02-10-2017,44
03-10-2017,50
04-10-2017,56
05-10-2017,53
06-10-2017,57
07-10-2017,54
08-10-2017,53
09-10-2017,67
10-10-2017,63
11-10-2017,60
12-10-2017,63
13-10-2017,50
15-10-2017,49
16-10-2017,54
17-10-2017,56
18-10-2017,52
19-10-2017,56
20-10-2017,67
21-10-2017,63
22-10-2017,39
23-10-2017,57
24-10-2017,98
25-10-2017,83
26-10-2017,87
27-10-2017,54
28-10-2017,68
29-10-2017,54
30-10-2017,77
31-10-2017,64
01-11-2017,57
02-11-2017,60
03-11-2017,57
04-11-2017,70
05-11-2017,60
06-11-2017,68
07-11-2017,60
08-11-2017,69
09-11-2017,51
10-11-2017,73
11-11-2017,61
12-11-2017,58
13-11-2017,125
14-11-2017,96
15-11-2017,110
16-11-2017,84
17-11-2017,119
18-11-2017,125
19-11-2017,84
20-11-2017,64
21-11-2017,57
22-11-2017,59
23-11-2017,68
24-11-2017,86
25-11-2017,178
26-11-2017,223
27-11-2017,76
28-11-2017,61
29-11-2017,81
30-11-2017,55
01-12-2017,49
02-12-2017,48
03-12-2017,50
04-12-2017,62
08-12-2017,86
09-12-2017,56
10-12-2017,97
11-12-2017,108
12-12-2017,149
13-12-2017,71
14-12-2017,67
15-12-2017,146
16-12-2017,83
17-12-2017,113
18-12-2017,86
19-12-2017,111
20-12-2017,51
21-12-2017,79
22-12-2017,53
23-12-2017,72
24-12-2017,54
25-12-2017,80
26-12-2017,109
27-12-2017,111
28-12-2017,138
29-12-2017,127
30-12-2017,67
31-12-2017,118
01-01-2018,121
02-01-2018,131
03-01-2018,100
04-01-2018,118
05-01-2018,148
06-01-2018,114
07-01-2018,188
08-01-2018,125
09-01-2018,112
10-01-2018,179
11-01-2018,105
12-01-2018,86
13-01-2018,86
14-01-2018,66
15-01-2018,74
16-01-2018,117
17-01-2018,183
18-01-2018,142
19-01-2018,99
20-01-2018,127
21-01-2018,209
22-01-2018,180
23-01-2018,179
24-01-2018,167
25-01-2018,130
26-01-2018,103
27-01-2018,107
28-01-2018,98
29-01-2018,126
30-01-2018,117
31-01-2018,141
01-02-2018,158
02-02-2018,127
03-02-2018,100
04-02-2018,96
05-02-2018,106
06-02-2018,102
07-02-2018,72
08-02-2018,58
09-02-2018,64
10-02-2018,77
13-02-2018,102
14-02-2018,98
15-02-2018,94
16-02-2018,72
17-02-2018,95
18-02-2018,94
19-02-2018,100
20-02-2018,108
21-02-2018,132
22-02-2018,85
23-02-2018,94
24-02-2018,90
27-02-2018,67
28-02-2018,69
01-03-2018,68
02-03-2018,70
03-03-2018,78
04-03-2018,90
05-03-2018,93
06-03-2018,99
07-03-2018,108
08-03-2018,90
09-03-2018,92
10-03-2018,86
12-03-2018,84
13-03-2018,72
14-03-2018,53
15-03-2018,48
16-03-2018,61
17-03-2018,49
18-03-2018,49
20-03-2018,66
21-03-2018,80
22-03-2018,65
23-03-2018,69
24-03-2018,85
25-03-2018,80
26-03-2018,81
27-03-2018,83
28-03-2018,78
30-03-2018,114
31-03-2018,93
01-04-2018,72
02-04-2018,64
03-04-2018,68
04-04-2018,62
05-04-2018,75
07-04-2018,79
08-04-2018,59
09-04-2018,72
10-04-2018,54
11-04-2018,57
12-04-2018,50
13-04-2018,76
14-04-2018,45
15-04-2018,45
16-04-2018,49
17-04-2018,57
18-04-2018,65
19-04-2018,53
20-04-2018,55
21-04-2018,56
22-04-2018,55
23-04-2018,61
24-04-2018,61
25-04-2018,54
26-04-2018,58
27-04-2018,85
28-04-2018,62
29-04-2018,77
30-04-2018,64
01-05-2018,53
02-05-2018,56
03-05-2018,64
04-05-2018,67
05-05-2018,78
06-05-2018,51
07-05-2018,52
08-05-2018,52
09-05-2018,65
10-05-2018,46
11-05-2018,51
12-05-2018,43
13-05-2018,45
14-05-2018,53
15-05-2018,57
16-05-2018,58
17-05-2018,53
18-05-2018,48
19-05-2018,48
20-05-2018,40
21-05-2018,50
22-05-2018,57
23-05-2018,53
24-05-2018,62
26-05-2018,68
27-05-2018,65
28-05-2018,76
29-05-2018,44
30-05-2018,48
31-05-2018,44
01-06-2018,46
02-06-2018,42
03-06-2018,34
04-06-2018,43
05-06-2018,57
06-06-2018,51
08-06-2018,52
09-06-2018,45
10-06-2018,37
11-06-2018,45
12-06-2018,51
13-06-2018,47
14-06-2018,44
15-06-2018,43
16-06-2018,38
17-06-2018,43
18-06-2018,48
19-06-2018,58
20-06-2018,49
21-06-2018,50
22-06-2018,64
23-06-2018,47
24-06-2018,41
25-06-2018,35
26-06-2018,55
27-06-2018,39
28-06-2018,39
29-06-2018,42
30-06-2018,42
01-07-2018,41
02-07-2018,40
03-07-2018,44
04-07-2018,47
05-07-2018,42
06-07-2018,43
07-07-2018,47
08-07-2018,40
09-07-2018,41
10-07-2018,48
11-07-2018,53
12-07-2018,47
13-07-2018,48
14-07-2018,42
15-07-2018,32
16-07-2018,32
17-07-2018,36
19-07-2018,41
20-07-2018,45
21-07-2018,58
22-07-2018,64
24-07-2018,47
25-07-2018,39
26-07-2018,48
27-07-2018,44
28-07-2018,55
29-07-2018,57
30-07-2018,50
31-07-2018,54
01-08-2018,56
02-08-2018,44
03-08-2018,43
04-08-2018,52
05-08-2018,50
06-08-2018,49
07-08-2018,47
08-08-2018,62
09-08-2018,59
10-08-2018,57
11-08-2018,59
12-08-2018,59
13-08-2018,64
14-08-2018,71
16-08-2018,77
17-08-2018,50
18-08-2018,63
19-08-2018,70
20-08-2018,88
21-08-2018,63
22-08-2018,46
23-08-2018,49
24-08-2018,46
25-08-2018,81
26-08-2018,101
27-08-2018,98
28-08-2018,82
29-08-2018,43
30-08-2018,42
31-08-2018,50
01-09-2018,59
02-09-2018,53
03-09-2018,50
04-09-2018,51
05-09-2018,53
06-09-2018,55
07-09-2018,49
08-09-2018,44
11-09-2018,57
12-09-2018,66
13-09-2018,66
14-09-2018,75
15-09-2018,66
16-09-2018,48
17-09-2018,45
18-09-2018,39
19-09-2018,47
20-09-2018,47
21-09-2018,47
22-09-2018,64
23-09-2018,39
24-09-2018,45
25-09-2018,55
26-09-2018,52
27-09-2018,59
28-09-2018,51
29-09-2018,54
30-09-2018,45
01-10-2018,58
02-10-2018,46
03-10-2018,49
04-10-2018,44
05-10-2018,44
06-10-2018,54
07-10-2018,45
08-10-2018,50
09-10-2018,48
10-10-2018,47
11-10-2018,53
12-10-2018,67
13-10-2018,66
14-10-2018,54
15-10-2018,54
16-10-2018,56
17-10-2018,45
18-10-2018,37
19-10-2018,50
20-10-2018,56
21-10-2018,39
22-10-2018,59
23-10-2018,43
