Date,AQI
09-11-2020,84
10-11-2020,90
11-11-2020,82
12-11-2020,57
13-11-2020,31
14-11-2020,48
15-11-2020,53
16-11-2020,31
17-11-2020,34
18-11-2020,35
19-11-2020,33
20-11-2020,36
21-11-2020,46
22-11-2020,54
23-11-2020,53
24-11-2020,60
25-11-2020,112
26-11-2020,87
27-11-2020,70
28-11-2020,62
29-11-2020,39
30-11-2020,46
01-12-2020,62
02-12-2020,50
09-12-2020,53
10-12-2020,54
11-12-2020,58
12-12-2020,67
13-12-2020,70
14-12-2020,65
15-12-2020,74
16-12-2020,64
17-12-2020,52
18-12-2020,58
19-12-2020,64
20-12-2020,83
21-12-2020,90
22-12-2020,86
23-12-2020,79
24-12-2020,82
25-12-2020,71
26-12-2020,71
27-12-2020,79
28-12-2020,76
29-12-2020,72
30-12-2020,80
31-12-2020,46
01-01-2021,81
02-01-2021,75
03-01-2021,65
04-01-2021,61
05-01-2021,52
06-01-2021,42
07-01-2021,36
08-01-2021,30
09-01-2021,30
10-01-2021,44
11-01-2021,53
12-01-2021,57
13-01-2021,46
14-01-2021,41
15-01-2021,46
16-01-2021,45
17-01-2021,42
18-01-2021,54
19-01-2021,52
20-01-2021,61
21-01-2021,55
22-01-2021,37
23-01-2021,44
24-01-2021,56
25-01-2021,58
26-01-2021,74
28-01-2021,80
29-01-2021,85
30-01-2021,88
31-01-2021,58
01-02-2021,38
02-02-2021,49
03-02-2021,67
04-02-2021,55
05-02-2021,62
06-02-2021,69
07-02-2021,65
08-02-2021,56
09-02-2021,60
10-02-2021,60
11-02-2021,54
12-02-2021,45
13-02-2021,63
14-02-2021,55
15-02-2021,59
16-02-2021,53
17-02-2021,68
18-02-2021,61
19-02-2021,72
20-02-2021,45
21-02-2021,33
23-02-2021,56
24-02-2021,50
25-02-2021,52
26-02-2021,72
27-02-2021,81
28-02-2021,67
01-03-2021,61
02-03-2021,80
03-03-2021,79
04-03-2021,73
05-03-2021,62
06-03-2021,67
07-03-2021,78
08-03-2021,45
09-03-2021,39
10-03-2021,45
11-03-2021,51
12-03-2021,47
13-03-2021,49
14-03-2021,44
