Date,AQI
13-10-2020,51
14-10-2020,49
15-10-2020,48
16-10-2020,49
17-10-2020,64
18-10-2020,78
19-10-2020,64
20-10-2020,65
21-10-2020,48
22-10-2020,56
23-10-2020,52
24-10-2020,66
25-10-2020,61
28-10-2020,56
29-10-2020,68
30-10-2020,91
31-10-2020,109
01-11-2020,94
02-11-2020,94
03-11-2020,88
04-11-2020,165
05-11-2020,84
06-11-2020,51
07-11-2020,46
08-11-2020,52
09-11-2020,97
10-11-2020,115
11-11-2020,122
12-11-2020,109
13-11-2020,90
14-11-2020,56
15-11-2020,62
16-11-2020,45
17-11-2020,46
18-11-2020,39
19-11-2020,45
20-11-2020,54
21-11-2020,65
22-11-2020,90
23-11-2020,99
24-11-2020,96
25-11-2020,97
26-11-2020,98
27-11-2020,83
28-11-2020,68
29-11-2020,52
30-11-2020,63
01-12-2020,81
02-12-2020,80
03-12-2020,86
04-12-2020,53
05-12-2020,49
06-12-2020,54
07-12-2020,45
08-12-2020,47
09-12-2020,49
10-12-2020,62
11-12-2020,59
12-12-2020,89
13-12-2020,110
14-12-2020,125
15-12-2020,116
16-12-2020,84
17-12-2020,65
18-12-2020,70
19-12-2020,80
20-12-2020,106
21-12-2020,111
22-12-2020,104
23-12-2020,85
24-12-2020,93
25-12-2020,112
26-12-2020,96
27-12-2020,112
28-12-2020,103
29-12-2020,148
30-12-2020,88
31-12-2020,67
01-01-2021,84
02-01-2021,91
03-01-2021,80
04-01-2021,70
05-01-2021,42
06-01-2021,67
07-01-2021,47
08-01-2021,44
09-01-2021,40
10-01-2021,57
11-01-2021,81
14-01-2021,50
15-01-2021,50
16-01-2021,58
17-01-2021,63
18-01-2021,77
19-01-2021,54
24-01-2021,74
26-01-2021,83
27-01-2021,111
28-01-2021,130
29-01-2021,110
30-01-2021,157
31-01-2021,125
01-02-2021,103
02-02-2021,80
03-02-2021,102
04-02-2021,111
05-02-2021,157
06-02-2021,129
07-02-2021,177
08-02-2021,171
09-02-2021,125
10-02-2021,139
11-02-2021,162
12-02-2021,112
13-02-2021,157
14-02-2021,121
15-02-2021,151
16-02-2021,101
17-02-2021,105
18-02-2021,75
19-02-2021,98
20-02-2021,78
21-02-2021,65
22-02-2021,76
23-02-2021,79
24-02-2021,106
25-02-2021,98
26-02-2021,84
27-02-2021,103
28-02-2021,94
01-03-2021,92
02-03-2021,97
03-03-2021,150
04-03-2021,92
05-03-2021,92
06-03-2021,101
07-03-2021,92
08-03-2021,89
09-03-2021,77
11-03-2021,49
12-03-2021,56
13-03-2021,69
14-03-2021,73
15-03-2021,77
16-03-2021,81
17-03-2021,77
18-03-2021,98
19-03-2021,80
20-03-2021,90
21-03-2021,77
22-03-2021,67
23-03-2021,80
25-03-2021,81
26-03-2021,88
27-03-2021,85
28-03-2021,67
29-03-2021,81
30-03-2021,80
31-03-2021,75
01-04-2021,79
02-04-2021,83
03-04-2021,85
04-04-2021,103
05-04-2021,115
06-04-2021,99
07-04-2021,99
08-04-2021,79
09-04-2021,69
10-04-2021,80
11-04-2021,80
12-04-2021,60
13-04-2021,57
14-04-2021,95
15-04-2021,71
16-04-2021,54
17-04-2021,65
18-04-2021,61
19-04-2021,52
20-04-2021,64
21-04-2021,78
22-04-2021,57
23-04-2021,58
24-04-2021,58
27-04-2021,61
28-04-2021,66
29-04-2021,66
30-04-2021,69
01-05-2021,73
02-05-2021,77
03-05-2021,80
04-05-2021,83
05-05-2021,85
06-05-2021,70
07-05-2021,57
08-05-2021,56
18-05-2021,54
19-05-2021,54
20-05-2021,56
21-05-2021,59
22-05-2021,57
23-05-2021,62
24-05-2021,60
29-05-2021,41
30-05-2021,40
31-05-2021,44
01-06-2021,41
02-06-2021,55
03-06-2021,55
04-06-2021,55
05-06-2021,55
06-06-2021,55
07-06-2021,55
08-06-2021,55
09-06-2021,55
10-06-2021,53
11-06-2021,49
12-06-2021,53
13-06-2021,57
14-06-2021,60
15-06-2021,62
16-06-2021,66
17-06-2021,67
18-06-2021,70
19-06-2021,73
20-06-2021,75
22-06-2021,64
23-06-2021,63
24-06-2021,59
25-06-2021,91
26-06-2021,56
27-06-2021,41
28-06-2021,46
29-06-2021,55
30-06-2021,55
01-07-2021,55
03-07-2021,54
10-07-2021,55
11-07-2021,55
12-07-2021,55
13-07-2021,55
14-07-2021,55
15-07-2021,55
16-07-2021,55
17-07-2021,55
18-07-2021,55
19-07-2021,55
20-07-2021,55
21-07-2021,55
22-07-2021,55
23-07-2021,55
24-07-2021,55
25-07-2021,55
26-07-2021,46
27-07-2021,45
28-07-2021,46
29-07-2021,49
30-07-2021,52
31-07-2021,54
01-08-2021,56
02-08-2021,59
03-08-2021,60
04-08-2021,63
05-08-2021,66
06-08-2021,69
07-08-2021,73
08-08-2021,75
09-08-2021,80
10-08-2021,84
11-08-2021,84
12-08-2021,87
13-08-2021,88
17-08-2021,95
18-08-2021,98
01-09-2021,62
02-09-2021,62
03-09-2021,69
04-09-2021,59
05-09-2021,60
06-09-2021,60
07-09-2021,60
08-09-2021,60
09-09-2021,60
10-09-2021,60
11-09-2021,60
16-09-2021,53
17-09-2021,50
18-09-2021,50
25-09-2021,61
26-09-2021,64
27-09-2021,68
30-09-2021,74
01-10-2021,77
02-10-2021,80
03-10-2021,74
04-10-2021,50
06-10-2021,50
07-10-2021,50
08-10-2021,50
09-10-2021,50
10-10-2021,50
11-10-2021,39
12-10-2021,34
13-10-2021,35
14-10-2021,44
23-10-2021,44
24-10-2021,43
28-10-2021,48
29-10-2021,41
03-11-2021,33
06-11-2021,42
07-11-2021,41
08-11-2021,40
09-11-2021,34
10-11-2021,72
19-11-2021,45
20-11-2021,37
21-11-2021,51
23-11-2021,43
24-11-2021,36
25-11-2021,56
26-11-2021,48
30-11-2021,34
01-12-2021,34
02-12-2021,54
03-12-2021,39
04-12-2021,41
05-12-2021,36
07-12-2021,64
08-12-2021,67
09-12-2021,78
10-12-2021,50
11-12-2021,50
12-12-2021,49
14-12-2021,50
23-12-2021,122
24-12-2021,113
25-12-2021,115
26-12-2021,98
27-12-2021,92
28-12-2021,64
29-12-2021,61
30-12-2021,68
31-12-2021,50
01-01-2022,54
02-01-2022,57
03-01-2022,64
04-01-2022,85
05-01-2022,98
06-01-2022,111
08-01-2022,89
09-01-2022,89
10-01-2022,85
15-01-2022,70
19-01-2022,50
22-01-2022,110
23-01-2022,86
24-01-2022,74
28-01-2022,97
29-01-2022,93
04-02-2022,80
11-02-2022,79
12-02-2022,66
13-02-2022,59
14-02-2022,80
15-02-2022,98
16-02-2022,100
17-02-2022,105
18-02-2022,88
19-02-2022,81
20-02-2022,84
21-02-2022,87
22-02-2022,77
23-02-2022,99
25-02-2022,91
