Date,AQI
12-07-2016,47
13-07-2016,54
14-07-2016,54
15-07-2016,58
16-07-2016,49
17-07-2016,67
18-07-2016,59
19-07-2016,55
20-07-2016,59
26-07-2016,69
27-07-2016,65
28-07-2016,75
29-07-2016,65
30-07-2016,55
31-07-2016,50
01-08-2016,46
02-08-2016,46
03-08-2016,42
05-08-2016,43
06-08-2016,48
07-08-2016,54
08-08-2016,62
09-08-2016,57
10-08-2016,59
11-08-2016,61
12-08-2016,62
13-08-2016,67
14-08-2016,63
15-08-2016,66
16-08-2016,59
17-08-2016,67
18-08-2016,61
19-08-2016,62
20-08-2016,65
21-08-2016,72
22-08-2016,67
23-08-2016,67
24-08-2016,52
25-08-2016,62
26-08-2016,62
27-08-2016,60
28-08-2016,56
29-08-2016,58
30-08-2016,58
31-08-2016,60
01-09-2016,57
09-09-2016,75
10-09-2016,77
11-09-2016,73
12-09-2016,60
13-09-2016,60
14-09-2016,61
15-09-2016,63
16-09-2016,60
17-09-2016,58
18-09-2016,61
19-09-2016,61
20-09-2016,60
21-09-2016,50
22-09-2016,48
23-09-2016,52
24-09-2016,49
25-09-2016,50
26-09-2016,63
27-09-2016,71
28-09-2016,62
29-09-2016,66
30-09-2016,67
01-10-2016,66
02-10-2016,80
03-10-2016,85
04-10-2016,84
05-10-2016,79
06-10-2016,77
07-10-2016,77
08-10-2016,85
09-10-2016,83
10-10-2016,73
11-10-2016,82
12-10-2016,98
13-10-2016,101
14-10-2016,107
15-10-2016,111
16-10-2016,134
17-10-2016,126
18-10-2016,122
19-10-2016,122
20-10-2016,121
21-10-2016,126
22-10-2016,133
23-10-2016,136
24-10-2016,133
25-10-2016,114
26-10-2016,114
27-10-2016,122
28-10-2016,126
30-10-2016,108
31-10-2016,101
01-11-2016,88
02-11-2016,96
03-11-2016,90
04-11-2016,107
06-11-2016,134
08-11-2016,130
09-11-2016,126
10-11-2016,137
11-11-2016,137
12-11-2016,128
13-11-2016,144
14-11-2016,99
15-11-2016,99
16-11-2016,98
17-11-2016,140
18-11-2016,143
19-11-2016,137
20-11-2016,134
21-11-2016,147
22-11-2016,127
23-11-2016,133
24-11-2016,138
25-11-2016,28
26-11-2016,145
27-11-2016,128
28-11-2016,97
29-11-2016,91
30-11-2016,122
01-12-2016,143
02-12-2016,34
03-12-2016,94
04-12-2016,94
05-12-2016,97
06-12-2016,120
07-12-2016,111
08-12-2016,121
09-12-2016,142
10-12-2016,146
11-12-2016,144
12-12-2016,108
13-12-2016,82
14-12-2016,97
15-12-2016,100
16-12-2016,97
17-12-2016,118
18-12-2016,126
19-12-2016,128
20-12-2016,132
21-12-2016,137
22-12-2016,132
27-12-2016,138
28-12-2016,116
29-12-2016,136
30-12-2016,174
31-12-2016,152
01-01-2017,132
02-01-2017,119
03-01-2017,122
04-01-2017,120
05-01-2017,127
06-01-2017,136
07-01-2017,142
08-01-2017,136
09-01-2017,128
10-01-2017,144
11-01-2017,137
13-01-2017,131
14-01-2017,120
15-01-2017,124
16-01-2017,123
17-01-2017,125
18-01-2017,118
19-01-2017,101
20-01-2017,115
21-01-2017,106
22-01-2017,102
23-01-2017,112
24-01-2017,109
25-01-2017,98
26-01-2017,113
27-01-2017,123
28-01-2017,107
29-01-2017,107
30-01-2017,122
31-01-2017,120
01-02-2017,128
02-02-2017,134
03-02-2017,122
04-02-2017,134
05-02-2017,131
06-02-2017,145
07-02-2017,151
08-02-2017,145
09-02-2017,158
10-02-2017,140
11-02-2017,145
12-02-2017,130
13-02-2017,118
14-02-2017,110
15-02-2017,111
16-02-2017,112
17-02-2017,124
18-02-2017,134
19-02-2017,144
20-02-2017,151
21-02-2017,133
22-02-2017,129
23-02-2017,130
24-02-2017,139
26-02-2017,138
27-02-2017,127
28-02-2017,124
01-03-2017,127
02-03-2017,145
03-03-2017,136
04-03-2017,111
05-03-2017,101
06-03-2017,98
07-03-2017,105
08-03-2017,89
09-03-2017,91
10-03-2017,92
11-03-2017,111
12-03-2017,118
13-03-2017,103
14-03-2017,98
15-03-2017,92
16-03-2017,96
17-03-2017,98
18-03-2017,97
19-03-2017,94
20-03-2017,90
21-03-2017,98
22-03-2017,108
23-03-2017,125
24-03-2017,147
25-03-2017,141
26-03-2017,140
27-03-2017,138
28-03-2017,101
