Date,AQI
27-08-2022,92
28-08-2022,71
29-08-2022,63
30-08-2022,73
31-08-2022,89
01-09-2022,29
02-09-2022,71
03-09-2022,104
04-09-2022,98
05-09-2022,32
06-09-2022,124
08-09-2022,94
09-09-2022,104
10-09-2022,103
11-09-2022,103
12-09-2022,95
13-09-2022,134
14-09-2022,185
15-09-2022,166
16-09-2022,161
17-09-2022,166
18-09-2022,137
19-09-2022,112
20-09-2022,121
21-09-2022,138
22-09-2022,163
23-09-2022,150
24-09-2022,165
25-09-2022,138
26-09-2022,123
27-09-2022,229
28-09-2022,260
29-09-2022,225
30-09-2022,245
01-10-2022,187
02-10-2022,190
03-10-2022,117
04-10-2022,106
05-10-2022,104
06-10-2022,106
07-10-2022,202
08-10-2022,192
09-10-2022,263
10-10-2022,127
11-10-2022,137
12-10-2022,178
13-10-2022,211
14-10-2022,176
15-10-2022,100
16-10-2022,108
17-10-2022,64
18-10-2022,124
21-10-2022,96
22-10-2022,102
23-10-2022,138
26-10-2022,110
27-10-2022,191
28-10-2022,237
29-10-2022,114
01-11-2022,190
02-11-2022,75
03-11-2022,47
04-11-2022,77
05-11-2022,79
06-11-2022,153
07-11-2022,114
08-11-2022,267
09-11-2022,136
10-11-2022,180
11-11-2022,114
12-11-2022,58
13-11-2022,72
24-11-2022,98
25-11-2022,97
26-11-2022,106
27-11-2022,105
28-11-2022,85
30-11-2022,110
01-12-2022,213
02-12-2022,95
03-12-2022,70
04-12-2022,51
05-12-2022,53
08-12-2022,171
10-12-2022,72
13-12-2022,93
14-12-2022,55
15-12-2022,97
16-12-2022,135
17-12-2022,153
18-12-2022,129
19-12-2022,96
20-12-2022,53
21-12-2022,58
22-12-2022,45
23-12-2022,97
24-12-2022,110
25-12-2022,63
26-12-2022,27
27-12-2022,28
28-12-2022,28
29-12-2022,69
30-12-2022,50
31-12-2022,63
01-01-2023,70
02-01-2023,39
03-01-2023,51
04-01-2023,74
05-01-2023,62
06-01-2023,69
07-01-2023,60
08-01-2023,68
09-01-2023,82
10-01-2023,65
12-01-2023,85
13-01-2023,99
14-01-2023,88
15-01-2023,98
16-01-2023,45
17-01-2023,38
18-01-2023,44
19-01-2023,50
20-01-2023,57
22-01-2023,90
23-01-2023,64
26-01-2023,84
27-01-2023,105
28-01-2023,75
29-01-2023,106
30-01-2023,85
31-01-2023,77
01-02-2023,82
02-02-2023,71
03-02-2023,74
04-02-2023,79
05-02-2023,89
07-02-2023,102
08-02-2023,82
09-02-2023,96
10-02-2023,84
11-02-2023,84
12-02-2023,96
13-02-2023,92
16-02-2023,85
17-02-2023,82
18-02-2023,77
19-02-2023,68
20-02-2023,56
21-02-2023,68
22-02-2023,93
23-02-2023,80
24-02-2023,68
26-02-2023,85
27-02-2023,55
28-02-2023,99
01-03-2023,67
03-03-2023,89
04-03-2023,67
05-03-2023,76
06-03-2023,63
07-03-2023,68
08-03-2023,75
11-03-2023,79
12-03-2023,70
13-03-2023,70
14-03-2023,89
17-03-2023,54
19-03-2023,63
20-03-2023,53
21-03-2023,51
22-03-2023,52
23-03-2023,62
24-03-2023,67
25-03-2023,59
26-03-2023,55
27-03-2023,47
28-03-2023,81
29-03-2023,62
30-03-2023,71
31-03-2023,55
02-04-2023,47
03-04-2023,47
06-04-2023,53
07-04-2023,63
08-04-2023,54
09-04-2023,61
10-04-2023,57
11-04-2023,50
12-04-2023,74
13-04-2023,135
15-04-2023,40
16-04-2023,63
17-04-2023,51
18-04-2023,63
20-04-2023,42
21-04-2023,41
22-04-2023,41
23-04-2023,45
24-04-2023,30
25-04-2023,30
26-04-2023,33
27-04-2023,33
28-04-2023,34
30-04-2023,27
01-05-2023,27
02-05-2023,28
03-05-2023,26
04-05-2023,28
05-05-2023,29
06-05-2023,28
07-05-2023,27
08-05-2023,29
11-05-2023,49
12-05-2023,36
13-05-2023,26
17-05-2023,44
29-05-2023,38
31-05-2023,56
01-06-2023,42
06-06-2023,35
07-06-2023,25
10-06-2023,28
11-06-2023,32
12-06-2023,28
13-06-2023,35
14-06-2023,30
15-06-2023,37
16-06-2023,44
17-06-2023,49
18-06-2023,48
19-06-2023,37
20-06-2023,38
21-06-2023,43
22-06-2023,41
23-06-2023,50
24-06-2023,56
26-06-2023,34
27-06-2023,52
28-06-2023,33
01-07-2023,41
02-07-2023,32
03-07-2023,35
04-07-2023,29
05-07-2023,29
06-07-2023,29
08-07-2023,31
09-07-2023,31
10-07-2023,37
11-07-2023,56
12-07-2023,47
14-07-2023,45
15-07-2023,41
16-07-2023,44
17-07-2023,43
18-07-2023,40
19-07-2023,42
10-08-2023,65
11-08-2023,72
12-08-2023,73
13-08-2023,69
15-08-2023,63
16-08-2023,64
17-08-2023,67
18-08-2023,66
19-08-2023,65
20-08-2023,48
22-08-2023,68
23-08-2023,59
24-08-2023,73
25-08-2023,78
26-08-2023,39
27-08-2023,34
28-08-2023,24
29-08-2023,35
30-08-2023,37
31-08-2023,38
01-09-2023,46
03-09-2023,39
04-09-2023,31
07-09-2023,22
08-09-2023,30
09-09-2023,24
13-09-2023,33
15-09-2023,28
16-09-2023,27
27-09-2023,40
28-09-2023,30
30-09-2023,24
01-10-2023,24
02-10-2023,24
12-10-2023,49
13-10-2023,83
14-10-2023,129
18-10-2023,103
19-10-2023,142
20-10-2023,141
23-10-2023,89
25-10-2023,82
11-11-2023,69
13-11-2023,133
14-11-2023,104
16-11-2023,84
17-11-2023,69
25-11-2023,47
27-11-2023,45
28-11-2023,61
07-12-2023,62
08-12-2023,55
09-12-2023,38
10-12-2023,53
11-12-2023,52
12-12-2023,69
13-12-2023,64
14-12-2023,69
15-12-2023,92
16-12-2023,64
19-12-2023,87
22-12-2023,102
23-12-2023,113
24-12-2023,135
25-12-2023,65
26-12-2023,46
27-12-2023,58
28-12-2023,67
29-12-2023,57
30-12-2023,68
31-12-2023,71
