Date,AQI
13-03-2023,189
14-03-2023,181
15-03-2023,163
16-03-2023,218
17-03-2023,105
18-03-2023,68
19-03-2023,106
20-03-2023,57
21-03-2023,74
22-03-2023,99
23-03-2023,80
24-03-2023,91
25-03-2023,103
26-03-2023,104
27-03-2023,153
28-03-2023,175
29-03-2023,136
30-03-2023,174
31-03-2023,67
01-04-2023,58
02-04-2023,83
03-04-2023,122
04-04-2023,106
05-04-2023,132
06-04-2023,133
07-04-2023,147
08-04-2023,134
09-04-2023,127
10-04-2023,169
11-04-2023,200
12-04-2023,148
14-04-2023,179
15-04-2023,176
16-04-2023,134
17-04-2023,153
18-04-2023,164
19-04-2023,239
20-04-2023,187
21-04-2023,190
22-04-2023,160
23-04-2023,174
24-04-2023,104
25-04-2023,100
26-04-2023,120
27-04-2023,115
28-04-2023,98
29-04-2023,111
30-04-2023,70
01-05-2023,72
02-05-2023,75
03-05-2023,82
04-05-2023,93
05-05-2023,98
06-05-2023,104
07-05-2023,121
08-05-2023,129
09-05-2023,136
10-05-2023,133
11-05-2023,134
12-05-2023,192
13-05-2023,154
14-05-2023,147
15-05-2023,112
16-05-2023,175
17-05-2023,167
18-05-2023,179
19-05-2023,174
20-05-2023,162
21-05-2023,138
22-05-2023,131
23-05-2023,124
24-05-2023,155
25-05-2023,50
28-05-2023,56
29-05-2023,63
30-05-2023,42
10-06-2023,129
11-06-2023,119
12-06-2023,113
13-06-2023,111
14-06-2023,124
15-06-2023,136
16-06-2023,99
17-06-2023,136
20-06-2023,77
21-06-2023,148
22-06-2023,135
23-06-2023,131
24-06-2023,155
26-06-2023,51
27-06-2023,82
28-06-2023,55
29-06-2023,64
30-06-2023,134
01-07-2023,122
02-07-2023,98
04-07-2023,174
11-07-2023,144
12-07-2023,189
13-07-2023,144
14-07-2023,94
15-07-2023,96
19-07-2023,47
20-07-2023,130
21-07-2023,95
22-07-2023,82
23-07-2023,80
24-07-2023,75
25-07-2023,84
27-07-2023,51
28-07-2023,54
29-07-2023,72
30-07-2023,63
31-07-2023,90
01-08-2023,114
02-08-2023,104
03-08-2023,122
04-08-2023,110
05-08-2023,168
06-08-2023,141
07-08-2023,118
08-08-2023,152
09-08-2023,130
10-08-2023,120
11-08-2023,130
12-08-2023,117
13-08-2023,116
14-08-2023,121
15-08-2023,145
16-08-2023,151
17-08-2023,154
18-08-2023,163
19-08-2023,136
20-08-2023,98
21-08-2023,127
22-08-2023,98
23-08-2023,99
24-08-2023,108
25-08-2023,139
26-08-2023,204
27-08-2023,197
28-08-2023,179
29-08-2023,136
30-08-2023,127
31-08-2023,126
01-09-2023,124
04-09-2023,88
05-09-2023,102
06-09-2023,73
07-09-2023,55
08-09-2023,51
09-09-2023,44
10-09-2023,46
11-09-2023,41
12-09-2023,45
13-09-2023,64
14-09-2023,69
15-09-2023,50
17-09-2023,36
18-09-2023,41
19-09-2023,56
20-09-2023,68
21-09-2023,70
22-09-2023,71
23-09-2023,72
24-09-2023,71
25-09-2023,72
26-09-2023,73
27-09-2023,87
28-09-2023,133
29-09-2023,154
01-10-2023,155
04-10-2023,155
05-10-2023,143
06-10-2023,111
07-10-2023,106
08-10-2023,109
10-10-2023,119
11-10-2023,128
14-10-2023,179
15-10-2023,138
16-10-2023,134
17-10-2023,102
18-10-2023,104
19-10-2023,125
20-10-2023,131
21-10-2023,147
22-10-2023,156
23-10-2023,183
24-10-2023,174
25-10-2023,192
26-10-2023,202
27-10-2023,206
31-10-2023,192
01-11-2023,229
02-11-2023,263
03-11-2023,214
04-11-2023,268
05-11-2023,228
06-11-2023,214
07-11-2023,248
08-11-2023,231
09-11-2023,272
10-11-2023,256
11-11-2023,222
12-11-2023,151
13-11-2023,294
14-11-2023,338
15-11-2023,320
16-11-2023,355
17-11-2023,368
18-11-2023,343
19-11-2023,337
20-11-2023,341
21-11-2023,359
22-11-2023,342
23-11-2023,351
24-11-2023,324
25-11-2023,356
26-11-2023,342
27-11-2023,290
28-11-2023,135
29-11-2023,284
30-11-2023,307
01-12-2023,265
02-12-2023,270
03-12-2023,350
04-12-2023,243
05-12-2023,136
06-12-2023,253
07-12-2023,199
08-12-2023,237
09-12-2023,272
10-12-2023,216
11-12-2023,209
12-12-2023,245
13-12-2023,227
14-12-2023,235
15-12-2023,283
16-12-2023,206
17-12-2023,175
18-12-2023,209
19-12-2023,161
20-12-2023,186
21-12-2023,231
22-12-2023,230
23-12-2023,261
24-12-2023,288
25-12-2023,258
26-12-2023,239
27-12-2023,291
28-12-2023,293
29-12-2023,285
30-12-2023,211
31-12-2023,238
