Date,AQI
02-04-2023,151
04-04-2023,154
05-04-2023,127
06-04-2023,140
07-04-2023,140
08-04-2023,125
09-04-2023,122
10-04-2023,164
11-04-2023,150
16-04-2023,146
18-04-2023,45
19-04-2023,79
21-04-2023,66
22-04-2023,78
24-04-2023,65
25-04-2023,58
26-04-2023,102
27-04-2023,113
28-04-2023,108
29-04-2023,113
30-04-2023,81
01-05-2023,77
02-05-2023,61
03-05-2023,75
04-05-2023,105
05-05-2023,77
07-05-2023,74
08-05-2023,106
09-05-2023,70
10-05-2023,85
11-05-2023,92
12-05-2023,97
13-05-2023,104
14-05-2023,98
15-05-2023,100
16-05-2023,112
18-05-2023,145
19-05-2023,142
20-05-2023,130
21-05-2023,96
24-05-2023,87
25-05-2023,79
26-05-2023,65
27-05-2023,105
28-05-2023,131
29-05-2023,112
30-05-2023,108
31-05-2023,82
01-06-2023,94
02-06-2023,107
03-06-2023,116
04-06-2023,137
05-06-2023,118
06-06-2023,122
07-06-2023,92
08-06-2023,80
09-06-2023,61
10-06-2023,69
11-06-2023,76
12-06-2023,98
13-06-2023,108
14-06-2023,142
15-06-2023,100
16-06-2023,116
17-06-2023,102
18-06-2023,146
19-06-2023,84
20-06-2023,105
21-06-2023,124
22-06-2023,71
23-06-2023,98
24-06-2023,81
25-06-2023,88
13-07-2023,83
14-07-2023,150
15-07-2023,93
16-07-2023,79
17-07-2023,105
18-07-2023,96
19-07-2023,140
20-07-2023,146
21-07-2023,183
22-07-2023,133
23-07-2023,101
27-07-2023,38
28-07-2023,43
29-07-2023,52
31-07-2023,37
01-08-2023,39
02-08-2023,43
06-08-2023,73
09-08-2023,88
10-08-2023,53
12-08-2023,29
13-08-2023,48
14-08-2023,44
15-08-2023,52
16-08-2023,39
17-08-2023,99
18-08-2023,73
19-08-2023,84
20-08-2023,76
21-08-2023,36
22-08-2023,57
23-08-2023,47
25-08-2023,91
27-08-2023,46
28-08-2023,53
29-08-2023,45
30-08-2023,25
31-08-2023,42
01-09-2023,43
02-09-2023,67
03-09-2023,59
04-09-2023,73
06-09-2023,104
07-09-2023,86
08-09-2023,114
09-09-2023,45
10-09-2023,92
14-09-2023,51
15-09-2023,48
17-09-2023,82
18-09-2023,45
21-09-2023,66
22-09-2023,75
23-09-2023,69
24-09-2023,65
25-09-2023,72
26-09-2023,65
27-09-2023,69
28-09-2023,56
29-09-2023,31
30-09-2023,28
01-10-2023,23
02-10-2023,21
03-10-2023,19
04-10-2023,21
05-10-2023,70
06-10-2023,35
07-10-2023,36
09-10-2023,47
17-10-2023,113
18-10-2023,125
19-10-2023,136
20-10-2023,157
21-10-2023,140
22-10-2023,116
23-10-2023,114
24-10-2023,101
25-10-2023,89
29-10-2023,74
30-10-2023,81
31-10-2023,97
01-11-2023,193
02-11-2023,105
04-11-2023,60
07-11-2023,66
08-11-2023,98
09-11-2023,89
10-11-2023,83
13-11-2023,111
14-11-2023,208
15-11-2023,254
16-11-2023,236
20-11-2023,94
21-11-2023,105
22-11-2023,100
23-11-2023,82
25-11-2023,69
28-11-2023,91
29-11-2023,103
30-11-2023,84
01-12-2023,76
02-12-2023,129
03-12-2023,143
04-12-2023,106
05-12-2023,107
06-12-2023,170
07-12-2023,186
08-12-2023,162
09-12-2023,147
10-12-2023,132
14-12-2023,137
15-12-2023,142
16-12-2023,124
18-12-2023,130
19-12-2023,150
20-12-2023,149
22-12-2023,180
23-12-2023,183
24-12-2023,156
26-12-2023,130
27-12-2023,125
28-12-2023,120
29-12-2023,98
30-12-2023,87
31-12-2023,114
