Date,AQI
13-03-2023,123
14-03-2023,171
15-03-2023,126
16-03-2023,235
17-03-2023,90
18-03-2023,95
19-03-2023,86
20-03-2023,51
22-03-2023,56
23-03-2023,68
24-03-2023,91
25-03-2023,86
26-03-2023,78
27-03-2023,67
29-03-2023,164
30-03-2023,142
31-03-2023,69
04-04-2023,207
05-04-2023,132
06-04-2023,119
07-04-2023,159
08-04-2023,142
09-04-2023,73
11-04-2023,104
12-04-2023,167
13-04-2023,141
14-04-2023,208
16-04-2023,165
19-04-2023,152
20-04-2023,80
21-04-2023,82
22-04-2023,88
23-04-2023,56
24-04-2023,71
26-04-2023,47
27-04-2023,59
28-04-2023,56
29-04-2023,36
30-04-2023,36
01-05-2023,33
03-05-2023,58
04-05-2023,66
06-05-2023,50
07-05-2023,105
09-05-2023,67
10-05-2023,66
11-05-2023,111
12-05-2023,155
13-05-2023,181
14-05-2023,209
16-05-2023,237
17-05-2023,180
18-05-2023,193
19-05-2023,206
20-05-2023,176
23-05-2023,106
24-05-2023,130
25-05-2023,160
26-05-2023,95
27-05-2023,93
02-06-2023,208
08-06-2023,140
12-06-2023,134
14-06-2023,53
15-06-2023,86
17-06-2023,77
18-06-2023,79
19-06-2023,120
20-06-2023,116
23-06-2023,47
24-06-2023,41
25-06-2023,51
26-06-2023,31
27-06-2023,36
28-06-2023,55
30-06-2023,53
01-07-2023,43
02-07-2023,36
03-07-2023,36
04-07-2023,79
05-07-2023,64
06-07-2023,62
07-07-2023,39
08-07-2023,56
09-07-2023,79
10-07-2023,41
11-07-2023,58
12-07-2023,58
16-07-2023,24
17-07-2023,24
18-07-2023,29
19-07-2023,25
20-07-2023,25
21-07-2023,23
22-07-2023,18
23-07-2023,31
24-07-2023,29
25-07-2023,30
26-07-2023,27
27-07-2023,33
28-07-2023,37
29-07-2023,29
30-07-2023,30
04-08-2023,31
05-08-2023,17
06-08-2023,19
07-08-2023,21
09-08-2023,35
10-08-2023,42
11-08-2023,48
12-08-2023,39
13-08-2023,32
14-08-2023,83
19-08-2023,41
20-08-2023,51
21-08-2023,29
22-08-2023,39
23-08-2023,48
24-08-2023,24
26-08-2023,33
27-08-2023,57
28-08-2023,58
29-08-2023,81
30-08-2023,58
31-08-2023,39
01-09-2023,62
05-09-2023,30
06-09-2023,25
07-09-2023,25
08-09-2023,44
12-09-2023,39
13-09-2023,26
14-09-2023,23
15-09-2023,48
17-09-2023,24
26-09-2023,38
27-09-2023,36
28-09-2023,71
29-09-2023,32
30-09-2023,36
01-10-2023,29
02-10-2023,23
03-10-2023,22
05-10-2023,43
08-10-2023,50
09-10-2023,62
12-10-2023,69
13-10-2023,81
14-10-2023,96
15-10-2023,82
16-10-2023,93
17-10-2023,73
18-10-2023,53
19-10-2023,66
22-10-2023,83
28-10-2023,118
29-10-2023,89
30-10-2023,126
31-10-2023,99
03-11-2023,117
04-11-2023,59
05-11-2023,72
06-11-2023,88
07-11-2023,91
08-11-2023,78
10-11-2023,115
11-11-2023,131
12-11-2023,131
13-11-2023,116
14-11-2023,101
15-11-2023,105
16-11-2023,93
17-11-2023,116
24-11-2023,128
25-11-2023,114
26-11-2023,116
27-11-2023,103
28-11-2023,92
29-11-2023,67
30-11-2023,65
01-12-2023,77
02-12-2023,86
03-12-2023,80
04-12-2023,62
05-12-2023,68
07-12-2023,26
08-12-2023,29
10-12-2023,48
13-12-2023,84
14-12-2023,68
15-12-2023,106
17-12-2023,116
18-12-2023,112
19-12-2023,71
20-12-2023,87
21-12-2023,110
22-12-2023,120
23-12-2023,125
24-12-2023,109
25-12-2023,131
26-12-2023,130
27-12-2023,133
28-12-2023,146
30-12-2023,161
31-12-2023,218
