Date,AQI
04-11-2017,179
05-11-2017,242
06-11-2017,242
07-11-2017,188
08-11-2017,180
09-11-2017,187
10-11-2017,199
11-11-2017,223
12-11-2017,231
13-11-2017,227
14-11-2017,207
15-11-2017,212
16-11-2017,202
17-11-2017,307
18-11-2017,298
19-11-2017,283
20-11-2017,280
21-11-2017,168
22-11-2017,151
23-11-2017,134
24-11-2017,159
25-11-2017,162
26-11-2017,163
27-11-2017,168
28-11-2017,70
29-11-2017,63
30-11-2017,144
01-12-2017,173
02-12-2017,158
03-12-2017,152
04-12-2017,166
05-12-2017,197
07-12-2017,123
09-12-2017,221
10-12-2017,186
11-12-2017,195
12-12-2017,118
13-12-2017,144
17-12-2017,136
18-12-2017,158
19-12-2017,207
20-12-2017,212
21-12-2017,190
22-12-2017,184
23-12-2017,211
24-12-2017,199
25-12-2017,159
26-12-2017,194
27-12-2017,183
28-12-2017,192
29-12-2017,178
30-12-2017,192
31-12-2017,220
01-01-2018,200
02-01-2018,147
03-01-2018,163
04-01-2018,159
05-01-2018,159
06-01-2018,252
07-01-2018,170
08-01-2018,179
09-01-2018,203
10-01-2018,208
11-01-2018,192
12-01-2018,170
13-01-2018,205
14-01-2018,200
15-01-2018,183
16-01-2018,192
17-01-2018,194
18-01-2018,106
19-01-2018,175
20-01-2018,146
21-01-2018,184
22-01-2018,157
23-01-2018,151
24-01-2018,159
25-01-2018,153
26-01-2018,155
27-01-2018,147
28-01-2018,122
29-01-2018,126
30-01-2018,153
31-01-2018,157
01-02-2018,120
02-02-2018,119
04-02-2018,128
05-02-2018,117
06-02-2018,128
07-02-2018,141
10-02-2018,129
12-02-2018,96
14-02-2018,121
16-02-2018,161
25-02-2018,141
26-02-2018,164
01-03-2018,96
02-03-2018,97
03-03-2018,94
04-03-2018,156
07-03-2018,105
08-03-2018,129
10-03-2018,83
14-03-2018,170
15-03-2018,201
16-03-2018,206
17-03-2018,197
18-03-2018,234
19-03-2018,230
20-03-2018,153
21-03-2018,148
22-03-2018,140
23-03-2018,85
24-03-2018,105
29-03-2018,108
30-03-2018,94
31-03-2018,93
01-04-2018,108
02-04-2018,114
03-04-2018,93
04-04-2018,92
05-04-2018,120
06-04-2018,127
07-04-2018,127
11-04-2018,144
12-04-2018,133
13-04-2018,138
14-04-2018,125
15-04-2018,138
17-04-2018,132
18-04-2018,158
19-04-2018,147
20-04-2018,168
21-04-2018,170
22-04-2018,156
23-04-2018,153
24-04-2018,152
25-04-2018,144
26-04-2018,154
27-04-2018,158
28-04-2018,163
29-04-2018,186
30-04-2018,265
01-05-2018,144
02-05-2018,159
03-05-2018,147
04-05-2018,143
05-05-2018,206
06-05-2018,157
07-05-2018,133
10-05-2018,125
11-05-2018,100
17-05-2018,189
18-05-2018,182
19-05-2018,235
20-05-2018,196
21-05-2018,170
22-05-2018,107
23-05-2018,174
24-05-2018,92
25-05-2018,97
26-05-2018,93
27-05-2018,119
28-05-2018,102
29-05-2018,98
30-05-2018,103
31-05-2018,174
01-06-2018,103
02-06-2018,116
03-06-2018,80
04-06-2018,71
05-06-2018,66
06-06-2018,90
07-06-2018,92
08-06-2018,132
09-06-2018,130
10-06-2018,91
11-06-2018,107
12-06-2018,138
13-06-2018,155
14-06-2018,150
15-06-2018,182
16-06-2018,113
17-06-2018,80
18-06-2018,99
19-06-2018,91
20-06-2018,97
21-06-2018,141
22-06-2018,102
23-06-2018,90
24-06-2018,77
25-06-2018,64
26-06-2018,64
27-06-2018,79
28-06-2018,101
29-06-2018,61
30-06-2018,122
01-07-2018,107
02-07-2018,104
03-07-2018,90
04-07-2018,71
05-07-2018,133
06-07-2018,165
07-07-2018,171
08-07-2018,132
09-07-2018,143
10-07-2018,90
11-07-2018,103
12-07-2018,125
13-07-2018,117
14-07-2018,76
15-07-2018,81
16-07-2018,62
17-07-2018,102
18-07-2018,76
19-07-2018,51
20-07-2018,66
21-07-2018,83
22-07-2018,112
23-07-2018,117
24-07-2018,104
25-07-2018,94
26-07-2018,149
27-07-2018,97
28-07-2018,89
29-07-2018,94
30-07-2018,114
31-07-2018,152
01-08-2018,176
02-08-2018,124
03-08-2018,86
04-08-2018,67
05-08-2018,91
06-08-2018,80
07-08-2018,85
08-08-2018,72
09-08-2018,65
10-08-2018,98
11-08-2018,102
12-08-2018,81
13-08-2018,73
14-08-2018,122
15-08-2018,142
16-08-2018,147
17-08-2018,51
18-08-2018,45
19-08-2018,54
20-08-2018,77
21-08-2018,104
22-08-2018,75
23-08-2018,92
24-08-2018,85
25-08-2018,92
26-08-2018,99
27-08-2018,114
28-08-2018,86
29-08-2018,102
30-08-2018,113
31-08-2018,80
01-09-2018,68
02-09-2018,75
03-09-2018,130
04-09-2018,279
05-09-2018,50
06-09-2018,58
07-09-2018,73
08-09-2018,54
09-09-2018,53
10-09-2018,70
11-09-2018,88
12-09-2018,72
13-09-2018,73
14-09-2018,64
15-09-2018,67
16-09-2018,67
17-09-2018,65
18-09-2018,78
19-09-2018,73
20-09-2018,91
21-09-2018,87
22-09-2018,64
23-09-2018,64
24-09-2018,71
25-09-2018,117
26-09-2018,101
27-09-2018,88
28-09-2018,87
29-09-2018,84
30-09-2018,104
01-10-2018,103
02-10-2018,104
03-10-2018,87
04-10-2018,103
05-10-2018,94
06-10-2018,94
07-10-2018,88
